,0,1,2,3,4,5,6,7,8,9
sp115,-27.493235,23.30547,-0.4210906,167.3172,-14.396693,118.36795,3.396218,36.0164,81.71038,-0.2833508
sp132,-27.802067,22.544931,-0.119535744,166.05081,-14.360268,115.79721,6.548482,35.197918,83.764885,-0.9278809
sp136,-27.901632,22.772058,-0.46581528,167.06464,-14.771922,117.25629,2.4220283,37.51357,80.30407,-0.46537098
sp137,-28.045893,21.653841,-0.119477,167.62215,-14.661429,117.15071,5.0376596,36.97245,83.713394,-0.85714227
sp143,-27.188751,25.320122,-1.009471,166.50592,-15.077399,119.24991,-0.11950288,39.18847,80.30292,3.766895
sp147,-49.462223,26.252218,-5.418701,109.258896,-11.830389,158.88182,149.93494,-1.0828233,46.299706,-28.210058
sp148,-18.315489,-3.0866647,21.181164,86.2168,-14.706019,29.82742,23.339222,29.806932,141.37039,-6.4018188
sp149,-49.50436,27.306295,-5.4990726,109.24554,-11.787765,159.39082,150.8086,-1.2643548,46.54562,-28.274366
sp150,-19.175915,-3.735359,22.78293,91.48281,-13.774287,36.012634,24.036053,28.255615,134.57138,-7.11475
sp152,-18.091131,-3.3568802,20.49029,83.95702,-14.685962,30.201921,22.657528,28.615974,140.1437,-6.0721393
sp154,-19.609325,-3.706242,20.79823,91.47624,-14.268153,35.16158,24.8881,28.437632,132.81404,-7.463412
sp155,-18.304289,-3.3193815,21.30651,86.33077,-14.7348585,30.16443,22.73536,30.216621,140.3623,-6.2705703
sp157,-29.521652,18.43233,-0.17194702,161.98647,-15.647243,110.41159,15.01188,35.152153,87.196434,-3.3232338
sp159,-27.88158,22.41587,-0.446696,167.75159,-14.744143,118.13089,1.7021186,38.4227,79.3078,-0.13570864
sp161,-32.30118,7.0270424,16.214048,148.7071,-10.883014,108.96205,41.985325,2.023152,95.94999,-6.2106366
sp162,-25.043142,-1.2083104,15.925861,116.381226,-13.8350315,61.12305,34.53198,26.314379,123.56377,-8.426735
sp167,-19.393705,-4.3966193,22.743382,92.251495,-14.219905,36.891403,23.643612,28.413525,133.0852,-7.2764735
sp168,-48.82563,29.358166,-5.604723,108.75394,-11.797298,157.82051,150.26076,-1.3537344,50.237183,-27.965134
sp169,-19.37187,-3.9525106,22.277132,92.17248,-14.17377,33.638035,24.608894,28.071388,134.45891,-7.556157
sp170,-19.39063,-4.059515,21.884888,91.95234,-14.169616,33.806858,24.53461,29.167503,133.04727,-7.570408
sp171,-19.929386,-3.6858242,20.010504,92.10291,-14.498275,40.475697,24.770142,27.489946,132.71384,-6.879861
sp172,-20.028759,-3.6827114,19.859446,92.14407,-14.484987,41.316517,25.263962,26.970715,132.20792,-6.9729877
sp174,-32.229664,7.1284733,14.796629,146.72713,-10.92855,109.39978,43.584656,3.9499652,94.14494,-6.6915436
sp175,-29.991388,16.155037,-0.22987512,159.76859,-15.726336,112.871796,18.382019,33.23026,86.447266,-3.2684758
sp176,-29.961933,15.628985,-0.23668282,159.1956,-15.836403,112.535416,18.22456,33.26605,87.5246,-3.3760471
sp178,-18.568768,-3.4832947,20.761501,85.48778,-14.979919,30.541775,21.895042,31.372662,139.69113,-6.4448977
sp179,-48.822517,29.4255,-5.6264777,108.68519,-11.835784,158.34773,149.83086,-1.3274686,49.801132,-27.900839
sp181,-19.3297,-3.9534776,21.54972,87.854416,-14.330771,36.35851,22.960636,29.26956,135.3668,-7.008724
sp184,-18.24341,-2.9589956,20.063906,85.836815,-14.841539,30.489769,23.534363,29.115473,141.68811,-6.2162104
sp185,-18.390234,-3.1609142,21.163542,86.02904,-14.690636,28.824707,22.879532,30.689201,140.62097,-6.462028
sp186,-19.499483,-3.7515004,23.401014,94.00456,-13.753914,36.156193,24.504314,28.480461,134.78929,-7.248751
sp187,-18.63806,-3.0957327,18.674934,84.12666,-14.844167,29.942648,24.200397,29.435944,136.76747,-6.2092524
sp189,-18.424253,-3.1089375,19.219698,84.58923,-14.951655,26.630394,24.119019,29.580956,139.06392,-6.349044
sp190,-27.33021,25.129944,-1.0202533,167.86942,-14.889546,120.260086,-0.040738534,39.43013,78.27966,3.2402914
sp193,-27.535233,22.917469,-0.3854503,169.06711,-14.519913,118.84955,0.5709617,38.735027,79.349014,1.8072165
sp194,-19.039892,-3.7325332,22.604437,90.71925,-13.868773,35.341316,23.595806,28.367838,134.84726,-7.0599885
sp195,-27.932495,23.18853,-0.038941495,167.70502,-14.162877,117.03305,4.2237406,37.017822,81.4444,-0.38924715
sp199,-19.60945,-3.4587796,20.493727,92.75135,-14.293709,40.298527,23.38533,27.930538,132.98248,-6.700577
sp201,-50.24291,31.50651,-5.0429573,132.42596,-13.974431,159.5807,141.51799,2.9474857,68.21481,-27.83468
sp205,-29.379993,18.932383,-0.113895714,162.07364,-15.579073,110.58536,14.860097,34.721107,87.545746,-3.1001987
sp206,-29.463255,19.099955,-0.12172271,162.4497,-15.638022,110.58181,14.824605,34.606655,87.90551,-3.04025
sp207,-19.402376,-3.5653782,22.188637,92.745834,-13.69049,37.541744,25.421936,29.441807,134.24864,-6.904227
sp209,-19.47753,-4.092316,21.691198,91.923225,-14.354625,34.285706,24.186256,29.62273,133.01436,-7.4510636
sp210,-32.41297,6.975233,15.860073,147.94359,-10.958054,108.85249,41.588863,0.8891245,95.398636,-6.0387473
sp211,-32.374424,7.2200327,15.93054,148.08627,-10.890122,109.01436,41.445747,0.71957266,95.3513,-6.0031238
sp212,-18.422758,-3.0645845,20.693104,85.60345,-14.752776,28.60361,23.51324,30.723385,140.6344,-6.5556827
sp215,-32.35713,7.110812,15.923758,147.73769,-10.911518,109.08122,41.901096,0.5260931,95.47586,-6.0114946
sp217,-28.00463,23.06397,-0.018436734,168.28322,-14.218846,116.757614,3.42574,37.49697,81.32674,-0.35678676
sp218,-48.95961,28.843239,-5.7489667,107.42906,-12.109889,158.22452,150.95389,-1.273044,50.216682,-28.042439
sp219,-48.94921,28.942879,-5.7266436,107.52828,-12.070337,157.96858,150.87753,-1.2754321,50.234497,-28.060537
sp220,-28.02416,22.846943,-0.009996715,168.27196,-14.227824,116.910866,3.552922,37.590168,81.28829,-0.3685265
sp221,-27.970676,22.671738,-0.017643658,168.01125,-14.257151,117.17179,3.5198143,37.632294,81.21792,-0.31860775
sp222,-32.315655,6.5050716,16.4267,148.60944,-10.84373,109.9816,41.635025,0.35542166,95.176,-5.997397
sp224,-32.173256,5.636615,15.420313,146.29639,-10.8662405,110.37626,43.54697,3.5552204,93.58064,-6.55963
sp225,-32.243816,5.683584,15.243528,146.16295,-10.88107,110.57631,43.546154,3.68278,93.16075,-6.5655174
sp226,-49.751938,28.42726,-5.7135043,110.09148,-12.1462555,159.22426,150.48344,-1.0839393,47.706657,-28.04013
sp227,-49.765274,28.787424,-5.729622,110.202705,-12.139648,159.07878,150.84909,-1.1023233,47.85514,-28.128859
sp228,-17.76668,-3.6330838,21.23947,82.59866,-14.718226,28.45504,22.55943,29.490875,141.27873,-6.1740475
sp229,-18.332144,-2.9042385,18.733963,84.108025,-14.93136,26.438673,24.531796,29.480518,139.29857,-6.3403835
sp232,-19.137205,-3.9250119,21.76327,87.466095,-14.296664,35.29745,22.029385,29.106625,135.81738,-6.870637
sp233,-19.157488,-3.8992078,21.770937,87.56416,-14.289477,35.382477,22.140911,28.930216,135.84808,-6.881499
sp234,-49.736504,26.864973,-5.47576,108.388374,-11.704231,159.38536,150.76738,-1.2574546,45.333797,-28.45011
sp235,-27.26802,25.404411,-1.0867809,167.78236,-15.002899,120.20415,-0.06917482,39.244923,78.87887,3.826183
sp236,-27.234943,25.463459,-1.0955541,167.56898,-14.987312,120.3011,-0.088566445,39.159344,78.84417,3.7361581
sp237,-27.4829,23.118603,-0.37199777,169.03271,-14.458101,119.150085,0.37474513,38.741856,79.31328,2.3174493
sp238,-27.480051,23.099787,-0.3715118,168.81656,-14.435603,118.86563,0.33626628,38.788994,79.171936,2.1451375
sp239,-17.760672,-3.5840447,21.230858,82.73778,-14.681441,28.341673,22.5239,29.30826,141.3013,-6.202415
sp240,-17.77807,-3.630093,21.2697,82.57677,-14.703311,28.459635,22.519112,29.447105,141.25871,-6.1975675
sp241,-18.373903,-2.9569032,18.691496,84.16301,-15.015706,26.627373,24.60374,29.453562,139.56253,-6.329593
sp242,-18.341413,-2.917873,18.657728,84.074326,-14.979181,26.33323,24.609348,29.570147,139.50285,-6.3606086
sp244,-18.418802,-3.189342,20.916983,85.641045,-14.734511,28.645058,22.39064,30.962996,140.00513,-6.355641
sp246,-19.250246,-4.515717,23.350328,91.6404,-14.033824,36.762325,22.895325,27.972017,132.80618,-7.2524543
sp247,-19.242266,-4.4533443,23.285429,91.694244,-14.02904,36.79961,23.017124,27.87271,132.89766,-7.2530518
sp248,-19.30721,-4.4519725,23.329754,91.8727,-14.017845,37.033783,23.147644,27.814165,132.82951,-7.2684283
sp249,-19.312536,-4.4638944,23.315918,91.82138,-14.036458,36.925903,23.145721,27.836071,132.97453,-7.291281
sp251,-32.298527,6.680229,16.520817,148.74078,-10.779338,110.10805,41.70412,0.40501845,95.116585,-5.9590583
sp252,-32.30443,6.632621,16.530622,148.75465,-10.794192,110.150696,41.641872,0.42450583,95.1766,-5.9335566
sp254,-19.26563,-3.7329533,21.429623,88.21917,-14.26739,35.151875,22.380924,29.824106,135.50151,-6.925036
sp255,-18.52774,-3.0029345,18.512684,84.2532,-14.826958,30.285295,24.559967,29.04955,137.07016,-6.122913
sp256,-18.534466,-2.9876165,18.480972,84.249794,-14.815984,30.200087,24.633186,29.053383,137.01782,-6.15061
sp257,-49.81232,27.135859,-5.518728,108.22824,-11.716739,159.40086,150.95981,-1.2688221,45.22506,-28.475494
sp258,-18.56545,-3.6656654,20.506483,85.13389,-15.130193,30.81657,20.951466,31.730072,139.57576,-6.3656425
sp259,-18.561958,-3.6692173,20.509077,85.13621,-15.143657,30.832693,20.936527,31.725632,139.63075,-6.365161
sp260,-27.194456,26.617378,-1.0606812,167.45808,-14.844988,118.668564,0.4497192,39.132175,79.63452,3.4266164
sp261,-27.186762,26.570957,-1.0636287,167.38597,-14.84804,118.65396,0.4796455,39.140026,79.619125,3.4015138
sp262,-27.136168,26.740007,-1.2255536,166.21548,-14.970763,119.779724,-0.033789683,39.421207,78.39215,3.5179517
sp263,-27.190916,24.998537,-0.916392,165.46846,-14.863527,120.004944,0.22641826,38.495316,80.04489,4.541582
sp264,-27.18453,24.995945,-0.9141904,165.44547,-14.864978,119.97902,0.23471141,38.51509,80.10293,4.5261765
sp265,-18.975683,-3.7662961,22.798588,90.49813,-13.862142,33.540543,23.601288,28.865938,134.9516,-7.1725564
sp266,-18.978756,-3.7686055,22.784353,90.478065,-13.863861,33.626324,23.608555,28.868235,134.92233,-7.1692834
sp267,-49.817368,27.173632,-5.5273323,108.21467,-11.718839,159.36147,151.06891,-1.2774768,45.227074,-28.484781
sp268,-49.8163,27.194962,-5.527302,108.24897,-11.722193,159.38255,151.06587,-1.2754276,45.262917,-28.48829
sp269,-18.134932,-2.8950427,20.006563,85.11167,-14.827941,29.695871,23.698563,29.098284,141.85373,-6.1971173
sp270,-18.138409,-2.898593,20.005375,85.081474,-14.823588,29.717009,23.73219,29.107285,141.81801,-6.1991057
sp271,-19.456676,-3.8344593,23.303947,93.343254,-13.792038,36.341007,24.201252,28.445915,135.00618,-7.213193
sp272,-19.452839,-3.8281484,23.293386,93.33086,-13.787223,36.348015,24.198097,28.4463,134.98741,-7.211053
sp273,-27.130919,26.75289,-1.2244804,166.24358,-14.965433,119.82609,-0.045051433,39.460663,78.35701,3.56449
sp274,-27.129004,26.746065,-1.2223839,166.25238,-14.96333,119.80177,-0.045451213,39.45823,78.3539,3.5552251
sp275,-19.323109,-3.6386058,22.619522,92.885124,-13.6004715,37.34746,24.409035,29.771675,133.95886,-6.8214355
sp276,-19.3213,-3.6389205,22.61596,92.87327,-13.601659,37.35111,24.415882,29.762295,133.97119,-6.8222327
