"","t44","t45","t89","t90","t6","t11","t12","t19","t20","t48","t63","t64","t54","t55","t49","t93","t94","t85","t86","t62","t91","t92","t26","t30","t37","t51","t74","t75","t61","t67","t68","t69","t70","t56","t35","t36","t15","t10","t27","t31","t32","t16","t18","t41","t65","t66","t97","t98","t33","t34","t21","t17","t46","t47","t42","t43","t57","t58","t8","t52","t53","t1","t4","t39","t80","t83","t84","t73","t7","t81","t82","t50","t59","t60","t95","t96","t78","t79","t5","t40","t99","t100","t87","t88","t13","t14","t3","t38","t76","t77","t2","t22","t23","t28","t29","t71","t72","t9","t24","t25"
"t44",0,0.7779565388,0.8577771447,0.8577771447,2.41878371585,6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546313,6.65902546313,6.65902546313,6.65902546341,6.65902546341,6.65902546343,6.65902546341,6.65902546341,6.65902546388,6.65902546388,6.65902546384,6.65902546385,6.65902546385,6.65902546336,6.65902546337,6.65902546338,6.65902546338,6.65902546336,6.65902546336,6.65902546336,6.6590254634,6.6590254634,6.65902546346,6.65902546346,6.65902546336,6.659025463426,6.659025463426,6.659025463326,6.659025463426,6.65902546336,6.65902546333,6.65902546333,6.65902546346,6.65902546336,6.65902546336,6.65902546336,6.65902546336,6.65902546296,6.65902546296,6.65902546336,6.65902546336,6.65902546346,6.65902546339,6.65902546349,6.65902546349,6.65902546342,6.65902546342,6.65902546332,6.65902546332,6.65902546302,6.65902546342,6.65902546342,6.65902546345,6.65902546345,6.65902546345,6.65902546336,6.65902546336,6.65902546336,6.65902546335,6.65902546335,6.659025463096,6.659025463096,6.659025463096,6.659025462996,6.659025462996,6.659025463026,6.659025463026,6.659025463026,6.659025463026,6.659025463716,6.659025463458,6.65902546351,6.65902546351,6.659025463446,6.659025463446,6.659025463406,6.659025463406,6.659025463406,6.659025463196,6.659025463256,6.659025463256,6.659025463486,6.659025462986,6.659025462986,6.65902546342,6.65902546342,6.65902546392,6.65902546392,6.65902546351,6.65902546341,6.65902546341
"t45",0.7779565388,0,0.8577771447,0.8577771447,2.41878371585,6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546313,6.65902546313,6.65902546313,6.65902546341,6.65902546341,6.65902546343,6.65902546341,6.65902546341,6.65902546388,6.65902546388,6.65902546384,6.65902546385,6.65902546385,6.65902546336,6.65902546337,6.65902546338,6.65902546338,6.65902546336,6.65902546336,6.65902546336,6.6590254634,6.6590254634,6.65902546346,6.65902546346,6.65902546336,6.659025463426,6.659025463426,6.659025463326,6.659025463426,6.65902546336,6.65902546333,6.65902546333,6.65902546346,6.65902546336,6.65902546336,6.65902546336,6.65902546336,6.65902546296,6.65902546296,6.65902546336,6.65902546336,6.65902546346,6.65902546339,6.65902546349,6.65902546349,6.65902546342,6.65902546342,6.65902546332,6.65902546332,6.65902546302,6.65902546342,6.65902546342,6.65902546345,6.65902546345,6.65902546345,6.65902546336,6.65902546336,6.65902546336,6.65902546335,6.65902546335,6.659025463096,6.659025463096,6.659025463096,6.659025462996,6.659025462996,6.659025463026,6.659025463026,6.659025463026,6.659025463026,6.659025463716,6.659025463458,6.65902546351,6.65902546351,6.659025463446,6.659025463446,6.659025463406,6.659025463406,6.659025463406,6.659025463196,6.659025463256,6.659025463256,6.659025463486,6.659025462986,6.659025462986,6.65902546342,6.65902546342,6.65902546392,6.65902546392,6.65902546351,6.65902546341,6.65902546341
"t89",0.8577771447,0.8577771447,0,0.0679549133,2.41878371585,6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546313,6.65902546313,6.65902546313,6.65902546341,6.65902546341,6.65902546343,6.65902546341,6.65902546341,6.65902546388,6.65902546388,6.65902546384,6.65902546385,6.65902546385,6.65902546336,6.65902546337,6.65902546338,6.65902546338,6.65902546336,6.65902546336,6.65902546336,6.6590254634,6.6590254634,6.65902546346,6.65902546346,6.65902546336,6.659025463426,6.659025463426,6.659025463326,6.659025463426,6.65902546336,6.65902546333,6.65902546333,6.65902546346,6.65902546336,6.65902546336,6.65902546336,6.65902546336,6.65902546296,6.65902546296,6.65902546336,6.65902546336,6.65902546346,6.65902546339,6.65902546349,6.65902546349,6.65902546342,6.65902546342,6.65902546332,6.65902546332,6.65902546302,6.65902546342,6.65902546342,6.65902546345,6.65902546345,6.65902546345,6.65902546336,6.65902546336,6.65902546336,6.65902546335,6.65902546335,6.659025463096,6.659025463096,6.659025463096,6.659025462996,6.659025462996,6.659025463026,6.659025463026,6.659025463026,6.659025463026,6.659025463716,6.659025463458,6.65902546351,6.65902546351,6.659025463446,6.659025463446,6.659025463406,6.659025463406,6.659025463406,6.659025463196,6.659025463256,6.659025463256,6.659025463486,6.659025462986,6.659025462986,6.65902546342,6.65902546342,6.65902546392,6.65902546392,6.65902546351,6.65902546341,6.65902546341
"t90",0.8577771447,0.8577771447,0.0679549133,0,2.41878371585,6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546313,6.65902546313,6.65902546313,6.65902546341,6.65902546341,6.65902546343,6.65902546341,6.65902546341,6.65902546388,6.65902546388,6.65902546384,6.65902546385,6.65902546385,6.65902546336,6.65902546337,6.65902546338,6.65902546338,6.65902546336,6.65902546336,6.65902546336,6.6590254634,6.6590254634,6.65902546346,6.65902546346,6.65902546336,6.659025463426,6.659025463426,6.659025463326,6.659025463426,6.65902546336,6.65902546333,6.65902546333,6.65902546346,6.65902546336,6.65902546336,6.65902546336,6.65902546336,6.65902546296,6.65902546296,6.65902546336,6.65902546336,6.65902546346,6.65902546339,6.65902546349,6.65902546349,6.65902546342,6.65902546342,6.65902546332,6.65902546332,6.65902546302,6.65902546342,6.65902546342,6.65902546345,6.65902546345,6.65902546345,6.65902546336,6.65902546336,6.65902546336,6.65902546335,6.65902546335,6.659025463096,6.659025463096,6.659025463096,6.659025462996,6.659025462996,6.659025463026,6.659025463026,6.659025463026,6.659025463026,6.659025463716,6.659025463458,6.65902546351,6.65902546351,6.659025463446,6.659025463446,6.659025463406,6.659025463406,6.659025463406,6.659025463196,6.659025463256,6.659025463256,6.659025463486,6.659025462986,6.659025462986,6.65902546342,6.65902546342,6.65902546392,6.65902546392,6.65902546351,6.65902546341,6.65902546341
"t6",2.41878371585,2.41878371585,2.41878371585,2.41878371585,0,6.65902546353,6.65902546353,6.65902546353,6.65902546353,6.65902546328,6.65902546328,6.65902546328,6.65902546356,6.65902546356,6.65902546358,6.65902546356,6.65902546356,6.65902546403,6.65902546403,6.65902546399,6.659025464,6.659025464,6.65902546351,6.65902546352,6.65902546353,6.65902546353,6.65902546351,6.65902546351,6.65902546351,6.65902546355,6.65902546355,6.65902546361,6.65902546361,6.65902546351,6.659025463576,6.659025463576,6.659025463476,6.659025463576,6.65902546351,6.65902546348,6.65902546348,6.65902546361,6.65902546351,6.65902546351,6.65902546351,6.65902546351,6.65902546311,6.65902546311,6.65902546351,6.65902546351,6.65902546361,6.65902546354,6.65902546364,6.65902546364,6.65902546357,6.65902546357,6.65902546347,6.65902546347,6.65902546317,6.65902546357,6.65902546357,6.6590254636,6.6590254636,6.6590254636,6.65902546351,6.65902546351,6.65902546351,6.6590254635,6.6590254635,6.659025463246,6.659025463246,6.659025463246,6.659025463146,6.659025463146,6.659025463176,6.659025463176,6.659025463176,6.659025463176,6.659025463866,6.659025463608,6.65902546366,6.65902546366,6.659025463596,6.659025463596,6.659025463556,6.659025463556,6.659025463556,6.659025463346,6.659025463406,6.659025463406,6.659025463636,6.659025463136,6.659025463136,6.65902546357,6.65902546357,6.65902546407,6.65902546407,6.65902546366,6.65902546356,6.65902546356
"t11",6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546353,0,1.8658970364,3.0405070684,3.0405070684,4.35453723875,4.35453723875,4.35453723875,4.35453723903,4.35453723903,4.35453723905,4.35453723903,4.35453723903,4.48275245188,4.48275245188,4.48275245184,4.48275245185,4.48275245185,4.48275245136,4.48275245137,4.48275245138,4.48275245138,4.48275245136,4.48275245136,4.48275245136,4.4827524514,4.4827524514,4.48275245146,4.48275245146,4.48275245136,4.482752451426,4.482752451426,4.482752451326,4.482752451426,4.48275245136,4.48275245133,4.48275245133,4.48275245146,4.48275245136,4.48275245136,4.48275245136,4.48275245136,4.48275245096,4.48275245096,4.48275245136,4.48275245136,4.48275245146,4.48275245139,4.48275245149,4.48275245149,4.48275245142,4.48275245142,4.48275245132,4.48275245132,4.48275245102,4.48275245142,4.48275245142,4.63062518393,5.45803280913,5.45803280913,5.45803280904,5.45803280904,5.45803280904,5.45803280903,5.45803280903,5.458032808776,5.458032808776,5.458032808776,5.458032808676,5.458032808676,5.458032808706,5.458032808706,5.458032808706,5.458032808706,5.458032809396,5.458032809138,5.45803280919,5.45803280919,5.458032809126,5.458032809126,5.458032809086,5.458032809086,5.458032809086,5.458032808876,5.458032808936,5.458032808936,5.458032809166,5.458032808666,5.458032808666,5.4580328091,5.4580328091,5.4580328096,5.4580328096,5.45803280919,5.45803280909,5.45803280909
"t12",6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546353,1.8658970364,0,3.0405070684,3.0405070684,4.35453723875,4.35453723875,4.35453723875,4.35453723903,4.35453723903,4.35453723905,4.35453723903,4.35453723903,4.48275245188,4.48275245188,4.48275245184,4.48275245185,4.48275245185,4.48275245136,4.48275245137,4.48275245138,4.48275245138,4.48275245136,4.48275245136,4.48275245136,4.4827524514,4.4827524514,4.48275245146,4.48275245146,4.48275245136,4.482752451426,4.482752451426,4.482752451326,4.482752451426,4.48275245136,4.48275245133,4.48275245133,4.48275245146,4.48275245136,4.48275245136,4.48275245136,4.48275245136,4.48275245096,4.48275245096,4.48275245136,4.48275245136,4.48275245146,4.48275245139,4.48275245149,4.48275245149,4.48275245142,4.48275245142,4.48275245132,4.48275245132,4.48275245102,4.48275245142,4.48275245142,4.63062518393,5.45803280913,5.45803280913,5.45803280904,5.45803280904,5.45803280904,5.45803280903,5.45803280903,5.458032808776,5.458032808776,5.458032808776,5.458032808676,5.458032808676,5.458032808706,5.458032808706,5.458032808706,5.458032808706,5.458032809396,5.458032809138,5.45803280919,5.45803280919,5.458032809126,5.458032809126,5.458032809086,5.458032809086,5.458032809086,5.458032808876,5.458032808936,5.458032808936,5.458032809166,5.458032808666,5.458032808666,5.4580328091,5.4580328091,5.4580328096,5.4580328096,5.45803280919,5.45803280909,5.45803280909
"t19",6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546353,3.0405070684,3.0405070684,0,1.4824400576,4.35453723875,4.35453723875,4.35453723875,4.35453723903,4.35453723903,4.35453723905,4.35453723903,4.35453723903,4.48275245188,4.48275245188,4.48275245184,4.48275245185,4.48275245185,4.48275245136,4.48275245137,4.48275245138,4.48275245138,4.48275245136,4.48275245136,4.48275245136,4.4827524514,4.4827524514,4.48275245146,4.48275245146,4.48275245136,4.482752451426,4.482752451426,4.482752451326,4.482752451426,4.48275245136,4.48275245133,4.48275245133,4.48275245146,4.48275245136,4.48275245136,4.48275245136,4.48275245136,4.48275245096,4.48275245096,4.48275245136,4.48275245136,4.48275245146,4.48275245139,4.48275245149,4.48275245149,4.48275245142,4.48275245142,4.48275245132,4.48275245132,4.48275245102,4.48275245142,4.48275245142,4.63062518393,5.45803280913,5.45803280913,5.45803280904,5.45803280904,5.45803280904,5.45803280903,5.45803280903,5.458032808776,5.458032808776,5.458032808776,5.458032808676,5.458032808676,5.458032808706,5.458032808706,5.458032808706,5.458032808706,5.458032809396,5.458032809138,5.45803280919,5.45803280919,5.458032809126,5.458032809126,5.458032809086,5.458032809086,5.458032809086,5.458032808876,5.458032808936,5.458032808936,5.458032809166,5.458032808666,5.458032808666,5.4580328091,5.4580328091,5.4580328096,5.4580328096,5.45803280919,5.45803280909,5.45803280909
"t20",6.65902546338,6.65902546338,6.65902546338,6.65902546338,6.65902546353,3.0405070684,3.0405070684,1.4824400576,0,4.35453723875,4.35453723875,4.35453723875,4.35453723903,4.35453723903,4.35453723905,4.35453723903,4.35453723903,4.48275245188,4.48275245188,4.48275245184,4.48275245185,4.48275245185,4.48275245136,4.48275245137,4.48275245138,4.48275245138,4.48275245136,4.48275245136,4.48275245136,4.4827524514,4.4827524514,4.48275245146,4.48275245146,4.48275245136,4.482752451426,4.482752451426,4.482752451326,4.482752451426,4.48275245136,4.48275245133,4.48275245133,4.48275245146,4.48275245136,4.48275245136,4.48275245136,4.48275245136,4.48275245096,4.48275245096,4.48275245136,4.48275245136,4.48275245146,4.48275245139,4.48275245149,4.48275245149,4.48275245142,4.48275245142,4.48275245132,4.48275245132,4.48275245102,4.48275245142,4.48275245142,4.63062518393,5.45803280913,5.45803280913,5.45803280904,5.45803280904,5.45803280904,5.45803280903,5.45803280903,5.458032808776,5.458032808776,5.458032808776,5.458032808676,5.458032808676,5.458032808706,5.458032808706,5.458032808706,5.458032808706,5.458032809396,5.458032809138,5.45803280919,5.45803280919,5.458032809126,5.458032809126,5.458032809086,5.458032809086,5.458032809086,5.458032808876,5.458032808936,5.458032808936,5.458032809166,5.458032808666,5.458032808666,5.4580328091,5.4580328091,5.4580328096,5.4580328096,5.45803280919,5.45803280909,5.45803280909
"t48",6.65902546313,6.65902546313,6.65902546313,6.65902546313,6.65902546328,4.35453723875,4.35453723875,4.35453723875,4.35453723875,0,0.7485513654,0.7485513654,4.30444772168,4.30444772168,4.3044477217,4.30444772168,4.30444772168,4.48275245163,4.48275245163,4.48275245159,4.4827524516,4.4827524516,4.48275245111,4.48275245112,4.48275245113,4.48275245113,4.48275245111,4.48275245111,4.48275245111,4.48275245115,4.48275245115,4.48275245121,4.48275245121,4.48275245111,4.482752451176,4.482752451176,4.482752451076,4.482752451176,4.48275245111,4.48275245108,4.48275245108,4.48275245121,4.48275245111,4.48275245111,4.48275245111,4.48275245111,4.48275245071,4.48275245071,4.48275245111,4.48275245111,4.48275245121,4.48275245114,4.48275245124,4.48275245124,4.48275245117,4.48275245117,4.48275245107,4.48275245107,4.48275245077,4.48275245117,4.48275245117,4.63062518368,5.45803280888,5.45803280888,5.45803280879,5.45803280879,5.45803280879,5.45803280878,5.45803280878,5.458032808526,5.458032808526,5.458032808526,5.458032808426,5.458032808426,5.458032808456,5.458032808456,5.458032808456,5.458032808456,5.458032809146,5.458032808888,5.45803280894,5.45803280894,5.458032808876,5.458032808876,5.458032808836,5.458032808836,5.458032808836,5.458032808626,5.458032808686,5.458032808686,5.458032808916,5.458032808416,5.458032808416,5.45803280885,5.45803280885,5.45803280935,5.45803280935,5.45803280894,5.45803280884,5.45803280884
