"","t10","t11","t66","t67","t70","t71","t49","t12","t2","t21","t77","t81","t82","t58","t13","t48","t87","t88","t63","t36","t37","t79","t80","t27","t8","t68","t69","t51","t83","t84","t40","t59","t60","t46","t47","t3","t4","t5","t91","t92","t61","t62","t14","t15","t78","t89","t90","t35","t20","t18","t19","t41","t42","t17","t26","t56","t57","t28","t31","t32","t9","t23","t24","t95","t96","t38","t39","t6","t93","t94","t74","t52","t22","t54","t55","t53","t64","t65","t1","t45","t85","t86","t33","t34","t16","t7","t43","t44","t29","t30","t50","t72","t73","t25","t99","t100","t75","t76","t97","t98"
"t10",0,1.7700615748,2.561700871518,2.561700871518,2.561700871518,2.561700871518,2.561700871518,2.5617008715,4.8370598878,4.8370598877,4.83705988773,4.83705988775,4.83705988775,4.8370598877,4.83705988774,4.83705988774,4.83705988765,4.83705988765,4.83705988764,5.05553268067,5.05553268067,5.0555326806,5.0555326806,5.0555326806,5.0555326809,5.05553268067,5.05553268067,5.05553268057,5.05553268013,5.05553268013,5.05553268087,5.0555326808,5.0555326808,5.055532680787,5.055532680787,5.05553268097,5.05553268097,5.18496677413,5.18496677369,5.18496677369,5.18496677373,5.18496677373,5.18496677373,5.18496677373,5.184966773558,5.184966773518,5.184966773518,5.184966773558,5.184966773558,5.184966773758,5.184966773758,5.184966773758,5.184966773758,5.184966773758,5.184966774058,5.184966774158,5.184966774158,5.31217930015,5.31217930014,5.31217930014,5.31217930065,5.31217930055,5.31217930055,5.31217930057,5.31217930057,5.31217930045,5.31217930045,6.15866011375,6.15866011345,6.15866011345,6.15866011345,6.15866011345,6.15866011345,6.15866011355,6.15866011355,6.15866011385,6.15866011383,6.15866011383,6.79467012615,8.75167204165,8.75167204165,8.75167204165,8.75167204155,8.75167204155,8.75167204155,8.75167204185,8.75167204155,8.75167204155,8.75167204165,8.75167204165,8.75167204145,8.75167204145,8.75167204145,8.75167204145,8.751672041476,8.751672041476,8.75167204146,8.75167204146,8.75167204146,8.75167204146
"t11",1.7700615748,0,2.561700871518,2.561700871518,2.561700871518,2.561700871518,2.561700871518,2.5617008715,4.8370598878,4.8370598877,4.83705988773,4.83705988775,4.83705988775,4.8370598877,4.83705988774,4.83705988774,4.83705988765,4.83705988765,4.83705988764,5.05553268067,5.05553268067,5.0555326806,5.0555326806,5.0555326806,5.0555326809,5.05553268067,5.05553268067,5.05553268057,5.05553268013,5.05553268013,5.05553268087,5.0555326808,5.0555326808,5.055532680787,5.055532680787,5.05553268097,5.05553268097,5.18496677413,5.18496677369,5.18496677369,5.18496677373,5.18496677373,5.18496677373,5.18496677373,5.184966773558,5.184966773518,5.184966773518,5.184966773558,5.184966773558,5.184966773758,5.184966773758,5.184966773758,5.184966773758,5.184966773758,5.184966774058,5.184966774158,5.184966774158,5.31217930015,5.31217930014,5.31217930014,5.31217930065,5.31217930055,5.31217930055,5.31217930057,5.31217930057,5.31217930045,5.31217930045,6.15866011375,6.15866011345,6.15866011345,6.15866011345,6.15866011345,6.15866011345,6.15866011355,6.15866011355,6.15866011385,6.15866011383,6.15866011383,6.79467012615,8.75167204165,8.75167204165,8.75167204165,8.75167204155,8.75167204155,8.75167204155,8.75167204185,8.75167204155,8.75167204155,8.75167204165,8.75167204165,8.75167204145,8.75167204145,8.75167204145,8.75167204145,8.751672041476,8.751672041476,8.75167204146,8.75167204146,8.75167204146,8.75167204146
"t66",2.561700871518,2.561700871518,0,0.2956221004,1.6528514698,1.6528514698,1.6528514698,1.658384103418,4.837059887718,4.837059887618,4.837059887648,4.837059887668,4.837059887668,4.837059887618,4.837059887658,4.837059887658,4.837059887568,4.837059887568,4.837059887558,5.055532680588,5.055532680588,5.055532680518,5.055532680518,5.055532680518,5.055532680818,5.055532680588,5.055532680588,5.055532680488,5.055532680048,5.055532680048,5.055532680788,5.055532680718,5.055532680718,5.055532680705,5.055532680705,5.055532680888,5.055532680888,5.184966774048,5.184966773608,5.184966773608,5.184966773648,5.184966773648,5.184966773648,5.184966773648,5.184966773476,5.184966773436,5.184966773436,5.184966773476,5.184966773476,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773976,5.184966774076,5.184966774076,5.312179300068,5.312179300058,5.312179300058,5.312179300568,5.312179300468,5.312179300468,5.312179300488,5.312179300488,5.312179300368,5.312179300368,6.158660113668,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113468,6.158660113468,6.158660113768,6.158660113748,6.158660113748,6.794670126068,8.751672041568,8.751672041568,8.751672041568,8.751672041468,8.751672041468,8.751672041468,8.751672041768,8.751672041468,8.751672041468,8.751672041568,8.751672041568,8.751672041368,8.751672041368,8.751672041368,8.751672041368,8.751672041394,8.751672041394,8.751672041378,8.751672041378,8.751672041378,8.751672041378
"t67",2.561700871518,2.561700871518,0.2956221004,0,1.6528514698,1.6528514698,1.6528514698,1.658384103418,4.837059887718,4.837059887618,4.837059887648,4.837059887668,4.837059887668,4.837059887618,4.837059887658,4.837059887658,4.837059887568,4.837059887568,4.837059887558,5.055532680588,5.055532680588,5.055532680518,5.055532680518,5.055532680518,5.055532680818,5.055532680588,5.055532680588,5.055532680488,5.055532680048,5.055532680048,5.055532680788,5.055532680718,5.055532680718,5.055532680705,5.055532680705,5.055532680888,5.055532680888,5.184966774048,5.184966773608,5.184966773608,5.184966773648,5.184966773648,5.184966773648,5.184966773648,5.184966773476,5.184966773436,5.184966773436,5.184966773476,5.184966773476,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773976,5.184966774076,5.184966774076,5.312179300068,5.312179300058,5.312179300058,5.312179300568,5.312179300468,5.312179300468,5.312179300488,5.312179300488,5.312179300368,5.312179300368,6.158660113668,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113468,6.158660113468,6.158660113768,6.158660113748,6.158660113748,6.794670126068,8.751672041568,8.751672041568,8.751672041568,8.751672041468,8.751672041468,8.751672041468,8.751672041768,8.751672041468,8.751672041468,8.751672041568,8.751672041568,8.751672041368,8.751672041368,8.751672041368,8.751672041368,8.751672041394,8.751672041394,8.751672041378,8.751672041378,8.751672041378,8.751672041378
"t70",2.561700871518,2.561700871518,1.6528514698,1.6528514698,0,0.2456878264,0.6616200518,1.658384103418,4.837059887718,4.837059887618,4.837059887648,4.837059887668,4.837059887668,4.837059887618,4.837059887658,4.837059887658,4.837059887568,4.837059887568,4.837059887558,5.055532680588,5.055532680588,5.055532680518,5.055532680518,5.055532680518,5.055532680818,5.055532680588,5.055532680588,5.055532680488,5.055532680048,5.055532680048,5.055532680788,5.055532680718,5.055532680718,5.055532680705,5.055532680705,5.055532680888,5.055532680888,5.184966774048,5.184966773608,5.184966773608,5.184966773648,5.184966773648,5.184966773648,5.184966773648,5.184966773476,5.184966773436,5.184966773436,5.184966773476,5.184966773476,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773976,5.184966774076,5.184966774076,5.312179300068,5.312179300058,5.312179300058,5.312179300568,5.312179300468,5.312179300468,5.312179300488,5.312179300488,5.312179300368,5.312179300368,6.158660113668,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113468,6.158660113468,6.158660113768,6.158660113748,6.158660113748,6.794670126068,8.751672041568,8.751672041568,8.751672041568,8.751672041468,8.751672041468,8.751672041468,8.751672041768,8.751672041468,8.751672041468,8.751672041568,8.751672041568,8.751672041368,8.751672041368,8.751672041368,8.751672041368,8.751672041394,8.751672041394,8.751672041378,8.751672041378,8.751672041378,8.751672041378
"t71",2.561700871518,2.561700871518,1.6528514698,1.6528514698,0.2456878264,0,0.6616200518,1.658384103418,4.837059887718,4.837059887618,4.837059887648,4.837059887668,4.837059887668,4.837059887618,4.837059887658,4.837059887658,4.837059887568,4.837059887568,4.837059887558,5.055532680588,5.055532680588,5.055532680518,5.055532680518,5.055532680518,5.055532680818,5.055532680588,5.055532680588,5.055532680488,5.055532680048,5.055532680048,5.055532680788,5.055532680718,5.055532680718,5.055532680705,5.055532680705,5.055532680888,5.055532680888,5.184966774048,5.184966773608,5.184966773608,5.184966773648,5.184966773648,5.184966773648,5.184966773648,5.184966773476,5.184966773436,5.184966773436,5.184966773476,5.184966773476,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773976,5.184966774076,5.184966774076,5.312179300068,5.312179300058,5.312179300058,5.312179300568,5.312179300468,5.312179300468,5.312179300488,5.312179300488,5.312179300368,5.312179300368,6.158660113668,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113468,6.158660113468,6.158660113768,6.158660113748,6.158660113748,6.794670126068,8.751672041568,8.751672041568,8.751672041568,8.751672041468,8.751672041468,8.751672041468,8.751672041768,8.751672041468,8.751672041468,8.751672041568,8.751672041568,8.751672041368,8.751672041368,8.751672041368,8.751672041368,8.751672041394,8.751672041394,8.751672041378,8.751672041378,8.751672041378,8.751672041378
"t49",2.561700871518,2.561700871518,1.6528514698,1.6528514698,0.6616200518,0.6616200518,0,1.658384103418,4.837059887718,4.837059887618,4.837059887648,4.837059887668,4.837059887668,4.837059887618,4.837059887658,4.837059887658,4.837059887568,4.837059887568,4.837059887558,5.055532680588,5.055532680588,5.055532680518,5.055532680518,5.055532680518,5.055532680818,5.055532680588,5.055532680588,5.055532680488,5.055532680048,5.055532680048,5.055532680788,5.055532680718,5.055532680718,5.055532680705,5.055532680705,5.055532680888,5.055532680888,5.184966774048,5.184966773608,5.184966773608,5.184966773648,5.184966773648,5.184966773648,5.184966773648,5.184966773476,5.184966773436,5.184966773436,5.184966773476,5.184966773476,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773676,5.184966773976,5.184966774076,5.184966774076,5.312179300068,5.312179300058,5.312179300058,5.312179300568,5.312179300468,5.312179300468,5.312179300488,5.312179300488,5.312179300368,5.312179300368,6.158660113668,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113368,6.158660113468,6.158660113468,6.158660113768,6.158660113748,6.158660113748,6.794670126068,8.751672041568,8.751672041568,8.751672041568,8.751672041468,8.751672041468,8.751672041468,8.751672041768,8.751672041468,8.751672041468,8.751672041568,8.751672041568,8.751672041368,8.751672041368,8.751672041368,8.751672041368,8.751672041394,8.751672041394,8.751672041378,8.751672041378,8.751672041378,8.751672041378
"t12",2.5617008715,2.5617008715,1.658384103418,1.658384103418,1.658384103418,1.658384103418,1.658384103418,0,4.8370598877,4.8370598876,4.83705988763,4.83705988765,4.83705988765,4.8370598876,4.83705988764,4.83705988764,4.83705988755,4.83705988755,4.83705988754,5.05553268057,5.05553268057,5.0555326805,5.0555326805,5.0555326805,5.0555326808,5.05553268057,5.05553268057,5.05553268047,5.05553268003,5.05553268003,5.05553268077,5.0555326807,5.0555326807,5.055532680687,5.055532680687,5.05553268087,5.05553268087,5.18496677403,5.18496677359,5.18496677359,5.18496677363,5.18496677363,5.18496677363,5.18496677363,5.184966773458,5.184966773418,5.184966773418,5.184966773458,5.184966773458,5.184966773658,5.184966773658,5.184966773658,5.184966773658,5.184966773658,5.184966773958,5.184966774058,5.184966774058,5.31217930005,5.31217930004,5.31217930004,5.31217930055,5.31217930045,5.31217930045,5.31217930047,5.31217930047,5.31217930035,5.31217930035,6.15866011365,6.15866011335,6.15866011335,6.15866011335,6.15866011335,6.15866011335,6.15866011345,6.15866011345,6.15866011375,6.15866011373,6.15866011373,6.79467012605,8.75167204155,8.75167204155,8.75167204155,8.75167204145,8.75167204145,8.75167204145,8.75167204175,8.75167204145,8.75167204145,8.75167204155,8.75167204155,8.75167204135,8.75167204135,8.75167204135,8.75167204135,8.751672041376,8.751672041376,8.75167204136,8.75167204136,8.75167204136,8.75167204136
"t2",4.8370598878,4.8370598878,4.837059887718,4.837059887718,4.837059887718,4.837059887718,4.837059887718,4.8370598877,0,4.1343612839,4.13436128393,4.13436128395,4.13436128395,4.1343612839,4.13436128394,4.13436128394,4.13436128385,4.13436128385,4.13436128384,5.05553268087,5.05553268087,5.0555326808,5.0555326808,5.0555326808,5.0555326811,5.05553268087,5.05553268087,5.05553268077,5.05553268033,5.05553268033,5.05553268107,5.055532681,5.055532681,5.055532680987,5.055532680987,5.05553268117,5.05553268117,5.18496677433,5.18496677389,5.18496677389,5.18496677393,5.18496677393,5.18496677393,5.18496677393,5.184966773758,5.184966773718,5.184966773718,5.184966773758,5.184966773758,5.184966773958,5.184966773958,5.184966773958,5.184966773958,5.184966773958,5.184966774258,5.184966774358,5.184966774358,5.31217930035,5.31217930034,5.31217930034,5.31217930085,5.31217930075,5.31217930075,5.31217930077,5.31217930077,5.31217930065,5.31217930065,6.15866011395,6.15866011365,6.15866011365,6.15866011365,6.15866011365,6.15866011365,6.15866011375,6.15866011375,6.15866011405,6.15866011403,6.15866011403,6.79467012635,8.75167204185,8.75167204185,8.75167204185,8.75167204175,8.75167204175,8.75167204175,8.75167204205,8.75167204175,8.75167204175,8.75167204185,8.75167204185,8.75167204165,8.75167204165,8.75167204165,8.75167204165,8.751672041676,8.751672041676,8.75167204166,8.75167204166,8.75167204166,8.75167204166
"t21",4.8370598877,4.8370598877,4.837059887618,4.837059887618,4.837059887618,4.837059887618,4.837059887618,4.8370598876,4.1343612839,0,1.18844361983,1.18844361985,1.18844361985,1.1884436198,1.72931417184,1.72931417184,1.72931417175,1.72931417175,1.72931417174,5.05553268077,5.05553268077,5.0555326807,5.0555326807,5.0555326807,5.055532681,5.05553268077,5.05553268077,5.05553268067,5.05553268023,5.05553268023,5.05553268097,5.0555326809,5.0555326809,5.055532680887,5.055532680887,5.05553268107,5.05553268107,5.18496677423,5.18496677379,5.18496677379,5.18496677383,5.18496677383,5.18496677383,5.18496677383,5.184966773658,5.184966773618,5.184966773618,5.184966773658,5.184966773658,5.184966773858,5.184966773858,5.184966773858,5.184966773858,5.184966773858,5.184966774158,5.184966774258,5.184966774258,5.31217930025,5.31217930024,5.31217930024,5.31217930075,5.31217930065,5.31217930065,5.31217930067,5.31217930067,5.31217930055,5.31217930055,6.15866011385,6.15866011355,6.15866011355,6.15866011355,6.15866011355,6.15866011355,6.15866011365,6.15866011365,6.15866011395,6.15866011393,6.15866011393,6.79467012625,8.75167204175,8.75167204175,8.75167204175,8.75167204165,8.75167204165,8.75167204165,8.75167204195,8.75167204165,8.75167204165,8.75167204175,8.75167204175,8.75167204155,8.75167204155,8.75167204155,8.75167204155,8.751672041576,8.751672041576,8.75167204156,8.75167204156,8.75167204156,8.75167204156
