"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99"
"t1",-0.0287102098513431,-0.0214794946315632,-0.0285403648363303,-0.0672504012512791,0.116641820497832,-0.013288257672441,0.0522735756283356,0.0150657516400026,-0.0124253913201866,0.0097933304675092,-0.000164768227031142,-0.0840750213052979,0.838010174620449,0.50252329428893,-0.0146141847755664,0.00433267397524416,-0.00894430083991492,0.00307484926451732,0.0446558029408766,0.00590203212858435,0.04497227877143,-0.000302923305018339,-0.000596305196873704,0.00671361175036649,-0.00364633466089413,-0.00541424939873441,7.19027148496769e-05,0.000108279865773553,3.21771246593266e-05,0.00336883359910286,-1.42310848260339e-16,-0.00216589947114291,-0.00310140689785565,0.00345914809375635,9.83974011154148e-17,-8.30409932789016e-05,-0.000581899044096737,-4.92115091132781e-06,0.000112242273705468,0.00208942156438407,1.55432631277717e-05,0.00101540967151354,-0.00446235547024504,-0.000178775085101288,-9.21675731077671e-05,6.76713613939178e-05,-7.85636537054514e-05,-0.00053433493620516,-0.000332478018023048,7.02852544393971e-05,-0.000237493277161465,0.000732216568416603,-7.56126730608101e-05,-0.000136672755369926,2.96861011357167e-16,0.000242851772722594,-0.000204435549140732,1.07592148015492e-16,0.000279024254273485,3.63624584482805e-17,-0.000323951620382119,6.59384583601355e-17,5.83575308801129e-05,-0.000112406311240996,0.000166766932360656,4.2276213700567e-05,-1.76554823527915e-16,-2.7387553906926e-05,-3.98359342452883e-05,-2.72676705286405e-16,-6.82750438223687e-16,7.97194457816434e-05,1.12078100406889e-16,-6.95815673872917e-16,-4.43085070075716e-16,-9.34457354041856e-05,-2.03882630919047e-16,-5.78688324279807e-06,-1.24919546844406e-08,3.17069579366199e-16,-9.66572343400028e-17,-2.23302670983317e-16,-1.37772777983254e-15,-2.14791950006665e-16,1.12262938781177e-15,-4.77728881602293e-17,-4.54585705447272e-16,4.92196339428469e-05,-5.26611620610927e-17,1.73165220869063e-15,1.63396946914455e-15,-1.52864584818718e-15,1.096382291285e-15,-6.3151469330676e-16,-2.68254660001204e-15,-6.9981739207279e-15,1.38302281352892e-14,-3.53392915241488e-14,7.50740022819488e-14
"t53",0.076751765711852,0.0520676230780681,-0.220739576866714,0.0682536028202021,-0.0138967079781535,0.025382401470641,0.00221938635554635,-0.0150920006374286,1.56582425858403e-05,-0.000984433738982467,2.84650021943363e-05,0.0256816869988055,-0.000145744789771599,-0.000423387722313692,0.336211809034883,0.00256195618897665,-0.0251329391891336,0.322875102733219,-0.00215425074174951,0.0020788237247266,0.00043813384764646,-0.000245445120214066,-0.000446382724059471,0.000905502192580566,-0.00372868672473478,-0.000122210396726444,1.70368841015151e-06,2.86246004176999e-06,3.69459055075161e-05,9.98790133189794e-05,-2.51537199040012e-17,-7.73146346421914e-05,-0.0545243281218824,9.40874859916051e-05,-2.9415855854045e-16,-8.59335490381921e-07,-0.000236801210093985,-6.25438567319276e-08,6.09078373151166e-05,0.000226934617990493,2.58155464363012e-07,0.0130929083974685,4.43141274590287e-05,-1.66960251082599e-06,-3.53600760663408e-05,2.54556874945629e-05,-2.72905654132306e-05,-0.00275022158487421,6.53991926765013e-06,3.01687372672395e-07,-7.21973346727947e-07,-2.11283097199819e-05,1.68360189213279e-05,5.29099016365625e-06,4.44555902030007e-15,-0.000321534508600881,1.26393996132824e-05,-9.84702327528073e-15,-2.08892024771643e-05,1.9078922038251e-14,0.839722914694763,-5.50349560188288e-14,7.04393931316042e-06,-0.00683033256811522,0.000547715860030565,3.81168736449869e-06,-1.25775207137468e-14,-7.21571397326859e-05,-3.03056341376042e-06,9.17537021723745e-17,7.79683658638041e-15,0.000162511366388037,1.19955938858302e-15,1.00617314065082e-15,5.82257986182727e-17,-3.38455683405713e-05,-7.71261362183953e-17,-0.000160132328948096,-4.36276715943343e-09,-1.86162355232178e-14,-3.00004887348103e-15,1.00562558439378e-16,-3.94955808116359e-15,-1.11478528111936e-15,-1.68097050754743e-15,-5.63039243216398e-16,1.54531078584224e-15,1.65387915192066e-05,1.51318559073395e-15,-6.71244004061243e-16,1.56600293022977e-15,-3.47762073861185e-15,2.86673161949494e-16,-7.41101290683491e-16,-5.24929391016171e-15,-7.73178017764047e-15,1.2924792513663e-14,-3.6069869327796e-14,7.58191666056786e-14
"t92",0.0770505352028606,0.052580232118219,-0.22502865720639,0.0696238111937347,-0.0142977889995917,0.0261733204518088,0.00228896417052152,-0.0157915491193256,1.63919196686151e-05,-0.00103081660069774,2.9912068216145e-05,0.0271369387916543,-0.000156115909676613,-0.000455202726283707,0.367178495398019,0.00280458941432124,-0.0283189159369459,0.365959480461931,-0.00244844862417561,0.00239454391918764,0.000507540576319225,-0.000288844585562169,-0.000526936425432145,0.00107037953126987,-0.00460501368761658,-0.000152976530354705,2.14575821547255e-06,3.68092550088039e-06,4.7901593260412e-05,0.000131721212387186,7.430334747128e-16,-0.000105477643109484,-0.0803762689246693,0.000150313009468598,5.59336475465988e-16,-1.43580158701584e-06,-0.000398252987765859,-1.080716060658e-07,0.000110288563990305,0.000413352386330781,4.75007340643078e-07,0.025641463939542,8.82334178971054e-05,-3.6516923324541e-06,-8.43599718920468e-05,7.33175486909806e-05,-9.54453431206228e-05,-0.0136814702177541,3.39735238264588e-05,1.80853075822867e-06,-8.23381852673533e-06,0.000194915677674801,-2.82358729358164e-05,-8.41568582093797e-06,-9.12856833420871e-16,0.000495167830149019,-1.47070604062814e-05,6.48573967832951e-15,2.18088899401176e-05,-9.0806823135675e-15,-0.383451015643513,2.46557092511603e-14,-3.88296869804517e-07,0.000148056292063472,-1.81828561775246e-06,2.94828091885151e-07,5.29644005029704e-15,-9.49049689288186e-06,-5.8117513800555e-07,9.10866620859505e-16,-1.99528762952229e-15,5.24684056523619e-05,5.35492083627088e-16,-3.84046370491808e-15,1.43544025981236e-15,-1.42009666823763e-05,2.33143844801492e-15,-7.04702477777194e-05,-2.01911547842707e-09,-3.7408605927748e-14,3.78947919165437e-15,2.62325573777364e-15,-2.4487316031266e-15,-6.53528982457886e-14,-4.17251469678477e-14,-4.36623781392069e-14,0.707106781186547,8.50614592362607e-06,4.90765726508856e-15,6.54622709644598e-15,3.00511141260662e-15,9.15163424920339e-15,4.71285740136972e-15,3.28228873049465e-15,-5.92080402271463e-15,-7.89727695498896e-15,1.45859944893809e-15,-3.60664467081385e-14,7.67568492509574e-14
"t93",0.0770505352028602,0.0525802321182188,-0.22502865720639,0.0696238111937343,-0.0142977889995914,0.0261733204518087,0.00228896417052193,-0.0157915491193261,1.63919196683665e-05,-0.00103081660069754,2.99120682167594e-05,0.0271369387916543,-0.000156115909676791,-0.000455202726283709,0.367178495398019,0.00280458941432136,-0.0283189159369468,0.365959480461931,-0.00244844862417578,0.0023945439191876,0.000507540576318224,-0.000288844585561908,-0.000526936425432021,0.00107037953126967,-0.00460501368761736,-0.000152976530352963,2.14575821509563e-06,3.68092550124998e-06,4.79015932602754e-05,0.00013172121238667,2.95779095037386e-16,-0.000105477643106629,-0.0803762689246714,0.000150313009468336,-5.23913738438752e-16,-1.43580158780264e-06,-0.000398252987765683,-1.08071606568638e-07,0.000110288563989481,0.000413352386328564,4.75007338770464e-07,0.0256414639395372,8.82334178965808e-05,-3.65169233336921e-06,-8.43599718878489e-05,7.33175486910079e-05,-9.54453431224397e-05,-0.0136814702177561,3.39735238269151e-05,1.80853075930615e-06,-8.23381852935534e-06,0.000194915677677419,-2.82358729375099e-05,-8.41568581278748e-06,-2.48418802600677e-15,0.00049516783014937,-1.47070604085854e-05,2.92806652628371e-15,2.18088899438979e-05,-8.07783262158248e-15,-0.38345101564351,2.6061438303998e-14,-3.88296870224874e-07,0.000148056292047658,-1.818285617621e-06,2.94828089120023e-07,5.83015302473917e-15,-9.49049690113453e-06,-5.81175143444614e-07,-1.5094474371079e-15,-5.98488232845159e-15,5.24684056614441e-05,-1.76443623382753e-15,1.41755645813867e-15,-2.41105984739385e-15,-1.42009666707682e-05,-2.81593174903833e-15,-7.04702477481809e-05,-2.01914684109805e-09,5.48850688140315e-14,-1.66828257580945e-15,-3.27154785553969e-15,2.16533111509652e-15,6.5824822452983e-14,4.56226054070997e-14,4.35873931261538e-14,-0.707106781186548,8.50614598936347e-06,-6.51009896351293e-15,-1.06252551421712e-15,3.31219884781125e-16,-1.03863880247497e-14,-1.8707179644847e-15,-4.36297569083269e-15,2.99618533511954e-15,-5.35679509966487e-15,2.5808475696542e-14,-3.38229930546321e-14,7.28457606744018e-14
"t24",0.0759156776578414,0.0505966580918274,-0.207898873915556,0.0641393433505544,-0.0126412784822592,0.0228784926278321,0.00199890677707895,-0.0126906314080865,1.3132436643837e-05,-0.000824513154059045,2.33653961092306e-05,0.0203644986311329,-0.000103766969288176,-0.000290411024260319,0.183452858866062,0.00132730372760446,0.00771745717233798,-0.317868330697514,0.00355949042416533,0.0081843747340782,0.00102900329084813,-0.000331063922178686,-0.000565045421294847,0.0011165900306618,-0.00249187112964633,-6.71566102522951e-05,8.45748879734485e-07,9.05825845740691e-07,8.99108164891686e-06,8.50326071327777e-06,-2.40597078026188e-16,2.07332057715918e-05,0.0763540825188155,-0.000330892024564706,-6.84696413811315e-15,4.79711006758055e-06,0.00141518520718254,4.99169901703674e-07,-0.000850051678453664,-0.00342938326000161,-4.50465031426737e-06,-0.888712238103148,-0.00721797865538183,-5.81199955723747e-05,-0.000749280484661446,0.000395160497608578,-0.000407946960718586,-0.0473755888606971,0.000115661235655755,5.86848413769614e-06,-2.35843559956467e-05,0.000445207935254329,-4.28548993273115e-05,-1.24489248183626e-05,-9.37821330888856e-16,0.000720564105710835,-1.80242532021486e-05,7.6873850916118e-16,2.45428376421939e-05,-1.03163114785714e-15,-0.0160131527990686,-5.77562315576419e-16,4.62244616748214e-06,-0.00482320139042368,0.000401491112358457,3.22695331369597e-06,2.19676095322281e-16,-6.62644141616691e-05,-3.01046369473505e-06,5.32047311738373e-16,-1.03619434662387e-15,0.000184741247806668,-1.24642674981571e-15,-1.00678924155378e-15,-2.9107354592342e-17,-4.13562446316454e-05,-1.13827652554571e-15,-0.000198134341162578,-5.46754194722268e-09,-1.29394576208083e-15,-2.94722007862783e-16,-6.09151182738078e-17,-1.57761975060426e-15,-2.13637161037983e-16,-1.50867676035062e-16,8.12148227244289e-16,2.75686861279315e-15,2.12421493048923e-05,-3.2244974240926e-16,1.07240256060656e-15,1.41577894803173e-15,-2.04162510932433e-15,8.58537258436537e-16,-8.06863077448776e-16,-2.67041210595865e-16,-6.45760890963909e-15,1.39628446977226e-14,-3.47391823976556e-14,7.38156558721976e-14
"t111",0.0767082087924598,0.0519573807798385,-0.21927392023468,0.0677726680281831,-0.0137007923214813,0.0249646456690396,0.00218240236840031,-0.0145040898195141,1.5032775897708e-05,-0.000944599056952854,2.70860269758875e-05,0.0240560328072305,-0.000128709722152791,-0.000365277637873532,0.24554795007013,0.00179435954438218,0.0119248265689364,-0.506471457026599,0.00575582861081184,0.0142822935080499,0.001859118277948,-0.000664910351281271,-0.00116068953882147,0.00231726499116009,-0.00787161265786525,-0.000255513333330407,3.55748731028709e-06,6.01326570168603e-06,7.80620767105355e-05,0.000214550753402381,-1.85901676583892e-16,-0.00017407785046066,-0.144028190088041,0.000316819941689386,2.03048650929878e-15,-3.47663495157319e-06,-0.000988104159707011,-3.00878811250357e-07,0.000405805645200043,0.00159211413851182,1.99480704339158e-06,0.298483715215968,0.00225994601798308,1.23766973370905e-05,0.000111979502337946,-2.45135156930716e-05,3.62880863963631e-06,-0.00214134511778646,5.75056519715131e-06,3.67087405494123e-07,-2.26044988709238e-06,6.76477951322527e-05,-9.45835875709841e-06,-2.78302633062358e-06,-6.23636647580555e-17,0.000162342595866297,-4.33494331121798e-06,3.73453417840478e-16,6.04600843850589e-06,2.18594714574497e-16,-0.00458584369201032,-8.92650474422917e-16,1.5405655711885e-06,-0.00163238000779403,0.000137063974712583,1.14668992472679e-06,6.8927045333056e-16,-2.42380564564119e-05,-1.13958777728828e-06,-9.69627942078371e-16,-6.60726359034876e-16,7.60378296256268e-05,2.85599390969041e-15,5.1022867197187e-16,-2.14007830982698e-16,-1.82825522905959e-05,-1.60928871095998e-15,-8.90384549990126e-05,-2.50357247401508e-09,4.03664283496383e-16,7.36170334181148e-16,-9.14179506781036e-16,2.4964864832261e-15,1.6711504987239e-15,4.48333993639815e-15,-5.32964954857146e-16,1.09047202607691e-14,1.01736572424439e-05,-1.82878705967074e-15,2.62218120290065e-15,2.83467375458275e-15,-1.17861032330174e-15,-5.08740439776576e-15,8.34708857237724e-15,3.13126274293006e-14,3.23567587474229e-13,0.707106781186562,-4.7407148455549e-14,5.66500605286554e-14
"t112",0.0767082087924598,0.0519573807798385,-0.21927392023468,0.0677726680281829,-0.0137007923214818,0.0249646456690395,0.00218240236840015,-0.0145040898195143,1.50327758978662e-05,-0.000944599056952967,2.70860269758409e-05,0.0240560328072307,-0.000128709722152986,-0.000365277637872993,0.245547950070129,0.00179435954438199,0.0119248265689366,-0.5064714570266,0.00575582861081208,0.0142822935080503,0.00185911827794744,-0.000664910351281207,-0.00116068953882143,0.00231726499116023,-0.0078716126578658,-0.00025551333333074,3.55748731059654e-06,6.01326570165541e-06,7.80620767101205e-05,0.000214550753401732,-5.78389680993321e-16,-0.000174077850459939,-0.144028190088042,0.000316819941689863,2.96621933634824e-15,-3.47663495191463e-06,-0.000988104159707554,-3.00878811378264e-07,0.000405805645200731,0.0015921141385128,1.99480704371426e-06,0.298483715215968,0.00225994601798244,1.23766973384077e-05,0.000111979502337468,-2.45135156920597e-05,3.62880863986938e-06,-0.00214134511778777,5.75056519905654e-06,3.67087405049695e-07,-2.26044988760662e-06,6.76477951316634e-05,-9.45835875644605e-06,-2.78302632925163e-06,4.09840102278972e-16,0.000162342595866103,-4.3349433115572e-06,1.73491490242383e-16,6.04600843773023e-06,9.23226541162723e-17,-0.0045858436920114,2.78020280982531e-15,1.54056557321382e-06,-0.00163238000779771,0.000137063974715388,1.1466899254087e-06,-5.78888595266519e-16,-2.42380564556655e-05,-1.13958777859692e-06,4.64268776822755e-16,-9.78520457295326e-16,7.60378296312428e-05,-1.92142118371771e-15,-2.04827317335918e-15,-6.17237178783851e-16,-1.82825522865764e-05,1.76221209187615e-15,-8.90384550030165e-05,-2.50357348327728e-09,1.16785071816107e-15,-1.10783870860796e-15,4.09898626582591e-16,-4.69275518313895e-15,-2.18931336239185e-15,-1.94215638905256e-15,2.34685858653458e-16,-1.32760239517406e-14,1.01736572474938e-05,2.06668265648462e-15,1.14922456905468e-15,2.87927398045605e-16,-2.22536558602104e-15,7.59393855712379e-15,-9.5715534846284e-15,-3.73300655151427e-14,-3.37881643634609e-13,-0.707106781186533,-2.3458164061599e-14,9.38536302878811e-14
"t17",0.0759295864198408,0.0506971217688256,-0.210111359007588,0.0648818909449381,-0.0130340167876967,0.0237688972481418,0.0020781317929577,-0.0146248048024006,1.52257424536805e-05,-0.000959036543250209,2.87180639758544e-05,0.0287015169774261,-0.00199170734816927,0.000752416010801045,-0.00109851110799594,5.33652043687638e-05,0.000927501091399175,-0.024975334364463,0.00020631485231459,-0.000545001027020336,-0.0001369124136803,0.000122310829956418,0.000240762010954554,-0.00050535591341924,0.00489170306422026,0.000197579353029521,-3.01678525574764e-06,-6.7872510704904e-06,-9.78568068189824e-05,-0.000331221875413791,9.17181734458236e-16,0.000399437991646477,0.938090164725173,0.00927807957699872,2.15374775093163e-15,-2.59724585767757e-05,-0.0066063897246235,-1.36106360747701e-06,0.00102439974290152,0.00372804921157907,4.08610493756298e-06,0.173340598329999,0.000544707924008067,-2.0659524778691e-05,-0.000425526155108506,0.00032405601879124,-0.000408830174468851,-0.142096436716278,0.00337545820285096,7.06550160853043e-07,-1.77967100670794e-05,0.000415662068528476,-4.39613978093168e-05,-1.28047292799031e-05,-3.54692475387308e-16,0.000742355358616948,-1.88143189748863e-05,6.8631177532061e-16,2.5736865320289e-05,-1.23886086773588e-16,-0.0168551297536612,-1.45657975454297e-15,5.22219906605128e-06,-0.0134670466424879,0.000420034108470118,3.54252685196641e-06,4.06873368844977e-16,-7.32037806405605e-05,-3.34213280178285e-06,-1.170472348146e-15,-1.62218876692371e-15,0.000206744702045891,-1.16418222495494e-16,-1.5459180721507e-16,-2.62365981015592e-16,-4.6477140096398e-05,1.34094627760284e-15,-0.000507189680112198,-6.15205001331608e-09,1.04822819027148e-15,3.9449897400609e-16,-3.22525865919662e-16,-2.00265850367077e-15,-2.29614712520112e-16,2.34560718811111e-15,6.97969675130837e-17,-2.17242124265362e-15,2.39225519365424e-05,6.23215369049455e-17,2.56564695643783e-15,1.74586291438474e-15,2.746535960013e-16,8.08209054628958e-16,-5.59781417051473e-16,-3.67499749288544e-15,-6.57974488979395e-15,1.33064791126667e-14,-3.57078910981861e-14,7.51879619966556e-14
"t35",0.0779277349628035,0.0543253786989814,-0.243848733027594,0.0757450636166061,-0.0166209924700053,0.0311045627471242,0.00272547133934622,-0.0236222442672496,2.4801681980101e-05,-0.00156912998097293,5.02341477967879e-05,0.0566613635722399,-0.0061209091512314,0.00278410937781757,-0.217029787634741,-0.00131730080414305,-0.00124900800822944,0.0268578434212309,-0.000201515763953026,0.000351550937791589,7.54331381709467e-05,-4.47957101510551e-05,-8.16596291519111e-05,0.000165668336692327,-0.00052144892933212,-1.37975248564829e-05,1.68126555053935e-07,1.20076757597535e-07,5.79064902315306e-07,-4.64560943207534e-06,-1.31143506053112e-15,1.6098214349173e-05,0.0566008678846534,0.000449262670018036,1.49955579806813e-15,-8.43282720698434e-07,-0.000196026514581092,-2.30538631779988e-08,-9.61166501044447e-06,-4.87462915856675e-05,-8.01269513831993e-08,-0.0113128621905654,-4.30124113093372e-05,3.51930019977054e-06,0.000118466259034329,-0.000201793744548387,0.000518538214933961,0.917350888019749,-0.0308892322399608,4.75533418213816e-05,-5.88174969697281e-05,0.000601144100476202,-4.25168048726925e-05,-1.22495994433426e-05,-1.09960686538446e-15,0.000705561025570851,-1.69790069986984e-05,-6.11056209640153e-15,2.28206227084317e-05,-1.68108422564923e-15,-0.0137082711878107,9.5686276561425e-15,5.75467999393601e-06,-0.129873603361861,-4.16623653438158e-05,1.95845666379701e-06,1.12782245657666e-15,-4.34378285220639e-05,-2.0348286393907e-06,-1.9394100731708e-15,-1.50374724503749e-15,0.000126692727979529,7.23761700713765e-16,-6.7373711057796e-16,-1.66232795102065e-15,-2.82728028624401e-05,2.17018240232198e-16,-0.00266686596177398,-3.72476265245812e-09,-2.37789598326294e-15,-1.5530472662916e-16,-7.15490369390492e-16,-1.39910217012715e-15,2.56252699541408e-16,1.43299185789321e-15,-1.30209850347012e-16,-5.20089427493741e-16,1.44264465687932e-05,-4.28501222896864e-16,1.06086072411801e-15,1.6410873018419e-15,-1.05091340734958e-15,1.52181821976511e-15,-1.23047604923182e-15,-2.05274462882496e-15,-7.78755680232118e-15,1.32143601671173e-14,-3.5829888521244e-14,7.55212788859743e-14
"t57",0.078754663683207,0.0558150559073411,-0.257522402699051,0.0801440163066676,-0.0180561062656182,0.0340301675852372,0.0029835748445836,-0.0271348728651255,2.85374842018475e-05,-0.00180705373301712,5.85805375370163e-05,0.0674168427893349,-0.00767600820342051,0.00354475503257918,-0.29582922731814,-0.00181550454982908,-0.00200111155428341,0.044575515594261,-0.000340207534979197,0.00064876501605811,0.000145050561458251,-9.78618757163872e-05,-0.000183391724607525,0.000376783983995528,-0.00206475427911358,-7.20983341072921e-05,1.03291978197665e-06,1.89456874502526e-06,2.52918797021731e-05,7.33448560571471e-05,-4.25685238312292e-16,-6.59363928983873e-05,-0.0801512281779977,-0.000355609872746847,-2.77258431472956e-16,5.23491903699976e-07,0.000117806933039613,1.21989959567743e-08,4.16849926105544e-06,2.06504237396864e-05,3.26275148840267e-08,0.00367550274979877,1.32205133983811e-05,-8.11141454922695e-07,-2.15987494128912e-05,2.377897098867e-05,-4.17973747473093e-05,-0.0417726036033016,0.00132184107202542,-1.67416142089196e-06,1.01341514438621e-06,2.56193520796176e-06,2.16549913927248e-07,8.8987098168994e-08,1.48148845993224e-16,-6.14400100356619e-06,4.36504008836945e-07,1.88440557218256e-15,-7.95176757693729e-07,1.73818198351613e-15,0.00246250999844203,4.50510439323412e-16,-1.45439447155499e-05,0.896211295474322,0.00256777565113988,4.08490849121665e-06,-8.56392352277816e-15,-5.76580339784953e-05,-2.01928924240499e-06,-3.27750454106436e-15,1.78682491788807e-15,9.05682095603615e-05,2.47757244588237e-15,1.02905856156192e-15,-5.74232775910078e-16,-1.81236649541747e-05,-2.33171620785561e-15,-0.0136495346451785,-2.3087616835092e-09,3.22856966832552e-15,-6.84110502645387e-16,1.37463069525028e-17,-1.06319395260988e-15,-1.08251844935074e-15,2.59994756714728e-15,8.28723900564351e-16,-1.06272817616501e-14,8.79371751134072e-06,8.13798138591265e-16,3.92060143148347e-15,1.73495679613353e-15,-1.18048354435698e-15,8.38103416267026e-16,1.06401968248241e-15,-1.58101965405868e-15,-7.27146781281536e-15,1.175622636326e-14,-3.46298675877525e-14,7.57231918136426e-14
