,0,1,2,3,4,5,6,7,8,9
t55,11.376449,4.9991436,3.3965404,7.8656306,6.6108823,5.110516,9.398418,-2.9077227,10.857333,3.746259
t62,9.137994,5.4223228,2.5710623,4.478559,-0.6209734,5.19058,5.561909,7.442527,-0.8437734,4.2537513
t70,-2.2358034,2.8303475,5.280189,11.355822,5.592841,3.2877035,8.201159,4.048619,9.374126,6.2273517
t81,9.046517,5.503065,2.5986629,4.4498115,-0.5176518,5.044743,5.642485,7.602698,-0.77087843,4.4254804
t82,9.232544,5.516457,2.5922759,4.3747272,-0.58847034,5.1584115,5.7400417,7.504135,-0.7293092,4.192567
t84,11.294091,4.9600797,3.3527126,7.808067,6.4953527,5.163466,9.399913,-2.931696,10.711204,3.9066832
t85,-2.5056446,2.778763,5.485431,11.573427,5.606659,3.460533,8.401721,3.868955,9.555487,5.552465
t90,9.130757,5.379611,2.498706,4.4185987,-0.6450906,5.1718254,5.572063,7.4331756,-0.7105703,4.2250338
t94,9.166886,5.4811263,2.7400196,4.3328342,-0.72072345,5.090367,5.85674,7.375418,-0.47435972,4.1960816
t97,11.365884,5.068306,3.4301226,7.797083,6.591826,5.1878023,9.387543,-2.8594744,10.582838,4.039589
t98,9.220374,5.5459957,2.5089037,4.5467067,-0.39284098,5.279752,5.6180944,8.023052,-0.70419556,4.419142
t99,9.210717,5.67137,2.6487627,4.517068,-0.26153615,5.3193297,5.67036,7.895694,-0.7459924,4.4387345
t103,-2.4286435,2.944092,5.5138273,11.579049,5.7329917,3.5484002,8.362199,3.851447,9.515167,5.5282416
t106,-2.2493224,2.7596538,5.222955,11.370068,5.606999,3.3290877,8.058772,4.1051264,9.401223,6.328107
t108,1.9226979,7.1034236,1.3554733,6.4976654,3.3885632,1.542357,4.2579384,0.77654356,3.2975008,12.324407
t109,1.7893676,2.9503276,0.24617478,5.9175777,7.273936,-2.0524647,0.870567,5.3779197,2.1306114,12.241349
t110,1.7564474,3.0463526,0.20464087,6.0177817,7.400501,-1.9906096,0.77823764,5.286699,2.0829592,12.328872
t112,-2.4925988,3.1274843,5.46244,11.72478,5.8383317,3.8196568,8.420898,3.8295605,9.350006,5.4479837
t115,11.392615,4.9050384,3.3521464,7.7847,6.626871,5.149235,9.481036,-2.9960868,11.270822,3.1759276
t116,1.9908211,3.1595235,0.20929062,6.183889,7.354465,-1.7492044,1.0447932,5.180461,1.9943447,12.637707
t117,11.3267565,5.003322,3.42679,7.932158,6.5506325,5.095084,9.527326,-2.9125228,10.456578,4.1249404
t120,2.0480165,3.252954,0.18543927,6.2325916,7.4449487,-1.7339982,0.9596307,5.206605,1.8490474,12.707933
t121,-2.4776278,3.0038946,5.3919873,11.609956,5.576721,3.7227447,8.422688,3.7388809,9.284943,5.595807
t122,-2.4078925,3.0053644,5.485481,11.543514,5.6241426,3.6833482,8.423061,3.703873,9.334861,5.510793
t123,9.114524,5.5494747,2.7851071,4.530542,-0.5755365,5.0766363,5.6289015,7.4025106,-0.8353505,4.5213795
t124,9.10139,5.391493,2.5741453,4.521891,-0.6163811,5.2247844,5.496595,7.4196997,-0.9359047,4.27603
t125,11.343767,5.0245366,3.4063447,7.921243,6.5656853,5.0963154,9.509301,-2.883846,10.433546,4.158169
t126,11.410128,5.0916495,3.425365,7.9341083,6.6381164,5.0866466,9.462101,-2.8855472,10.428788,4.1603723
t128,11.388778,4.960792,3.4019203,7.9993153,6.6003537,5.0079994,9.568523,-2.9531908,10.638378,3.960907
t129,1.4233618,2.450946,0.5992228,5.613349,7.291887,-3.0533142,0.46361163,5.9353294,2.2381635,11.605488
t130,11.332166,4.8581853,3.4320672,7.826081,6.6629667,5.14791,9.500113,-3.0039139,11.313955,3.0916264
t131,11.334613,4.6209035,3.373144,7.9431057,6.814748,5.0409966,9.632581,-3.0943103,11.608662,2.8764894
t132,11.405149,4.6349273,3.352089,8.016451,6.8053637,4.963462,9.6190195,-3.098297,11.586565,2.8715422
t133,1.51402,2.6465173,0.5365369,5.6678076,7.0792437,-1.9054832,0.65091413,6.036661,2.4669547,11.868083
t135,11.427007,4.7804766,3.490265,8.066231,6.6803136,4.89618,9.463611,-2.9656463,11.443746,3.0413287
t136,9.222068,5.6274977,2.4951205,4.5969143,-0.3890619,5.2991366,5.678755,8.140991,-0.7754427,4.313678
t137,11.37059,4.7549534,3.4519346,7.92581,6.754094,5.0590363,9.449081,-3.1007223,11.359944,3.070589
t141,1.3519313,2.4815514,0.67115134,5.6595435,7.235895,-2.9857373,0.4485366,5.9727216,2.3195918,11.582133
t142,8.590726,7.440454,1.297126,-0.009207929,7.474743,7.1410885,3.0188372,7.514187,4.4506474,7.9431143
t143,8.490005,7.3057814,1.2184225,-0.19430993,7.3286233,7.2329144,3.0210445,7.385765,4.4154267,7.8292823
t144,1.8558745,6.976334,1.2345358,6.3761234,3.4786215,1.4554772,4.1772933,0.70372105,3.2471085,12.164486
t145,1.8837625,6.9274216,1.181189,6.4235253,3.5275254,1.445291,4.158913,0.7092039,3.2215173,12.152569
