"","t1","t2","t6","t27","t51","t52","t49","t45","t36","t18","t130","t131","t119","t97","t98","t132","t133","t71","t134","t135","t67","t62","t102","t103","t39","t23","t19","t104","t105","t75","t76","t61","t80","t145","t146","t38","t25","t88","t89","t115","t116","t68","t84","t85","t73","t74","t24","t3","t12","t15","t31","t32","t111","t112","t46","t29","t82","t83","t7","t33","t139","t140","t42","t86","t87","t16","t10","t9","t11","t20","t28","t100","t101","t40","t34","t50","t113","t120","t121","t143","t144","t99","t48","t108","t109","t81","t78","t77","t69","t70","t122","t123","t37","t58","t59","t43","t44","t26","t137","t138","t79","t41","t92","t93","t106","t107","t55","t56","t90","t91","t128","t129","t114","t60","t13","t8","t14","t47","t94","t117","t118","t136","t141","t142","t54","t63","t64","t110","t126","t127","t35","t95","t96","t57","t30","t65","t66","t124","t125","t53","t147","t148","t72","t21","t22","t17","t5","t4"
"t1",0,1.20846502388,4.57236253195,7.40342629905,8.83870274557,9.18520643897,9.36882286688,9.36882286705,8.56863387465,8.06295732355,9.36882286746,9.36882286746,9.36882286745,9.36882286735,9.36882286735,9.36882286735,9.36882286735,9.36882286725,9.36882286724,9.36882286724,9.36882286721,9.36882286721,9.36882286685,9.106526023577,8.96315442735,7.08216456115,6.52773092215,9.36882286719,9.36882286719,8.94366407925,9.36882286709,9.22620657285,9.36882286775,9.36882286768,9.36882286768,9.36882286765,8.45688742295,9.36882286805,9.36882286805,9.36882286765,9.36882286765,9.36882286795,9.36882286789,9.36882286789,9.3688228679,9.3688228679,9.36882286695,4.51943986225,6.1868884846,6.7375815221,9.36882286731,8.25423648171,9.3688228669,9.3688228669,9.0715502088,8.9257035722,9.3688228679,9.3688228679,5.1082994869,8.637260697502,9.368822867302,9.368822867302,8.499586241202,9.368822867202,9.368822867202,6.444423668402,5.955015540402,5.978627647142,5.622579245032,7.082134194642,7.075406207362,9.368822866962,9.368822866962,9.313266814662,7.695809454862,8.599189671792,9.368822867392,9.368822867422,9.368822867422,9.368822867452,9.368822867452,9.368822867392,9.368822867542,9.368822867382,9.368822867382,9.368822867482,9.368822867482,9.368822867482,9.368822867382,9.368822867382,9.368822867482,9.368822867482,9.368822867932,8.978624475732,9.213941809332,9.282970866732,9.368822867732,9.368822867772,9.368822867562,9.368822867562,9.368822867542,9.368822867242,9.368822867342,9.368822867342,9.368822867342,9.368822867342,8.835422029312,9.368822867112,9.368822867412,9.368822867412,9.368822867472,9.368822867472,9.368822867482,9.368822867382,6.777008396942,8.473541043442,7.9527194944,8.90778006295,9.36882286715,9.3688228671,9.3688228671,9.36882286709,9.36882286709,9.36882286709,8.96185964005,9.36882286721,9.36882286721,9.36882286691,9.36882286686,9.36882286686,9.36882286721,9.36882286711,9.33281028971,8.53882121401,7.23973556268,9.36882286751,9.36882286751,9.36882286763,9.36882286763,9.36882286773,9.368822867708,9.368822867708,9.36882286771,6.36413272285,9.36882286735,9.3688228674,5.7038978392,4.5595541838
"t2",1.20846502388,0,4.58241691707,7.41348068417,8.84875713069,9.19526082409,9.378877252,9.37887725217,8.57868825977,8.07301170867,9.37887725258,9.37887725258,9.37887725257,9.37887725247,9.37887725247,9.37887725247,9.37887725247,9.37887725237,9.37887725236,9.37887725236,9.37887725233,9.37887725233,9.37887725197,9.116580408697,8.97320881247,7.09221894627,6.53778530727,9.37887725231,9.37887725231,8.95371846437,9.37887725221,9.23626095797,9.37887725287,9.3788772528,9.3788772528,9.37887725277,8.46694180807,9.37887725317,9.37887725317,9.37887725277,9.37887725277,9.37887725307,9.37887725301,9.37887725301,9.37887725302,9.37887725302,9.37887725207,4.52949424737,6.19694286972,6.74763590722,9.37887725243,8.26429086683,9.37887725202,9.37887725202,9.08160459392,8.93575795732,9.37887725302,9.37887725302,5.11835387202,8.647315082622,9.378877252422,9.378877252422,8.509640626322,9.378877252322,9.378877252322,6.454478053522,5.965069925522,5.988682032262,5.632633630152,7.092188579762,7.085460592482,9.378877252082,9.378877252082,9.323321199782,7.705863839982,8.609244056912,9.378877252512,9.378877252542,9.378877252542,9.378877252572,9.378877252572,9.378877252512,9.378877252662,9.378877252502,9.378877252502,9.378877252602,9.378877252602,9.378877252602,9.378877252502,9.378877252502,9.378877252602,9.378877252602,9.378877253052,8.988678860852,9.223996194452,9.293025251852,9.378877252852,9.378877252892,9.378877252682,9.378877252682,9.378877252662,9.378877252362,9.378877252462,9.378877252462,9.378877252462,9.378877252462,8.845476414432,9.378877252232,9.378877252532,9.378877252532,9.378877252592,9.378877252592,9.378877252602,9.378877252502,6.787062782062,8.483595428562,7.96277387952,8.91783444807,9.37887725227,9.37887725222,9.37887725222,9.37887725221,9.37887725221,9.37887725221,8.97191402517,9.37887725233,9.37887725233,9.37887725203,9.37887725198,9.37887725198,9.37887725233,9.37887725223,9.34286467483,8.54887559913,7.2497899478,9.37887725263,9.37887725263,9.37887725275,9.37887725275,9.37887725285,9.378877252828,9.378877252828,9.37887725283,6.37418710797,9.37887725247,9.37887725252,5.71395222432,4.56960856892
"t6",4.57236253195,4.58241691707,0,3.6938906997,5.12916714622,5.47567083962,5.65928726753,5.6592872677,4.8590982753,4.3534217242,5.65928726811,5.65928726811,5.6592872681,5.659287268,5.659287268,5.659287268,5.659287268,5.6592872679,5.65928726789,5.65928726789,5.65928726786,5.65928726786,5.6592872675,5.396990424227,5.253618828,3.3726289618,2.8181953228,5.65928726784,5.65928726784,5.2341284799,5.65928726774,5.5166709735,5.6592872684,5.65928726833,5.65928726833,5.6592872683,4.7473518236,5.6592872687,5.6592872687,5.6592872683,5.6592872683,5.6592872686,5.65928726854,5.65928726854,5.65928726855,5.65928726855,5.6592872676,2.1853662097,3.89633204179,4.44702507929,7.0782664245,5.9636800389,7.07826642409,7.07826642409,6.78099376599,6.63514712939,7.07826642509,7.07826642509,2.81774304409,6.346704254692,7.078266424492,7.078266424492,6.209029798392,7.078266424392,7.078266424392,4.153867225592,3.664459097592,3.688071204332,3.332022802222,4.791577751832,4.784849764552,7.078266424152,7.078266424152,7.022710371852,5.405253012052,6.308633228982,7.078266424582,7.078266424612,7.078266424612,7.078266424642,7.078266424642,7.078266424582,7.078266424732,7.078266424572,7.078266424572,7.078266424672,7.078266424672,7.078266424672,7.078266424572,7.078266424572,7.078266424672,7.078266424672,7.078266425122,6.688068032922,6.923385366522,6.992414423922,7.078266424922,7.078266424962,7.078266424752,7.078266424752,7.078266424732,7.078266424432,7.078266424532,7.078266424532,7.078266424532,7.078266424532,6.544865586502,7.078266424302,7.078266424602,7.078266424602,7.078266424662,7.078266424662,7.078266424672,7.078266424572,4.486451954132,6.182984600632,5.66216305159,6.61722362014,7.07826642434,7.07826642429,7.07826642429,7.07826642428,7.07826642428,7.07826642428,6.67130319724,7.0782664244,7.0782664244,7.0782664241,7.07826642405,7.07826642405,7.0782664244,7.0782664243,7.0422538469,6.2482647712,4.94917911987,7.0782664247,7.0782664247,7.07826642482,7.07826642482,7.07826642492,7.078266424898,7.078266424898,7.0782664249,4.07357628004,7.07826642454,7.07826642459,3.41334139639,2.26899774099
"t27",7.40342629905,7.41348068417,3.6938906997,0,2.38805186052,2.73455555392,2.91817198183,2.918171982,2.1179829896,5.3999158405,6.70578138441,6.70578138441,6.7057813844,6.7057813843,6.7057813843,6.7057813843,6.7057813843,6.7057813842,6.70578138419,6.70578138419,6.70578138416,6.70578138416,6.7057813838,6.443484540527,6.3001129443,4.4191230781,3.8646894391,6.70578138414,6.70578138414,6.2806225962,6.70578138404,6.5631650898,6.7057813847,6.70578138463,6.70578138463,6.7057813846,5.7938459399,6.705781385,6.705781385,6.7057813846,6.7057813846,6.7057813849,6.70578138484,6.70578138484,6.70578138485,6.70578138485,6.7057813839,5.0164299768,6.72739580889,7.27808884639,9.9093301916,8.794743806,9.90933019119,9.90933019119,9.61205753309,9.46621089649,9.90933019219,9.90933019219,5.64880681119,9.177768021792,9.909330191592,9.909330191592,9.040093565492,9.909330191492,9.909330191492,6.984930992692,6.495522864692,6.519134971432,6.163086569322,7.622641518932,7.615913531652,9.909330191252,9.909330191252,9.853774138952,8.236316779152,9.139696996082,9.909330191682,9.909330191712,9.909330191712,9.909330191742,9.909330191742,9.909330191682,9.909330191832,9.909330191672,9.909330191672,9.909330191772,9.909330191772,9.909330191772,9.909330191672,9.909330191672,9.909330191772,9.909330191772,9.909330192222,9.519131800022,9.754449133622,9.823478191022,9.909330192022,9.909330192062,9.909330191852,9.909330191852,9.909330191832,9.909330191532,9.909330191632,9.909330191632,9.909330191632,9.909330191632,9.375929353602,9.909330191402,9.909330191702,9.909330191702,9.909330191762,9.909330191762,9.909330191772,9.909330191672,7.317515721232,9.014048367732,8.49322681869,9.44828738724,9.90933019144,9.90933019139,9.90933019139,9.90933019138,9.90933019138,9.90933019138,9.50236696434,9.9093301915,9.9093301915,9.9093301912,9.90933019115,9.90933019115,9.9093301915,9.9093301914,9.873317614,9.0793285383,7.78024288697,9.9093301918,9.9093301918,9.90933019192,9.90933019192,9.90933019202,9.909330191998,9.909330191998,9.909330192,6.90464004714,9.90933019164,9.90933019169,6.24440516349,5.10006150809
"t51",8.83870274557,8.84875713069,5.12916714622,2.38805186052,0,1.416253147,1.70229666269,1.79848042852,2.23895790272,6.83519228702,8.14105783093,8.14105783093,8.14105783092,8.14105783082,8.14105783082,8.14105783082,8.14105783082,8.14105783072,8.14105783071,8.14105783071,8.14105783068,8.14105783068,8.14105783032,7.878760987047,7.73538939082,5.85439952462,5.29996588562,8.14105783066,8.14105783066,7.71589904272,8.14105783056,7.99844153632,8.14105783122,8.14105783115,8.14105783115,8.14105783112,7.22912238642,8.14105783152,8.14105783152,8.14105783112,8.14105783112,8.14105783142,8.14105783136,8.14105783136,8.14105783137,8.14105783137,8.14105783042,6.45170642332,8.16267225541,8.71336529291,11.34460663812,10.23002025252,11.34460663771,11.34460663771,11.04733397961,10.90148734301,11.34460663871,11.34460663871,7.08408325771,10.613044468312,11.344606638112,11.344606638112,10.475370012012,11.344606638012,11.344606638012,8.420207439212,7.930799311212,7.954411417952,7.598363015842,9.057917965452,9.051189978172,11.344606637772,11.344606637772,11.289050585472,9.671593225672,10.574973442602,11.344606638202,11.344606638232,11.344606638232,11.344606638262,11.344606638262,11.344606638202,11.344606638352,11.344606638192,11.344606638192,11.344606638292,11.344606638292,11.344606638292,11.344606638192,11.344606638192,11.344606638292,11.344606638292,11.344606638742,10.954408246542,11.189725580142,11.258754637542,11.344606638542,11.344606638582,11.344606638372,11.344606638372,11.344606638352,11.344606638052,11.344606638152,11.344606638152,11.344606638152,11.344606638152,10.811205800122,11.344606637922,11.344606638222,11.344606638222,11.344606638282,11.344606638282,11.344606638292,11.344606638192,8.752792167752,10.449324814252,9.92850326521,10.88356383376,11.34460663796,11.34460663791,11.34460663791,11.3446066379,11.3446066379,11.3446066379,10.93764341086,11.34460663802,11.34460663802,11.34460663772,11.34460663767,11.34460663767,11.34460663802,11.34460663792,11.30859406052,10.51460498482,9.21551933349,11.34460663832,11.34460663832,11.34460663844,11.34460663844,11.34460663854,11.344606638518,11.344606638518,11.34460663852,8.33991649366,11.34460663816,11.34460663821,7.67968161001,6.53533795461
"t52",9.18520643897,9.19526082409,5.47567083962,2.73455555392,1.416253147,0,2.04880035609,2.14498412192,2.58546159612,7.18169598042,8.48756152433,8.48756152433,8.48756152432,8.48756152422,8.48756152422,8.48756152422,8.48756152422,8.48756152412,8.48756152411,8.48756152411,8.48756152408,8.48756152408,8.48756152372,8.225264680447,8.08189308422,6.20090321802,5.64646957902,8.48756152406,8.48756152406,8.06240273612,8.48756152396,8.34494522972,8.48756152462,8.48756152455,8.48756152455,8.48756152452,7.57562607982,8.48756152492,8.48756152492,8.48756152452,8.48756152452,8.48756152482,8.48756152476,8.48756152476,8.48756152477,8.48756152477,8.48756152382,6.79821011672,8.50917594881,9.05986898631,11.69111033152,10.57652394592,11.69111033111,11.69111033111,11.39383767301,11.24799103641,11.69111033211,11.69111033211,7.43058695111,10.959548161712,11.691110331512,11.691110331512,10.821873705412,11.691110331412,11.691110331412,8.766711132612,8.277303004612,8.300915111352,7.944866709242,9.404421658852,9.397693671572,11.691110331172,11.691110331172,11.635554278872,10.018096919072,10.921477136002,11.691110331602,11.691110331632,11.691110331632,11.691110331662,11.691110331662,11.691110331602,11.691110331752,11.691110331592,11.691110331592,11.691110331692,11.691110331692,11.691110331692,11.691110331592,11.691110331592,11.691110331692,11.691110331692,11.691110332142,11.300911939942,11.536229273542,11.605258330942,11.691110331942,11.691110331982,11.691110331772,11.691110331772,11.691110331752,11.691110331452,11.691110331552,11.691110331552,11.691110331552,11.691110331552,11.157709493522,11.691110331322,11.691110331622,11.691110331622,11.691110331682,11.691110331682,11.691110331692,11.691110331592,9.099295861152,10.795828507652,10.27500695861,11.23006752716,11.69111033136,11.69111033131,11.69111033131,11.6911103313,11.6911103313,11.6911103313,11.28414710426,11.69111033142,11.69111033142,11.69111033112,11.69111033107,11.69111033107,11.69111033142,11.69111033132,11.65509775392,10.86110867822,9.56202302689,11.69111033172,11.69111033172,11.69111033184,11.69111033184,11.69111033194,11.691110331918,11.691110331918,11.69111033192,8.68642018706,11.69111033156,11.69111033161,8.02618530341,6.88184164801
"t49",9.36882286688,9.378877252,5.65928726753,2.91817198183,1.70229666269,2.04880035609,0,2.32860054983,2.76907802403,7.36531240833,8.67117795224,8.67117795224,8.67117795223,8.67117795213,8.67117795213,8.67117795213,8.67117795213,8.67117795203,8.67117795202,8.67117795202,8.67117795199,8.67117795199,8.67117795163,8.408881108357,8.26550951213,6.38451964593,5.83008600693,8.67117795197,8.67117795197,8.24601916403,8.67117795187,8.52856165763,8.67117795253,8.67117795246,8.67117795246,8.67117795243,7.75924250773,8.67117795283,8.67117795283,8.67117795243,8.67117795243,8.67117795273,8.67117795267,8.67117795267,8.67117795268,8.67117795268,8.67117795173,6.98182654463,8.69279237672,9.24348541422,11.87472675943,10.76014037383,11.87472675902,11.87472675902,11.57745410092,11.43160746432,11.87472676002,11.87472676002,7.61420337902,11.143164589622,11.874726759422,11.874726759422,11.005490133322,11.874726759322,11.874726759322,8.950327560522,8.460919432522,8.484531539262,8.128483137152,9.588038086762,9.581310099482,11.874726759082,11.874726759082,11.819170706782,10.201713346982,11.105093563912,11.874726759512,11.874726759542,11.874726759542,11.874726759572,11.874726759572,11.874726759512,11.874726759662,11.874726759502,11.874726759502,11.874726759602,11.874726759602,11.874726759602,11.874726759502,11.874726759502,11.874726759602,11.874726759602,11.874726760052,11.484528367852,11.719845701452,11.788874758852,11.874726759852,11.874726759892,11.874726759682,11.874726759682,11.874726759662,11.874726759362,11.874726759462,11.874726759462,11.874726759462,11.874726759462,11.341325921432,11.874726759232,11.874726759532,11.874726759532,11.874726759592,11.874726759592,11.874726759602,11.874726759502,9.282912289062,10.979444935562,10.45862338652,11.41368395507,11.87472675927,11.87472675922,11.87472675922,11.87472675921,11.87472675921,11.87472675921,11.46776353217,11.87472675933,11.87472675933,11.87472675903,11.87472675898,11.87472675898,11.87472675933,11.87472675923,11.83871418183,11.04472510613,9.7456394548,11.87472675963,11.87472675963,11.87472675975,11.87472675975,11.87472675985,11.874726759828,11.874726759828,11.87472675983,8.87003661497,11.87472675947,11.87472675952,8.20980173132,7.06545807592
"t45",9.36882286705,9.37887725217,5.6592872677,2.918171982,1.79848042852,2.14498412192,2.32860054983,0,2.7690780242,7.3653124085,8.67117795241,8.67117795241,8.6711779524,8.6711779523,8.6711779523,8.6711779523,8.6711779523,8.6711779522,8.67117795219,8.67117795219,8.67117795216,8.67117795216,8.6711779518,8.408881108527,8.2655095123,6.3845196461,5.8300860071,8.67117795214,8.67117795214,8.2460191642,8.67117795204,8.5285616578,8.6711779527,8.67117795263,8.67117795263,8.6711779526,7.7592425079,8.671177953,8.671177953,8.6711779526,8.6711779526,8.6711779529,8.67117795284,8.67117795284,8.67117795285,8.67117795285,8.6711779519,6.9818265448,8.69279237689,9.24348541439,11.8747267596,10.760140374,11.87472675919,11.87472675919,11.57745410109,11.43160746449,11.87472676019,11.87472676019,7.61420337919,11.143164589792,11.874726759592,11.874726759592,11.005490133492,11.874726759492,11.874726759492,8.950327560692,8.460919432692,8.484531539432,8.128483137322,9.588038086932,9.581310099652,11.874726759252,11.874726759252,11.819170706952,10.201713347152,11.105093564082,11.874726759682,11.874726759712,11.874726759712,11.874726759742,11.874726759742,11.874726759682,11.874726759832,11.874726759672,11.874726759672,11.874726759772,11.874726759772,11.874726759772,11.874726759672,11.874726759672,11.874726759772,11.874726759772,11.874726760222,11.484528368022,11.719845701622,11.788874759022,11.874726760022,11.874726760062,11.874726759852,11.874726759852,11.874726759832,11.874726759532,11.874726759632,11.874726759632,11.874726759632,11.874726759632,11.341325921602,11.874726759402,11.874726759702,11.874726759702,11.874726759762,11.874726759762,11.874726759772,11.874726759672,9.282912289232,10.979444935732,10.45862338669,11.41368395524,11.87472675944,11.87472675939,11.87472675939,11.87472675938,11.87472675938,11.87472675938,11.46776353234,11.8747267595,11.8747267595,11.8747267592,11.87472675915,11.87472675915,11.8747267595,11.8747267594,11.838714182,11.0447251063,9.74563945497,11.8747267598,11.8747267598,11.87472675992,11.87472675992,11.87472676002,11.874726759998,11.874726759998,11.87472676,8.87003661514,11.87472675964,11.87472675969,8.20980173149,7.06545807609
"t36",8.56863387465,8.57868825977,4.8590982753,2.1179829896,2.23895790272,2.58546159612,2.76907802403,2.7690780242,0,6.5651234161,7.87098896001,7.87098896001,7.87098896,7.8709889599,7.8709889599,7.8709889599,7.8709889599,7.8709889598,7.87098895979,7.87098895979,7.87098895976,7.87098895976,7.8709889594,7.608692116127,7.4653205199,5.5843306537,5.0298970147,7.87098895974,7.87098895974,7.4458301718,7.87098895964,7.7283726654,7.8709889603,7.87098896023,7.87098896023,7.8709889602,6.9590535155,7.8709889606,7.8709889606,7.8709889602,7.8709889602,7.8709889605,7.87098896044,7.87098896044,7.87098896045,7.87098896045,7.8709889595,6.1816375524,7.89260338449,8.44329642199,11.0745377672,9.9599513816,11.07453776679,11.07453776679,10.77726510869,10.63141847209,11.07453776779,11.07453776779,6.81401438679,10.342975597392,11.074537767192,11.074537767192,10.205301141092,11.074537767092,11.074537767092,8.150138568292,7.660730440292,7.684342547032,7.328294144922,8.787849094532,8.781121107252,11.074537766852,11.074537766852,11.018981714552,9.401524354752,10.304904571682,11.074537767282,11.074537767312,11.074537767312,11.074537767342,11.074537767342,11.074537767282,11.074537767432,11.074537767272,11.074537767272,11.074537767372,11.074537767372,11.074537767372,11.074537767272,11.074537767272,11.074537767372,11.074537767372,11.074537767822,10.684339375622,10.919656709222,10.988685766622,11.074537767622,11.074537767662,11.074537767452,11.074537767452,11.074537767432,11.074537767132,11.074537767232,11.074537767232,11.074537767232,11.074537767232,10.541136929202,11.074537767002,11.074537767302,11.074537767302,11.074537767362,11.074537767362,11.074537767372,11.074537767272,8.482723296832,10.179255943332,9.65843439429,10.61349496284,11.07453776704,11.07453776699,11.07453776699,11.07453776698,11.07453776698,11.07453776698,10.66757453994,11.0745377671,11.0745377671,11.0745377668,11.07453776675,11.07453776675,11.0745377671,11.074537767,11.0385251896,10.2445361139,8.94545046257,11.0745377674,11.0745377674,11.07453776752,11.07453776752,11.07453776762,11.074537767598,11.074537767598,11.0745377676,8.06984762274,11.07453776724,11.07453776729,7.40961273909,6.26526908369
"t18",8.06295732355,8.07301170867,4.3534217242,5.3999158405,6.83519228702,7.18169598042,7.36531240833,7.3653124085,6.5651234161,0,5.25448034591,5.25448034591,5.2544803459,5.2544803458,5.2544803458,5.2544803458,5.2544803458,5.2544803457,5.25448034569,5.25448034569,5.25448034566,5.25448034566,5.2544803453,4.992183502027,4.8488119058,2.9678220396,3.0214331224,5.86252506744,5.86252506744,5.4373662795,5.86252506734,5.7199087731,5.862525068,5.86252506793,5.86252506793,5.8625250679,4.9505896232,6.3363103643,6.3363103643,6.3363103639,6.3363103639,6.3363103642,6.33631036414,6.33631036414,6.33631036415,6.33631036415,6.3363103632,5.6759610013,7.38692683339,7.93761987089,10.5688612161,9.4542748305,10.56886121569,10.56886121569,10.27158855759,10.12574192099,10.56886121669,10.56886121669,6.30833783569,9.837299046292,10.568861216092,10.568861216092,9.699624589992,10.568861215992,10.568861215992,7.644462017192,7.155053889192,7.178665995932,6.822617593822,8.282172543432,8.275444556152,10.568861215752,10.568861215752,10.513305163452,8.895847803652,9.799228020582,10.568861216182,10.568861216212,10.568861216212,10.568861216242,10.568861216242,10.568861216182,10.568861216332,10.568861216172,10.568861216172,10.568861216272,10.568861216272,10.568861216272,10.568861216172,10.568861216172,10.568861216272,10.568861216272,10.568861216722,10.178662824522,10.413980158122,10.483009215522,10.568861216522,10.568861216562,10.568861216352,10.568861216352,10.568861216332,10.568861216032,10.568861216132,10.568861216132,10.568861216132,10.568861216132,10.035460378102,10.568861215902,10.568861216202,10.568861216202,10.568861216262,10.568861216262,10.568861216272,10.568861216172,7.977046745732,9.673579392232,9.15275784319,10.10781841174,10.56886121594,10.56886121589,10.56886121589,10.56886121588,10.56886121588,10.56886121588,10.16189798884,10.568861216,10.568861216,10.5688612157,10.56886121565,10.56886121565,10.568861216,10.5688612159,10.5328486385,9.7388595628,8.43977391147,10.5688612163,10.5688612163,10.56886121642,10.56886121642,10.56886121652,10.568861216498,10.568861216498,10.5688612165,7.56417107164,10.56886121614,10.56886121619,6.90393618799,5.75959253259
