,0,1,2,3,4,5,6,7,8,9,10,11,12
t1,0.24065226,3.1357183,4.3458,3.3353603,-0.23430155,5.100148,6.243032,4.6685348,6.0301304,5.9285154,4.635817,4.52287,6.0515156
t4,-0.28358817,0.41695252,8.875323,7.1804285,2.6709874,5.1945033,6.9209948,6.7529836,5.7006135,5.016206,7.133081,3.7051318,0.22949895
t31,-0.9023759,-0.009512426,8.986593,7.374687,2.7590663,5.52945,6.9300117,6.6967735,6.2297254,4.8356795,7.470311,4.0295143,-0.20036703
t41,-0.57801473,0.10962072,8.98561,7.3105483,2.7545068,5.322511,6.911879,6.743751,5.9269586,4.901035,7.397213,3.8046608,-0.09928277
t42,-0.8555541,0.003911101,8.967559,7.317994,2.7067633,5.4601054,6.944302,6.7322693,6.1729703,4.900846,7.48648,3.9476693,-0.14188386
t121,-0.82538706,0.008975594,9.028887,7.3486533,2.6977453,5.456599,6.9656453,6.744815,6.152513,4.8945956,7.449623,3.93684,-0.15811266
t122,-0.85627574,-0.09513572,8.87372,7.390734,2.8288002,5.554422,6.8241844,6.6068673,6.182387,4.791799,7.5512023,4.0158587,-0.24115318
t86,-1.0279332,-0.080591045,9.02679,7.3314385,2.7932174,5.5994663,6.949748,6.5674257,6.3628674,4.8596263,7.4612546,4.14584,-0.3123125
t87,-1.0140715,-0.025980525,9.103889,7.2920165,2.8897836,5.5748286,7.016175,6.618929,6.3549213,4.8847303,7.3948803,4.0919895,-0.41842252
t50,-0.93871075,-0.14112213,9.018702,7.297472,2.9003365,5.5392857,6.874363,6.54458,6.273483,4.8697515,7.517621,4.01956,-0.4419906
t53,0.18194729,0.17947513,9.120518,7.177046,2.681205,4.6194663,7.0193224,6.920833,5.1290545,4.798271,7.3958154,2.9712121,-0.25314045
t56,0.21502328,0.17410986,9.097753,7.233758,2.8125517,4.717594,6.8972335,6.896345,5.1410637,4.8218365,7.364844,2.950286,-0.20465119
t57,0.14978954,0.06599948,9.081095,7.1684523,2.7723174,4.66455,6.9480352,6.8325357,5.1763396,4.8577204,7.3299966,2.9209347,-0.2205909
t91,0.28910342,0.10501055,9.009412,7.1657457,2.8271217,4.704758,6.8506947,6.8940473,5.088571,4.948028,7.3089476,2.9025042,-0.10396524
t92,0.18935199,0.22573414,8.991065,7.190131,2.788883,4.761232,6.955189,6.893339,5.1740923,4.9698358,7.274901,3.0749316,-0.081232674
t85,0.24161798,0.1954896,8.981662,7.088452,2.654224,4.7134404,7.005905,6.983342,5.0571003,4.8454876,7.2693667,2.8858757,-0.10141778
t59,0.002861317,0.18430705,9.103324,7.2152505,2.807457,4.8999543,6.9099083,6.8753467,5.3705053,4.9759417,7.3788733,3.2919233,-0.14440744
t65,0.16723388,0.23886655,9.067854,7.3145747,2.765169,4.5859904,6.966187,6.832741,5.202662,4.76359,7.350449,3.0131857,-0.2040815
t66,0.19307551,0.13931465,9.034986,7.133043,2.6426358,4.5616317,7.0489006,6.907069,5.107855,4.822435,7.3132806,2.9011297,-0.18239295
t110,0.041162986,0.081748575,9.200139,7.194124,2.7260761,4.725384,6.9724345,6.9027095,5.28124,4.834991,7.4766364,3.0746312,-0.3318143
t111,0.04547429,0.23999946,9.235094,7.230393,2.6276975,4.6776295,7.096156,6.9783425,5.275745,4.8310757,7.477903,3.168352,-0.33896625
t22,-0.14830111,0.216364,9.066527,7.2466836,2.7853048,5.016669,6.919296,6.83635,5.5265555,4.9570575,7.332656,3.4555674,-0.08441223
t17,-0.036786787,0.22819777,9.1755,7.3005295,2.8747928,4.8520308,6.993792,6.906026,5.392315,4.9448414,7.4592996,3.3346562,-0.21738459
t68,-0.8724725,0.17356497,9.2331,7.633906,2.809442,5.6330323,7.068604,6.824739,6.239538,4.6758714,7.2736154,4.273627,-0.19747712
t69,-0.9389788,0.10758879,9.164352,7.588273,2.820006,5.733386,6.9921956,6.748198,6.3106985,4.5497985,7.3160343,4.208784,-0.24869214
t70,-0.94604087,0.10883762,9.153403,7.5928907,2.8572476,5.7553816,6.975538,6.722519,6.3305945,4.5467424,7.307256,4.237692,-0.26701137
t45,-0.89146847,0.1066085,9.230934,7.5970225,2.7932296,5.6975574,7.0174437,6.8173976,6.254972,4.4940357,7.3302536,4.114605,-0.28843188
t46,-0.93932563,0.103611805,9.1405,7.555763,2.8191364,5.711771,6.990341,6.72679,6.312463,4.6102448,7.313611,4.222845,-0.23382653
t12,-0.34627587,0.23919092,9.029227,7.2745953,2.7519317,5.191083,6.922554,6.791554,5.7243624,4.9265122,7.2865486,3.6662314,-0.02634482
t81,0.16465217,3.2180924,4.3656774,3.463189,-0.29963782,5.249955,6.304475,4.6663475,6.189043,6.012458,4.73951,4.4928513,6.1758494
t82,0.10755449,3.2578156,4.385787,3.5441897,-0.32282954,5.3150926,6.3194876,4.6505837,6.242476,6.0291567,4.7874875,4.476106,6.1914377
t10,0.14269058,3.3912656,4.8843985,4.363768,-0.013248863,5.4921823,6.702353,4.8800707,6.737503,6.386625,4.745729,4.5381837,5.9609594
