"","t21","t26","t27","t17","t16","t55","t159","t160","t123","t115","t97","t47","t92","t93","t65","t48","t88","t147","t148","t86","t73","t87","t143","t144","t134","t70","t71","t72","t119","t120","t38","t44","t45","t82","t83","t30","t36","t151","t152","t133","t157","t158","t135","t79","t29","t31","t113","t114","t89","t63","t141","t142","t62","t155","t156","t41","t42","t6","t7","t2","t19","t25","t98","t145","t146","t54","t124","t125","t52","t20","t10","t34","t66","t67","t49","t50","t51","t102","t103","t13","t12","t3","t4","t5","t108","t153","t154","t64","t68","t69","t15","t9","t75","t76","t74","t121","t122","t57","t126","t127","t46","t43","t131","t132","t78","t28","t24","t60","t61","t106","t107","t85","t80","t81","t95","t96","t40","t18","t8","t109","t110","t116","t117","t58","t128","t139","t140","t99","t100","t14","t35","t84","t104","t105","t129","t130","t111","t112","t94","t136","t137","t138","t118","t59","t77","t101","t149","t150","t39","t23","t22","t1","t32","t33","t37","t56","t90","t91","t53","t11"
"t21",0,0.48095203017,2.28842403217,0.85009721966,2.24495601246,3.56445656723,4.365214993329,4.365214993329,4.36521499337,4.36521499329,4.36521499333,3.34196908953,4.3652149934,4.3652149934,4.2584060585,4.3652149936,4.36521499341,4.36521499341,4.36521499341,4.36521499337,3.78453161717,4.36521499326,4.36521499329,4.36521499329,4.36521499336,4.36521499336,4.36521499334,4.10460813774,4.36521499328,4.23454285358,3.59076378328,4.36521499328,3.68959221028,4.36521499338,4.36521499338,4.36521499298,2.91148607556,4.36521499346,4.36521499346,4.36521499356,4.3652149935,4.3652149935,4.36521499357,4.36521499356,3.31242345746,4.21904580256,5.95678192866,5.70564934277,6.02389018936,6.02389018936,6.02389018966,6.02389018966,5.54036138536,6.0238901893,6.0238901893,6.02389018936,6.02389018936,2.73493853596,3.09278249036,3.76402797576,6.15005065506,8.35666743266,8.35666743243,8.35666743243,8.35666743243,7.57985886933,8.3566674325,8.3566674325,7.3683202227,6.57930871846,5.19081532763,6.73798488263,8.35666743253,7.71494491233,7.90424341903,8.35666743243,7.37623523493,8.35666743303,8.35666743303,5.25197715243,5.36458264796,3.67401134052,6.65407647539,5.53789558036,8.15946071666,8.35666743346,8.35666743346,8.35666743347,8.35666743348,7.61244735315,5.87436821126,4.78468012419,7.75857165602,8.356667432,8.3566674321,8.3566674321,8.3566674321,8.35666743263,8.35666743253,8.35666743253,7.15765449293,8.07193494959,8.35666743289,8.35666743289,8.35666743279,7.22863601579,7.4904660341,7.50828400271,8.3566674323,8.3566674326,8.3566674326,8.3566674326,8.35666743257,8.35666743257,8.35666743257,8.35666743257,8.3566674328,7.0402212085,7.28410048926,8.35666743246,8.35666743246,8.35666743246,8.35666743246,8.35666743256,8.356667432553,8.356667432533,8.356667432533,8.356667432453,8.356667432453,7.40584499375,7.09818919441,8.35666743261,8.3566674327,8.3566674327,8.3566674326,8.3566674326,8.35666743261,8.35666743261,8.35666743261,8.35666743261,8.356667432629,8.356667432629,8.35666743261,7.57864272781,8.35666743271,8.30440587531,8.35666743271,8.35666743271,7.32731676831,6.46590432621,8.35666743245,4.41141881679,7.60572226376,7.95997169675,8.40295526915,9.54955127433,9.54955127443,9.27977356383,8.53054286755,7.02683640826
"t26",0.48095203017,0,2.568078646,1.30885591171,2.70371470451,4.02321525928,4.823973685379,4.823973685379,4.82397368542,4.82397368534,4.82397368538,3.80072778158,4.82397368545,4.82397368545,4.71716475055,4.82397368565,4.82397368546,4.82397368546,4.82397368546,4.82397368542,4.24329030922,4.82397368531,4.82397368534,4.82397368534,4.82397368541,4.82397368541,4.82397368539,4.56336682979,4.82397368533,4.69330154563,4.04952247533,4.82397368533,4.14835090233,4.82397368543,4.82397368543,4.82397368503,3.37024476761,4.82397368551,4.82397368551,4.82397368561,4.82397368555,4.82397368555,4.82397368562,4.82397368561,3.77118214951,4.67780449461,6.41554062071,6.16440803482,6.48264888141,6.48264888141,6.48264888171,6.48264888171,5.99912007741,6.48264888135,6.48264888135,6.48264888141,6.48264888141,3.19369722801,3.55154118241,4.22278666781,6.60880934711,8.81542612471,8.81542612448,8.81542612448,8.81542612448,8.03861756138,8.81542612455,8.81542612455,7.82707891475,7.03806741051,5.64957401968,7.19674357468,8.81542612458,8.17370360438,8.36300211108,8.81542612448,7.83499392698,8.81542612508,8.81542612508,5.71073584448,5.82334134001,4.13277003257,7.11283516744,5.99665427241,8.61821940871,8.81542612551,8.81542612551,8.81542612552,8.81542612553,8.0712060452,6.33312690331,5.24343881624,8.21733034807,8.81542612405,8.81542612415,8.81542612415,8.81542612415,8.81542612468,8.81542612458,8.81542612458,7.61641318498,8.53069364164,8.81542612494,8.81542612494,8.81542612484,7.68739470784,7.94922472615,7.96704269476,8.81542612435,8.81542612465,8.81542612465,8.81542612465,8.81542612462,8.81542612462,8.81542612462,8.81542612462,8.81542612485,7.49897990055,7.74285918131,8.81542612451,8.81542612451,8.81542612451,8.81542612451,8.81542612461,8.815426124603,8.815426124583,8.815426124583,8.815426124503,8.815426124503,7.8646036858,7.55694788646,8.81542612466,8.81542612475,8.81542612475,8.81542612465,8.81542612465,8.81542612466,8.81542612466,8.81542612466,8.81542612466,8.815426124679,8.815426124679,8.81542612466,8.03740141986,8.81542612476,8.76316456736,8.81542612476,8.81542612476,7.78607546036,6.92466301826,8.8154261245,4.87017750884,8.06448095581,8.4187303888,8.8617139612,10.00830996638,10.00830996648,9.73853225588,8.9893015596,7.48559510031
"t27",2.28842403217,2.568078646,0,3.11632791371,4.51118670651,5.83068726128,6.631445687379,6.631445687379,6.63144568742,6.63144568734,6.63144568738,5.60819978358,6.63144568745,6.63144568745,6.52463675255,6.63144568765,6.63144568746,6.63144568746,6.63144568746,6.63144568742,6.05076231122,6.63144568731,6.63144568734,6.63144568734,6.63144568741,6.63144568741,6.63144568739,6.37083883179,6.63144568733,6.50077354763,5.85699447733,6.63144568733,5.95582290433,6.63144568743,6.63144568743,6.63144568703,5.17771676961,6.63144568751,6.63144568751,6.63144568761,6.63144568755,6.63144568755,6.63144568762,6.63144568761,5.57865415151,6.48527649661,8.22301262271,7.97188003682,8.29012088341,8.29012088341,8.29012088371,8.29012088371,7.80659207941,8.29012088335,8.29012088335,8.29012088341,8.29012088341,5.00116923001,5.35901318441,6.03025866981,8.41628134911,10.62289812671,10.62289812648,10.62289812648,10.62289812648,9.84608956338,10.62289812655,10.62289812655,9.63455091675,8.84553941251,7.45704602168,9.00421557668,10.62289812658,9.98117560638,10.17047411308,10.62289812648,9.64246592898,10.62289812708,10.62289812708,7.51820784648,7.63081334201,5.94024203457,8.92030716944,7.80412627441,10.42569141071,10.62289812751,10.62289812751,10.62289812752,10.62289812753,9.8786780472,8.14059890531,7.05091081824,10.02480235007,10.62289812605,10.62289812615,10.62289812615,10.62289812615,10.62289812668,10.62289812658,10.62289812658,9.42388518698,10.33816564364,10.62289812694,10.62289812694,10.62289812684,9.49486670984,9.75669672815,9.77451469676,10.62289812635,10.62289812665,10.62289812665,10.62289812665,10.62289812662,10.62289812662,10.62289812662,10.62289812662,10.62289812685,9.30645190255,9.55033118331,10.62289812651,10.62289812651,10.62289812651,10.62289812651,10.62289812661,10.622898126603,10.622898126583,10.622898126583,10.622898126503,10.622898126503,9.6720756878,9.36441988846,10.62289812666,10.62289812675,10.62289812675,10.62289812665,10.62289812665,10.62289812666,10.62289812666,10.62289812666,10.62289812666,10.622898126679,10.622898126679,10.62289812666,9.84487342186,10.62289812676,10.57063656936,10.62289812676,10.62289812676,9.59354746236,8.73213502026,10.6228981265,6.67764951084,9.87195295781,10.2262023908,10.6691859632,11.81578196838,11.81578196848,11.54600425788,10.7967735616,9.29306710231
"t17",0.85009721966,1.30885591171,3.11632791371,0,2.2157776424,3.53527819717,4.336036623269,4.336036623269,4.33603662331,4.33603662323,4.33603662327,3.31279071947,4.33603662334,4.33603662334,4.22922768844,4.33603662354,4.33603662335,4.33603662335,4.33603662335,4.33603662331,3.75535324711,4.3360366232,4.33603662323,4.33603662323,4.3360366233,4.3360366233,4.33603662328,4.07542976768,4.33603662322,4.20536448352,3.56158541322,4.33603662322,3.66041384022,4.33603662332,4.33603662332,4.33603662292,2.8823077055,4.3360366234,4.3360366234,4.3360366235,4.33603662344,4.33603662344,4.33603662351,4.3360366235,3.2832450874,4.1898674325,5.9276035586,5.67647097271,5.9947118193,5.9947118193,5.9947118196,5.9947118196,5.5111830153,5.99471181924,5.99471181924,5.9947118193,5.9947118193,2.7057601659,3.0636041203,3.7348496057,6.120872285,8.3274890626,8.32748906237,8.32748906237,8.32748906237,7.55068049927,8.32748906244,8.32748906244,7.33914185264,6.5501303484,5.16163695757,6.70880651257,8.32748906247,7.68576654227,7.87506504897,8.32748906237,7.34705686487,8.32748906297,8.32748906297,5.22279878237,5.3354042779,3.64483297046,6.62489810533,5.5087172103,8.1302823466,8.3274890634,8.3274890634,8.32748906341,8.32748906342,7.58326898309,5.8451898412,4.75550175413,7.72939328596,8.32748906194,8.32748906204,8.32748906204,8.32748906204,8.32748906257,8.32748906247,8.32748906247,7.12847612287,8.04275657953,8.32748906283,8.32748906283,8.32748906273,7.19945764573,7.46128766404,7.47910563265,8.32748906224,8.32748906254,8.32748906254,8.32748906254,8.32748906251,8.32748906251,8.32748906251,8.32748906251,8.32748906274,7.01104283844,7.2549221192,8.3274890624,8.3274890624,8.3274890624,8.3274890624,8.3274890625,8.327489062493,8.327489062473,8.327489062473,8.327489062393,8.327489062393,7.37666662369,7.06901082435,8.32748906255,8.32748906264,8.32748906264,8.32748906254,8.32748906254,8.32748906255,8.32748906255,8.32748906255,8.32748906255,8.327489062569,8.327489062569,8.32748906255,7.54946435775,8.32748906265,8.27522750525,8.32748906265,8.32748906265,7.29813839825,6.43672595615,8.32748906239,4.38224044673,7.5765438937,7.93079332669,8.37377689909,9.52037290427,9.52037290437,9.25059519377,8.50136449749,6.9976580382
"t16",2.24495601246,2.70371470451,4.51118670651,2.2157776424,0,2.56428414877,3.365042574869,3.365042574869,3.36504257491,3.36504257483,3.36504257487,2.34179667107,3.36504257494,3.36504257494,3.25823364004,3.36504257514,3.36504257495,3.36504257495,3.36504257495,3.36504257491,2.78435919871,3.3650425748,3.36504257483,3.36504257483,3.3650425749,3.3650425749,3.36504257488,3.10443571928,3.36504257482,3.23437043512,2.59059136482,3.36504257482,2.68941979182,3.36504257492,3.36504257492,3.36504257452,2.5364684533,3.9901973712,3.9901973712,3.9901973713,3.99019737124,3.99019737124,3.99019737131,3.9901973713,2.9374058352,4.3650175153,6.1027536414,5.85162105551,6.1698619021,6.1698619021,6.1698619024,6.1698619024,5.6863330981,6.16986190204,6.16986190204,6.1698619021,6.1698619021,2.8809102487,3.2387542031,3.9099996885,6.2960223678,8.5026391454,8.50263914517,8.50263914517,8.50263914517,7.72583058207,8.50263914524,8.50263914524,7.51429193544,6.7252804312,5.33678704037,6.88395659537,8.50263914527,7.86091662507,8.05021513177,8.50263914517,7.52220694767,8.50263914577,8.50263914577,5.39794886517,5.5105543607,3.81998305326,6.80004818813,5.6838672931,8.3054324294,8.5026391462,8.5026391462,8.50263914621,8.50263914622,7.75841906589,6.020339924,4.93065183693,7.90454336876,8.50263914474,8.50263914484,8.50263914484,8.50263914484,8.50263914537,8.50263914527,8.50263914527,7.30362620567,8.21790666233,8.50263914563,8.50263914563,8.50263914553,7.37460772853,7.63643774684,7.65425571545,8.50263914504,8.50263914534,8.50263914534,8.50263914534,8.50263914531,8.50263914531,8.50263914531,8.50263914531,8.50263914554,7.18619292124,7.430072202,8.5026391452,8.5026391452,8.5026391452,8.5026391452,8.5026391453,8.502639145293,8.502639145273,8.502639145273,8.502639145193,8.502639145193,7.55181670649,7.24416090715,8.50263914535,8.50263914544,8.50263914544,8.50263914534,8.50263914534,8.50263914535,8.50263914535,8.50263914535,8.50263914535,8.502639145369,8.502639145369,8.50263914535,7.72461444055,8.50263914545,8.45037758805,8.50263914545,8.50263914545,7.47328848105,6.61187603895,8.50263914519,4.55739052953,7.7516939765,8.10594340949,8.54892698189,9.69552298707,9.69552298717,9.42574527657,8.67651458029,7.172808121
"t55",3.56445656723,4.02321525928,5.83068726128,3.53527819717,2.56428414877,0,1.344461222299,1.344461222299,1.34446122234,1.34446122226,1.3444612223,0.8943264589,1.99096627207,1.99096627207,1.88415733717,1.99096627227,2.56153143508,2.56153143508,2.56153143508,2.56153143504,1.98084805884,2.56153143493,2.56153143496,2.56153143496,2.56153143503,2.56153143503,2.56153143501,2.30092457941,2.56153143495,2.43085929525,3.85746989895,4.63192110895,3.95629832595,4.63192110905,4.63192110905,4.63192110865,3.85596900807,5.30969792597,5.30969792597,5.30969792607,5.30969792601,5.30969792601,5.30969792608,5.30969792607,4.25690638997,5.68451807007,7.42225419617,7.17112161028,7.48936245687,7.48936245687,7.48936245717,7.48936245717,7.00583365287,7.48936245681,7.48936245681,7.48936245687,7.48936245687,4.20041080347,4.55825475787,5.22950024327,7.61552292257,9.82213970017,9.82213969994,9.82213969994,9.82213969994,9.04533113684,9.82213970001,9.82213970001,8.83379249021,8.04478098597,6.65628759514,8.20345715014,9.82213970004,9.18041717984,9.36971568654,9.82213969994,8.84170750244,9.82213970054,9.82213970054,6.71744941994,6.83005491547,5.13948360803,8.1195487429,7.00336784787,9.62493298417,9.82213970097,9.82213970097,9.82213970098,9.82213970099,9.07791962066,7.33984047877,6.2501523917,9.22404392353,9.82213969951,9.82213969961,9.82213969961,9.82213969961,9.82213970014,9.82213970004,9.82213970004,8.62312676044,9.5374072171,9.8221397004,9.8221397004,9.8221397003,8.6941082833,8.95593830161,8.97375627022,9.82213969981,9.82213970011,9.82213970011,9.82213970011,9.82213970008,9.82213970008,9.82213970008,9.82213970008,9.82213970031,8.50569347601,8.74957275677,9.82213969997,9.82213969997,9.82213969997,9.82213969997,9.82213970007,9.822139700063,9.822139700043,9.822139700043,9.822139699963,9.822139699963,8.87131726126,8.56366146192,9.82213970012,9.82213970021,9.82213970021,9.82213970011,9.82213970011,9.82213970012,9.82213970012,9.82213970012,9.82213970012,9.822139700139,9.822139700139,9.82213970012,9.04411499532,9.82213970022,9.76987814282,9.82213970022,9.82213970022,8.79278903582,7.93137659372,9.82213969996,5.8768910843,9.07119453127,9.42544396426,9.86842753666,11.01502354184,11.01502354194,10.74524583134,9.99601513506,8.49230867577
"t159",4.365214993329,4.823973685379,6.631445687379,4.336036623269,3.365042574869,1.344461222299,0,0.016760989718,0.476829084759,0.668436609039,0.842077849199,1.695084884999,2.791724698169,2.791724698169,2.684915763269,2.791724698369,3.362289861179,3.362289861179,3.362289861179,3.362289861139,2.781606484939,3.362289861029,3.362289861059,3.362289861059,3.362289861129,3.362289861129,3.362289861109,3.101683005509,3.362289861049,3.231617721349,4.658228325049,5.432679535049,4.757056752049,5.432679535149,5.432679535149,5.432679534749,4.656727434169,6.110456352069,6.110456352069,6.110456352169,6.110456352109,6.110456352109,6.110456352179,6.110456352169,5.057664816069,6.485276496169,8.223012622269,7.971880036379,8.290120882969,8.290120882969,8.290120883269,8.290120883269,7.806592078969,8.290120882909,8.290120882909,8.290120882969,8.290120882969,5.001169229569,5.359013183969,6.030258669369,8.416281348669,10.622898126269,10.622898126039,10.622898126039,10.622898126039,9.846089562939,10.622898126109,10.622898126109,9.634550916309,8.845539412069,7.457046021239,9.004215576239,10.622898126139,9.981175605939,10.170474112639,10.622898126039,9.642465928539,10.622898126639,10.622898126639,7.518207846039,7.630813341569,5.940242034129,8.920307168999,7.804126273969,10.425691410269,10.622898127069,10.622898127069,10.622898127079,10.622898127089,9.878678046759,8.140598904869,7.050910817799,10.024802349629,10.622898125609,10.622898125709,10.622898125709,10.622898125709,10.622898126239,10.622898126139,10.622898126139,9.423885186539,10.338165643199,10.622898126499,10.622898126499,10.622898126399,9.494866709399,9.756696727709,9.774514696319,10.622898125909,10.622898126209,10.622898126209,10.622898126209,10.622898126179,10.622898126179,10.622898126179,10.622898126179,10.622898126409,9.306451902109,9.550331182869,10.622898126069,10.622898126069,10.622898126069,10.622898126069,10.622898126169,10.622898126162,10.622898126142,10.622898126142,10.622898126062,10.622898126062,9.672075687359,9.364419888019,10.622898126219,10.622898126309,10.622898126309,10.622898126209,10.622898126209,10.622898126219,10.622898126219,10.622898126219,10.622898126219,10.622898126238,10.622898126238,10.622898126219,9.844873421419,10.622898126319,10.570636568919,10.622898126319,10.622898126319,9.593547461919,8.732135019819,10.622898126059,6.677649510399,9.871952957369,10.226202390359,10.669185962759,11.815781967939,11.815781968039,11.546004257439,10.796773561159,9.293067101869
"t160",4.365214993329,4.823973685379,6.631445687379,4.336036623269,3.365042574869,1.344461222299,0.016760989718,0,0.476829084759,0.668436609039,0.842077849199,1.695084884999,2.791724698169,2.791724698169,2.684915763269,2.791724698369,3.362289861179,3.362289861179,3.362289861179,3.362289861139,2.781606484939,3.362289861029,3.362289861059,3.362289861059,3.362289861129,3.362289861129,3.362289861109,3.101683005509,3.362289861049,3.231617721349,4.658228325049,5.432679535049,4.757056752049,5.432679535149,5.432679535149,5.432679534749,4.656727434169,6.110456352069,6.110456352069,6.110456352169,6.110456352109,6.110456352109,6.110456352179,6.110456352169,5.057664816069,6.485276496169,8.223012622269,7.971880036379,8.290120882969,8.290120882969,8.290120883269,8.290120883269,7.806592078969,8.290120882909,8.290120882909,8.290120882969,8.290120882969,5.001169229569,5.359013183969,6.030258669369,8.416281348669,10.622898126269,10.622898126039,10.622898126039,10.622898126039,9.846089562939,10.622898126109,10.622898126109,9.634550916309,8.845539412069,7.457046021239,9.004215576239,10.622898126139,9.981175605939,10.170474112639,10.622898126039,9.642465928539,10.622898126639,10.622898126639,7.518207846039,7.630813341569,5.940242034129,8.920307168999,7.804126273969,10.425691410269,10.622898127069,10.622898127069,10.622898127079,10.622898127089,9.878678046759,8.140598904869,7.050910817799,10.024802349629,10.622898125609,10.622898125709,10.622898125709,10.622898125709,10.622898126239,10.622898126139,10.622898126139,9.423885186539,10.338165643199,10.622898126499,10.622898126499,10.622898126399,9.494866709399,9.756696727709,9.774514696319,10.622898125909,10.622898126209,10.622898126209,10.622898126209,10.622898126179,10.622898126179,10.622898126179,10.622898126179,10.622898126409,9.306451902109,9.550331182869,10.622898126069,10.622898126069,10.622898126069,10.622898126069,10.622898126169,10.622898126162,10.622898126142,10.622898126142,10.622898126062,10.622898126062,9.672075687359,9.364419888019,10.622898126219,10.622898126309,10.622898126309,10.622898126209,10.622898126209,10.622898126219,10.622898126219,10.622898126219,10.622898126219,10.622898126238,10.622898126238,10.622898126219,9.844873421419,10.622898126319,10.570636568919,10.622898126319,10.622898126319,9.593547461919,8.732135019819,10.622898126059,6.677649510399,9.871952957369,10.226202390359,10.669185962759,11.815781967939,11.815781968039,11.546004257439,10.796773561159,9.293067101869
"t123",4.36521499337,4.82397368542,6.63144568742,4.33603662331,3.36504257491,1.34446122234,0.476829084759,0.476829084759,0,0.66843660908,0.84207784924,1.69508488504,2.79172469821,2.79172469821,2.68491576331,2.79172469841,3.36228986122,3.36228986122,3.36228986122,3.36228986118,2.78160648498,3.36228986107,3.3622898611,3.3622898611,3.36228986117,3.36228986117,3.36228986115,3.10168300555,3.36228986109,3.23161772139,4.65822832509,5.43267953509,4.75705675209,5.43267953519,5.43267953519,5.43267953479,4.65672743421,6.11045635211,6.11045635211,6.11045635221,6.11045635215,6.11045635215,6.11045635222,6.11045635221,5.05766481611,6.48527649621,8.22301262231,7.97188003642,8.29012088301,8.29012088301,8.29012088331,8.29012088331,7.80659207901,8.29012088295,8.29012088295,8.29012088301,8.29012088301,5.00116922961,5.35901318401,6.03025866941,8.41628134871,10.62289812631,10.62289812608,10.62289812608,10.62289812608,9.84608956298,10.62289812615,10.62289812615,9.63455091635,8.84553941211,7.45704602128,9.00421557628,10.62289812618,9.98117560598,10.17047411268,10.62289812608,9.64246592858,10.62289812668,10.62289812668,7.51820784608,7.63081334161,5.94024203417,8.92030716904,7.80412627401,10.42569141031,10.62289812711,10.62289812711,10.62289812712,10.62289812713,9.8786780468,8.14059890491,7.05091081784,10.02480234967,10.62289812565,10.62289812575,10.62289812575,10.62289812575,10.62289812628,10.62289812618,10.62289812618,9.42388518658,10.33816564324,10.62289812654,10.62289812654,10.62289812644,9.49486670944,9.75669672775,9.77451469636,10.62289812595,10.62289812625,10.62289812625,10.62289812625,10.62289812622,10.62289812622,10.62289812622,10.62289812622,10.62289812645,9.30645190215,9.55033118291,10.62289812611,10.62289812611,10.62289812611,10.62289812611,10.62289812621,10.622898126203,10.622898126183,10.622898126183,10.622898126103,10.622898126103,9.6720756874,9.36441988806,10.62289812626,10.62289812635,10.62289812635,10.62289812625,10.62289812625,10.62289812626,10.62289812626,10.62289812626,10.62289812626,10.622898126279,10.622898126279,10.62289812626,9.84487342146,10.62289812636,10.57063656896,10.62289812636,10.62289812636,9.59354746196,8.73213501986,10.6228981261,6.67764951044,9.87195295741,10.2262023904,10.6691859628,11.81578196798,11.81578196808,11.54600425748,10.7967735612,9.29306710191
"t115",4.36521499329,4.82397368534,6.63144568734,4.33603662323,3.36504257483,1.34446122226,0.668436609039,0.668436609039,0.66843660908,0,0.84207784916,1.69508488496,2.79172469813,2.79172469813,2.68491576323,2.79172469833,3.36228986114,3.36228986114,3.36228986114,3.3622898611,2.7816064849,3.36228986099,3.36228986102,3.36228986102,3.36228986109,3.36228986109,3.36228986107,3.10168300547,3.36228986101,3.23161772131,4.65822832501,5.43267953501,4.75705675201,5.43267953511,5.43267953511,5.43267953471,4.65672743413,6.11045635203,6.11045635203,6.11045635213,6.11045635207,6.11045635207,6.11045635214,6.11045635213,5.05766481603,6.48527649613,8.22301262223,7.97188003634,8.29012088293,8.29012088293,8.29012088323,8.29012088323,7.80659207893,8.29012088287,8.29012088287,8.29012088293,8.29012088293,5.00116922953,5.35901318393,6.03025866933,8.41628134863,10.62289812623,10.622898126,10.622898126,10.622898126,9.8460895629,10.62289812607,10.62289812607,9.63455091627,8.84553941203,7.4570460212,9.0042155762,10.6228981261,9.9811756059,10.1704741126,10.622898126,9.6424659285,10.6228981266,10.6228981266,7.518207846,7.63081334153,5.94024203409,8.92030716896,7.80412627393,10.42569141023,10.62289812703,10.62289812703,10.62289812704,10.62289812705,9.87867804672,8.14059890483,7.05091081776,10.02480234959,10.62289812557,10.62289812567,10.62289812567,10.62289812567,10.6228981262,10.6228981261,10.6228981261,9.4238851865,10.33816564316,10.62289812646,10.62289812646,10.62289812636,9.49486670936,9.75669672767,9.77451469628,10.62289812587,10.62289812617,10.62289812617,10.62289812617,10.62289812614,10.62289812614,10.62289812614,10.62289812614,10.62289812637,9.30645190207,9.55033118283,10.62289812603,10.62289812603,10.62289812603,10.62289812603,10.62289812613,10.622898126123,10.622898126103,10.622898126103,10.622898126023,10.622898126023,9.67207568732,9.36441988798,10.62289812618,10.62289812627,10.62289812627,10.62289812617,10.62289812617,10.62289812618,10.62289812618,10.62289812618,10.62289812618,10.622898126199,10.622898126199,10.62289812618,9.84487342138,10.62289812628,10.57063656888,10.62289812628,10.62289812628,9.59354746188,8.73213501978,10.62289812602,6.67764951036,9.87195295733,10.22620239032,10.66918596272,11.8157819679,11.815781968,11.5460042574,10.79677356112,9.29306710183
