"accepted_species","trait_BM_trend_scaled"
"t42",-0.260532503369182
"t110",-1.09200556964649
"t111",-0.928485127415313
"t29",1.72444714133536
"t30",2.92742251158983
"t4",1.20976748547228
"t12",0.62651799679765
"t13",-0.364473395698247
"t54",0.271592348448158
"t55",1.60902578970415
"t90",0.583860322485393
"t139",0.359969822999698
"t140",0.462443270285255
"t83",0.586331294999762
"t66",-0.986679738209614
"t67",-1.07658615833673
"t6",-0.882770878203451
"t105",-0.664645461511488
"t106",-0.808837890869068
"t116",-1.09275588940348
"t117",-0.992874472200598
"t9",1.88047736893165
"t89",1.80652484575981
"t100",1.43126779907082
"t101",1.01862967924077
"t75",1.21046226611203
"t76",0.981668948550268
"t114",1.55835756531507
"t115",1.55899992899979
"t43",0.95610431900151
"t16",0.610413173483085
"t17",0.570837219919891
"t2",-0.0053565364555221
"t1",-1.26856687628622
"t22",-1.44742653097633
"t23",-0.964901452655735
"t31",-0.679973210357065
"t32",-0.563544110645203
"t63",-1.04926065802928
"t64",-0.805135914314361
"t45",-0.906853739504157
"t88",-1.1231400616619
"t91",-1.08491124782416
"t96",-0.600238578385674
"t97",-0.767811587366308
"t28",-0.960871320280565
"t84",-0.159790286036081
"t85",0.483030816124657
"t25",-1.10114915465232
"t14",-0.442172386134762
"t15",-0.956276391469043
"t133",-0.194820923535201
"t134",-0.206031964491222
"t68",0.772788016441775
"t69",0.555032779622136
"t40",-0.529035164222902
"t36",-0.864476614975318
"t70",-1.33378040506418
"t71",-1.95879752421922
"t131",-0.734959126314721
"t132",-0.472725158430701
"t34",0.231825329009314
"t52",-0.104543934285934
"t53",-0.142634148087741
"t112",0.765982532545774
"t113",0.559604465268752
"t127",0.213934478001411
"t128",0.518184202861012
"t58",0.103171454307673
"t20",0.0947044022620305
"t21",0.470505563120789
"t19",0.490305172847995
"t7",-1.07580730465902
"t5",-1.78669744361672
"t41",-1.78881380081395
"t108",-2.78111662593246
"t109",-2.49206000587056
"t11",-1.42641540560667
"t10",0.71785637231665
"t59",0.971891182636954
"t60",0.909303765617726
"t123",1.87930874382754
"t124",1.64685528335383
"t38",0.851935885102412
"t121",0.902542355045114
"t122",0.800697558533157
"t107",1.11760762808578
"t77",1.41678362541448
"t98",2.05341142566653
"t99",1.63158226004792
"t65",1.47425997692336
"t95",0.981713103036595
"t118",0.961139290688511
"t119",0.938316113622809
"t27",0.0608727201815084
"t26",0.828445811634436
"t78",1.31926117894276
"t79",0.882941224647897
"t57",1.15494422528632
"t18",0.684095904939523
"t3",-0.220529681151075
"t48",-0.0874602758932308
"t49",-0.983985995955639
"t37",-0.272365776128809
"t46",-0.0510535774677414
"t47",-1.18458725958213
"t137",-0.081348511834867
"t138",-0.0612880757730812
"t120",-0.196133857428611
"t61",-1.00739283351618
"t62",-0.867402364241646
"t72",-0.626817656340922
"t81",-0.139445344474973
"t125",-0.673324265990287
"t126",-0.686273980357179
"t73",-1.49099748149667
"t74",-1.24994209326709
"t39",-0.927609649952891
"t129",-0.229314913256137
"t130",-0.422127532581368
"t56",0.475950554381313
"t35",-0.308781226581854
"t82",0.747532516331678
"t103",0.408777913060952
"t104",1.00027058209512
"t94",0.564742468293456
"t102",0.306472893363744
"t135",-0.155189278172291
"t136",-0.236450955627863
"t86",0.0835658287101289
"t87",0.460664178480704
"t44",-0.173945701050261
"t24",-0.99199804892988
"t51",-0.160251716006891
"t80",-0.643374217517728
"t92",-0.0830062937702086
"t93",-0.425014855769016
"t50",-0.366791584346385
"t33",-0.0266299897753336
"t8",-0.476355208921352
