,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t6,-3.1848571,-5.986329,28.520369,31.301819,25.892828,-7.2447963,-2.2751038,-0.06998298,25.235352,0.8199667,-0.37981144,-5.191896,-7.458153,11.171206,3.8084774
t33,-4.72033,-8.537771,41.06039,43.667973,37.016403,-10.462181,-3.1979089,-0.015103223,35.94851,0.870046,-0.31622884,-7.418751,-10.317253,16.663315,6.5691166
t34,-4.344255,-8.0397625,38.289326,41.80202,34.605606,-9.857315,-3.147503,0.04099714,33.548973,0.6572155,-0.36107117,-7.0371604,-9.880191,15.718449,5.563606
t4,-2.9681938,-5.6293607,26.79688,29.53168,24.281725,-6.799614,-2.1283412,-0.089443944,23.627153,0.78195417,-0.42808986,-4.861262,-7.066353,10.211676,3.4405303
t50,-4.243791,-8.724474,39.4722,45.57841,36.78489,-10.313098,-3.025003,0.111734025,36.000774,-0.054149367,-0.42096153,-7.563314,-10.643366,15.198848,5.473272
t59,-3.944793,-7.9864326,36.666187,41.631092,33.86758,-9.459836,-2.7445376,-0.058747556,33.324947,0.29848802,-0.4826753,-6.9005637,-9.768363,13.8820505,5.0747223
t60,-3.91949,-7.938916,36.2673,41.27827,33.618507,-9.3728075,-2.7352405,-0.060248066,33.093437,0.24809778,-0.4947473,-6.844472,-9.708728,13.8345585,4.9998665
t5,-3.1186004,-5.964849,28.165892,31.167828,25.633802,-7.162891,-2.241584,-0.06343887,24.884335,0.6677989,-0.42127624,-5.1228805,-7.397664,10.863442,3.7459111
t12,-6.6035433,-6.431129,44.866604,41.668926,37.3014,-9.452213,-2.5461452,-2.1625364,22.620354,13.739401,-0.4256721,-6.425187,-9.419097,10.798423,4.568026
t15,-5.8312855,-4.824812,37.90276,33.63662,30.721859,-7.6659517,-1.9978287,-2.241316,16.958368,13.909593,-0.60863376,-5.0801063,-7.8022814,7.3605742,2.4987025
t39,-6.8838563,-6.4822893,45.75256,42.098076,38.35436,-9.532358,-2.5276806,-2.214525,22.474762,14.19809,-0.52148074,-6.3132787,-9.490537,10.214426,3.892991
t75,-6.7997966,-6.332519,45.788357,42.11304,38.15847,-9.586695,-2.5848165,-2.246364,22.598412,14.8080635,-0.55936426,-6.4159813,-9.544214,10.242489,3.521955
t76,-6.755324,-6.3858714,45.71804,42.195656,38.187904,-9.540834,-2.5751474,-2.1749613,22.522217,14.40118,-0.6224298,-6.4005404,-9.541307,10.178506,3.4993668
t52,-6.2969913,-5.5192723,41.5837,37.757294,34.160667,-8.573674,-2.3161318,-2.239947,19.222382,14.351072,-0.6253326,-5.6526337,-8.655138,8.621426,2.8456097
t23,-5.907625,-4.8885117,38.317524,34.12977,31.154736,-7.7789063,-2.0546353,-2.244398,17.133999,14.018184,-0.60645574,-5.1353283,-7.9025683,7.50662,2.4039931
t19,-6.3657103,-5.7150583,41.765156,38.0918,34.756454,-8.727933,-2.2958426,-2.2267454,20.063822,13.964325,-0.46719795,-5.800686,-8.6710825,9.044418,3.4367151
t41,-6.4002967,-5.846175,42.173546,39.002274,35.493824,-8.783561,-2.4239721,-2.2150595,20.288597,13.927443,-0.6027122,-5.913527,-8.983851,9.024834,3.1914759
t42,-6.682808,-6.4010196,45.151375,42.36422,37.714878,-9.436597,-2.5447254,-2.2821777,22.616154,14.1445265,-0.5247854,-6.5356507,-9.633531,10.135188,3.909388
t35,-6.887853,-6.4682107,45.7816,42.355186,38.50605,-9.563308,-2.6346567,-2.3265753,22.805016,14.620816,-0.4987745,-6.4701514,-9.615891,10.932198,4.2511263
t27,-6.44069,-6.036422,43.642418,40.385746,36.260857,-9.029996,-2.4296002,-2.1840532,21.538687,13.885805,-0.5134914,-6.203487,-9.215451,9.690779,3.691553
