"","t1","t2","t3","t72","t73","t76","t77","t58","t89","t90","t29","t30","t31","t32","t4","t80","t81","t99","t100","t83","t84","t59","t60","t47","t43","t44","t5","t15","t36","t37","t45","t46","t16","t17","t62","t63","t56","t11","t12","t20","t21","t54","t55","t87","t88","t35","t97","t98","t25","t26","t68","t69","t9","t10","t27","t28","t22","t74","t75","t48","t14","t49","t50","t95","t96","t82","t61","t13","t93","t94","t19","t39","t70","t71","t57","t8","t53","t64","t65","t18","t51","t52","t40","t41","t42","t38","t85","t86","t66","t67","t91","t92","t78","t79","t6","t7","t33","t34","t23","t24"
"t1",0,1.6001007543,1.6001007543,1.88433482564,1.88433482564,1.88433482561,1.88433482561,1.88433482561,1.88433482558,1.88433482558,1.88433482557,1.88433482557,1.88433482562,1.88433482562,1.88433482557,1.88433482561,1.88433482561,1.88433482561,1.88433482561,1.88433482561,1.88433482561,1.88433482561,1.88433482561,1.88433482562,1.88433482562,1.88433482562,1.884334825671,1.884334825699,1.884334825659,1.884334825659,1.884334825699,1.884334825699,1.884334825668,1.884334825668,1.884334825628,1.884334825628,1.884334825608,1.884334825618,1.884334825618,1.884334825653,1.884334825653,1.884334825668,1.884334825668,1.884334825678,1.884334825678,1.884334825668,1.884334825641,1.884334825641,1.88433482563,1.88433482563,1.8843348257,1.8843348257,1.88433482568,1.884334825671,1.884334825671,1.884334825671,1.884334825681,1.884334825651,1.884334825651,1.884334825651,1.884334825671,1.884334825631,1.884334825631,1.884334825649,1.884334825649,1.884334825651,1.884334825651,1.884334825721,1.884334825715,1.884334825715,1.884334825681,1.8843348257,1.88433482569,1.88433482569,1.88433482569,1.8843348256,1.99999999996,1.999999999992,1.999999999992,1.999999999992,2.000000000002,2.000000000002,1.999999999982,2.00000000006,2.00000000006,2.000000000022,2.000000000062,2.000000000062,2.000000000062,2.000000000062,2.000000000052,2.000000000052,1.999999999952,1.999999999952,1.999999999955,1.999999999955,2.00000000004,2.00000000004,2.00000000004,2.00000000004
"t2",1.6001007543,0,1.1685212334,1.88433482574,1.88433482574,1.88433482571,1.88433482571,1.88433482571,1.88433482568,1.88433482568,1.88433482567,1.88433482567,1.88433482572,1.88433482572,1.88433482567,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482572,1.88433482572,1.88433482572,1.884334825771,1.884334825799,1.884334825759,1.884334825759,1.884334825799,1.884334825799,1.884334825768,1.884334825768,1.884334825728,1.884334825728,1.884334825708,1.884334825718,1.884334825718,1.884334825753,1.884334825753,1.884334825768,1.884334825768,1.884334825778,1.884334825778,1.884334825768,1.884334825741,1.884334825741,1.88433482573,1.88433482573,1.8843348258,1.8843348258,1.88433482578,1.884334825771,1.884334825771,1.884334825771,1.884334825781,1.884334825751,1.884334825751,1.884334825751,1.884334825771,1.884334825731,1.884334825731,1.884334825749,1.884334825749,1.884334825751,1.884334825751,1.884334825821,1.884334825815,1.884334825815,1.884334825781,1.8843348258,1.88433482579,1.88433482579,1.88433482579,1.8843348257,2.00000000006,2.000000000092,2.000000000092,2.000000000092,2.000000000102,2.000000000102,2.000000000082,2.00000000016,2.00000000016,2.000000000122,2.000000000162,2.000000000162,2.000000000162,2.000000000162,2.000000000152,2.000000000152,2.000000000052,2.000000000052,2.000000000055,2.000000000055,2.00000000014,2.00000000014,2.00000000014,2.00000000014
"t3",1.6001007543,1.1685212334,0,1.88433482574,1.88433482574,1.88433482571,1.88433482571,1.88433482571,1.88433482568,1.88433482568,1.88433482567,1.88433482567,1.88433482572,1.88433482572,1.88433482567,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482571,1.88433482572,1.88433482572,1.88433482572,1.884334825771,1.884334825799,1.884334825759,1.884334825759,1.884334825799,1.884334825799,1.884334825768,1.884334825768,1.884334825728,1.884334825728,1.884334825708,1.884334825718,1.884334825718,1.884334825753,1.884334825753,1.884334825768,1.884334825768,1.884334825778,1.884334825778,1.884334825768,1.884334825741,1.884334825741,1.88433482573,1.88433482573,1.8843348258,1.8843348258,1.88433482578,1.884334825771,1.884334825771,1.884334825771,1.884334825781,1.884334825751,1.884334825751,1.884334825751,1.884334825771,1.884334825731,1.884334825731,1.884334825749,1.884334825749,1.884334825751,1.884334825751,1.884334825821,1.884334825815,1.884334825815,1.884334825781,1.8843348258,1.88433482579,1.88433482579,1.88433482579,1.8843348257,2.00000000006,2.000000000092,2.000000000092,2.000000000092,2.000000000102,2.000000000102,2.000000000082,2.00000000016,2.00000000016,2.000000000122,2.000000000162,2.000000000162,2.000000000162,2.000000000162,2.000000000152,2.000000000152,2.000000000052,2.000000000052,2.000000000055,2.000000000055,2.00000000014,2.00000000014,2.00000000014,2.00000000014
"t72",1.88433482564,1.88433482574,1.88433482574,0,0.08227331114,0.63983509491,0.63983509491,0.63983509491,0.63983509488,0.63983509488,0.63983509487,0.63983509487,0.63983509492,0.63983509492,1.01131509287,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550312,1.47880550312,1.47880550312,1.478805503171,1.478805503199,1.478805503159,1.478805503159,1.478805503199,1.478805503199,1.478805503168,1.478805503168,1.478805503128,1.478805503128,1.478805503108,1.478805503118,1.478805503118,1.478805503153,1.478805503153,1.478805503168,1.478805503168,1.478805503178,1.478805503178,1.478805503168,1.478805503141,1.478805503141,1.47880550313,1.47880550313,1.4788055032,1.4788055032,1.47880550318,1.478805503171,1.478805503171,1.478805503171,1.478805503181,1.478805503151,1.478805503151,1.478805503151,1.478805503171,1.478805503131,1.478805503131,1.478805503149,1.478805503149,1.478805503151,1.478805503151,1.478805503221,1.478805503215,1.478805503215,1.478805503181,1.62682374634,1.62682374633,1.62682374633,1.62682374633,1.62682374624,2,2.000000000032,2.000000000032,2.000000000032,2.000000000042,2.000000000042,2.000000000022,2.0000000001,2.0000000001,2.000000000062,2.000000000102,2.000000000102,2.000000000102,2.000000000102,2.000000000092,2.000000000092,1.999999999992,1.999999999992,1.999999999995,1.999999999995,2.00000000008,2.00000000008,2.00000000008,2.00000000008
"t73",1.88433482564,1.88433482574,1.88433482574,0.08227331114,0,0.63983509491,0.63983509491,0.63983509491,0.63983509488,0.63983509488,0.63983509487,0.63983509487,0.63983509492,0.63983509492,1.01131509287,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550311,1.47880550312,1.47880550312,1.47880550312,1.478805503171,1.478805503199,1.478805503159,1.478805503159,1.478805503199,1.478805503199,1.478805503168,1.478805503168,1.478805503128,1.478805503128,1.478805503108,1.478805503118,1.478805503118,1.478805503153,1.478805503153,1.478805503168,1.478805503168,1.478805503178,1.478805503178,1.478805503168,1.478805503141,1.478805503141,1.47880550313,1.47880550313,1.4788055032,1.4788055032,1.47880550318,1.478805503171,1.478805503171,1.478805503171,1.478805503181,1.478805503151,1.478805503151,1.478805503151,1.478805503171,1.478805503131,1.478805503131,1.478805503149,1.478805503149,1.478805503151,1.478805503151,1.478805503221,1.478805503215,1.478805503215,1.478805503181,1.62682374634,1.62682374633,1.62682374633,1.62682374633,1.62682374624,2,2.000000000032,2.000000000032,2.000000000032,2.000000000042,2.000000000042,2.000000000022,2.0000000001,2.0000000001,2.000000000062,2.000000000102,2.000000000102,2.000000000102,2.000000000102,2.000000000092,2.000000000092,1.999999999992,1.999999999992,1.999999999995,1.999999999995,2.00000000008,2.00000000008,2.00000000008,2.00000000008
"t76",1.88433482561,1.88433482571,1.88433482571,0.63983509491,0.63983509491,0,0.05988118662,0.13318832098,0.37423744435,0.37423744435,0.47167948168,0.47167948168,0.47167948173,0.47167948173,1.01131509284,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550309,1.47880550309,1.47880550309,1.478805503141,1.478805503169,1.478805503129,1.478805503129,1.478805503169,1.478805503169,1.478805503138,1.478805503138,1.478805503098,1.478805503098,1.478805503078,1.478805503088,1.478805503088,1.478805503123,1.478805503123,1.478805503138,1.478805503138,1.478805503148,1.478805503148,1.478805503138,1.478805503111,1.478805503111,1.4788055031,1.4788055031,1.47880550317,1.47880550317,1.47880550315,1.478805503141,1.478805503141,1.478805503141,1.478805503151,1.478805503121,1.478805503121,1.478805503121,1.478805503141,1.478805503101,1.478805503101,1.478805503119,1.478805503119,1.478805503121,1.478805503121,1.478805503191,1.478805503185,1.478805503185,1.478805503151,1.62682374631,1.6268237463,1.6268237463,1.6268237463,1.62682374621,1.99999999997,2.000000000002,2.000000000002,2.000000000002,2.000000000012,2.000000000012,1.999999999992,2.00000000007,2.00000000007,2.000000000032,2.000000000072,2.000000000072,2.000000000072,2.000000000072,2.000000000062,2.000000000062,1.999999999962,1.999999999962,1.999999999965,1.999999999965,2.00000000005,2.00000000005,2.00000000005,2.00000000005
"t77",1.88433482561,1.88433482571,1.88433482571,0.63983509491,0.63983509491,0.05988118662,0,0.13318832098,0.37423744435,0.37423744435,0.47167948168,0.47167948168,0.47167948173,0.47167948173,1.01131509284,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550309,1.47880550309,1.47880550309,1.478805503141,1.478805503169,1.478805503129,1.478805503129,1.478805503169,1.478805503169,1.478805503138,1.478805503138,1.478805503098,1.478805503098,1.478805503078,1.478805503088,1.478805503088,1.478805503123,1.478805503123,1.478805503138,1.478805503138,1.478805503148,1.478805503148,1.478805503138,1.478805503111,1.478805503111,1.4788055031,1.4788055031,1.47880550317,1.47880550317,1.47880550315,1.478805503141,1.478805503141,1.478805503141,1.478805503151,1.478805503121,1.478805503121,1.478805503121,1.478805503141,1.478805503101,1.478805503101,1.478805503119,1.478805503119,1.478805503121,1.478805503121,1.478805503191,1.478805503185,1.478805503185,1.478805503151,1.62682374631,1.6268237463,1.6268237463,1.6268237463,1.62682374621,1.99999999997,2.000000000002,2.000000000002,2.000000000002,2.000000000012,2.000000000012,1.999999999992,2.00000000007,2.00000000007,2.000000000032,2.000000000072,2.000000000072,2.000000000072,2.000000000072,2.000000000062,2.000000000062,1.999999999962,1.999999999962,1.999999999965,1.999999999965,2.00000000005,2.00000000005,2.00000000005,2.00000000005
"t58",1.88433482561,1.88433482571,1.88433482571,0.63983509491,0.63983509491,0.13318832098,0.13318832098,0,0.37423744435,0.37423744435,0.47167948168,0.47167948168,0.47167948173,0.47167948173,1.01131509284,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550308,1.47880550309,1.47880550309,1.47880550309,1.478805503141,1.478805503169,1.478805503129,1.478805503129,1.478805503169,1.478805503169,1.478805503138,1.478805503138,1.478805503098,1.478805503098,1.478805503078,1.478805503088,1.478805503088,1.478805503123,1.478805503123,1.478805503138,1.478805503138,1.478805503148,1.478805503148,1.478805503138,1.478805503111,1.478805503111,1.4788055031,1.4788055031,1.47880550317,1.47880550317,1.47880550315,1.478805503141,1.478805503141,1.478805503141,1.478805503151,1.478805503121,1.478805503121,1.478805503121,1.478805503141,1.478805503101,1.478805503101,1.478805503119,1.478805503119,1.478805503121,1.478805503121,1.478805503191,1.478805503185,1.478805503185,1.478805503151,1.62682374631,1.6268237463,1.6268237463,1.6268237463,1.62682374621,1.99999999997,2.000000000002,2.000000000002,2.000000000002,2.000000000012,2.000000000012,1.999999999992,2.00000000007,2.00000000007,2.000000000032,2.000000000072,2.000000000072,2.000000000072,2.000000000072,2.000000000062,2.000000000062,1.999999999962,1.999999999962,1.999999999965,1.999999999965,2.00000000005,2.00000000005,2.00000000005,2.00000000005
"t89",1.88433482558,1.88433482568,1.88433482568,0.63983509488,0.63983509488,0.37423744435,0.37423744435,0.37423744435,0,0.02223227912,0.47167948165,0.47167948165,0.4716794817,0.4716794817,1.01131509281,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550306,1.47880550306,1.47880550306,1.478805503111,1.478805503139,1.478805503099,1.478805503099,1.478805503139,1.478805503139,1.478805503108,1.478805503108,1.478805503068,1.478805503068,1.478805503048,1.478805503058,1.478805503058,1.478805503093,1.478805503093,1.478805503108,1.478805503108,1.478805503118,1.478805503118,1.478805503108,1.478805503081,1.478805503081,1.47880550307,1.47880550307,1.47880550314,1.47880550314,1.47880550312,1.478805503111,1.478805503111,1.478805503111,1.478805503121,1.478805503091,1.478805503091,1.478805503091,1.478805503111,1.478805503071,1.478805503071,1.478805503089,1.478805503089,1.478805503091,1.478805503091,1.478805503161,1.478805503155,1.478805503155,1.478805503121,1.62682374628,1.62682374627,1.62682374627,1.62682374627,1.62682374618,1.99999999994,1.999999999972,1.999999999972,1.999999999972,1.999999999982,1.999999999982,1.999999999962,2.00000000004,2.00000000004,2.000000000002,2.000000000042,2.000000000042,2.000000000042,2.000000000042,2.000000000032,2.000000000032,1.999999999932,1.999999999932,1.999999999935,1.999999999935,2.00000000002,2.00000000002,2.00000000002,2.00000000002
"t90",1.88433482558,1.88433482568,1.88433482568,0.63983509488,0.63983509488,0.37423744435,0.37423744435,0.37423744435,0.02223227912,0,0.47167948165,0.47167948165,0.4716794817,0.4716794817,1.01131509281,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550305,1.47880550306,1.47880550306,1.47880550306,1.478805503111,1.478805503139,1.478805503099,1.478805503099,1.478805503139,1.478805503139,1.478805503108,1.478805503108,1.478805503068,1.478805503068,1.478805503048,1.478805503058,1.478805503058,1.478805503093,1.478805503093,1.478805503108,1.478805503108,1.478805503118,1.478805503118,1.478805503108,1.478805503081,1.478805503081,1.47880550307,1.47880550307,1.47880550314,1.47880550314,1.47880550312,1.478805503111,1.478805503111,1.478805503111,1.478805503121,1.478805503091,1.478805503091,1.478805503091,1.478805503111,1.478805503071,1.478805503071,1.478805503089,1.478805503089,1.478805503091,1.478805503091,1.478805503161,1.478805503155,1.478805503155,1.478805503121,1.62682374628,1.62682374627,1.62682374627,1.62682374627,1.62682374618,1.99999999994,1.999999999972,1.999999999972,1.999999999972,1.999999999982,1.999999999982,1.999999999962,2.00000000004,2.00000000004,2.000000000002,2.000000000042,2.000000000042,2.000000000042,2.000000000042,2.000000000032,2.000000000032,1.999999999932,1.999999999932,1.999999999935,1.999999999935,2.00000000002,2.00000000002,2.00000000002,2.00000000002
