,0,1,2,3,4,5,6,7,8,9
t83,1.297581,-1.2927073,5.7616267,15.557154,4.4650126,7.221707,5.436447,-1.1579974,-0.5792226,3.0316112
t84,1.2999544,-1.2915723,5.757666,15.557808,4.466494,7.216189,5.44109,-1.1577805,-0.57919043,3.0316613
t82,1.2900413,-1.291374,5.754378,15.561701,4.463628,7.2149525,5.4384975,-1.1580881,-0.57825655,3.033952
t41,1.2502183,-1.270305,5.700393,15.640251,4.5525846,7.5233426,5.630578,-1.1378218,-0.6080974,3.1713364
t68,1.23396,-1.2699115,5.6931148,15.658968,4.5886755,7.4968424,5.6334934,-1.1409672,-0.60524774,3.1766393
t3,0.63846564,-1.4642259,6.120984,15.118891,4.888153,7.8703523,4.7258205,-1.0455064,-0.57986087,2.9818559
t15,0.7899947,-1.4578747,6.368516,14.947722,4.88336,7.9725766,4.7445426,-1.0692933,-0.64860404,2.8327594
t43,0.83514225,-1.450215,6.2965007,14.959016,4.9148855,7.934295,4.736611,-1.0557353,-0.63732314,2.8882606
t42,0.7843394,-1.4545077,6.30391,14.978493,4.931749,7.9839334,4.7530923,-1.0600468,-0.64097047,2.8770669
t8,0.42884767,-1.7286894,6.8914824,15.407101,4.2084627,7.989529,3.166485,-1.1611532,-0.41961488,2.6483243
t99,0.27791685,-1.8029455,6.9650116,15.376936,4.1648746,8.047182,2.7948117,-1.1546897,-0.37135217,2.4968824
t100,0.2779355,-1.8028849,6.9649224,15.376881,4.1649117,8.046885,2.795143,-1.1546967,-0.37137714,2.4969506
t81,0.291924,-1.7993765,6.9592113,15.377532,4.1572638,8.019494,2.7988412,-1.1538758,-0.37127778,2.5043402
t89,0.24843913,-1.8007586,6.953038,15.409175,4.1812577,7.9745283,2.8435745,-1.1689965,-0.36604244,2.4772997
t90,0.24997908,-1.801903,6.955259,15.41271,4.185519,7.976399,2.8403351,-1.1689061,-0.36589286,2.4785147
t33,0.29720217,-1.7853364,6.907597,15.377017,4.1819286,7.934213,2.8849218,-1.1518233,-0.37399393,2.5440073
t44,0.3583504,-1.7499685,6.8500166,15.464505,4.1781917,7.967982,3.093383,-1.158996,-0.3931256,2.6654744
t45,0.32566303,-1.7402388,6.820387,15.416387,4.1702642,7.9737124,3.117687,-1.1567545,-0.39637333,2.651427
t24,0.18384081,-1.5845759,6.422918,15.317343,4.3448205,7.8341985,3.6429954,-1.1376996,-0.4743971,2.859462
t25,0.17589843,-1.5887657,6.410444,15.329172,4.3767114,7.800612,3.63713,-1.1325673,-0.46975073,2.8591497
t18,0.25016063,-1.5692447,6.423578,15.334898,4.4044766,7.862802,3.7112105,-1.126812,-0.4909191,2.8962412
t67,0.23802602,-1.5739659,6.417886,15.297311,4.4532633,7.8087163,3.6822665,-1.1279749,-0.4876326,2.8591828
t75,0.21598756,-1.5737224,6.403817,15.287589,4.4627247,7.8035727,3.6820588,-1.1248614,-0.48591658,2.852539
t76,0.21719086,-1.5724381,6.4011245,15.288557,4.4635057,7.801623,3.6897547,-1.1241745,-0.48654038,2.8552508
t48,0.6251992,-1.4897316,6.1267033,15.240175,5.089543,8.513322,5.0579543,-0.9948126,-0.62167454,3.3443568
t49,0.6166034,-1.4961178,6.1233354,15.23694,5.125569,8.511433,5.055039,-0.9923232,-0.620389,3.340159
t51,0.62652385,-1.4683735,6.1454263,15.409715,5.615384,8.58599,5.223429,-0.9774048,-0.65024084,3.4217246
t52,0.7002616,-1.471958,6.1790547,15.415806,5.624086,8.600196,5.2169456,-0.9788402,-0.6555304,3.4290085
t46,0.5946742,-1.4593446,6.107231,15.352161,5.464316,8.397022,5.2346535,-0.98219246,-0.637108,3.4278922
t47,0.62968206,-1.4612868,6.1297607,15.364838,5.436027,8.361715,5.218751,-0.99035865,-0.6356508,3.4350057
t2,0.5384722,-1.462179,6.1666036,15.530168,5.530352,8.685978,5.260262,-0.9827491,-0.6828776,3.4503934
t11,0.55769813,-1.4494153,5.9477634,15.4539795,5.6428685,8.707929,5.366814,-0.8959765,-0.6678758,3.6254125
t12,0.57818437,-1.4449333,5.945764,15.48484,5.6608706,8.693155,5.431078,-0.9076883,-0.6759628,3.6087785
t34,0.6197945,-1.5128828,5.9349027,15.529718,6.0940514,8.832705,5.333088,-0.89535487,-0.65645576,3.5885537
t70,0.6984031,-1.5150588,5.988371,15.522257,6.048083,8.857039,5.304073,-0.8950224,-0.6625342,3.6113183
t71,0.6882298,-1.5178766,5.9900746,15.523182,6.0474257,8.856026,5.296647,-0.89547366,-0.66092914,3.6023335
t29,0.48664105,-1.4900657,6.009834,15.325586,5.990845,8.959951,5.4389124,-0.93306744,-0.6863838,3.4879813
t37,0.45887303,-1.5011718,6.0213675,15.359159,6.0349507,8.958176,5.412732,-0.9427309,-0.6815727,3.4879715
t38,0.42982304,-1.4979295,6.016392,15.340186,5.9903464,8.958546,5.4137197,-0.94280285,-0.6817992,3.4902816
t6,0.5663506,-1.5285767,6.141007,15.526052,5.99811,9.039924,5.3080544,-0.9258591,-0.681356,3.5866435
t20,0.35736418,-1.4936446,5.916283,15.502888,5.808578,8.736581,5.296199,-0.9383939,-0.6313889,3.5386238
t30,1.9040141,4.233413,0.9355722,9.559523,0.0772333,1.322354,7.404135,-0.8323515,-0.7585979,3.2968733
t65,1.8746978,4.2828145,0.950624,9.52918,0.037407827,1.3791422,7.4142275,-0.8301956,-0.7684433,3.288775
t66,1.8705773,4.2870502,0.94554573,9.528504,0.026780289,1.3714367,7.414319,-0.82894766,-0.76728565,3.2885616
t31,1.9845524,4.2473907,0.9974828,9.575148,-0.0059350766,1.3849255,7.357234,-0.8269683,-0.768013,3.351367
t32,2.0290864,4.289501,0.98074543,9.580137,-0.00158327,1.4004408,7.3917346,-0.82065696,-0.77122325,3.3765006
t28,1.7627842,4.418684,0.87616324,9.548877,-0.021689609,1.3573872,7.348953,-0.8203973,-0.77005965,3.4698894
t60,1.6905061,4.4241457,0.8325969,9.468319,-0.015636727,1.2804223,7.286935,-0.8100899,-0.7607584,3.4425433
t93,1.6849277,4.456503,0.80257,9.471699,-0.01469467,1.2876872,7.3034873,-0.80589646,-0.7607929,3.4497583
t94,1.6840837,4.4570265,0.8008911,9.470957,-0.01447765,1.2854153,7.303554,-0.8057992,-0.76040953,3.4485667
t87,1.7123979,4.4715967,0.79516584,9.467901,-0.015236787,1.2933518,7.3031554,-0.80108684,-0.7640569,3.4652152
t88,1.7124314,4.4707694,0.79370284,9.467377,-0.0147908125,1.2917677,7.3038855,-0.801207,-0.76373327,3.4648461
