"accepted_species","F1.1/1"
"t29",1.65692672110966
"t30",0.463442356299341
"t19",0.722288310200669
"t65",1.12621430777021
"t66",0.545287765810233
"t24",0.570435353154249
"t25",-0.573454591265575
"t11",0.0177038824306102
"t97",-1.76318319937937
"t98",-0.709920906784654
"t61",-1.78158209145196
"t93",-1.34761465315172
"t94",-0.067668181017549
"t86",-1.57137046486685
"t22",-1.82212036890474
"t57",-2.7708567444307
"t58",-0.631254982435365
"t16",-0.173025798679282
"t17",0.0216913750133262
"t5",1.71431886144482
"t6",1.33745428745538
"t35",-0.0393643573879221
"t36",0.281492433163574
"t54",0.63393604549034
"t55",0.55162566968759
"t14",0.583883935698981
"t15",0.309015435114088
"t41",-0.595007324812592
"t42",-0.0136975079854054
"t18",0.00609688582960547
"t67",0.680777704921943
"t68",0.0364768091975221
"t26",-0.0376542518355413
"t59",0.960586986302682
"t60",-0.172727014300529
"t9",-0.468783565302366
"t10",-0.320660643421427
"t46",-0.236169952292598
"t47",0.269797251509539
"t74",-0.227840702168532
"t75",0.58628650567371
"t13",0.517511418091501
"t2",0.537572157335029
"t50",-2.00574214760799
"t51",-1.33502420966986
"t82",-1.20640345944985
"t83",-1.35585502463348
"t62",1.10551125052773
"t12",0.821642638667583
"t1",0.265966320708633
"t39",1.41833426206948
"t40",1.23484052440708
"t84",2.6781897801093
"t87",1.24332435646123
"t88",1.00534129073105
"t56",0.700180628272363
"t85",NA
"t95",NA
"t96",NA
"t99",NA
"t100",NA
"t77",NA
"t72",NA
"t73",NA
"t37",NA
"t38",NA
"t32",-0.65331653216257
"t70",-0.149957080658741
"t71",-0.812816314926703
"t80",0.497330031034356
"t81",-0.630860964983619
"t76",-1.06113044719049
"t78",0.551753416750427
"t79",0.552969660798606
"t69",0.085326126530797
"t91",-0.0377884954322163
"t92",-0.0796379866457502
"t28",2.20869458671738
"t89",1.39422276712125
"t90",1.40094885993218
"t31",0.474353461619018
"t27",1.28235188861669
"t43",-0.48072288960506
"t44",-0.987431554812042
"t7",-0.929235704084599
"t20",-0.283205569781184
"t21",-1.74727395450022
"t52",-0.245876416239621
"t53",-1.49233319872992
"t33",1.38791290069672
"t34",0.411090126354064
"t48",0.263499747387991
"t49",-0.295247339430051
"t45",-0.829609306906933
"t8",-0.974173964134637
"t3",1.96084529921393
"t4",0.338414855171807
"t23",0.0825827330938336
"t63",-0.140107701250705
"t64",-1.72083364598314
