,0,1,2,3,4,5,6,7,8,9
t61,16.395014,-1.3872685,8.0502615,3.6398826,5.528894,9.933119,8.372132,3.1062725,9.210658,8.660946
t62,16.373325,-1.1775123,7.8721824,3.4488127,5.505951,9.907758,8.347981,2.966397,9.212713,8.725999
t57,16.36795,-1.1996441,7.930342,3.435772,5.5584464,9.868757,8.308912,3.0178766,9.261889,8.663564
t20,16.464615,-1.3512015,7.919923,3.5474684,5.5905075,9.862815,8.316234,3.0596495,9.273005,8.622656
t21,16.47667,-1.2734754,7.8664966,3.3983703,5.673752,9.771439,8.197174,3.0761547,9.39087,8.557238
t15,16.523348,-1.2729776,7.701292,3.4243867,5.5705113,9.805733,8.281653,2.9026377,9.260474,8.6961
t31,16.474995,-1.3921077,8.163028,3.4604619,5.7589073,9.828146,8.203861,3.1843786,9.384979,8.188221
t32,16.333677,-1.2723078,8.145453,3.2299397,5.790203,9.765741,8.048417,3.3935633,9.480036,8.290646
t91,16.457336,-1.1981882,8.060812,3.316648,5.685846,9.853262,8.040021,3.360363,9.524855,8.306012
t92,16.376162,-1.2474098,8.049885,3.352294,5.7304173,9.777814,8.049631,3.2781227,9.52164,8.281146
t14,16.430048,-1.3247677,8.136622,3.4119186,5.8045225,9.838358,8.155567,3.2542927,9.445253,8.1998825
t8,16.353355,-1.1963419,8.079894,3.2001143,5.7138114,9.870361,8.078355,3.4388041,9.469751,8.3796015
t87,14.547847,0.6176096,5.8530793,-0.69881696,1.0816404,7.441199,5.387373,1.218236,5.3822412,7.8641143
t88,14.641931,0.65108794,5.8481545,-0.77398825,1.0368792,7.370258,5.468485,1.3215661,5.4675803,7.9275627
t25,14.479888,0.62730724,5.802491,-0.63668627,1.1132808,7.504959,5.426875,1.1572608,5.3144493,7.817029
t26,14.070236,0.58604836,5.4130397,-0.78784156,1.8918486,6.84094,5.2324767,1.0177516,6.1256533,8.29695
t52,14.024747,0.5703665,5.328531,-0.55506057,1.848786,6.857458,5.3088064,1.1858523,6.0028305,8.2014885
t74,14.054786,0.49761447,5.366411,-0.69801414,1.8846668,6.854077,5.3733063,1.0554926,5.959626,8.331415
t75,13.928783,0.5468109,5.2689557,-0.68870336,2.0105126,6.7227025,5.3190084,1.1097982,6.047611,8.424867
t80,13.891164,0.64144844,5.2120433,-0.6947098,2.0191371,6.701722,5.2522645,1.1091971,6.1370625,8.391167
t95,13.906182,0.6112336,5.2137265,-0.62670976,1.9343593,6.7845182,5.309958,1.1536463,6.01963,8.342205
t96,13.89306,0.5452496,5.224118,-0.73414636,2.0908706,6.623503,5.210755,1.1537583,6.061914,8.455386
t10,15.0956745,0.5196639,6.224737,-1.3777633,1.2298975,7.180695,4.963604,1.4108961,5.4314246,7.7271223
t53,15.358122,0.5621621,6.3832083,-1.5905278,1.0652093,7.364868,4.9424496,1.5961775,5.3286633,7.5399776
t54,15.430303,0.41576025,6.456389,-1.5963626,1.0284915,7.2640877,4.953592,1.4968679,5.428198,7.5698586
t37,15.456036,0.5655617,6.5285206,-1.5410628,1.1015915,7.2355795,4.896766,1.6178643,5.4486966,7.6112595
t34,15.496356,0.41536668,6.467499,-1.6647438,0.9567726,7.210504,4.86463,1.5620699,5.393355,7.5602193
t72,15.436637,0.4921935,6.419285,-1.5976326,1.0966219,7.2539597,4.8201113,1.6091278,5.3652353,7.582049
