"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100"
"t1",-0.0803774436421982,-0.104213948672455,0.0159435205214194,-0.0613910185413084,0.0031229116816672,0.000572506916159954,-0.000837747419784712,0.0165987071341735,0.00651875893110837,-0.0021041131502392,-0.0374100938751465,0.00226230617871422,0.00126347220541392,0.0196007028186834,-0.00959785382109813,0.0304011631990692,0.84935247889834,-0.0148603100553578,0.0511590226115631,0.0788931193539688,0.00526225659016809,0.000354833031257248,-0.479440464269448,-0.0138430334091805,-0.00397694627062167,-0.00111128934859655,-0.0107889413586628,0.0685756923081498,-0.00636512924223823,-0.00614340132976289,0.000972358362383566,0.00193205481494292,-0.000391975664812121,0.000140562974303128,0.00478946354121766,-0.0023307462457187,-0.00056927280966253,0.0011250432876575,-0.00114591495652375,0.000421636494700552,-0.00103323550476852,0.00044119180990607,0.00193207502795683,0.00254900472618967,5.87731123741559e-17,0.000664916737045873,-5.11406363807834e-05,1.09721429169768e-16,-2.47768095225525e-17,0.000126077255173031,-0.00286887127184533,-0.000111066968607058,1.55628384896759e-16,0.000468720587841445,5.06555804831384e-05,-0.000108416071698809,-0.000435267834257306,-2.6712104583463e-17,-5.51490987960328e-17,3.44687399992763e-16,4.08559929522404e-05,0.000285348415942004,-2.82160165634454e-05,8.20602086240747e-05,-4.92259179817378e-18,6.09619905201677e-17,8.24632430043118e-06,0.000275260906270595,-5.6833319399257e-05,-1.87194097364539e-07,-4.43712420769694e-17,8.08072377378821e-16,7.29978252888485e-06,8.18061770159362e-17,0.000103275202184293,7.31149890784335e-07,9.82957181258458e-07,-5.76182719253272e-17,-1.5808917329079e-16,-5.36456710434795e-05,9.84108425502953e-17,-3.2869067591834e-16,2.02205173701192e-16,6.03386264807703e-16,-2.1449894970595e-16,-3.8841881010419e-17,-2.71308304183879e-05,2.32019057921166e-16,-6.59185848479579e-06,-1.87898373754208e-16,-5.18351836010637e-16,4.06792223735775e-06,2.656837673748e-16,-7.27850645921366e-16,7.93786036964668e-16,4.72614899426695e-16,-6.70806541908671e-16,1.12681064412772e-15,8.54586887388531e-15,0.0999999999999989
"t47",-0.106134323121318,-0.201859707932302,0.0443602608834816,-0.18577276748264,0.016582320723742,-0.00415800526430544,0.000868335906391688,-0.0128962463462859,-0.00372360131963585,0.000958598246239903,0.014834718299878,-0.000815082932600513,-0.000408812734359573,-0.00485838655294541,0.00209664452939356,-0.00582548247971056,-0.152284611174016,0.00253379101949311,-0.00643842289680354,-0.00807853001926424,-0.000468653416866223,-5.36135100173282e-06,-0.197588708893444,0.00306838896754421,0.000850951358125414,0.000216225581789426,0.0020903960490653,-0.21923706680075,-0.000728038206332695,0.0163454673483951,4.53620890244812e-05,4.35867833683743e-06,-4.53611881515999e-07,-1.52072501425051e-07,-3.10992517806074e-06,-1.19433830257751e-06,-3.04500046651698e-07,8.5608942896443e-07,-1.72680720184976e-06,0.00563069111658436,-2.52772091621903e-06,1.34810976844355e-06,6.85940148705813e-06,1.76862292934727e-05,8.30476053065652e-16,5.97251566535479e-06,-1.7138091527794e-06,5.44277014943232e-15,6.79201310377192e-16,5.6795336196038e-06,-0.139407866158397,1.94761341643408e-05,2.18017143186698e-15,-9.76209882472739e-06,-7.49667197859396e-07,1.55452228486584e-06,5.96394695472619e-06,6.72090279342353e-16,-3.72922541827024e-15,1.92000739483434e-14,2.5263463498795e-07,1.71981109837912e-06,-1.40274049408009e-07,2.49518153192543e-07,6.22028618074404e-16,-2.59088757946463e-14,-2.49943745363532e-06,-0.853950087893595,-0.203377576000406,-1.23735125111178e-08,2.92592693339286e-15,3.68233651340914e-14,4.1575276154246e-07,1.22624771557044e-15,5.81608275343717e-06,4.11897270270423e-08,5.53910737053138e-08,2.52936179147517e-15,2.46722081407147e-15,-3.04937860817331e-06,-2.00603601686799e-15,4.12569414039417e-16,-2.10826867305695e-15,-4.33912236423389e-16,3.11907819329059e-15,-3.37295577196388e-15,-1.62141080527688e-06,5.51087563789799e-16,-3.96714063989214e-07,3.31230860337743e-16,1.32499824043114e-15,2.5124271028838e-07,5.14019251488127e-15,3.80464522284222e-15,1.45453075657295e-15,-6.85013445199512e-16,-6.17323022622272e-16,9.75241800575571e-16,7.39510169282674e-15,0.0999999999999939
"t49",-0.106228553153783,-0.202214171008274,0.0444629011432673,-0.186221617252555,0.0166306733267401,-0.00417482759865388,0.000874253258477324,-0.0129975854772546,-0.00375832753967141,0.000968853751584885,0.0150080946262572,-0.000825225206760814,-0.000414277698376699,-0.00493634901161624,0.00213339022812132,-0.00593735844749018,-0.155346746829282,0.0025865185051186,-0.00659932739795283,-0.00829621634919376,-0.000481646333933577,-5.51944911287609e-06,-0.203620442878228,0.00316917164899348,0.000879103610314584,0.000223672217379978,0.00216291943141024,-0.228164418823138,-0.000759791957602247,0.0171734887044117,4.7670447017034e-05,4.5961973623798e-06,-4.78707192486203e-07,-1.61118240274035e-07,-3.31130408217441e-06,-1.27574073018296e-06,-3.25267827830166e-07,9.14834811503696e-07,-1.84672955740887e-06,0.00602596245982185,-2.71656044270982e-06,1.45077283670065e-06,7.389931145712e-06,1.92015991855081e-05,4.08329575414135e-16,6.51546389485423e-06,-1.98746964064304e-06,1.78632015740982e-15,-6.52604643593014e-16,6.71227682086059e-06,-0.174209532816464,2.46212760284899e-05,1.97060143774915e-15,-1.30296004112887e-05,-1.01504853858632e-06,2.1076724660113e-06,8.10186777136846e-06,1.55546016859255e-15,-7.18941857929921e-15,2.93606079805464e-15,6.64433316461918e-07,4.73524542533644e-06,-5.07812994010858e-07,1.59105523023052e-06,-1.53313826631399e-15,6.45519133610185e-14,3.95966238204784e-07,0.0729991660531698,0.86406194086776,-1.11979575865354e-08,-2.37779721736288e-15,-2.6705345370993e-14,3.0554707623244e-07,-5.96297685734816e-15,4.47824955574757e-06,3.19094057091877e-08,4.30272821103098e-08,1.70729535564712e-15,-4.53686986635713e-15,-2.44024009582685e-06,-5.01099457896406e-15,-1.77813665805814e-16,-8.83564344558443e-16,2.78539303323257e-16,3.63333823923989e-16,1.6153491941797e-15,-1.37161446649521e-06,-5.46633477464093e-16,-3.37193547535088e-07,-3.84446132824831e-15,-2.91267386000236e-16,2.16779194458649e-07,-1.8109385123666e-16,-1.03131481361418e-14,1.6573946538758e-15,5.97834044926749e-15,1.87504974878477e-15,4.90343386158621e-16,6.97702718531471e-15,0.100000000000027
"t54",-0.106295665958484,-0.202466518799291,0.044535952129602,-0.186541055806808,0.0166650765220747,-0.00418679013174148,0.000878455448140019,-0.0130695146734172,-0.00378295826734593,0.00097612301007809,0.0151309282431032,-0.000832408210614176,-0.000418146416053663,-0.00499146981684373,0.0021593520670273,-0.00601634006722171,-0.15750763213501,0.00262371512238337,-0.00671262025431224,-0.0084493536118543,-0.000490783345310953,-5.63054049982308e-06,-0.207856820163149,0.00323988340634245,0.000898853890650047,0.000228893304616686,0.00221376234067451,-0.234406636221755,-0.000781967490148776,0.0177500383008568,4.92775989191436e-05,4.76132029106718e-06,-4.96147503917175e-07,-1.67394110049109e-07,-3.45072613634181e-06,-1.33202334852935e-06,-3.39626667230374e-07,9.55444716927407e-07,-1.92960363234647e-06,0.0062990406494023,-2.84679639761311e-06,1.52153691095921e-06,7.755451949608e-06,2.02424011630136e-05,-7.9867513311113e-16,6.88766542212816e-06,-2.1709017708513e-06,1.07975496841289e-15,1.05430818994388e-15,7.40014775784657e-06,-0.19699444241684,2.79786837586178e-05,2.40852662738132e-15,-1.5130932285555e-05,-1.18510279577266e-06,2.46200832856864e-06,9.47071712699016e-06,-3.37855024550898e-15,5.97535863310473e-16,-1.7426268462095e-14,9.03392726918926e-07,6.47820788054958e-06,-7.16224386108578e-07,2.33352960732688e-06,-3.63910506174601e-15,-1.92914951026191e-14,1.41614232587959e-06,0.363172208431714,-0.325567501721091,-6.38458099366341e-10,4.00489183805336e-14,-0.707106781186553,1.96397275722633e-07,5.84916860153364e-16,3.28086323651437e-06,2.36857174745224e-08,3.21178038520262e-08,1.57442378248994e-15,-1.33701844681197e-16,-1.924606058403e-06,-2.31931918984961e-15,-7.54780571083105e-17,4.85031268137276e-15,3.62840167239014e-16,-3.07426348351555e-15,-3.3954811952293e-16,-1.17240245859502e-06,3.01264704151577e-15,-2.89931609118386e-07,8.18034772678167e-15,-1.53953576325794e-15,1.89770085979341e-07,-6.06986077754245e-16,1.81747575960797e-15,9.62940038707793e-16,5.22604538577172e-16,-1.84478957879579e-15,1.64796508830093e-15,9.72272512711265e-15,0.0999999999999912
"t55",-0.106295665958484,-0.202466518799291,0.0445359521296021,-0.186541055806808,0.0166650765220746,-0.00418679013174149,0.000878455448140166,-0.0130695146734169,-0.003782958267346,0.000976123010077598,0.015130928243103,-0.000832408210614167,-0.000418146416054384,-0.00499146981684372,0.00215935206702844,-0.00601634006722164,-0.157507632135009,0.00262371512238254,-0.00671262025431279,-0.00844935361185372,-0.000490783345310032,-5.63054049883641e-06,-0.207856820163146,0.00323988340634208,0.00089885389065028,0.00022889330461596,0.0022137623406736,-0.234406636221754,-0.000781967490147623,0.0177500383008617,4.92775989191702e-05,4.76132028985829e-06,-4.96147504017491e-07,-1.67394110172538e-07,-3.4507261364897e-06,-1.33202334985077e-06,-3.39626667828311e-07,9.55444721221715e-07,-1.92960363102028e-06,0.00629904064940278,-2.84679639291396e-06,1.52153691297504e-06,7.7554519487157e-06,2.02424011581076e-05,-8.02254734199857e-16,6.88766542153835e-06,-2.17090177076605e-06,1.74608575129393e-15,7.71352507160247e-16,7.4001477611805e-06,-0.19699444241685,2.79786837553942e-05,3.43820643085397e-15,-1.51309322845295e-05,-1.18510279938143e-06,2.46200832832859e-06,9.4707171293297e-06,-1.54621001133886e-15,-6.18648599855842e-16,-4.50066278360873e-15,9.03392732267363e-07,6.47820788223231e-06,-7.16224391126489e-07,2.33352961302737e-06,5.49585871155268e-15,-2.64437290896233e-14,1.41614229244714e-06,0.363172208431765,-0.325567501721053,-6.3846846634401e-10,-4.11793088839978e-14,0.707106781186542,1.96397279703281e-07,4.12720210520521e-15,3.28086323491763e-06,2.36857354822671e-08,3.2117772057636e-08,-5.01572147708483e-15,1.3845014848477e-15,-1.92460605477129e-06,7.972438027215e-15,6.7246464569735e-16,-2.63802037871669e-15,1.38464038307033e-15,-9.76324390146979e-16,1.45435253583647e-15,-1.17240244052794e-06,-2.81914969529523e-15,-2.89931605688721e-07,-6.28202834458787e-15,-8.5710565895928e-16,1.89770080039835e-07,-2.48468838709484e-15,1.13270722559389e-15,-1.46563132016808e-15,-3.2414492239411e-15,-2.23413618520457e-15,1.49518866477834e-15,8.59735431638345e-15,0.0999999999999846
"t31",-0.105086458138076,-0.197906117048006,0.0432132246525883,-0.180754956562456,0.0160408376648144,-0.00396887914434056,0.000801167628742414,-0.0117417623548129,-0.0033259666194627,0.000840604873780308,0.0128330804043223,-0.000697681070792405,-0.000345348833685302,-0.00394451363042775,0.00166368055002927,-0.00449951476543617,-0.115876792107172,0.00190533441194455,-0.00449224762362334,-0.00542739064001994,-0.000309982345726028,-3.41858749754077e-06,-0.123196559559688,0.00181515987338708,0.000500584403321358,0.000123102960603295,0.00118264946020528,-0.105078759047941,-0.000317772994790366,0.00537390443047484,1.47502824636225e-05,1.16769371162476e-06,-1.15453697534313e-07,-2.83329388922764e-08,-3.01894851315954e-07,-4.50618370485606e-08,-1.12416722245607e-08,2.52865219453439e-08,-2.56674849926394e-08,8.15094123800427e-06,2.03329392566064e-07,-1.44574992963911e-07,-8.88312049873865e-07,-5.14028865142882e-06,-1.54335806956426e-15,-2.36788604296159e-06,3.80584947665632e-06,-1.32536598224586e-14,-2.78423666316433e-15,-1.72295576642396e-05,0.929101300703586,-0.000151411841657528,-1.38463151335066e-14,0.000161276830710313,1.54913471620642e-05,-3.28402662972942e-05,-0.00013010006443596,3.18700673760812e-15,2.02909529732613e-14,5.29154517050546e-15,6.33413903198768e-06,4.39794887473772e-05,-4.24519411654822e-06,1.20730266447395e-05,-1.20194472754174e-15,7.97263973302024e-15,1.22126248618691e-06,0.0401921485890974,-0.00668463532219327,-2.32499855432652e-08,3.72175792318054e-16,6.43216542076828e-15,8.8688963847698e-07,4.02369081836229e-16,1.24521649816971e-05,8.80832749783315e-08,1.18377057559689e-07,1.17429065048851e-16,2.42056212924869e-16,-6.43992407983302e-06,2.52678821670787e-16,-1.00970056643163e-15,1.42565984597913e-15,2.12344250147317e-15,2.74273655422297e-16,6.84650604568092e-16,-3.2585454659997e-06,1.77950354542152e-15,-7.92311137861197e-07,-1.18944098045926e-16,-1.09174898992164e-16,4.90721506046722e-07,-5.20065097044531e-16,-2.06914277688898e-16,8.30238394022936e-16,5.75716903365295e-16,-5.83199597596055e-16,8.12678798880127e-16,9.17567709887558e-15,0.0999999999999953
"t38",-0.103503379064117,-0.191837142201802,0.0414341641577008,-0.172957462947135,0.0151914991418298,-0.00366583118596149,0.000687608970155102,-0.00974900257755273,-0.00261890610639919,0.000624756471428159,0.00909446787273781,-0.000474837188052389,-0.000222455523718091,-0.00206618204635212,0.000742939584026251,-0.00156530181492732,-0.0335253866990831,0.000459038525467204,0.000497886431315776,0.00174672709218758,0.000128985293545179,2.24110908040165e-06,0.100447788490804,-0.0022390242326077,-0.000641698738833824,-0.000194581407117932,-0.00194115964580323,0.388153486908606,0.00169607834703974,-0.0740598343449277,-0.00021029425470187,-2.96596198075875e-05,3.40213031957844e-06,2.04002051701214e-06,0.000173655212168109,-0.000143755519328408,-3.55371186968136e-05,7.98275483021232e-05,-0.000129505185892186,0.490820463234025,-3.24290850123788e-05,1.61100451069821e-05,7.66891105932065e-05,0.000135409764854835,-1.49192726115025e-15,3.89314228685199e-05,-4.63134232134154e-06,1.65162874026113e-15,-7.08041641660604e-16,1.22902058577728e-05,-0.0461124744881122,-3.52432901552036e-06,2.1775209413321e-15,4.01623900658693e-05,4.4735717047233e-06,-9.59732325553662e-06,-3.86583292186343e-05,-2.28561597692568e-15,4.40373105976732e-14,0.707106781186545,4.31552778492958e-06,3.0208577345764e-05,-3.01612111040953e-06,8.85808211946299e-06,-1.98554678163752e-17,-5.34214381936509e-15,9.46567359963215e-07,0.00288943467572372,-0.000571486708451419,-2.20729949516341e-08,-9.57072643735592e-16,-6.72422830482968e-15,8.97913463290882e-07,-1.48202122310601e-15,1.29746330459721e-05,9.21377395588085e-08,1.24042222223559e-07,1.80636665591864e-16,-9.6409376620233e-16,-6.88477064250816e-06,1.65182906595374e-15,-8.80126127154893e-16,-2.86953756006706e-16,1.11228251783334e-15,-5.49340145421218e-17,-3.4891020937813e-16,-3.6362182802995e-06,-3.05260524485504e-18,-8.87727296857004e-07,-8.29277717601453e-16,2.96952556729664e-16,5.57123139679667e-07,2.17400820206902e-15,-1.13621473472823e-15,4.84941941767336e-16,2.81366529522887e-17,6.376586762048e-17,1.51256724609709e-15,9.24232137159751e-15,0.100000000000005
"t39",-0.103503379064117,-0.191837142201802,0.0414341641577009,-0.172957462947135,0.0151914991418296,-0.00366583118596156,0.000687608970155062,-0.00974900257755209,-0.00261890610639908,0.000624756471428451,0.00909446787273707,-0.000474837188052355,-0.000222455523718637,-0.00206618204635193,0.000742939584026436,-0.00156530181492702,-0.0335253866990833,0.000459038525467448,0.00049788643131501,0.00174672709218759,0.000128985293545018,2.24110907973912e-06,0.100447788490802,-0.00223902423260737,-0.000641698738833737,-0.000194581407117982,-0.00194115964580371,0.388153486908603,0.00169607834703965,-0.0740598343449239,-0.000210294254703641,-2.96596198073896e-05,3.40213032086604e-06,2.04002051737337e-06,0.00017365521216864,-0.000143755519327706,-3.55371186968894e-05,7.98275483044743e-05,-0.000129505185890187,0.490820463234023,-3.24290850106973e-05,1.61100451073242e-05,7.66891105929388e-05,0.000135409764856539,-3.8993291895029e-15,3.89314228689552e-05,-4.63134232097276e-06,-3.03504234614522e-15,-5.77829144351853e-16,1.22902058542183e-05,-0.0461124744881037,-3.52432901860034e-06,-1.30348588713232e-16,4.01623900781222e-05,4.47357169649459e-06,-9.59732325171835e-06,-3.86583292159348e-05,2.97665351404176e-15,-4.5385032979565e-14,-0.70710678118655,4.31552778448411e-06,3.02085773131713e-05,-3.01612112481629e-06,8.85808213024741e-06,-4.28982284519536e-17,7.03690129325634e-15,9.46567364213144e-07,0.00288943467568994,-0.000571486708443161,-2.20729938824309e-08,9.25271983975976e-16,5.91496694113733e-15,8.97913464269445e-07,1.99221718495314e-15,1.29746330386459e-05,9.21377389162849e-08,1.24042219152701e-07,-1.13732592329002e-15,1.0238167155393e-15,-6.88477064859574e-06,-1.94956588002387e-15,-6.78923032968496e-17,1.54773654503095e-15,6.33724621217631e-16,-3.65045865098525e-16,4.37604577239558e-16,-3.63621828522625e-06,-6.89981617040147e-16,-8.8772729595462e-07,1.39023397482006e-15,-2.64637518660233e-16,5.57123145337754e-07,-8.07078767356554e-17,6.21873363668345e-16,1.39469678859785e-15,9.4897715436871e-16,-1.21023342731579e-15,3.85551247673241e-16,8.02992592916481e-15,0.100000000000007
"t34",-0.103448021254566,-0.191631696767666,0.0413752257514607,-0.172700177784206,0.0151640282576403,-0.00365648020905315,0.000684528652512427,-0.00969781988977959,-0.00260220452675538,0.000620083104598393,0.00901892763226636,-0.00047058442663263,-0.000220281198531681,-0.00204077306939149,0.000732688928963315,-0.00154087972160917,-0.0329681268452467,0.000451033248723086,0.000486525713259674,0.00170187569005413,0.000125517453628858,2.17434183264333e-06,0.0972717650891171,-0.0021583057881341,-0.00061825404793991,-0.000186911592927336,-0.00186354973116111,0.366394370068991,0.00158373331066223,-0.0664534204162,-0.000188357828713229,-2.56510922788503e-05,2.91162851331034e-06,1.61585015931419e-06,0.00010438886939789,-2.48904047088346e-05,-5.74302251076031e-06,3.2583815774741e-06,4.30411682982706e-05,-0.508904752199346,-6.63566502836492e-05,2.77532327046763e-05,0.000121178050659309,0.000170654219876637,3.53688844529527e-15,4.67613135213723e-05,-4.98867938836823e-06,-1.20751134157701e-15,2.59457188950136e-16,1.31526529133413e-05,-0.0488605287386064,-3.72977896220747e-06,-3.92910793915203e-15,4.23320576483447e-05,4.71167574604502e-06,-1.01074626655025e-05,-4.07093368649821e-05,4.18448482934745e-15,-0.707106781186552,4.75010574084856e-14,4.50642222731127e-06,3.15403357246958e-05,-3.1471497692644e-06,9.23711029114858e-06,1.91615747073859e-15,-1.1615163260059e-14,9.83728333476413e-07,0.00300214631863668,-0.000592805430865886,-2.28842903535035e-08,2.66917421282039e-17,-5.25999764940041e-16,9.2856996289393e-07,9.16778368392227e-16,1.34012044220715e-05,9.51503531928019e-08,1.28087900290122e-07,3.06091624006188e-16,-6.063332543763e-16,-7.10261061587592e-06,-1.70420888860971e-16,-2.89236297894873e-15,-5.51477169115123e-16,4.41948454412219e-17,1.01628082684679e-15,-1.39869064537395e-15,-3.7425937914536e-06,-1.23182549686854e-15,-9.13472320919682e-07,-6.23656139348327e-16,2.50765654341392e-16,5.72794993071256e-07,2.73486925615531e-16,-1.01111214624973e-15,1.0198675161406e-15,6.42019268503155e-16,-1.09904618661943e-15,-9.49267906111642e-17,7.36918475025528e-15,0.0999999999999973
"t35",-0.103448021254566,-0.191631696767666,0.0413752257514605,-0.172700177784206,0.0151640282576403,-0.00365648020905349,0.000684528652512222,-0.0096978198897796,-0.00260220452675561,0.000620083104598344,0.00901892763226547,-0.000470584426632644,-0.000220281198531596,-0.00204077306939126,0.000732688928963356,-0.00154087972160894,-0.032968126845247,0.000451033248723627,0.000486525713261109,0.00170187569005312,0.000125517453628474,2.17434183193048e-06,0.0972717650891175,-0.00215830578813444,-0.00061825404793995,-0.000186911592927253,-0.00186354973116135,0.366394370068996,0.00158373331066164,-0.0664534204161993,-0.00018835782871246,-2.56510922776607e-05,2.91162851338915e-06,1.6158501590217e-06,0.000104388869401888,-2.48904047115711e-05,-5.74302251134965e-06,3.25838157849217e-06,4.30411682962377e-05,-0.508904752199352,-6.63566502865051e-05,2.77532327046019e-05,0.000121178050661166,0.000170654219876562,3.9365668751571e-15,4.67613135218355e-05,-4.98867939575314e-06,5.80045704555905e-15,1.60573068697647e-15,1.31526529094019e-05,-0.0488605287386363,-3.72977895775069e-06,5.50687018578914e-15,4.23320576189338e-05,4.71167575724753e-06,-1.01074626641365e-05,-4.07093368673125e-05,-5.38058033032562e-15,0.707106781186542,-4.79885310501337e-14,4.50642222824448e-06,3.15403357398427e-05,-3.14714976916981e-06,9.2371102901498e-06,-1.90444704584822e-15,8.42715562479553e-15,9.83728333376906e-07,0.00300214631863174,-0.000592805430857747,-2.28842963391329e-08,1.71013321793381e-16,8.30553993273828e-16,9.28569962370664e-07,-6.93314990476584e-16,1.3401204418407e-05,9.51503559505425e-08,1.28087900588634e-07,-1.20646452044888e-16,4.05703541137584e-16,-7.10261061083886e-06,1.28355756824871e-15,2.32617920775742e-15,3.0607239699632e-16,-1.89465856764158e-18,-8.81356152975873e-16,7.48694643037916e-16,-3.74259378945486e-06,2.20673674016392e-15,-9.13472322621488e-07,-3.84180431247323e-16,-1.96496339197874e-15,5.72794991631604e-07,-7.27111932479658e-16,-7.06363396856588e-16,5.75456713099264e-16,3.3300709905588e-16,4.98392666797942e-16,2.02108979386742e-15,9.08841860954683e-15,0.0999999999999973
