"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99"
"t1",-0.126199809209723,-0.0186614576764451,-0.211909361061728,0.0805654271412879,0.0249274205062677,0.0426987333156855,0.0354371397417323,0.00147107610918323,-0.139875782705315,-0.000862770600910714,0.00242596606612291,-0.00021304377004664,8.69544497570207e-05,0.111634727234178,0.00900717289789964,-0.000138965710024714,-0.000300406345027392,-7.85463620985559e-05,0.000726863084747417,4.23008582618573e-06,-0.00557225844440027,-0.040240092486609,-2.83906164236491e-07,0.939526129773704,0.0254189715137966,0.0298494724730422,0.00124106836901495,-0.0068558397164294,-0.00341674359754432,0.00332023993589079,-0.000139201576256349,-0.000305725634156235,0.00056904246732794,0.00121046158515352,-0.00186861643764879,-0.000140179029879225,-0.000512570953801173,-0.000240652368651145,7.27532902269934e-17,-0.00228853769148167,-0.0225550599430217,2.37334259232622e-05,0.000301826339941578,-0.000151751969879643,7.02668817681163e-16,0.000243754047854231,-0.00280242488840003,-9.16643158424644e-05,-2.1007543165753e-17,-9.393910783266e-05,-7.39237230082229e-05,2.27466540128163e-05,-1.13173177003763e-18,0.000372870710713318,-3.62024028449066e-06,-1.21266817955133e-16,0.000285731384684771,-4.94496430081557e-05,-4.26047701022468e-05,-1.55153040729659e-16,-1.33743993499412e-16,-4.02589913816609e-17,9.5888951351734e-16,-2.54968308192143e-06,-1.059685590462e-15,0.00354068286899961,-1.56187817523226e-16,1.16955670110212e-05,-0.00046426291544114,-3.82308885937013e-05,0.00127972199890918,-6.7777602486693e-05,-3.47375808820706e-17,1.6798400458833e-17,6.15014306077855e-17,6.92239033901678e-17,8.66857926667187e-05,-4.73879165466854e-18,1.79298402671207e-16,7.00835943099968e-17,-1.17905112326366e-16,-7.48765098787642e-05,-3.03490306477602e-16,1.9168080559916e-16,2.26582650041253e-16,-7.22167382403697e-17,-1.11325846798924e-16,2.71336949023666e-16,0.00026348566607742,-7.20188672834673e-16,-1.5120229414922e-16,8.10233303889135e-16,-3.16193218998986e-05,-1.29930915916882e-15,-2.04457126846056e-07,-1.81904696822979e-15,-1.73225193383998e-15,-1.26709753765293e-14,4.16259805025738e-14
"t13",-0.137922527609786,-0.0225960158049881,-0.295744531717247,0.119796592601396,0.0413914470455768,0.0758308974403417,0.0632052173061904,0.00265108133460931,-0.260047767140446,-0.001962985730245,0.00616085908380349,-0.000550634949888482,-0.000854107434683052,-0.286255308063935,-0.015284689104088,0.000127110438091914,0.00022050369009529,5.28248444701085e-05,-0.000430942356767345,-2.29031360588382e-06,0.00267414944108378,0.0115810450661033,7.6810152589606e-08,-0.0975237915463384,-0.000238132073144232,-7.82932659195539e-05,3.87931122981346e-05,-0.000272884522637408,-0.000144376520259903,0.000164546000910785,-1.08985644849639e-05,-2.85419629674828e-05,5.32026761679309e-05,0.000105911731564559,-0.00015613827376549,-8.99194299560206e-06,3.00854535648959e-05,5.11853914598281e-05,-3.58792173925822e-16,0.0115877499016269,0.835186268452791,0.000284072395054987,0.00286283729725992,-0.000278185469034789,-3.11196618914892e-14,0.000218752425482775,-0.00240473197521463,-6.54561013052524e-05,1.1977255169662e-15,-6.35580550720693e-05,-4.95695142894322e-05,1.50318540282175e-05,-1.68516725651456e-16,0.000229203404656085,-2.16808658900347e-06,-1.03399309373981e-15,0.000167108051737293,-2.8788012863135e-05,-2.455994818182e-05,1.25279719687983e-15,1.69376309844034e-16,1.70470483735713e-16,-8.90434391711774e-15,-1.43426240855668e-06,6.40815671796562e-16,0.00198438869934385,-3.04402053331459e-15,6.52869248845268e-06,-0.000259012274001285,-2.11878908175331e-05,0.000707851779076337,-3.74064838984067e-05,-5.51639839933543e-17,-4.11905363169503e-16,-4.76336327078655e-16,-8.76551320512262e-16,4.72793241383078e-05,-9.81149379579709e-17,1.34427882991671e-16,-1.50270447088801e-17,1.3123402334256e-16,-4.07626718456995e-05,5.42772052579848e-16,-8.59833265331416e-16,1.7907124538987e-16,2.03919621036756e-16,-4.71966503462912e-17,-2.78158798270376e-16,0.000143870109325392,-9.05113232817897e-16,3.2431996773745e-16,6.84077349962273e-16,-1.73260357124532e-05,-1.50529566787476e-15,-1.12076118889216e-07,-1.73405452899252e-15,-1.53603212155714e-15,-8.26638469212865e-15,4.14032090075591e-14
"t38",-0.13959832663798,-0.0231361604289532,-0.306730846139147,0.124846807860706,0.0434532522278923,0.0799187523969114,0.0666281468990805,0.00279622427356362,-0.274735703355786,-0.00209275669377731,0.00659441443828968,-0.000589730761649315,-0.000947779529614937,-0.322929515224905,-0.0174164426387123,0.000147980896836643,0.000259206653378608,6.23545191910991e-05,-0.000511874096092274,-2.73324033697657e-06,0.0032120308512815,0.0143298370566088,9.5398330815558e-08,-0.128132125121515,-0.000335547119070501,-0.000111166830784489,5.78694520250367e-05,-0.00041394179222671,-0.000220163317629083,0.000255272737217359,-1.8852094965132e-05,-6.102311092531e-05,0.000117770254772511,0.000296146175690689,-0.00047704492254375,-4.04705965037172e-05,-0.000201019374103267,-0.00011577501927299,-1.9375098781738e-16,-0.006216455658604,-0.388320177916914,-0.000118738452516459,-0.00116984279348348,5.98809140784929e-05,1.7975656630384e-14,1.27309406393873e-05,-0.000204347885946216,-1.41840838907793e-05,-6.90917423704425e-16,-1.68189929547163e-05,-1.35404653004653e-05,4.32099678006103e-06,1.41941813922206e-15,8.42784325596998e-05,-8.71453990453047e-07,-5.25671936614011e-16,7.30270511577678e-05,-1.27920266677895e-05,-1.13208183968941e-05,2.69848136963525e-15,-1.08058675844393e-15,-1.77839908191715e-15,-0.707106781186541,-7.29865568431799e-07,7.61797559728738e-15,0.00102664037222672,-3.27580971900503e-15,3.44128677264411e-06,-0.00013690189962525,-1.15829361605742e-05,0.000391131257668417,-2.0936107110256e-05,8.15590387497225e-16,6.16617417959787e-17,2.68533397664476e-16,4.15742428055376e-16,2.90946633142221e-05,-3.83814760640438e-17,1.40294216705698e-15,2.90348221381048e-16,-2.15623146787834e-16,-2.61626706614635e-05,-1.52457186533689e-15,-6.9651977014406e-16,8.06676612311381e-16,-5.84523172140025e-16,2.78402173435847e-16,1.2654561874222e-15,9.85410507107952e-05,-3.81770241792391e-16,-4.69558055401334e-16,5.75863369661236e-16,-1.21649450518836e-05,-6.4454922347173e-16,-7.88592043843767e-08,-2.9424720411913e-15,-1.77826263899367e-15,-1.92636953233391e-14,4.21070757515222e-14
"t39",-0.139598326637981,-0.023136160428953,-0.306730846139146,0.124846807860706,0.0434532522278925,0.0799187523969115,0.06662814689908,0.00279622427356398,-0.274735703355785,-0.00209275669377689,0.00659441443828969,-0.000589730761649267,-0.000947779529615082,-0.322929515224904,-0.0174164426387123,0.000147980896836611,0.000259206653378373,6.2354519191204e-05,-0.000511874096092102,-2.73324033662419e-06,0.00321203085128132,0.0143298370566093,9.53983307568586e-08,-0.128132125121514,-0.000335547119069798,-0.000111166830784452,5.78694520250678e-05,-0.000413941792227482,-0.000220163317629694,0.000255272737217891,-1.88520949652009e-05,-6.1023110925196e-05,0.000117770254772167,0.000296146175690295,-0.00047704492254426,-4.04705965045461e-05,-0.000201019374103992,-0.00011577501927314,4.68832765241879e-16,-0.00621645565860405,-0.388320177916896,-0.000118738452515432,-0.00116984279348353,5.98809140801333e-05,1.25914838166334e-14,1.27309406382211e-05,-0.000204347885930958,-1.41840838911558e-05,-3.16989028185227e-16,-1.68189929544353e-05,-1.35404653017638e-05,4.32099677869426e-06,-1.18894476610901e-15,8.42784325574079e-05,-8.71454002879968e-07,1.54671851058619e-15,7.30270511686101e-05,-1.27920266771943e-05,-1.13208184092377e-05,-3.87933900341359e-15,9.84873094178743e-16,1.62020939352134e-15,0.707106781186554,-7.29865533456133e-07,-9.15069783180019e-15,0.00102664037222993,5.57942505357368e-15,3.4412867907341e-06,-0.000136901899616561,-1.15829361666394e-05,0.000391131257676448,-2.09361071117108e-05,-5.32568146189986e-16,3.60882683325287e-16,3.19250797977968e-16,5.89466160240095e-16,2.9094663311952e-05,1.01512508595648e-16,-1.18424799046511e-15,-2.16990373791788e-16,-1.23431863349793e-16,-2.6162670656516e-05,5.64651589837987e-16,1.37155514518193e-15,-4.0268947701505e-16,2.80505134823801e-16,-2.10199866654427e-16,-3.02108180012336e-16,9.85410507120188e-05,-6.25150232135202e-16,-2.09983070826972e-16,9.95150173470158e-16,-1.21649450516372e-05,-2.25639462622508e-15,-7.88592014657636e-08,-9.95122892390631e-16,-1.93186162319072e-15,-1.02780492994746e-14,4.14365951183107e-14
"t11",-0.130122908097463,-0.0198292561452255,-0.232541088444105,0.0893580543847421,0.0280039128028112,0.0481594595172521,0.0399751954660768,0.00165997672702826,-0.157913627734549,-0.000959763170978471,0.00263736441316407,-0.000230496422410777,0.000539218503112321,0.583915996208744,0.063870259134569,0.00363973158670797,0.00205898570715669,0.000398062019748325,-0.00258263231240906,-1.20780817475522e-05,0.0122800053657094,0.0364798471696228,2.34056245885678e-07,-0.185297154973008,0.00171300003567852,0.00253342258767976,0.000212985621236431,-0.00132696639314093,-0.000682966356746298,0.000726868937173401,-4.18158845829055e-05,-0.000114288094542447,0.000216866586008105,0.000501682252067771,-0.000789765159634857,-6.23653613767861e-05,-0.000248967764888164,-0.000120526820273829,-8.34893467804774e-16,-0.00115803868881396,-0.00801825549405796,1.40440551396519e-05,0.000175122944207061,-8.37805834622455e-05,-0.707106781186547,0.000137635065173469,-0.001587815059706,-5.29898013497517e-05,2.145167742773e-16,-5.47865448068295e-05,-4.31854147315302e-05,1.33265194379718e-05,1.51088220179153e-16,0.000222401813235685,-2.17821359863759e-06,-1.54378826648493e-16,0.000173591921656143,-3.01067320528335e-05,-2.60687685621311e-05,-6.35332398794506e-16,5.48076271915666e-16,-7.81308854504991e-17,-1.5790155679519e-15,-1.58466485394173e-06,-3.17182656936066e-16,0.00220714822568166,4.07066425304242e-15,7.31625674284752e-06,-0.000290577573574056,-2.40917708756246e-05,0.000808281094901566,-4.29297376550144e-05,2.2780848615479e-16,3.91667009833543e-17,1.01281132638547e-17,-5.9839623119632e-16,5.624980810812e-05,-3.04725392046254e-17,1.0094335816036e-16,3.03435890186592e-17,-1.06909536782413e-16,-4.92229848558373e-05,5.28823407084816e-16,-1.23889150139786e-15,-3.13248294857573e-16,-5.12168612951992e-17,-5.54816828532525e-16,2.61980060300784e-16,0.000177374433889017,-1.49730106119643e-16,-4.32720557761598e-16,2.7498358473573e-16,-2.15099461511035e-05,-6.62950029949359e-16,-1.39219545722214e-07,-2.0690344257569e-15,-1.48163048260443e-15,-9.81097498710748e-15,4.13878965575658e-14
"t12",-0.130122908097463,-0.0198292561452258,-0.232541088444105,0.0893580543847416,0.0280039128028113,0.0481594595172521,0.0399751954660766,0.00165997672702814,-0.157913627734549,-0.000959763170978751,0.00263736441316457,-0.000230496422410418,0.000539218503112502,0.583915996208745,0.0638702591345693,0.00363973158670804,0.00205898570715672,0.000398062019748333,-0.00258263231240886,-1.20780817480356e-05,0.0122800053657091,0.0364798471696209,2.34056246187157e-07,-0.185297154973008,0.0017130000356798,0.0025334225876795,0.000212985621236862,-0.00132696639314045,-0.000682966356746242,0.000726868937173548,-4.18158845829542e-05,-0.000114288094540454,0.000216866586007996,0.00050168225206904,-0.00078976515963506,-6.23653613754719e-05,-0.000248967764889768,-0.000120526820270767,8.6641876509583e-16,-0.00115803868881379,-0.00801825549400423,1.40440551615538e-05,0.000175122944195724,-8.37805835459515e-05,0.707106781186547,0.000137635065169638,-0.00158781505972671,-5.298980134695e-05,-6.21456945294362e-17,-5.47865448037277e-05,-4.31854147309269e-05,1.33265194376281e-05,-1.73200472298537e-16,0.000222401813238472,-2.17821359461856e-06,1.54925061417285e-16,0.000173591921658472,-3.01067320546722e-05,-2.60687685615882e-05,5.64135026931601e-16,-4.52544560934664e-16,-1.05330216916612e-16,3.91658840394263e-15,-1.58466485357031e-06,-8.23906474899175e-16,0.00220714822568228,-4.25690651097358e-15,7.31625674227025e-06,-0.000290577573573107,-2.40917708755172e-05,0.000808281094901315,-4.29297376550577e-05,-2.95856300593024e-16,-1.77356905086611e-16,4.05041965423616e-18,5.30264894984512e-16,5.62498081078537e-05,5.53611095069956e-17,2.90650597387255e-16,1.1540386001718e-16,3.06158878091205e-17,-4.92229848541583e-05,-7.65774789229206e-16,1.37920760208776e-15,5.90220360380485e-16,-1.60001004391646e-16,6.07587094392112e-16,9.67801968615151e-17,0.000177374433887971,-1.02868584649826e-15,6.09000630167172e-17,1.21856553322022e-15,-2.15099461533106e-05,-2.37310711358386e-15,-1.39219545906387e-07,-1.6138061517838e-15,-1.84072755602128e-15,-1.64145797008486e-14,4.18830933211257e-14
"t97",-0.255421509416453,0.146043086565706,0.172075406547128,-0.0414520419405719,-0.00604913209669447,-0.00587765463428822,-0.00467037556576297,-0.000173568030926831,-0.0272700376485632,-0.000104652454585122,0.000514983609990774,-4.82316067047647e-05,-0.000152845602037831,-0.0184203304661526,0.00325988696901431,0.000726397468682808,0.000565492086823043,0.000124117641689307,-0.000974178471136495,-5.27960017243351e-06,0.00668038846601454,0.358428472697917,-2.10179200854645e-06,0.0163809369388576,-0.0963997214646228,0.00450037759104507,5.22244669034443e-06,-7.16836959906172e-06,-1.80710491775679e-06,-7.26991738084226e-07,-8.02448830046376e-07,-6.16475740872192e-06,1.25291887936597e-05,3.82285944436881e-05,-6.39532594573375e-05,-5.89975758246996e-06,-3.07704213804371e-05,-1.65143931893788e-05,-6.35666835922863e-17,-0.000184972544851393,-0.000326113136428122,2.91334577591847e-06,3.55683330301548e-05,-1.75162425956134e-05,-3.78064456322797e-15,8.54714998389589e-05,-0.0358404386481103,-5.96873364642798e-06,5.99268857523221e-16,-7.97890366323291e-06,-6.49762771049209e-06,2.10784216988556e-06,-1.70815841306604e-16,4.45365560071044e-05,-4.84283320811417e-07,-4.2203084749627e-15,4.39671087882119e-05,-7.87837895439708e-06,-7.42322412165337e-06,-3.8195285919128e-16,-1.02822996769168e-15,3.54359895195417e-16,4.49025054037038e-15,-6.98803175274999e-07,1.55039180700638e-15,0.00165763069221916,-1.12048079614898e-14,4.52165201732945e-06,-0.000188002681390578,-5.15058060668883e-05,0.260857073664151,6.29662111375663e-05,-1.22170515176247e-15,-7.6184609431448e-16,-5.79372536848183e-16,1.3747708413533e-15,1.86605426572243e-07,1.26549246513911e-15,-6.46036128738058e-16,-5.74964172387871e-16,-2.37652406622527e-15,-3.25264458990421e-06,-2.33892222823948e-16,6.83673757942706e-15,-2.71100423330936e-16,-2.03408560725527e-15,-2.43136288473359e-16,-3.60488198356744e-15,2.30963696844116e-05,2.84122094896252e-16,-7.79897611532827e-15,4.69656165269308e-14,-0.404330772085855,1.45318890272434e-13,2.90806074732667e-09,6.83631242403238e-15,3.90507406152769e-14,-0.707106781186554,5.18213351964824e-14
"t98",-0.255421509416453,0.146043086565706,0.172075406547128,-0.0414520419405712,-0.00604913209669449,-0.00587765463428822,-0.00467037556576273,-0.000173568030926814,-0.027270037648563,-0.000104652454584862,0.000514983609990739,-4.82316067048761e-05,-0.000152845602037719,-0.0184203304661522,0.00325988696901417,0.000726397468683017,0.000565492086823153,0.000124117641689269,-0.000974178471136227,-5.27960017244687e-06,0.00668038846601442,0.358428472697916,-2.10179200864132e-06,0.0163809369388571,-0.0963997214646219,0.00450037759104529,5.22244669060285e-06,-7.16836959932234e-06,-1.80710491762868e-06,-7.26991738144277e-07,-8.02448829631944e-07,-6.16475740878163e-06,1.25291887936971e-05,3.82285944439266e-05,-6.39532594572568e-05,-5.89975758268579e-06,-3.07704213806884e-05,-1.65143931893755e-05,-1.41985770169172e-17,-0.00018497254485103,-0.000326113136435921,2.91334577617282e-06,3.55683330303814e-05,-1.75162425942089e-05,2.82518243329174e-15,8.54714998389212e-05,-0.0358404386481095,-5.96873364715581e-06,2.95582713357784e-16,-7.97890366389502e-06,-6.49762771129679e-06,2.10784217055009e-06,-2.05619831649874e-16,4.45365560061859e-05,-4.84283319840543e-07,-4.58721249790143e-15,4.39671087875004e-05,-7.87837895380045e-06,-7.42322412062103e-06,-3.43437800256711e-16,-1.15041738014991e-15,2.25140976275713e-16,-4.44704480786213e-15,-6.98803174714876e-07,1.97335542504452e-15,0.00165763069221701,-1.03830338873472e-14,4.52165201602224e-06,-0.000188002681389832,-5.15058060686856e-05,0.260857073664145,6.29662111367887e-05,-9.87575739573165e-16,6.06099373513265e-16,-3.01053986200136e-16,2.27644572566856e-16,1.86605426485355e-07,-4.64807974547509e-16,1.42798111053422e-16,1.4993122532229e-15,-1.14556150593249e-15,-3.25264459026575e-06,-1.26390354275941e-15,1.68288893004481e-15,2.63282872577671e-16,1.52353104919838e-15,-2.43907073611997e-16,-2.41613329858122e-15,2.30963696826437e-05,-2.81408788881577e-15,-2.51531620708918e-15,5.18883509250793e-14,-0.40433077208584,4.25312207800332e-14,2.90805885124199e-09,-2.45290921537355e-14,-1.47064010672211e-14,0.70710678118654,2.96690496230432e-15
"t91",-0.255243912378753,0.145850644241199,0.171737040791555,-0.0413609110095752,-0.00603376591272601,-0.0058616855997939,-0.00465763718532016,-0.0001730902534339,-0.0271929762783408,-0.000104315512555455,0.000513239152243539,-4.80670492554668e-05,-0.00015211685212506,-0.0183221943262913,0.0032414733616209,0.000721826499135616,0.000561779477275118,0.000123288694455154,-0.000967508878301472,-5.2428032260964e-06,0.00663271738964158,0.355615128643457,-2.08511699810352e-06,0.0162322417939856,-0.0954131804530747,0.00445381858885567,5.16494144597988e-06,-7.08796610928537e-06,-1.78672233399181e-06,-7.18647516794458e-07,-7.92378300765849e-07,-6.07845452428465e-06,1.23515020478444e-05,3.76496092539513e-05,-6.29670675371341e-05,-5.80378969464547e-06,-3.02057873090121e-05,-1.61939451688667e-05,1.13492011653854e-16,-0.000180929994845673,-0.000318901921894224,2.84837889120435e-06,3.47737749350779e-05,-1.71076407696276e-05,1.4955404385527e-15,8.32719255454103e-05,-0.0349055498212401,-5.79941625981454e-06,5.96904175907981e-16,-7.74322542640216e-06,-6.30417088778377e-06,2.04420660790807e-06,4.11305563268977e-16,4.30586015225727e-05,-4.67358502688495e-07,-2.10213749420549e-15,4.23305736469799e-05,-7.58076392459789e-06,-7.13259322518493e-06,3.05172582621913e-16,-1.00835904860157e-15,8.50559259366066e-16,-3.11850003857401e-16,-6.677488410605e-07,2.00748557838069e-15,0.00158194700770357,-8.20440693950836e-15,4.30822058647465e-06,-0.00017908253981509,-4.88850099659306e-05,0.247246529931103,5.9573311087705e-05,-1.48388379598749e-16,-1.35444544546716e-15,1.31530629029618e-15,2.96317644645625e-15,1.72293750462711e-07,3.45180440410877e-16,-1.43746488754928e-15,-9.74886848372335e-16,8.31650350480595e-16,-2.92127153596965e-06,-2.14196676959304e-16,-4.76383526950214e-15,6.01025344111378e-16,-1.00407070239423e-15,7.74980275123526e-16,8.18579022404754e-15,1.63121265893614e-05,8.34273660908617e-16,9.58470673883034e-15,-9.79176087467327e-14,0.820334386393903,-1.9391276261575e-13,-6.24543995709588e-08,1.24451746961329e-14,-3.13835553059725e-14,-2.00944083553191e-14,7.17216750690563e-14
"t59",-0.250528809870051,0.14069884250912,0.162599438490792,-0.0388921743625968,-0.00561556008600755,-0.00542602518303003,-0.00431006394171135,-0.000160049366761436,-0.0250874914268068,-9.50597314018814e-05,0.000465208300564542,-4.35347000218527e-05,-0.000131663175217642,-0.0155460209910746,0.00271819535124262,0.000590728822330277,0.000454882088785245,9.93817203774182e-05,-0.000774690571575931,-4.177102492578e-06,0.00524875040200181,0.273084957469922,-1.59534349975725e-06,0.0117902079347757,-0.0654237579467498,0.00303608475039433,3.39596533403857e-06,-4.60676094007318e-06,-1.15711836023946e-06,-4.60107245879541e-07,-4.75079909490262e-07,-3.29570498719572e-06,6.60527185546321e-06,1.86294183187095e-05,-3.04226720399267e-05,-2.59201535895972e-06,-1.06264612177272e-05,-4.87515108934923e-06,-2.11869019818532e-16,-3.16801773283717e-05,-5.13930752468195e-05,4.29958322208561e-07,5.17442511269379e-06,-1.60076268238006e-06,5.06509981405904e-16,-4.20044853376733e-06,0.00253365200533375,1.30594260965789e-06,-1.0476442854263e-15,2.39591865730185e-06,2.06098673228364e-06,-7.32423259326233e-07,4.65682816186541e-17,-2.59381839673084e-05,3.56668835353568e-07,1.17135003829572e-14,-4.20167973142279e-05,7.9806924718669e-06,8.63048839561141e-06,1.82395079361451e-17,3.61096263781115e-15,-1.89601994781914e-15,5.95075670587999e-15,1.2985155114097e-06,-7.16147573069302e-15,-0.00340237340711722,3.4970451237663e-14,-1.05008780810812e-05,0.000445149479170521,0.000159586658147139,-0.894088988292768,-0.000246894049032693,2.73788473456381e-15,1.57554835137072e-15,-3.05624636294511e-16,-4.75454275034328e-15,4.29956203778216e-05,-1.32458839183908e-15,2.97083552681798e-15,4.23326568689279e-16,2.99716498088074e-15,-2.85578491422526e-05,1.2057325906011e-15,-3.29615334637486e-15,4.02857277440819e-16,1.42066265114941e-15,-2.92610502390785e-16,-1.1887419310451e-15,7.8635829668772e-05,-2.63296051098992e-16,-5.05034534331112e-18,1.80555843957842e-15,-0.00914765832459646,-6.90600999156892e-16,-5.66185270010384e-08,-2.5301308340133e-15,1.25599045156575e-16,-1.60643545152612e-14,3.95371466569179e-14
