,0,1,2,3,4,5,6,7,8,9
t30,-8.274756,12.730466,21.44608,-4.912153,-8.719252,7.5862374,-6.09523,5.930148,54.105133,-7.376686
t76,-8.273202,12.74647,20.949594,-4.828622,-8.63829,7.573569,-6.137103,5.6732607,54.15473,-7.3775177
t77,-8.274158,12.771447,21.04999,-4.8341737,-8.638982,7.606789,-6.129989,5.6928077,54.093277,-7.367799
t51,-8.271167,12.897121,21.096703,-4.8544784,-8.658599,7.692902,-6.138377,5.7848954,54.21333,-7.3923373
t33,-8.227421,12.192609,21.188616,-4.9200754,-8.747798,7.606768,-6.1508727,5.904765,54.487694,-7.449843
t34,-8.261363,12.211111,21.284515,-4.944048,-8.752551,7.6453414,-6.135341,6.0847745,54.42055,-7.4097114
t60,-8.219083,12.26397,22.152998,-4.95186,-8.728154,8.3652115,-5.8522124,6.9078245,53.877754,-7.4586296
t61,-8.21106,12.251609,22.107523,-4.9433036,-8.7339735,8.324557,-5.854306,6.848161,53.83074,-7.4593368
t20,-8.2584095,11.697963,21.486103,-4.956247,-8.747473,7.5384746,-5.947809,6.3548136,54.079372,-7.4268327
t40,-8.39335,12.223537,20.820873,-5.034144,-8.644292,8.191259,-5.7916617,6.5309086,54.54005,-7.432003
t41,-8.390016,12.093746,20.93525,-5.025552,-8.683867,8.085286,-5.8131065,6.5176616,54.670006,-7.4874153
t37,-8.404333,12.263861,21.00124,-5.081058,-8.677421,7.9359784,-5.7741547,6.653383,54.41836,-7.4395814
t38,-8.410301,12.286303,20.851088,-5.0727587,-8.666755,7.798837,-5.8163157,6.5814223,54.49722,-7.452127
t48,-8.351518,12.029664,20.836563,-4.9369087,-8.741904,7.2907825,-5.9239664,6.316483,54.279457,-7.447084
t49,-8.349939,11.890729,20.832426,-4.9314384,-8.740072,7.315435,-5.913431,6.2283907,54.27326,-7.45305
t16,-8.366453,11.649754,21.235775,-5.016586,-8.801532,7.264357,-5.9383683,6.431189,54.471443,-7.4765267
t17,-8.303735,11.970039,21.260136,-4.939837,-8.707949,8.007803,-5.893758,6.4658766,54.47691,-7.4441195
t88,-8.061189,9.228347,20.865011,-5.557144,-9.581271,6.1597514,-6.0318217,4.6238365,56.48755,-7.304834
t89,-8.05646,9.205302,20.866486,-5.5544605,-9.582865,6.143289,-6.0292344,4.6260476,56.48758,-7.3090005
t78,-8.054061,9.151694,20.859589,-5.565895,-9.58974,6.0904794,-6.0237174,4.5954022,56.477673,-7.3048387
t79,-8.061102,9.17955,20.826542,-5.555488,-9.577735,6.079824,-6.026547,4.6011953,56.451897,-7.309738
t54,-6.2974253,-1.5228423,21.54991,-9.623098,-14.135215,-2.060489,-7.1067276,-0.8920851,64.88883,-6.3039713
t55,-6.299743,-1.5114855,21.503788,-9.593837,-14.09601,-2.0283086,-7.0742135,-0.89385366,64.749535,-6.2573776
t25,-6.208145,-1.5352608,21.4615,-9.63353,-14.120537,-2.0349164,-7.10363,-0.92214966,64.82996,-6.192932
t1,-4.5169587,-3.3624146,29.659298,-14.84257,-17.746643,-4.135612,-4.5977836,-1.9396981,58.561726,-1.2672453
t74,-4.565397,-3.5147817,28.490023,-14.668372,-17.97579,-4.824654,-4.520602,-2.071657,57.60056,-1.4033387
t75,-4.554292,-3.52835,28.477146,-14.671712,-17.974987,-4.824578,-4.510806,-2.072708,57.572063,-1.3921031
t7,-4.8157783,-3.3714912,27.877686,-14.763971,-17.877802,-4.5421314,-4.5053477,-2.0341213,58.958324,-1.4545716
t14,-4.7562304,-3.3192322,28.539299,-14.85596,-17.970982,-4.506158,-4.4937696,-2.0967283,58.71142,-1.4645959
t15,-4.801643,-3.3833969,28.598269,-14.779765,-18.01196,-4.6587095,-4.4334383,-2.0650852,58.12647,-1.4786264
t10,-4.6121683,-3.0512898,30.391329,-15.21976,-17.802658,-4.2457128,-4.125334,-1.678583,56.78704,-0.8257495
t26,-4.6324663,-3.0186434,29.896349,-15.356153,-17.86118,-4.3236613,-4.1077094,-1.712334,57.041058,-0.7596277
t29,-4.642602,-3.1062107,29.760021,-15.390727,-17.931927,-4.4013486,-4.1329336,-1.7774886,57.218998,-0.7445664
t84,-4.6723332,-3.0571752,29.75832,-15.415904,-17.956451,-4.429737,-4.1368356,-1.7731278,57.148903,-0.6897264
t85,-4.671449,-3.0631185,29.743778,-15.413925,-17.962229,-4.4348702,-4.1431456,-1.7777954,57.167866,-0.6972762
t4,-3.7562928,-3.330057,31.115843,-15.693053,-18.006155,-4.1823688,-3.5795267,-2.1587255,55.16276,-0.20149533
t11,-4.081254,-3.2101495,31.313993,-15.771942,-17.841177,-3.9248013,-3.2689006,-1.9743519,55.01826,-0.1374066
t21,-4.0265846,-3.2919579,31.128513,-15.916564,-17.945295,-3.9588623,-3.3119607,-2.061864,55.54128,-0.07277658
t65,-3.990753,-3.2425103,31.720732,-16.04797,-17.964497,-3.8789341,-3.2234876,-1.9488398,55.35462,0.028211754
t66,-3.987378,-3.216594,31.68415,-16.00665,-17.927048,-3.87161,-3.2293236,-1.9471792,55.283882,-0.0183911
t24,-3.956569,-3.27614,31.508354,-15.865184,-17.869675,-3.9355931,-3.3084602,-1.9577255,54.881504,-0.030509153
t12,-3.8856866,-3.3024108,31.045767,-15.749643,-17.880253,-4.032304,-3.2558327,-2.10778,54.62385,-0.09212367
t47,-3.888834,-3.3829522,30.887701,-15.950546,-18.033583,-4.1651106,-3.232114,-2.1435778,54.726288,0.16951768
t59,-3.8674352,-3.3532116,30.935915,-15.929503,-18.006811,-4.1616807,-3.2235172,-2.1370106,54.480164,0.34303775
t67,-3.8768976,-3.3795967,30.82694,-15.9435,-18.020733,-4.190651,-3.2254643,-2.1412387,54.53153,0.39927307
t68,-3.8791974,-3.3819115,30.853945,-15.979866,-18.044687,-4.1939073,-3.2189827,-2.1396005,54.60712,0.40401283
t82,-3.891485,-3.758754,29.12043,-15.474317,-18.069586,-4.5056205,-3.705444,-2.5092514,55.6423,-0.19113328
t83,-3.8860066,-3.761357,29.10559,-15.478075,-18.073717,-4.512471,-3.7059362,-2.513129,55.643692,-0.18908355
t71,-3.8100662,-3.3827577,30.66822,-15.616736,-18.005362,-4.0496416,-3.2531357,-2.1708527,55.450375,-0.25858685
t86,-3.8229218,-3.3724785,30.709314,-15.628153,-18.00202,-4.0437717,-3.2365396,-2.1497762,55.43081,-0.24903105
t87,-3.8280315,-3.3672593,30.728888,-15.617482,-17.995508,-4.032739,-3.2437794,-2.1456425,55.45393,-0.2586628
t22,-3.7621884,-3.6403244,29.96693,-15.505905,-18.129482,-4.3062124,-3.6517658,-2.4986699,55.621155,-0.27535808
t45,-3.756811,-3.623029,29.921986,-15.549311,-18.14983,-4.309953,-3.6780736,-2.4845207,55.853233,-0.2818716
t46,-3.7210324,-3.6119714,29.728167,-15.50701,-18.125288,-4.360556,-3.6877332,-2.4915001,55.743076,-0.32237813
t32,-3.6972604,-3.6257493,29.713818,-15.46202,-18.077343,-4.369016,-3.6759326,-2.4648902,55.405552,-0.28195044
t13,-4.3160806,-3.3931172,29.91062,-15.736511,-17.980907,-4.210592,-3.824826,-2.3580673,56.788998,-0.1782539
t95,-4.2698092,-3.2745895,30.210386,-15.895752,-17.95665,-4.150329,-3.6178463,-2.2241645,56.364647,-0.053021114
t96,-4.2688355,-3.273999,30.221836,-15.896916,-17.958126,-4.1476684,-3.6206434,-2.2238147,56.376682,-0.05560815
t6,-4.3647604,-3.2470703,29.303486,-15.646301,-17.877949,-4.3339276,-3.9021924,-2.273976,56.320805,-0.27713946
t69,-4.623962,-3.2224483,30.231401,-15.723795,-17.882008,-4.1185207,-3.8734937,-2.1447406,56.51902,-0.19098736
t70,-4.62606,-3.1997647,30.17728,-15.730914,-17.866272,-4.1235,-3.8572748,-2.1429842,56.448494,-0.1658878
t9,-4.1271896,-3.4097793,31.491753,-15.872086,-18.290417,-4.1068583,-3.6793678,-2.2464435,55.109695,0.11786143
t31,-3.9820423,-3.5165734,31.971085,-16.017979,-18.37112,-4.0410647,-3.4737134,-2.1865733,54.828033,0.38093916
t56,-3.976422,-3.502395,32.035686,-16.054243,-18.38926,-4.0060697,-3.439423,-2.1841114,54.868675,0.34285656
t62,-3.9825666,-3.4969933,31.929983,-16.012796,-18.351103,-4.0002337,-3.4399877,-2.165227,54.802673,0.12431351
