,0,1,2,3,4,5,6,7,8,9
t3,12.472772,5.0514274,4.7394757,6.5703845,-1.2494527,-1.8090363,3.3776815,10.263654,4.5509367,5.7593455
t57,12.434517,5.0555735,4.5977707,6.5243053,-1.3280765,-1.68116,3.41032,10.13872,4.599198,5.9362826
t58,12.33619,5.0466423,4.6784544,6.5295796,-1.3671658,-1.8001485,3.2914326,10.328868,4.4429173,5.8163714
t83,12.545796,4.670969,4.250514,6.2411084,-1.2078034,-1.9463172,2.8755097,10.073166,4.526063,5.923531
t84,12.437715,4.7425885,4.330335,6.3569384,-1.3505913,-1.862259,2.946793,10.182673,4.427688,5.805608
t62,12.50206,4.7232156,4.327242,6.329283,-1.2895064,-1.8731953,2.8199627,10.045107,4.479248,5.7640553
t70,12.437143,4.805006,4.3075695,6.3774195,-1.1575745,-1.8855342,3.1099415,10.24911,4.543085,5.912677
t71,12.571439,4.7388954,4.2313848,6.4489336,-1.1826067,-1.8176794,3.1209557,10.203824,4.5139675,6.0548463
t55,12.500699,4.7373505,4.3766136,6.4406185,-1.264374,-1.8904171,2.927869,10.221099,4.463568,5.859087
t56,12.547082,4.8290353,4.410149,6.339662,-1.2499068,-1.7557658,3.1471574,10.213734,4.447676,6.002666
t32,12.451475,4.994421,4.605657,6.3648634,-1.3001049,-1.7846107,3.146983,10.290231,4.366647,5.8693676
t33,12.4891815,4.900469,4.4739995,6.601809,-1.3727642,-1.6998764,3.284178,10.05047,4.5822906,5.8877068
t23,12.546493,4.826629,4.5035143,6.443245,-1.2294022,-1.837861,3.1367753,10.047622,4.574183,5.862677
t24,12.381664,4.9986076,4.529956,6.461074,-1.1818517,-1.8814669,3.1365175,10.069121,4.6203527,5.6923804
t1,12.315181,5.008702,4.678587,6.6714144,-1.4684312,-1.7517937,3.4306514,10.445999,4.5439863,5.813771
t63,-4.5647397,0.4880796,6.2696424,7.2027574,4.677474,6.3318133,2.439202,4.2923546,9.3924465,5.406497
t64,-4.6586637,0.58405936,6.2468843,7.122756,4.5570893,6.430324,2.3683543,4.252398,9.370649,5.4082994
t5,-4.7330103,0.72294235,6.2479,7.0970235,4.4814143,6.557984,2.3555856,4.367015,9.377835,5.319816
t26,-4.688548,0.71233743,6.3620005,7.127625,4.6195626,6.5464935,2.4610674,4.169721,9.281759,5.509061
t67,-4.6650443,0.742584,6.3440127,7.1829767,4.666859,6.542301,2.5481653,4.2745275,9.218418,5.4458847
t68,-4.7757444,0.7626155,6.2749734,7.193679,4.484917,6.619601,2.30052,4.208554,9.430227,5.464923
t53,-4.781719,0.8251169,6.208749,7.1193814,4.545544,6.6009383,2.4885774,4.346073,9.255734,5.330582
t54,-4.7763257,0.77882445,6.2598715,7.185463,4.5251956,6.6123166,2.3911796,4.275019,9.373601,5.407016
t8,-2.5271525,8.2912655,1.3766263,6.685107,5.9172916,5.2303796,3.43995,6.507156,3.2147417,5.5567675
t39,-2.472749,8.152429,1.621491,6.732871,5.9675446,5.1748767,3.5008771,6.5259604,3.361813,5.561894
t74,-2.3536067,8.180282,1.573276,6.715277,6.080963,5.0629992,3.3807564,6.5792947,3.3785524,5.683101
t75,-2.310359,8.32647,1.5134959,6.7355447,6.1203876,5.0172358,3.4602273,6.4087524,3.2413976,5.5749264
t46,-2.4150662,8.2060795,1.4245402,6.549436,6.0361423,5.112198,3.355066,6.6405234,3.2057698,5.621858
t47,-2.3791292,8.155881,1.5318944,6.6944833,6.0485215,5.0957584,3.378233,6.5601106,3.342104,5.756693
t43,-2.511205,8.1105385,1.4573673,6.6544642,5.929887,5.2174535,3.4656153,6.5236387,3.3001633,5.7546034
t9,-2.4835234,8.242768,1.4266174,6.5856957,5.966805,5.1824,3.3590565,6.6555896,3.2462227,5.5733843
t29,2.15135,8.3952055,1.9057891,5.31785,2.8042145,6.7629275,3.1504686,-6.395422,4.348002,4.31586
t30,2.2311437,8.330131,2.0118585,5.1934657,2.7792633,6.613662,3.0879695,-6.3950415,4.284679,4.342111
t10,2.2040548,8.405751,1.796133,5.340179,2.7634292,6.634875,3.1611981,-6.294417,4.3538938,4.4338064
t59,2.2881315,8.276941,1.8444996,5.24031,2.975219,6.5975685,3.2313292,-6.364359,4.2894597,4.259618
t60,2.2718904,8.406406,1.8925368,5.24108,2.765656,6.5946817,3.2815812,-6.349103,4.4034767,4.2580214
t17,2.3500412,8.359101,1.6114622,5.335003,2.8850071,6.8021317,3.132592,-6.4428697,4.1051574,4.374657
t18,2.3001857,8.505762,1.5722231,5.2883463,2.9927714,6.656212,3.318145,-6.402743,4.156914,4.175347
t13,2.2315676,8.436638,1.6434948,5.315547,3.050623,6.7520695,3.275114,-6.435584,4.188439,4.225877
t31,2.4890983,8.062478,1.8615651,5.2034454,2.9833317,6.7751427,3.2586894,-6.4945645,4.3013024,4.158085
t37,2.5694895,8.122086,1.8381121,5.1548004,3.0950844,6.782923,3.292481,-6.5715637,4.1934066,3.9737847
t89,2.4432077,8.184445,1.6690657,5.3463635,2.9467387,6.8533654,3.279321,-6.4184365,4.2495413,4.357172
t90,2.583483,8.008362,1.9023119,5.198957,2.949813,6.751838,3.3459044,-6.483495,4.3540277,4.115159
t85,2.4451764,8.155625,1.8037893,5.214061,3.001198,6.735963,3.2799606,-6.4857807,4.280062,4.1974444
t86,2.3279784,8.260045,1.8739963,5.172096,3.1676402,6.713123,3.41225,-6.531839,4.436121,4.0755982
t44,-3.2332032,-0.3142804,7.893938,7.2305984,3.6016834,3.9227898,0.7202622,3.5448008,7.6262856,5.906188
t78,-3.0695508,-0.22876781,7.737839,7.1567817,3.5587773,3.834497,0.5783736,3.5160525,7.8306932,5.7380033
t79,-3.0590641,-0.112396985,7.691177,7.0411735,3.4399793,3.7503333,0.6078513,3.654146,7.7906246,5.932647
t45,-3.1934476,-0.20458907,7.8519177,7.123806,3.5126688,3.8946233,0.7046723,3.6058018,7.6328635,5.951257
t42,-3.0942721,-0.28159946,7.749517,7.190999,3.6168017,3.894375,0.67971575,3.489417,7.7313237,5.807896
t87,-3.050606,-0.23963404,7.701268,7.160868,3.5964246,3.8949163,0.71825725,3.5307,7.706621,5.866962
t88,-3.1473207,-0.2895695,7.7930694,7.169224,3.6860054,3.979466,0.7701168,3.4301817,7.6535115,5.7879257
t16,-2.9059823,-0.28473568,7.095369,7.128879,4.2922034,4.832427,1.4287796,3.091748,7.837905,5.5378375
t40,-2.9595034,-0.19108947,7.120169,7.048463,4.352284,4.7674184,1.4534599,3.1206799,7.8131986,5.460593
t41,-2.8822074,-0.11486589,7.13975,7.123787,4.446223,4.758408,1.5156288,3.0550804,7.7501526,5.4479485
t95,-2.893911,-0.12981176,7.110264,7.1092496,4.2815228,4.739291,1.2483206,3.292192,7.938632,5.4078593
t96,-2.9837854,-0.13502659,7.2529473,7.0345974,4.2829475,4.6032662,1.3359039,3.1808546,7.799887,5.4871845
t50,-2.9557507,-0.2580649,7.1698275,7.0677075,4.2270417,4.711377,1.338345,3.1606545,7.8591576,5.5231686
t97,-3.349878,0.20364416,7.3657923,6.66828,5.2802424,4.639836,2.5124924,2.4573321,7.001542,5.059751
t98,-3.3865902,0.123959385,7.408512,6.575178,5.427763,4.6287813,2.6592963,2.4683795,7.067509,5.0059676
t99,-3.4304135,0.17016079,7.409705,6.5265646,5.401313,4.6289134,2.6346838,2.5126271,7.136467,5.055187
t100,-3.5078936,0.07958978,7.436966,6.440407,5.447973,4.6410866,2.6850193,2.5036542,7.0484214,4.968806
t91,-3.424332,0.16000037,7.3404126,6.566855,5.2075596,4.684842,2.4487643,2.5700443,7.1855006,5.116784
t92,-3.5532124,0.29121026,7.3903956,6.427275,5.288549,4.6539335,2.526812,2.4864094,7.1087837,5.161512
t34,-3.3625937,0.06924471,7.2320223,6.517137,5.2789955,4.84391,2.5249977,2.7293868,7.38009,5.1662717
t35,-3.3938124,0.23526387,7.2487345,6.5507417,5.307211,4.844624,2.5393374,2.596825,7.2796516,5.309783
t6,-3.406702,0.15093791,7.1903715,6.575355,5.1440153,4.879911,2.3950849,2.7284002,7.406763,5.283021
t2,-3.3060963,-0.069707155,7.0258837,6.767671,4.716974,4.9566875,1.9427505,3.0750854,7.76843,5.2938786
t38,-2.578627,-6.5041275,4.1730113,4.27311,5.727741,4.366621,-0.7782559,1.5340742,7.485827,4.043494
t80,-2.4482563,-6.229655,4.499027,4.277108,5.516524,4.304324,-0.8399979,1.555174,7.6002197,3.82868
t81,-2.4205372,-6.3607836,4.3036695,4.448827,5.570644,4.450469,-0.85797316,1.6641412,7.7305436,4.0610657
t82,-2.5681214,-6.455558,4.313664,4.321967,5.739682,4.208699,-1.0259651,1.7263404,7.6295514,3.99341
t51,-2.6489687,-6.336943,4.284674,4.419811,5.51393,4.2993293,-0.8735965,1.7095113,7.7379208,4.0657706
t52,-2.5300465,-6.2987785,4.424264,4.4070263,5.5745077,4.3871493,-0.9974018,1.5354272,7.7635336,4.1626787
t69,-2.3762672,-6.4300027,4.384003,4.3935184,5.777332,4.399962,-0.98019797,1.5440466,7.6087418,4.0487022
t72,-2.463499,-6.4188776,4.328122,4.2533226,5.814887,4.483903,-0.94079226,1.5256326,7.610193,3.976447
t73,-2.383944,-6.4581037,4.314838,4.3239484,5.9070573,4.6285706,-0.9805523,1.5395299,7.6858864,3.9455106
t19,-2.7417643,-6.322613,4.280025,4.1833878,5.6655183,4.433474,-1.0674591,1.707816,7.7022834,3.7389076
t12,-2.5306122,-6.380979,4.192959,4.22143,5.7154694,4.475705,-0.9857535,1.7051489,7.662323,3.6901033
t7,-2.523986,-6.2839994,4.2628403,4.074064,5.602322,4.4285073,-0.90875846,1.6153561,7.5417724,3.6312156
t93,-2.636549,-6.2710094,4.2186556,4.148478,5.5842366,4.636818,-0.9175542,1.4479578,7.5324397,4.015787
t94,-2.660131,-6.1908693,4.18831,4.129654,5.4422393,4.6759267,-0.8189924,1.4855475,7.5680866,3.9019825
t21,-3.6227329,-0.30866104,6.6889763,6.4832554,4.62943,5.265662,1.9697262,3.40526,8.118745,5.1318955
t22,-3.4964123,-0.43436888,6.567984,6.6264906,4.685031,5.384391,1.9428589,3.2828045,7.98623,5.010223
t4,-3.68141,-0.47091913,6.520862,6.5313354,4.5154347,5.313508,1.8398929,3.497029,8.202901,5.1960225
