"accepted_species","trait_EB_scaled"
"t43",-0.344113670809442
"t44",-0.427697439525028
"t21",-0.0568258424391518
"t50",0.25554175026611
"t95",0.160098987320903
"t96",0.169286908580082
"t84",-0.433373503711353
"t85",-0.442969810452795
"t80",-1.24634661396931
"t81",-0.660230175720721
"t47",-1.30330576610321
"t64",-1.57547706457532
"t65",-1.36306134955206
"t6",1.0536541898256
"t57",-1.28903920571785
"t58",-1.42754768029344
"t13",-0.71709564579988
"t14",0.430196028867336
"t54",-0.306039531915399
"t59",-0.148268546861702
"t60",-0.278362900156629
"t70",0.0442834412469539
"t71",0.677428527341307
"t69",NA
"t51",0.579284182774655
"t52",0.737323597069592
"t86",0.221970852188001
"t87",NA
"t20",NA
"t72",1.33380295126838
"t73",1.24471313267348
"t97",NA
"t98",0.976856732512012
"t88",1.05909154384854
"t53",-0.498827062823217
"t89",-0.464884774134296
"t90",-0.344358995635968
"t39",-0.51752235872674
"t40",-1.13247443831212
"t7",-0.543289441373822
"t4",0.0580556313853926
"t41",-0.124849561181713
"t42",-0.371883390020055
"t12",-0.0506440029216725
"t34",1.51252241402099
"t48",1.9694328456173
"t49",NA
"t62",2.10236422052058
"t63",2.28089020127641
"t93",1.24339817476978
"t94",1.24233464621953
"t33",1.57835502580213
"t37",2.02681520532589
"t38",1.65707201830719
"t45",1.5218314266828
"t46",1.13694426125034
"t1",0.890140936615662
"t18",-0.228742623881624
"t19",-0.503549862778643
"t27",-0.561643766275164
"t35",-1.06133883597204
"t36",-1.27475184566276
"t30",-1.07187764043893
"t16",0.305277295558879
"t3",-0.135636600538687
"t2",NA
"t15",NA
"t67",1.51991489150159
"t68",1.23717268837621
"t66",1.35477716509693
"t25",NA
"t28",0.514749963540728
"t29",0.139415530038931
"t17",0.414018237169139
"t5",1.1114808049841
"t76",-0.770567229683055
"t77",-0.89158336597582
"t61",-1.03869603190797
"t82",-1.06462940966793
"t83",-0.973588818081671
"t78",-0.678943657681066
"t79",-0.68072412070648
"t24",-0.798027831220605
"t99",-1.07414821386812
"t100",-1.07090164528447
"t31",-0.964711330811539
"t32",-1.29638721647973
"t8",-2.00243777394027
"t26",-0.101744545990142
"t91",-0.483382765951917
"t92",NA
"t55",-0.257855503156456
"t56",-0.397579949041926
"t11",-0.816819389104683
"t9",0.246084502885241
"t10",-0.420155406318453
"t22",-0.928316936008858
"t23",NA
"t74",-1.13670026949222
"t75",-1.84293412618857
