"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100"
"t187",-0.0759482202409607,-0.196495648674996,0.0229981813196145,-0.0207358164460284,-0.193082497952978,0.0397339303127389,0.000226088254168844,0.00318338607233682,6.36164643059332e-06,-3.21236616643747e-05,0.000301185135466564,-0.00332744991383863,-0.000287907748343054,-0.00927548763992843,0.000394863682818303,-0.321240749509196,-0.00478387196523862,-0.00657772713944939,-6.27716398240244e-05,9.05788589107631e-06,-4.4704228750813e-07,2.49333062347117e-07,-1.68756441646972e-05,0.000171632015114075,-1.1258227458999e-05,0.000123986947981121,-4.20725566802149e-05,-0.000168366693843222,0.046727707317229,-7.25366175799047e-06,1.71865068370185e-05,-0.000804385267856815,-1.32656344991981e-05,-2.01747664265262e-05,3.55728608219138e-17,-1.1884223050217e-15,1.36580232704573e-05,-9.93491331859686e-06,1.48601580303408e-05,-3.47152909848726e-06,-0.000697648238792357,-6.60720455326955e-16,-3.54194771451201e-07,-2.03948055612149e-05,-9.9515688344911e-07,-1.43340183368108e-06,-1.93219583751907e-05,0.0125555440346391,2.91594850129997e-06,0.000623415733531185,9.85188507675141e-08,7.4051825138679e-16,2.03245442717956e-10,7.78180393437821e-16,1.38845152247348e-14,7.28237750481619e-14,0.35688388617759,-1.86077400587029e-06,-3.4685227897359e-15,1.25889541334112e-06,3.26078970146422e-07,-1.48797158294518e-07,8.21505039793936e-16,-7.62161963098944e-07,-0.00175176929377759,-3.9384246703461e-08,-5.60805003486684e-05,-3.61124633424119e-07,-3.86269134234556e-14,8.42289174248365e-15,-3.43261510196198e-06,-1.19285005538552e-14,0.820196014177938,4.88612865083385e-14,-1.09832713592551e-12,7.55686195441695e-15,-4.26703719520839e-05,5.97713894110942e-15,5.36274057060885e-15,-1.30794408741586e-14,1.04313736302926e-06,2.79606795352637e-07,1.62010824778569e-14,-6.32622907183414e-15,-1.00750275158138e-15,1.13046984273989e-15,1.11630785562679e-14,5.69487305829381e-07,-1.03736696864842e-14,4.24684772158795e-15,-1.64825632227081e-15,8.37406960857048e-16,7.67277509079934e-16,-6.39832732448498e-15,-6.57554515457196e-15,6.39581252606627e-15,-9.24299664396938e-16,1.48914779985599e-14,1.32299476213214e-13,-0.0999999999999821
"t190",-0.0759551137560115,-0.196518002498732,0.02300504206917,-0.0207428874269624,-0.193177805405645,0.0397571655212806,0.000226249076957071,0.00318610281384862,6.36741863470439e-06,-3.2156745001881e-05,0.000301581208466651,-0.00333375238627403,-0.000288480612669854,-0.00929600617511061,0.000395815736399541,-0.32204079414792,-0.00479737747700648,-0.00659655874264049,-6.29733541705109e-05,9.08825299262504e-06,-4.4858063020609e-07,2.50196942892754e-07,-1.69393228049899e-05,0.000172431758285379,-1.13134747050828e-05,0.000124615309671429,-4.23160648734528e-05,-0.000169469010599663,0.0470403922912814,-7.30669174854756e-06,1.73242846097016e-05,-0.00081093947928084,-1.33809292865428e-05,-2.03523194374942e-05,1.53546633518214e-16,-1.42957857789408e-15,1.37841380991301e-05,-1.00271458466969e-05,1.50145188962696e-05,-3.51093001232162e-06,-0.000705821008249272,-1.79448658517066e-15,-3.58636226912797e-07,-2.06565710667453e-05,-1.00803788189222e-06,-1.45329004981109e-06,-1.96157341073126e-05,0.0127483302675605,2.9642407864882e-06,0.000633823878033595,1.00239493745731e-07,-1.01350804728964e-16,2.07441149716573e-10,2.2683534987043e-15,1.34566668698959e-14,8.32926361294597e-14,0.368611290588878,-1.92358083592576e-06,-4.51222601592598e-15,1.30270601839671e-06,3.40820764025128e-07,-1.55901673439468e-07,4.72126126121736e-15,-8.05961856354525e-07,-0.00187057670614111,-4.24483310128466e-08,-6.20312711809556e-05,-4.24266229627451e-07,6.63956442524738e-14,-3.1232440572301e-15,-4.39539003768749e-06,1.3812675601907e-14,-0.404492381773993,-7.39631102656846e-14,0.707106781187129,4.95610860783653e-14,-3.0516301499146e-05,3.45822199083793e-14,-4.77056570554456e-15,6.30476825487065e-15,8.98163727533206e-07,2.50456625244989e-07,1.66871034469354e-15,1.89969069681027e-14,5.8744317208701e-15,-6.89206123686086e-15,-8.26349877900022e-15,5.27470302081155e-07,8.91341071123914e-15,-1.52993128964624e-14,-4.06568343963782e-16,4.48365953359989e-15,-6.02400699071967e-15,3.22014471263937e-15,-4.45059404829625e-15,-9.57905974401876e-15,4.94798468571095e-15,2.11227805118876e-14,1.33958236800513e-13,-0.100000000000001
"t191",-0.0759551137560128,-0.196518002498734,0.0230050420691706,-0.0207428874269624,-0.193177805405645,0.0397571655212802,0.00022624907695597,0.00318610281384883,6.36741863539598e-06,-3.21567450017482e-05,0.000301581208465516,-0.00333375238627442,-0.000288480612669972,-0.00929600617511023,0.000395815736398922,-0.322040794147922,-0.00479737747700524,-0.00659655874263866,-6.29733541705503e-05,9.08825299307261e-06,-4.48580628854281e-07,2.50196942142976e-07,-1.69393228054633e-05,0.000172431758285385,-1.1313474705601e-05,0.000124615309670387,-4.23160648749731e-05,-0.000169469010598628,0.0470403922912882,-7.30669174820045e-06,1.73242846051077e-05,-0.000810939479284449,-1.33809292887994e-05,-2.03523194404536e-05,-2.02002672618158e-16,5.22296056525691e-16,1.378413809561e-05,-1.00271458449548e-05,1.50145188964727e-05,-3.51093001311528e-06,-0.000705821008255151,-6.53194661198958e-16,-3.58636226515634e-07,-2.06565710660356e-05,-1.00803788101316e-06,-1.45329004518376e-06,-1.96157341063154e-05,0.0127483302675692,2.96424078406081e-06,0.000633823878037216,1.00239493015053e-07,7.65524021742594e-16,2.07424249166197e-10,2.41561161274924e-16,1.40670251402052e-14,7.9947797419829e-14,0.368611290588978,-1.92358084965458e-06,-1.92852098823057e-15,1.30270601720308e-06,3.40820773777493e-07,-1.55901659263268e-07,-6.52325407769088e-15,-8.05961869008872e-07,-0.00187057670611649,-4.24483521170317e-08,-6.20312713314923e-05,-4.24266217465772e-07,-4.38127593836546e-14,-5.27560684890459e-15,-4.3953900371112e-06,-3.97173564267047e-15,-0.404492381775932,2.53341545804862e-14,-0.707106781185967,-6.04864019874417e-14,-3.05163010591451e-05,-4.53040890495343e-14,-1.69192827422325e-15,8.88428355563055e-15,8.98163739375138e-07,2.50456625588981e-07,4.82461208149263e-14,-5.62525750489263e-15,-4.48256754076211e-15,8.74201156155228e-15,-6.6018255959187e-15,5.27470328578987e-07,-1.17715472789995e-15,-1.53065342643886e-14,2.55598535855723e-15,-2.62111846626869e-15,-2.45300620396703e-15,5.20667500848155e-15,5.31612336503334e-15,6.4786872995722e-15,4.56202087848406e-15,1.01250267518457e-14,1.33716342412194e-13,-0.100000000000007
"t203",-0.0759445648720649,-0.196483776275077,0.022994490352984,-0.0207320010650777,-0.19303052327335,0.0397211788370724,0.000225999216397015,0.00318186709606834,6.3584070189164e-06,-3.2104936918382e-05,0.000300956502388085,-0.00332366373014622,-0.000287561330958377,-0.00926288879897988,0.000394271060776568,-0.320740028061895,-0.00477522432502139,-0.00656563625185501,-6.2638982101093e-05,9.03772389482295e-06,-4.46014707545628e-07,2.48755077071416e-07,-1.68321303428726e-05,0.000171051377081267,-1.12174309000855e-05,0.000123517811988834,-4.18815611095643e-05,-0.000167455782524561,0.0464667318086302,-7.20746832338626e-06,1.70604664832223e-05,-0.000798334259969933,-1.31550738488872e-05,-2.00031914848471e-05,9.13361874308143e-17,3.64334406064093e-16,1.35323856963535e-05,-9.84270566082501e-06,1.4693240993549e-05,-3.42585766129432e-06,-0.000687918799180749,2.15953095418702e-15,-3.4857501476405e-07,-2.00562002460105e-05,-9.7835806281602e-07,-1.40556174782523e-06,-1.88656062673494e-05,0.0122524442042351,2.83215070787094e-06,0.00060515188210336,9.52952986293504e-08,-3.25952225212473e-16,1.92733786713921e-10,-6.26757840100809e-17,-2.20472179925204e-14,-1.26142689217199e-13,-0.548126084772288,-8.93409568615173e-06,5.4926724477838e-15,2.55948137428678e-06,3.87513097589316e-07,-1.74052603873843e-07,-6.22265369176825e-16,-8.67395371752544e-07,-0.00197641906842182,-4.43586856526407e-08,-6.36035503770424e-05,-4.23658690849797e-07,4.14074329455627e-14,-4.43347125105349e-15,-4.26687968360429e-06,6.25335187585398e-15,-0.00500486272823428,5.38321745333924e-15,-8.38218383591993e-15,-1.54851664726996e-14,-3.57199399862284e-05,2.35767978380932e-14,-1.02262668288816e-14,1.30762853115501e-15,9.76032711665656e-07,2.67862486498245e-07,0.707106781186528,-4.54761625409994e-13,-6.39541834637383e-14,-3.57252095912415e-14,1.31845203407545e-13,5.56116891812076e-07,4.69022983030081e-14,-4.55107315109138e-15,8.06022938975322e-15,3.94147530744984e-15,9.07467279657529e-15,8.5058701997261e-15,3.72380356367976e-14,-1.09421773277565e-14,4.80340317747475e-15,7.8550149711074e-15,1.20927199667453e-13,-0.0999999999999557
"t204",-0.0759445648720644,-0.196483776275078,0.0229944903529843,-0.0207320010650774,-0.193030523273349,0.039721178837072,0.000225999216395513,0.00318186709606892,6.35840701905061e-06,-3.21049369174717e-05,0.000300956502386451,-0.00332366373014655,-0.000287561330958538,-0.00926288879897699,0.000394271060775989,-0.320740028061891,-0.00477522432502272,-0.00656563625185492,-6.26389821016175e-05,9.03772389587617e-06,-4.4601470868902e-07,2.4875507651492e-07,-1.68321303419836e-05,0.000171051377078374,-1.12174308996486e-05,0.000123517811986961,-4.18815611064328e-05,-0.000167455782525905,0.0464667318086305,-7.20746832768798e-06,1.70604664868623e-05,-0.000798334259975958,-1.31550738503178e-05,-2.00031914909601e-05,-2.28311728331964e-16,6.94474349104372e-16,1.35323856905164e-05,-9.84270566054918e-06,1.46932409938186e-05,-3.42585766000115e-06,-0.000687918799186027,5.59666006115536e-16,-3.48575019122196e-07,-2.005620024826e-05,-9.78358063232332e-07,-1.40556174678102e-06,-1.88656062594453e-05,0.0122524442042168,2.83215070585805e-06,0.00060515188212752,9.52953043396923e-08,8.76369796374094e-16,1.92737191379543e-10,-2.67548478631765e-15,-1.81862962731644e-14,-1.12574229578114e-13,-0.548126084772225,-8.93409568242284e-06,4.96018035545968e-15,2.55948137908821e-06,3.87513114515533e-07,-1.74052610794099e-07,6.92164433848093e-16,-8.67395367572584e-07,-0.00197641906840451,-4.43587075874626e-08,-6.36035504469848e-05,-4.23658679549942e-07,-2.48586250075634e-14,2.45155974095456e-15,-4.2668796853748e-06,-3.71008353514921e-15,-0.00500486272824388,-2.41147334199451e-15,-5.40123501480139e-14,2.03184193586488e-14,-3.57199400878768e-05,-1.46562105092263e-14,1.0864231774196e-14,-3.34634421503977e-15,9.76032767164353e-07,2.67862631612843e-07,-0.707106781186566,4.56098067159328e-13,6.30408342841453e-14,3.19301155714776e-14,-1.29078074174078e-13,5.56116759672609e-07,-4.78427583945463e-14,1.74561103465536e-14,-9.35991639168003e-15,-7.76519085105991e-15,-7.44544787494258e-15,-1.29760039480368e-14,-4.21754496901631e-14,9.0309574711938e-15,-4.69977643379172e-15,2.02058603307282e-14,1.40568565353815e-13,-0.100000000000054
"t131",-0.074690821319739,-0.192397281238652,0.021685132877131,-0.0193683577942642,-0.173919421695061,0.0349457337634297,0.000191730079970729,0.00257722458941385,5.0511523199372e-06,-2.42935079554388e-05,0.000196510995518649,-0.00104130464933794,-6.45882283031505e-05,0.000547910651565507,-0.000193281155753139,0.243128432532149,0.0240283542370261,0.0485579357041711,-0.000275011146150426,2.83631487892372e-05,-1.2113323214324e-06,6.53684165463904e-07,-3.24848935984958e-05,0.000210124313791488,-1.25210872956814e-05,0.000129640246595915,-3.22982983269679e-05,-6.7456830559112e-05,0.0132818045870397,-1.47617046818433e-05,6.65150765538101e-06,-0.000248294686531996,-3.16862900584436e-07,6.39005395133353e-07,-1.91722820084199e-16,-3.93121402939972e-15,-3.51302067407005e-06,2.82364444012581e-06,-1.45371431160174e-05,6.3856247353566e-06,0.00158503000610439,3.71758691042041e-15,1.28169490264654e-06,8.75456405948353e-05,4.55589635300738e-06,1.2152977766233e-05,0.000871266226916665,-0.921558537728073,6.66046304846724e-05,0.0126852791022885,1.27953145150174e-06,-1.07038948086098e-14,1.30511296337451e-09,-3.08452638522808e-15,3.15861907371597e-15,-2.23483822261054e-15,0.000687924346654503,-1.74320871218249e-05,-2.48474618312052e-15,6.54461832851682e-06,1.18644158321444e-06,-5.32631578746764e-07,3.19212975247352e-15,-2.71457163130239e-06,-0.0585121693027584,-1.05927566796505e-07,-0.000162143750207906,-1.06880586495627e-06,-5.93362121493993e-15,-2.62130012015054e-16,-1.0639746728188e-05,6.91915374570973e-16,-0.000270788731215402,-6.54809683875839e-16,-5.99520433297585e-15,-1.00910595318756e-15,-8.55777019880005e-05,-3.8285008157729e-15,8.28855454515884e-16,6.5244489609195e-16,2.28606409863146e-06,6.18701076210614e-07,1.92426355546116e-14,-8.81408664890962e-16,-5.57325895573097e-16,2.33754107767103e-15,-1.34707419860163e-15,1.25650556327224e-06,-1.28773728480805e-15,-5.11925745715403e-15,-1.72432829614306e-16,-7.40097083841875e-16,-4.28884898627643e-15,-7.29664766207257e-16,-1.28942006858225e-15,5.61021464796375e-16,1.88818490359392e-15,1.54869476374186e-14,1.32745998736281e-13,-0.100000000000006
"t171",-0.075247464946348,-0.194200796507407,0.022233747053655,-0.0199322790696034,-0.181431570666473,0.036760830544404,0.00020410208019546,0.00278163024438414,5.48107761698156e-06,-2.66914343948358e-05,0.00022259403063814,-0.00126428620778852,-7.94103800380032e-05,0.000694559523438845,-0.000252247475968303,0.321167430766823,0.033506765256711,0.0681795838777007,-0.000411949985383902,4.3690765760223e-05,-1.90089600132441e-06,1.03099331407304e-06,-5.49723199126017e-05,0.000462483321746106,-3.03609244192746e-05,0.000337397473292394,-0.000130280330837305,-0.000804930687177514,0.266200859444756,0.00013884402268335,-2.15354750255314e-05,0.000709727297688979,5.96309773308548e-07,-1.12001623375603e-06,-4.30587164879867e-16,-4.02772678032962e-16,4.78178259764247e-06,-3.74190854749613e-06,1.15584879942338e-05,-3.51280404943263e-06,-0.0007661996081051,-2.28253441271879e-16,-4.68522411781986e-07,-2.90374391986012e-05,-1.45830805674521e-06,-2.87556180853221e-06,-0.00013284112122655,0.133452501641515,-6.21757262942607e-06,-0.001123534591255,-8.18926886473581e-08,1.65367242251729e-15,-6.43852326907909e-13,1.30072095216278e-15,-3.86664964383983e-15,1.17847440472641e-14,2.63458824173446e-06,7.79249146848197e-08,2.49341075829545e-15,-1.01647490000542e-07,-2.63192900436115e-07,1.65891805116182e-07,-2.51977810274929e-15,2.84813799047491e-06,0.844901001194181,-3.03171709063215e-07,-0.000190622272116096,-9.11071550324865e-07,1.16695939917584e-14,-2.72367795373438e-15,-8.19547594899294e-06,-4.1078461877988e-15,-0.000185171234115836,-1.20691082329958e-15,1.7430501486615e-14,3.39871955693178e-15,-5.58571532430352e-05,-3.54683703834535e-15,5.12670863600667e-16,4.33861658388535e-15,1.43621962946804e-06,3.82534708511673e-07,1.6608949986309e-14,1.44173165255123e-15,5.05890584774852e-15,-1.28027513138232e-15,7.47833276623362e-15,7.64242534894042e-07,8.88455563442952e-16,-9.13512138577995e-15,1.67998210837227e-15,1.1449182744205e-15,-4.39478949263626e-15,1.83827925265223e-15,-5.09198300994918e-15,-4.73892683221994e-16,-7.05619227796036e-17,1.41411556482215e-14,1.31458713444023e-13,-0.0999999999999465
"t216",-0.0753988340669761,-0.194690770632245,0.0223816704725792,-0.0200840623832379,-0.183440764104937,0.037244450574449,0.000207381031423398,0.00283547889231751,5.59407732512965e-06,-2.7318397473341e-05,0.000229329961640278,-0.00132040715231458,-8.31247173776398e-05,0.00073093608091847,-0.000266739642756887,0.340275883353954,0.0357912652412461,0.0728997874947948,-0.000444335115049364,4.72908064450244e-05,-2.06214270298131e-06,1.1191187444921e-06,-6.01432414495784e-05,0.000517866771398044,-3.42233541283519e-05,0.000381978146844833,-0.000150454111366646,-0.000949929090838208,0.315478530652403,0.000167593507390383,-2.65617834985668e-05,0.000878972552197235,7.51337216705783e-07,-1.41618336304554e-06,-8.36301649976818e-17,4.31889297436902e-16,6.13233074344344e-06,-4.80668268881967e-06,1.54159931997951e-05,-4.84993528391774e-06,-0.00107232306209945,-9.48520754196538e-16,-6.76860270423354e-07,-4.24444513385386e-05,-2.14096742236453e-06,-4.38771601359955e-06,-0.000215018768094372,0.217524569117124,-1.0747180395682e-05,-0.00195532802710449,-1.484011942947e-07,3.10435847294788e-15,-1.39409899447457e-12,-1.33746699329861e-15,2.31130308037088e-15,-1.10756743259748e-14,0.000152312672272052,-4.0657741616534e-06,-2.6712183361603e-16,1.61645162964403e-06,4.70995909458642e-07,-2.37093090438432e-07,-7.35943614689337e-16,-2.13147727781002e-06,-0.375797752407316,8.6655037715569e-08,1.3717467381146e-05,-8.31933838451475e-08,3.49701948755077e-15,-4.00958175276475e-15,-1.35418925680134e-06,-1.95803778273695e-15,-5.19119072074359e-05,-4.09908970990742e-15,-3.33066907387547e-15,8.65296324680916e-16,-1.90629772512913e-05,5.23628718631642e-15,1.08192916346366e-14,1.02276456760965e-15,5.83764341049809e-07,1.69213720510807e-07,-1.06810674316141e-14,1.22900213344761e-15,2.99748802666616e-14,-5.7707003626705e-15,-6.08173950703412e-14,3.76790432683747e-07,-9.69550880657385e-13,-0.707106781186545,-2.26652796896602e-14,-2.21181374357247e-14,2.3053693414897e-15,-3.81241213669022e-15,-4.05701458580793e-14,-6.64808761370201e-15,1.76922878806448e-14,1.41504459976766e-14,1.28149606324299e-13,-0.0999999999999996
"t217",-0.0753988340669761,-0.194690770632245,0.0223816704725788,-0.0200840623832389,-0.183440764104937,0.0372444505744492,0.000207381031423588,0.00283547889231837,5.5940773253439e-06,-2.73183974729119e-05,0.000229329961640426,-0.00132040715231477,-8.31247173782678e-05,0.000730936080919022,-0.000266739642756914,0.340275883353955,0.0357912652412456,0.0728997874947932,-0.000444335115049603,4.72908064456051e-05,-2.06214270313787e-06,1.11911874464547e-06,-6.01432414498446e-05,0.000517866771397886,-3.4223354129258e-05,0.000381978146844832,-0.000150454111365156,-0.000949929090836982,0.315478530652395,0.000167593507390191,-2.65617834976371e-05,0.000878972552196078,7.51337213493499e-07,-1.41618336113388e-06,5.81292363445654e-16,1.5886012982488e-15,6.13233074346472e-06,-4.80668268872457e-06,1.54159932006298e-05,-4.8499352825572e-06,-0.00107232306210292,-1.01498225488069e-15,-6.76860268921183e-07,-4.24444513377431e-05,-2.14096742308585e-06,-4.38771601614327e-06,-0.000215018768093734,0.21752456911712,-1.07471803966906e-05,-0.00195532802711695,-1.48401194955158e-07,2.1918119387471e-15,-1.39351430620255e-12,1.26940256787214e-15,-4.02898934043826e-16,1.61878323553593e-15,0.000152312672296248,-4.06577416319694e-06,-1.65200318323447e-17,1.61645163321371e-06,4.70995912443228e-07,-2.37093085049415e-07,3.11606885908825e-16,-2.13147727061886e-06,-0.375797752407303,8.6655035520123e-08,1.37174673958565e-05,-8.31933694101608e-08,-1.01316922729712e-14,5.02349311393446e-15,-1.35418924689706e-06,5.80268363415938e-15,-5.19119072298346e-05,7.94179840427876e-15,-3.05311331771918e-15,-3.03272474228402e-15,-1.90629773041096e-05,3.37835818796552e-15,-1.15643167621148e-14,-5.39100530790631e-15,5.83764340513236e-07,1.69213703335718e-07,1.16135986816398e-14,3.50320055537333e-15,-3.47703989770964e-14,5.61637166201292e-15,5.48478572300864e-14,3.76790845430936e-07,9.6638696665076e-13,0.70710678118655,1.99991145491693e-14,2.06323944635534e-14,-5.17118745104125e-17,5.7203295543341e-16,3.89101621137331e-14,8.52337995857712e-15,-1.22274061633664e-14,1.63891595628248e-14,1.37113364331518e-13,-0.100000000000044
"t150",-0.0744669236102991,-0.191668790598855,0.021455867043589,-0.0191308245327097,-0.17066402484015,0.0341456185508799,0.000186144817334565,0.00248242546113477,4.8496993815555e-06,-2.31431737248667e-05,0.000183285479586162,-0.000914330279133224,-5.59801192146696e-05,0.0004586984049737,-0.000155859002615408,0.192747248289509,0.0174442276427987,0.034805486731193,-0.000170985921024576,1.63299826201594e-05,-6.58342198795692e-07,3.49371399591712e-07,-1.29083861092698e-05,-6.94287580850341e-05,8.77120104114019e-06,-0.00013116463329087,0.000125890052372713,0.001590394664228,-0.59921925093791,-0.000562122575795705,0.000211057025333509,-0.00878713850218089,-0.000104413195141086,-0.000151484856027627,1.53557091793674e-16,1.37655095158902e-15,8.82857600926834e-05,-6.33065585400718e-05,7.58520176826604e-05,-1.5978091085579e-05,-0.00313103130817454,-4.41507914199153e-16,-1.53899528785734e-06,-8.83677265938121e-05,-4.31318960196032e-06,-6.49182605701235e-06,-0.00015513095680154,0.136544145420224,2.90986396520877e-06,0.000771462209149189,1.88625132820534e-07,9.58099513457628e-16,4.82276694346461e-10,4.76279494988868e-15,-5.57495611798011e-15,0.707106781186547,0.000437759100098752,-1.1230359060264e-05,-1.98892783113923e-16,4.27129023797714e-06,8.33364433383348e-07,-3.77049818730175e-07,-3.69133854412291e-15,-1.91108716533783e-06,-0.0112164171992194,-9.39903866176127e-08,-0.000136160683190986,-9.03769087666349e-07,-3.05889661234753e-15,1.49001454957806e-15,-9.06810136233676e-06,-6.23635113914215e-16,-0.000234706478344032,6.74745193504443e-16,-3.08086889333481e-15,8.96153894208978e-16,-7.50002901157257e-05,-2.11917975624139e-15,6.1093830259899e-17,-7.12118379060718e-16,2.03083642149708e-06,5.54178733295049e-07,1.22124414047793e-14,2.11762889463353e-15,1.59411422505607e-16,1.14628452627012e-16,-1.45283524589497e-15,1.13979671185435e-06,-8.75817537875084e-16,-1.26213986421434e-14,2.77826052636802e-16,-6.07963377612334e-16,-1.56920955999169e-15,-1.34566756285293e-15,-2.63957042863645e-15,-2.53367228694797e-16,1.22362445338963e-15,1.44840264444836e-14,1.32198362198621e-13,-0.100000000000006
