,0,1,2,3,4,5,6,7,8,9
t8,5.876203,5.2095585,7.4630165,4.1859536,7.1825542,7.197067,2.6435475,8.214863,3.6011038,1.0273408
t18,10.136307,3.4592335,10.584647,5.1790466,5.844788,5.4120097,5.3931847,2.882163,7.1633425,4.8843317
t19,10.112871,3.4064882,10.573303,5.1063285,5.842354,5.431706,5.40293,2.936347,7.1625004,4.9429145
t20,9.694593,2.669345,10.229666,3.3325899,6.306917,4.20696,4.733287,3.959973,6.595423,5.5567164
t22,7.8872466,6.629837,4.811435,1.7903627,3.9172118,1.900764,8.506159,4.3178105,0.5252494,3.2785547
t23,1.9771373,3.4974418,0.4543705,-1.256847,12.7090645,7.2739096,11.963379,-1.4133395,13.175605,1.3222625
t24,1.8202531,3.5944612,0.43697283,-1.3258625,12.804597,7.120905,11.905842,-1.319464,13.288766,1.437302
t25,1.8364704,3.5796523,0.3994491,-1.2508144,12.816994,7.134416,11.972661,-1.3006529,13.296211,1.3609073
t29,10.1557,3.609931,10.6169405,5.2749004,5.660714,5.38482,5.4072647,2.7353172,7.212004,4.6954913
t33,1.9087489,3.5707257,0.5091278,-1.289058,12.716019,7.2001686,11.966171,-1.403746,13.255109,1.4169412
t34,1.8470068,3.6225147,0.5115981,-1.3908396,12.756033,7.1376195,11.855633,-1.3816302,13.255622,1.5242019
t35,7.849949,-3.1349595,2.91591,-0.6210813,3.1800516,11.063494,5.931738,-0.6248353,-2.7726536,10.726936
t36,10.141407,3.676873,11.966484,3.8418853,4.4594946,6.048126,8.243202,3.7407205,2.7196577,2.3895273
t41,7.938248,6.682536,4.7922,1.7071017,3.9197407,2.0123641,8.622977,4.186377,0.51142895,3.1622527
t42,5.9786496,5.320631,7.3935194,4.225418,7.080272,7.2045712,2.6666842,8.120183,3.6126387,0.87744534
t43,7.939966,6.5070834,4.8389506,1.8361543,3.7809455,2.0690663,8.512723,4.248344,0.49305573,3.3161519
t46,2.1456552,3.0085156,0.30703104,-1.2373389,12.708137,7.0958896,11.855438,-1.3248855,13.061065,0.9406909
t47,8.315622,12.574331,-1.4077609,5.0808167,5.148296,6.283697,2.5725482,11.503329,5.122835,-0.30796698
t48,7.8580737,6.4673233,4.759776,1.7948626,3.7855408,2.0526137,8.539843,4.290816,0.5889427,3.228794
