,0,1,2,3,4,5,6,7,8,9
t16,104.76004,-10.21512,123.882095,91.64852,0.67035544,-6.1405478,142.58853,-0.84455395,-11.439216,-13.675231
t19,94.501,-9.007567,106.152306,107.73827,13.880946,-5.1279006,152.70668,-0.23017101,-10.978499,-10.683184
t20,84.66664,-9.730951,115.39736,121.52411,8.158792,-5.2245955,135.83327,-2.2306285,-9.814881,-11.98989
t21,105.817894,-10.681018,119.289665,87.53861,-0.52640027,-5.260728,136.88264,-0.7057573,-11.573672,-13.882121
t26,91.69584,-8.909499,128.84499,103.15598,62.612625,-12.561755,134.62625,-0.16178495,-8.876121,-8.915461
t30,94.44423,-8.800185,116.97011,114.941956,14.053031,-4.3750834,141.58917,-1.1485276,-11.166228,-11.023768
t32,91.87042,-10.883529,120.365234,118.00297,15.63481,-6.90752,143.17932,-1.0838964,-10.95758,-12.316685
t33,84.505875,-8.63253,121.16781,122.86504,8.621324,-5.127622,138.64177,-2.3460052,-10.093051,-12.035766
t34,98.04323,-9.013083,118.740524,100.161514,10.091632,-5.890993,145.29527,-0.46725368,-10.512166,-12.143791
t35,103.69416,-10.491786,120.20102,83.18328,-0.62118286,-5.605795,133.47218,-0.44428882,-11.744129,-13.7480135
t37,101.28923,-11.104651,123.76599,86.22013,0.10387671,-7.1695743,136.28137,-0.3581457,-10.772594,-14.369837
t39,103.278076,-11.073333,121.54501,83.74869,0.8418032,-6.8379874,138.3058,-0.20404835,-10.579806,-13.988382
t40,95.51062,-9.743225,71.159805,97.657074,12.354354,-4.834528,164.93631,6.236061,-11.878406,-9.142491
t41,103.93382,-12.538521,125.40202,101.113106,4.888819,-6.996976,133.89212,-0.9677536,-12.196849,-14.765431
t43,96.52137,-9.246724,115.81844,102.14649,8.196534,-5.4494205,145.367,-0.58468896,-10.785896,-12.039977
t44,84.66398,-9.03947,118.3539,119.43966,10.415757,-5.16848,137.0132,-2.352698,-9.982267,-11.783318
t46,101.417435,-11.106393,121.72747,85.60131,1.6780154,-6.8792443,137.40248,-0.13932668,-10.765125,-13.88626
t47,102.16547,-11.187839,122.58372,84.41407,1.5552584,-6.9816146,137.08969,-0.3440363,-10.592777,-14.035988
t50,93.80003,-8.216893,125.82776,97.2572,69.64145,-13.212601,133.5538,1.4263573,-8.65871,-8.5484295
t51,92.1072,-9.133715,77.06687,94.87179,12.495944,-4.945614,165.7727,1.9764967,-10.55741,-8.674248
t53,94.86416,-9.681983,71.056816,98.58785,15.97943,-4.8418794,163.85114,5.4808598,-11.347274,-8.994033
t55,97.235855,-9.2010145,118.99709,102.104294,8.516772,-5.2866516,141.33406,-0.69554824,-10.515288,-12.372479
t56,82.282196,-10.2877035,118.76072,121.609795,11.299619,-5.9720063,137.67816,-2.1949368,-9.602207,-11.704584
t57,97.698135,-8.5913925,130.17609,102.72812,58.10299,-11.2033205,137.06792,-0.532811,-9.180006,-9.651743
t58,97.1768,-8.5146,129.05757,101.643715,59.693176,-11.234809,137.37462,-0.3992962,-9.11906,-9.158564
t59,95.19044,-9.977914,74.14178,98.35815,12.205672,-5.109758,163.85107,5.916666,-11.782087,-9.426475
t61,107.10341,-10.379742,121.95058,81.92343,-0.30049464,-5.6342363,133.85045,-0.5262615,-11.855175,-14.135231
t63,92.785385,-7.9318466,126.17504,95.91035,70.434074,-13.510973,136.03157,3.1384945,-8.624999,-8.046649
t66,96.268524,-9.572346,71.60028,97.391014,12.654529,-4.916805,165.00586,6.792321,-11.807097,-9.312758
t67,81.76786,-9.518338,120.22651,135.1504,2.3246353,-3.592408,122.49008,-3.7636182,-8.766846,-13.09068
t68,84.62459,-8.532466,115.73183,114.48032,11.085172,-5.0085106,143.32314,-1.4284596,-10.21044,-11.004539
t69,105.92795,-10.5053,122.46995,82.798256,-0.06552761,-6.0164404,133.76662,-0.6449423,-11.769944,-14.047729
t70,84.64284,-8.533126,113.94028,112.871574,9.691924,-4.6537347,141.54086,-1.6114653,-10.089199,-11.024193
t71,90.74827,-8.545771,114.39204,114.19432,13.321198,-4.3367796,138.38223,-0.9118562,-10.863251,-10.770728
t72,90.59861,-8.53343,114.58038,115.271484,12.0500345,-4.398019,139.40819,-0.965105,-10.834582,-10.900378
t74,93.386505,-7.983852,126.5872,98.81107,68.55961,-13.188356,134.49855,2.106659,-8.71159,-8.660408
t75,82.67074,-9.659234,120.41163,135.82544,1.9993273,-3.5719383,122.68878,-3.77248,-8.942927,-13.174527
t76,105.61467,-10.484055,122.83716,82.31451,-0.06323268,-6.036407,133.0467,-0.5904686,-11.798302,-14.069966
t77,83.7183,-8.360423,114.09999,112.585594,11.014739,-5.1430826,143.54239,-1.2322248,-10.178761,-10.9363165
t78,84.55167,-8.421849,114.499535,112.84949,11.020791,-5.0160513,144.1459,-1.2669281,-10.38094,-10.889922
t79,84.129585,-9.842764,117.38138,122.88542,7.5672708,-5.176348,129.9502,-3.2586522,-9.240806,-12.111972
t80,93.27563,-9.676299,74.100746,98.86914,11.85039,-4.920693,163.80025,4.178443,-11.482891,-9.066899
t82,104.7816,-10.450587,116.400406,79.81895,-0.87841064,-5.655725,134.85321,0.33784387,-12.014794,-13.441243
t83,91.94191,-7.856116,126.07655,97.29656,72.21234,-13.8676405,135.28404,2.6442337,-8.405837,-8.0459385
t84,90.863,-8.395832,115.680786,116.37827,12.462516,-3.8461072,138.92125,-1.3065125,-10.64542,-10.6465225
t85,90.83135,-8.313062,116.3342,116.23528,12.165694,-3.783678,137.73457,-1.3938031,-10.547416,-10.770537
t86,92.72308,-8.981078,71.61435,95.95013,15.058793,-4.9241204,167.01393,3.532157,-10.688668,-8.267581
t87,102.75708,-12.309088,123.512085,98.60749,6.457606,-6.955631,132.1431,-0.9497267,-12.298153,-14.339519
t88,93.209045,-8.97058,104.74348,107.74317,16.065825,-5.717988,155.94447,-0.45998308,-10.767425,-10.153391
t89,92.929825,-8.969655,105.065865,107.83884,15.933564,-5.692899,155.20378,-0.5760946,-10.625566,-10.180756
t91,104.93419,-12.433303,123.984314,99.22254,5.1529183,-6.9546733,133.37419,-0.762814,-12.113653,-14.671542
t92,105.02638,-12.484283,125.217896,100.013405,4.958609,-6.9369082,133.05585,-0.83641034,-12.069675,-14.791544
t93,91.794846,-7.7872086,124.75183,96.13871,72.20226,-13.926628,135.19322,3.1386414,-8.408998,-7.9615846
t94,94.276596,-9.79175,70.23517,100.14523,15.210475,-4.7065406,161.82193,5.3037586,-11.486289,-9.238564
t95,94.06006,-8.118274,132.47992,102.97306,66.019295,-11.854175,134.23564,-0.8033123,-8.665217,-9.067049
t96,83.69328,-9.7589035,116.700554,122.2501,7.6662774,-5.113868,128.8472,-3.2373302,-9.142773,-12.054803
t97,83.52454,-9.69731,117.170296,122.87224,7.4452024,-5.076426,128.43652,-3.3386738,-9.085325,-12.112075
t98,84.320724,-8.420156,113.38518,112.9421,9.445327,-4.589119,142.84549,-1.5386536,-10.22076,-10.798972
t99,84.57674,-8.37563,113.45904,112.64297,9.817508,-4.5197864,142.3894,-1.5460942,-10.12611,-10.813373
t100,102.68226,-12.230701,123.07999,96.91468,6.819041,-7.0356226,132.43225,-0.89957255,-12.161865,-14.248866
t101,102.44388,-12.273442,123.0974,97.70526,6.4445977,-6.943902,131.93936,-1.0170128,-12.205636,-14.272105
t102,100.30241,-11.032758,122.02225,83.666176,-0.3654124,-6.58051,136.167,-0.40624887,-10.816799,-14.203055
t103,104.46744,-10.448565,116.81153,79.97548,-0.9346858,-5.5763855,134.42386,-0.01273423,-12.048435,-13.360468
t104,106.00355,-10.52081,121.90545,82.77924,-0.20809658,-5.720869,132.59,-0.6713028,-11.925645,-14.116729
t106,83.00183,-8.788788,122.09042,124.18842,7.7902627,-5.6863675,135.2228,-2.329439,-10.184424,-12.793456
t107,104.73711,-10.494563,116.8421,79.83267,-0.9027118,-5.601907,134.37868,-0.028442962,-12.081758,-13.381169
t108,104.66601,-10.507865,116.91294,79.99354,-0.95708305,-5.585859,134.27867,-0.03949929,-12.00481,-13.427818
t109,94.47945,-9.710709,69.83846,99.10056,15.586295,-4.6567283,161.44904,5.5455675,-11.422345,-9.17475
t111,92.195526,-9.118131,74.44244,93.63648,12.442069,-4.741307,165.9274,3.3679953,-10.3755865,-8.404382
t112,92.49161,-9.136394,74.144905,94.190796,12.866551,-4.763889,166.04866,3.5239992,-10.418766,-8.417464
t113,82.67578,-9.764302,120.71288,136.16522,2.4172332,-3.5805345,121.54526,-3.867174,-9.161427,-13.2438345
t114,83.74518,-8.716482,120.66008,121.09871,4.4376283,-4.6285605,136.91753,-2.552904,-10.353896,-12.638717
t115,83.924164,-8.733865,120.739136,121.20093,4.538569,-4.5989504,136.9761,-2.5549657,-10.380189,-12.639553
t116,82.84398,-8.756919,121.919754,124.42064,7.8878045,-5.607129,134.84271,-2.382907,-10.214829,-12.7437
t117,82.979126,-8.763805,122.04879,124.19311,7.7594953,-5.625696,134.97733,-2.3715923,-10.216192,-12.771129
t118,93.06373,-8.875391,70.9401,95.24694,15.515643,-4.888715,166.25104,3.498992,-10.537479,-8.303565
t119,93.15216,-8.921568,70.939926,95.35495,15.62312,-4.8404303,165.98265,3.449772,-10.524301,-8.310292
t120,94.274124,-8.130053,132.18523,102.475334,66.47943,-11.958064,134.91653,-0.74553883,-8.713758,-9.018308
t121,95.42764,-8.402841,125.31803,100.71548,68.14858,-12.71488,138.28217,2.080616,-9.34249,-8.371932
t122,95.48125,-8.423248,125.325264,100.51896,68.11373,-12.698011,138.17137,1.9817114,-9.345201,-8.37386
t123,81.18328,-9.4433975,118.766556,134.32336,3.328801,-3.5497193,122.103226,-3.7731645,-8.656386,-12.815004
t124,81.32747,-9.448552,118.77103,134.23306,3.4597557,-3.587434,122.29637,-3.7353895,-8.686497,-12.8088455
t125,81.70902,-10.356135,119.4283,122.01295,10.422669,-5.9023046,137.56378,-2.4702928,-9.538432,-11.640942
t126,81.59584,-10.353574,119.31364,121.697044,10.272576,-5.902379,137.45421,-2.4605668,-9.524077,-11.6236315
t127,92.82242,-9.275405,118.531654,118.43248,10.880939,-4.508911,135.311,-2.0932682,-11.215777,-12.053969
t128,92.825584,-9.28749,118.48978,118.348366,10.955899,-4.5194025,135.26404,-2.0861344,-11.20941,-12.055894
t129,91.0189,-7.9194217,127.8038,98.88023,70.95721,-13.51826,133.93024,1.4003487,-8.595211,-8.1386795
t130,90.99321,-7.9369707,127.79365,98.95719,70.88414,-13.510468,133.89673,1.3001633,-8.581181,-8.144683
t131,100.75743,-10.989122,122.610565,83.34205,-0.35366008,-6.548172,135.57199,-0.4130617,-10.817463,-14.282808
t132,100.77211,-10.998596,122.55458,83.26058,-0.34704006,-6.559491,135.59145,-0.3989807,-10.814098,-14.279983
t133,82.633385,-9.843036,120.69812,136.45314,2.5052974,-3.641077,121.86678,-3.868117,-9.197472,-13.234008
t134,82.67642,-9.853755,120.6897,136.46568,2.4930446,-3.6347222,121.816826,-3.8625953,-9.194232,-13.246303
t135,83.32209,-9.808156,119.73613,133.03935,3.3693092,-3.9581482,126.562836,-3.328777,-9.255741,-12.935676
t136,83.33418,-9.807834,119.74136,133.07004,3.3793724,-3.9554746,126.63686,-3.3325417,-9.265902,-12.933368
t137,94.38892,-8.112526,132.36151,102.53428,66.624374,-11.944862,134.82555,-0.72185534,-8.711785,-9.013183
t138,94.36812,-8.107112,132.3047,102.46409,66.65336,-11.953198,134.8996,-0.7157735,-8.711077,-9.00042
t139,91.83599,-7.9126816,125.8647,95.913605,72.62336,-14.121411,135.62215,3.295433,-8.4342,-7.9754243
t140,91.818085,-7.910202,125.88235,95.905754,72.62696,-14.122049,135.60593,3.2878408,-8.432696,-7.9740233
t141,92.74465,-9.064053,117.84735,117.76474,12.519507,-4.3804507,134.67575,-2.2407777,-11.144404,-11.769744
t142,92.7495,-9.063946,117.85724,117.76956,12.518458,-4.3818045,134.67964,-2.241116,-11.144756,-11.771033
