"","t1","t6","t7","t53","t134","t135","t144","t145","t36","t33","t137","t138","t8","t4","t54","t55","t26","t30","t37","t141","t142","t39","t98","t99","t31","t12","t57","t58","t27","t19","t20","t3","t101","t102","t89","t148","t149","t62","t18","t25","t114","t115","t45","t103","t104","t59","t108","t109","t96","t67","t119","t120","t87","t130","t131","t21","t22","t17","t92","t93","t68","t50","t51","t74","t75","t112","t113","t100","t63","t116","t121","t154","t155","t90","t86","t122","t123","t38","t52","t97","t110","t111","t158","t159","t128","t71","t72","t132","t133","t41","t46","t146","t147","t126","t127","t106","t107","t91","t84","t69","t70","t49","t5","t47","t48","t42","t43","t85","t124","t125","t105","t139","t140","t136","t66","t129","t143","t152","t153","t83","t94","t95","t56","t80","t117","t118","t77","t44","t60","t61","t73","t150","t151","t88","t65","t81","t82","t32","t9","t10","t15","t16","t34","t35","t64","t78","t79","t76","t156","t157","t40","t23","t24","t11","t28","t29","t13","t14","t2"
"t1",0,3.8641700058,3.40651720522,6.7110114140727,6.7110114138727,6.7110114138727,6.7110114138227,6.7110114138227,5.6418055473727,6.7110114135727,6.7110114141727,6.7110114141727,4.2938283658727,4.1230943700627,6.0688463240627,6.7110114142627,5.5732640157627,5.5205281423627,5.2584436308727,6.7110114145927,6.7110114145927,5.3666597972227,6.7110114146627,6.7110114146627,5.1630782135627,6.7110114141627,6.7110114138627,5.8503605850827,4.5098341761627,4.9817038438627,4.5158176617627,3.4106015060627,6.7110114142627,6.7110114142627,6.7110114142427,6.7110114142527,6.7110114142527,6.1980889118627,6.2567077837627,5.3169709219727,6.5161623379727,6.7110114149727,6.7110114149827,6.7110114145827,6.7110114145827,6.7110114145727,6.7110114145427,6.7110114145427,6.7110114145727,6.7110114145727,6.7110114145727,6.7110114145727,6.7110114145727,6.7110114147727,6.7110114147727,4.9762474780727,6.7110114142727,5.0043311333727,6.7110114146727,6.7110114146727,6.7110114146727,5.5669618916127,6.7110114150727,6.6223216870727,6.7110114146727,6.7110114146427,6.5574669404427,6.7110114146227,6.7110114146227,6.7110114145627,6.4582669010427,6.7110114145267,6.7110114145267,6.7110114145627,6.4428071160227,6.7110114146227,6.7110114146227,6.7110114146227,5.6540526480127,6.5829449996027,6.7110114146527,6.7110114146527,6.7110114145895,6.7110114145895,6.7110114146127,6.5793717045227,6.0737612460927,6.7110114148227,6.7110114148227,6.7110114146727,6.7110114147027,6.7110114143527,6.7110114143527,6.7110114150727,6.7110114150727,6.7110114145827,6.4406486566127,6.7110114145727,6.7110114145727,6.3628536570727,6.7110114145727,6.7110114147727,4.7659852074727,6.1428265887727,6.3594393187727,6.1488579173727,5.6853565383727,6.7110114144727,6.7110114144727,6.7110114144727,6.7110114145727,6.7110114145427,6.7110114145427,6.7110114145727,6.4174932955727,6.7110114145727,6.7110114145727,6.7110114145827,6.7110114145827,6.5480925167177,6.7110114145177,6.3288157362177,6.7110114145727,6.7110114145627,6.7110114145627,6.7110114145627,6.5621219035727,5.9656578258727,6.7110114139627,6.2934099956627,6.7110114139727,6.7110114139027,6.7110114139027,6.7110114139727,6.7110114139727,6.7110114139727,6.7110114139727,5.4280765253727,6.7110114148727,4.0156374186727,4.1261971904727,6.7110114143727,6.7110114138727,5.8657017434727,5.9373646284527,6.7110114141727,6.7110114141727,6.7110114141727,6.7110114141567,6.7110114141567,5.6810885121727,4.5983860134727,5.4475286314727,3.8990856367727,4.9884481559727,5.0693424502727,6.0752354994727,3.8457117570727,1.2031641734
"t6",3.8641700058,0,0.57670245842,8.0020792852727,8.0020792850727,8.0020792850727,8.0020792850227,8.0020792850227,6.9328734185727,8.0020792847727,8.0020792853727,8.0020792853727,5.5848962370727,5.4141622412627,7.3599141952627,8.0020792854627,6.8643318869627,6.8115960135627,6.5495115020727,8.0020792857927,8.0020792857927,6.6577276684227,8.0020792858627,8.0020792858627,6.4541460847627,8.0020792853627,8.0020792850627,7.1414284562827,5.8009020473627,6.2727717150627,5.8068855329627,4.7016693772627,8.0020792854627,8.0020792854627,8.0020792854427,8.0020792854527,8.0020792854527,7.4891567830627,7.5477756549627,6.6080387931727,7.8072302091727,8.0020792861727,8.0020792861827,8.0020792857827,8.0020792857827,8.0020792857727,8.0020792857427,8.0020792857427,8.0020792857727,8.0020792857727,8.0020792857727,8.0020792857727,8.0020792857727,8.0020792859727,8.0020792859727,6.2673153492727,8.0020792854727,6.2953990045727,8.0020792858727,8.0020792858727,8.0020792858727,6.8580297628127,8.0020792862727,7.9133895582727,8.0020792858727,8.0020792858427,7.8485348116427,8.0020792858227,8.0020792858227,8.0020792857627,7.7493347722427,8.0020792857267,8.0020792857267,8.0020792857627,7.7338749872227,8.0020792858227,8.0020792858227,8.0020792858227,6.9451205192127,7.8740128708027,8.0020792858527,8.0020792858527,8.0020792857895,8.0020792857895,8.0020792858127,7.8704395757227,7.3648291172927,8.0020792860227,8.0020792860227,8.0020792858727,8.0020792859027,8.0020792855527,8.0020792855527,8.0020792862727,8.0020792862727,8.0020792857827,7.7317165278127,8.0020792857727,8.0020792857727,7.6539215282727,8.0020792857727,8.0020792859727,6.0570530786727,7.4338944599727,7.6505071899727,7.4399257885727,6.9764244095727,8.0020792856727,8.0020792856727,8.0020792856727,8.0020792857727,8.0020792857427,8.0020792857427,8.0020792857727,7.7085611667727,8.0020792857727,8.0020792857727,8.0020792857827,8.0020792857827,7.8391603879177,8.0020792857177,7.6198836074177,8.0020792857727,8.0020792857627,8.0020792857627,8.0020792857627,7.8531897747727,7.2567256970727,8.0020792851627,7.5844778668627,8.0020792851727,8.0020792851027,8.0020792851027,8.0020792851727,8.0020792851727,8.0020792851727,8.0020792851727,6.7191443965727,8.0020792860727,5.3067052898727,5.4172650616727,8.0020792855727,8.0020792850727,7.1567696146727,7.2284324996527,8.0020792853727,8.0020792853727,8.0020792853727,8.0020792853567,8.0020792853567,6.9721563833727,5.8894538846727,6.7385965026727,5.1901535079727,6.2795160271727,6.3604103214727,7.3663033706727,5.1367796282727,3.6124505494
"t7",3.40651720522,0.57670245842,0,7.5444264846927,7.5444264844927,7.5444264844927,7.5444264844427,7.5444264844427,6.4752206179927,7.5444264841927,7.5444264847927,7.5444264847927,5.1272434364927,4.9565094406827,6.9022613946827,7.5444264848827,6.4066790863827,6.3539432129827,6.0918587014927,7.5444264852127,7.5444264852127,6.2000748678427,7.5444264852827,7.5444264852827,5.9964932841827,7.5444264847827,7.5444264844827,6.6837756557027,5.3432492467827,5.8151189144827,5.3492327323827,4.2440165766827,7.5444264848827,7.5444264848827,7.5444264848627,7.5444264848727,7.5444264848727,7.0315039824827,7.0901228543827,6.1503859925927,7.3495774085927,7.5444264855927,7.5444264856027,7.5444264852027,7.5444264852027,7.5444264851927,7.5444264851627,7.5444264851627,7.5444264851927,7.5444264851927,7.5444264851927,7.5444264851927,7.5444264851927,7.5444264853927,7.5444264853927,5.8096625486927,7.5444264848927,5.8377462039927,7.5444264852927,7.5444264852927,7.5444264852927,6.4003769622327,7.5444264856927,7.4557367576927,7.5444264852927,7.5444264852627,7.3908820110627,7.5444264852427,7.5444264852427,7.5444264851827,7.2916819716627,7.5444264851467,7.5444264851467,7.5444264851827,7.2762221866427,7.5444264852427,7.5444264852427,7.5444264852427,6.4874677186327,7.4163600702227,7.5444264852727,7.5444264852727,7.5444264852095,7.5444264852095,7.5444264852327,7.4127867751427,6.9071763167127,7.5444264854427,7.5444264854427,7.5444264852927,7.5444264853227,7.5444264849727,7.5444264849727,7.5444264856927,7.5444264856927,7.5444264852027,7.2740637272327,7.5444264851927,7.5444264851927,7.1962687276927,7.5444264851927,7.5444264853927,5.5994002780927,6.9762416593927,7.1928543893927,6.9822729879927,6.5187716089927,7.5444264850927,7.5444264850927,7.5444264850927,7.5444264851927,7.5444264851627,7.5444264851627,7.5444264851927,7.2509083661927,7.5444264851927,7.5444264851927,7.5444264852027,7.5444264852027,7.3815075873377,7.5444264851377,7.1622308068377,7.5444264851927,7.5444264851827,7.5444264851827,7.5444264851827,7.3955369741927,6.7990728964927,7.5444264845827,7.1268250662827,7.5444264845927,7.5444264845227,7.5444264845227,7.5444264845927,7.5444264845927,7.5444264845927,7.5444264845927,6.2614915959927,7.5444264854927,4.8490524892927,4.9596122610927,7.5444264849927,7.5444264844927,6.6991168140927,6.7707796990727,7.5444264847927,7.5444264847927,7.5444264847927,7.5444264847767,7.5444264847767,6.5145035827927,5.4318010840927,6.2809437020927,4.7325007073927,5.8218632265927,5.9027575208927,6.9086505700927,4.6791268276927,3.15479774882
"t53",6.7110114140727,8.0020792852727,7.5444264846927,0,2.2213374318,2.2213374318,2.22133743175,2.22133743175,1.9531660357,6.8589863259,6.8589863265,6.8589863265,4.4418032782,7.40704325439,9.35279520839,9.99496029859,8.85721290009,8.80447702669,8.5423925152,9.99496029892,9.99496029892,8.65060868155,9.99496029899,9.99496029899,8.44702709789,9.99496029849,9.99496029819,9.13430946941,7.79378306049,8.26565272819,7.79976654609,6.69455039039,9.99496029859,9.99496029859,9.99496029857,9.99496029858,9.99496029858,9.48203779619,9.54065666809,8.6009198063,9.8001112223,9.9949602993,9.99496029931,9.99496029891,9.99496029891,9.9949602989,9.99496029887,9.99496029887,9.9949602989,9.9949602989,9.9949602989,9.9949602989,9.9949602989,9.9949602991,9.9949602991,8.2601963624,9.9949602986,8.2882800177,9.994960299,9.994960299,9.994960299,8.85091077594,9.9949602994,9.9062705714,9.994960299,9.99496029897,9.84141582477,9.99496029895,9.99496029895,9.99496029889,9.74221578537,9.994960298854,9.994960298854,9.99496029889,9.72675600035,9.99496029895,9.99496029895,9.99496029895,8.93800153234,9.86689388393,9.99496029898,9.99496029898,9.9949602989168,9.9949602989168,9.99496029894,9.86332058885,9.35771013042,9.99496029915,9.99496029915,9.994960299,9.99496029903,9.99496029868,9.99496029868,9.9949602994,9.9949602994,9.99496029891,9.72459754094,9.9949602989,9.9949602989,9.6468025414,9.9949602989,9.9949602991,8.0499340918,10.2795510869,10.4961638169,10.2855824155,9.8220810365,10.8477359126,10.8477359126,10.8477359126,10.8477359127,10.84773591267,10.84773591267,10.8477359127,10.5542177937,10.8477359127,10.8477359127,10.84773591271,10.84773591271,10.684817014845,10.847735912645,10.465540234345,10.8477359127,10.84773591269,10.84773591269,10.84773591269,10.6988464017,10.102382324,10.84773591209,10.43013449379,10.8477359121,10.84773591203,10.84773591203,10.8477359121,10.8477359121,10.8477359121,10.8477359121,9.5648010235,10.847735913,8.1523619168,8.2629216886,10.8477359125,10.847735912,10.0024262416,10.07408912658,10.8477359123,10.8477359123,10.8477359123,10.847735912284,10.847735912284,9.8178130103,8.7351105116,9.5842531296,8.0358101349,9.1251726541,9.2060669484,10.2119599976,7.9824362552,6.4592919576727
"t134",6.7110114138727,8.0020792850727,7.5444264844927,2.2213374318,0,0.3471228396,1.60592569895,1.60592569895,1.9531660355,6.8589863257,6.8589863263,6.8589863263,4.441803278,7.40704325419,9.35279520819,9.99496029839,8.85721289989,8.80447702649,8.542392515,9.99496029872,9.99496029872,8.65060868135,9.99496029879,9.99496029879,8.44702709769,9.99496029829,9.99496029799,9.13430946921,7.79378306029,8.26565272799,7.79976654589,6.69455039019,9.99496029839,9.99496029839,9.99496029837,9.99496029838,9.99496029838,9.48203779599,9.54065666789,8.6009198061,9.8001112221,9.9949602991,9.99496029911,9.99496029871,9.99496029871,9.9949602987,9.99496029867,9.99496029867,9.9949602987,9.9949602987,9.9949602987,9.9949602987,9.9949602987,9.9949602989,9.9949602989,8.2601963622,9.9949602984,8.2882800175,9.9949602988,9.9949602988,9.9949602988,8.85091077574,9.9949602992,9.9062705712,9.9949602988,9.99496029877,9.84141582457,9.99496029875,9.99496029875,9.99496029869,9.74221578517,9.994960298654,9.994960298654,9.99496029869,9.72675600015,9.99496029875,9.99496029875,9.99496029875,8.93800153214,9.86689388373,9.99496029878,9.99496029878,9.9949602987168,9.9949602987168,9.99496029874,9.86332058865,9.35771013022,9.99496029895,9.99496029895,9.9949602988,9.99496029883,9.99496029848,9.99496029848,9.9949602992,9.9949602992,9.99496029871,9.72459754074,9.9949602987,9.9949602987,9.6468025412,9.9949602987,9.9949602989,8.0499340916,10.2795510867,10.4961638167,10.2855824153,9.8220810363,10.8477359124,10.8477359124,10.8477359124,10.8477359125,10.84773591247,10.84773591247,10.8477359125,10.5542177935,10.8477359125,10.8477359125,10.84773591251,10.84773591251,10.684817014645,10.847735912445,10.465540234145,10.8477359125,10.84773591249,10.84773591249,10.84773591249,10.6988464015,10.1023823238,10.84773591189,10.43013449359,10.8477359119,10.84773591183,10.84773591183,10.8477359119,10.8477359119,10.8477359119,10.8477359119,9.5648010233,10.8477359128,8.1523619166,8.2629216884,10.8477359123,10.8477359118,10.0024262414,10.07408912638,10.8477359121,10.8477359121,10.8477359121,10.847735912084,10.847735912084,9.8178130101,8.7351105114,9.5842531294,8.0358101347,9.1251726539,9.2060669482,10.2119599974,7.982436255,6.4592919574727
"t135",6.7110114138727,8.0020792850727,7.5444264844927,2.2213374318,0.3471228396,0,1.60592569895,1.60592569895,1.9531660355,6.8589863257,6.8589863263,6.8589863263,4.441803278,7.40704325419,9.35279520819,9.99496029839,8.85721289989,8.80447702649,8.542392515,9.99496029872,9.99496029872,8.65060868135,9.99496029879,9.99496029879,8.44702709769,9.99496029829,9.99496029799,9.13430946921,7.79378306029,8.26565272799,7.79976654589,6.69455039019,9.99496029839,9.99496029839,9.99496029837,9.99496029838,9.99496029838,9.48203779599,9.54065666789,8.6009198061,9.8001112221,9.9949602991,9.99496029911,9.99496029871,9.99496029871,9.9949602987,9.99496029867,9.99496029867,9.9949602987,9.9949602987,9.9949602987,9.9949602987,9.9949602987,9.9949602989,9.9949602989,8.2601963622,9.9949602984,8.2882800175,9.9949602988,9.9949602988,9.9949602988,8.85091077574,9.9949602992,9.9062705712,9.9949602988,9.99496029877,9.84141582457,9.99496029875,9.99496029875,9.99496029869,9.74221578517,9.994960298654,9.994960298654,9.99496029869,9.72675600015,9.99496029875,9.99496029875,9.99496029875,8.93800153214,9.86689388373,9.99496029878,9.99496029878,9.9949602987168,9.9949602987168,9.99496029874,9.86332058865,9.35771013022,9.99496029895,9.99496029895,9.9949602988,9.99496029883,9.99496029848,9.99496029848,9.9949602992,9.9949602992,9.99496029871,9.72459754074,9.9949602987,9.9949602987,9.6468025412,9.9949602987,9.9949602989,8.0499340916,10.2795510867,10.4961638167,10.2855824153,9.8220810363,10.8477359124,10.8477359124,10.8477359124,10.8477359125,10.84773591247,10.84773591247,10.8477359125,10.5542177935,10.8477359125,10.8477359125,10.84773591251,10.84773591251,10.684817014645,10.847735912445,10.465540234145,10.8477359125,10.84773591249,10.84773591249,10.84773591249,10.6988464015,10.1023823238,10.84773591189,10.43013449359,10.8477359119,10.84773591183,10.84773591183,10.8477359119,10.8477359119,10.8477359119,10.8477359119,9.5648010233,10.8477359128,8.1523619166,8.2629216884,10.8477359123,10.8477359118,10.0024262414,10.07408912638,10.8477359121,10.8477359121,10.8477359121,10.847735912084,10.847735912084,9.8178130101,8.7351105114,9.5842531294,8.0358101347,9.1251726539,9.2060669482,10.2119599974,7.982436255,6.4592919574727
"t144",6.7110114138227,8.0020792850227,7.5444264844427,2.22133743175,1.60592569895,1.60592569895,0,0.1261061107,1.95316603545,6.85898632565,6.85898632625,6.85898632625,4.44180327795,7.40704325414,9.35279520814,9.99496029834,8.85721289984,8.80447702644,8.54239251495,9.99496029867,9.99496029867,8.6506086813,9.99496029874,9.99496029874,8.44702709764,9.99496029824,9.99496029794,9.13430946916,7.79378306024,8.26565272794,7.79976654584,6.69455039014,9.99496029834,9.99496029834,9.99496029832,9.99496029833,9.99496029833,9.48203779594,9.54065666784,8.60091980605,9.80011122205,9.99496029905,9.99496029906,9.99496029866,9.99496029866,9.99496029865,9.99496029862,9.99496029862,9.99496029865,9.99496029865,9.99496029865,9.99496029865,9.99496029865,9.99496029885,9.99496029885,8.26019636215,9.99496029835,8.28828001745,9.99496029875,9.99496029875,9.99496029875,8.85091077569,9.99496029915,9.90627057115,9.99496029875,9.99496029872,9.84141582452,9.9949602987,9.9949602987,9.99496029864,9.74221578512,9.994960298604,9.994960298604,9.99496029864,9.7267560001,9.9949602987,9.9949602987,9.9949602987,8.93800153209,9.86689388368,9.99496029873,9.99496029873,9.9949602986668,9.9949602986668,9.99496029869,9.8633205886,9.35771013017,9.9949602989,9.9949602989,9.99496029875,9.99496029878,9.99496029843,9.99496029843,9.99496029915,9.99496029915,9.99496029866,9.72459754069,9.99496029865,9.99496029865,9.64680254115,9.99496029865,9.99496029885,8.04993409155,10.27955108665,10.49616381665,10.28558241525,9.82208103625,10.84773591235,10.84773591235,10.84773591235,10.84773591245,10.84773591242,10.84773591242,10.84773591245,10.55421779345,10.84773591245,10.84773591245,10.84773591246,10.84773591246,10.684817014595,10.847735912395,10.465540234095,10.84773591245,10.84773591244,10.84773591244,10.84773591244,10.69884640145,10.10238232375,10.84773591184,10.43013449354,10.84773591185,10.84773591178,10.84773591178,10.84773591185,10.84773591185,10.84773591185,10.84773591185,9.56480102325,10.84773591275,8.15236191655,8.26292168835,10.84773591225,10.84773591175,10.00242624135,10.07408912633,10.84773591205,10.84773591205,10.84773591205,10.847735912034,10.847735912034,9.81781301005,8.73511051135,9.58425312935,8.03581013465,9.12517265385,9.20606694815,10.21195999735,7.98243625495,6.4592919574227
"t145",6.7110114138227,8.0020792850227,7.5444264844427,2.22133743175,1.60592569895,1.60592569895,0.1261061107,0,1.95316603545,6.85898632565,6.85898632625,6.85898632625,4.44180327795,7.40704325414,9.35279520814,9.99496029834,8.85721289984,8.80447702644,8.54239251495,9.99496029867,9.99496029867,8.6506086813,9.99496029874,9.99496029874,8.44702709764,9.99496029824,9.99496029794,9.13430946916,7.79378306024,8.26565272794,7.79976654584,6.69455039014,9.99496029834,9.99496029834,9.99496029832,9.99496029833,9.99496029833,9.48203779594,9.54065666784,8.60091980605,9.80011122205,9.99496029905,9.99496029906,9.99496029866,9.99496029866,9.99496029865,9.99496029862,9.99496029862,9.99496029865,9.99496029865,9.99496029865,9.99496029865,9.99496029865,9.99496029885,9.99496029885,8.26019636215,9.99496029835,8.28828001745,9.99496029875,9.99496029875,9.99496029875,8.85091077569,9.99496029915,9.90627057115,9.99496029875,9.99496029872,9.84141582452,9.9949602987,9.9949602987,9.99496029864,9.74221578512,9.994960298604,9.994960298604,9.99496029864,9.7267560001,9.9949602987,9.9949602987,9.9949602987,8.93800153209,9.86689388368,9.99496029873,9.99496029873,9.9949602986668,9.9949602986668,9.99496029869,9.8633205886,9.35771013017,9.9949602989,9.9949602989,9.99496029875,9.99496029878,9.99496029843,9.99496029843,9.99496029915,9.99496029915,9.99496029866,9.72459754069,9.99496029865,9.99496029865,9.64680254115,9.99496029865,9.99496029885,8.04993409155,10.27955108665,10.49616381665,10.28558241525,9.82208103625,10.84773591235,10.84773591235,10.84773591235,10.84773591245,10.84773591242,10.84773591242,10.84773591245,10.55421779345,10.84773591245,10.84773591245,10.84773591246,10.84773591246,10.684817014595,10.847735912395,10.465540234095,10.84773591245,10.84773591244,10.84773591244,10.84773591244,10.69884640145,10.10238232375,10.84773591184,10.43013449354,10.84773591185,10.84773591178,10.84773591178,10.84773591185,10.84773591185,10.84773591185,10.84773591185,9.56480102325,10.84773591275,8.15236191655,8.26292168835,10.84773591225,10.84773591175,10.00242624135,10.07408912633,10.84773591205,10.84773591205,10.84773591205,10.847735912034,10.847735912034,9.81781301005,8.73511051135,9.58425312935,8.03581013465,9.12517265385,9.20606694815,10.21195999735,7.98243625495,6.4592919574227
"t36",5.6418055473727,6.9328734185727,6.4752206179927,1.9531660357,1.9531660355,1.9531660355,1.95316603545,1.95316603545,0,5.7897804592,5.7897804598,5.7897804598,3.3725974115,6.33783738769,8.28358934169,8.92575443189,7.78800703339,7.73527115999,7.4731866485,8.92575443222,8.92575443222,7.58140281485,8.92575443229,8.92575443229,7.37782123119,8.92575443179,8.92575443149,8.06510360271,6.72457719379,7.19644686149,6.73056067939,5.62534452369,8.92575443189,8.92575443189,8.92575443187,8.92575443188,8.92575443188,8.41283192949,8.47145080139,7.5317139396,8.7309053556,8.9257544326,8.92575443261,8.92575443221,8.92575443221,8.9257544322,8.92575443217,8.92575443217,8.9257544322,8.9257544322,8.9257544322,8.9257544322,8.9257544322,8.9257544324,8.9257544324,7.1909904957,8.9257544319,7.219074151,8.9257544323,8.9257544323,8.9257544323,7.78170490924,8.9257544327,8.8370647047,8.9257544323,8.92575443227,8.77220995807,8.92575443225,8.92575443225,8.92575443219,8.67300991867,8.925754432154,8.925754432154,8.92575443219,8.65755013365,8.92575443225,8.92575443225,8.92575443225,7.86879566564,8.79768801723,8.92575443228,8.92575443228,8.9257544322168,8.9257544322168,8.92575443224,8.79411472215,8.28850426372,8.92575443245,8.92575443245,8.9257544323,8.92575443233,8.92575443198,8.92575443198,8.9257544327,8.9257544327,8.92575443221,8.65539167424,8.9257544322,8.9257544322,8.5775966747,8.9257544322,8.9257544324,6.9807282251,9.2103452202,9.4269579502,9.2163765488,8.7528751698,9.7785300459,9.7785300459,9.7785300459,9.778530046,9.77853004597,9.77853004597,9.778530046,9.485011927,9.778530046,9.778530046,9.77853004601,9.77853004601,9.615611148145,9.778530045945,9.396334367645,9.778530046,9.77853004599,9.77853004599,9.77853004599,9.629640535,9.0331764573,9.77853004539,9.36092862709,9.7785300454,9.77853004533,9.77853004533,9.7785300454,9.7785300454,9.7785300454,9.7785300454,8.4955951568,9.7785300463,7.0831560501,7.1937158219,9.7785300458,9.7785300453,8.9332203749,9.00488325988,9.7785300456,9.7785300456,9.7785300456,9.778530045584,9.778530045584,8.7486071436,7.6659046449,8.5150472629,6.9666042682,8.0559667874,8.1368610817,9.1427541309,6.9132303885,5.3900860909727
"t33",6.7110114135727,8.0020792847727,7.5444264841927,6.8589863259,6.8589863257,6.8589863257,6.85898632565,6.85898632565,5.7897804592,0,3.2757712546,3.2757712546,4.1009576483,7.40704325389,9.35279520789,9.99496029809,8.85721289959,8.80447702619,8.5423925147,9.99496029842,9.99496029842,8.65060868105,9.99496029849,9.99496029849,8.44702709739,9.99496029799,9.99496029769,9.13430946891,7.79378305999,8.26565272769,7.79976654559,6.69455038989,9.99496029809,9.99496029809,9.99496029807,9.99496029808,9.99496029808,9.48203779569,9.54065666759,8.6009198058,9.8001112218,9.9949602988,9.99496029881,9.99496029841,9.99496029841,9.9949602984,9.99496029837,9.99496029837,9.9949602984,9.9949602984,9.9949602984,9.9949602984,9.9949602984,9.9949602986,9.9949602986,8.2601963619,9.9949602981,8.2882800172,9.9949602985,9.9949602985,9.9949602985,8.85091077544,9.9949602989,9.9062705709,9.9949602985,9.99496029847,9.84141582427,9.99496029845,9.99496029845,9.99496029839,9.74221578487,9.994960298354,9.994960298354,9.99496029839,9.72675599985,9.99496029845,9.99496029845,9.99496029845,8.93800153184,9.86689388343,9.99496029848,9.99496029848,9.9949602984168,9.9949602984168,9.99496029844,9.86332058835,9.35771012992,9.99496029865,9.99496029865,9.9949602985,9.99496029853,9.99496029818,9.99496029818,9.9949602989,9.9949602989,9.99496029841,9.72459754044,9.9949602984,9.9949602984,9.6468025409,9.9949602984,9.9949602986,8.0499340913,10.2795510864,10.4961638164,10.285582415,9.822081036,10.8477359121,10.8477359121,10.8477359121,10.8477359122,10.84773591217,10.84773591217,10.8477359122,10.5542177932,10.8477359122,10.8477359122,10.84773591221,10.84773591221,10.684817014345,10.847735912145,10.465540233845,10.8477359122,10.84773591219,10.84773591219,10.84773591219,10.6988464012,10.1023823235,10.84773591159,10.43013449329,10.8477359116,10.84773591153,10.84773591153,10.8477359116,10.8477359116,10.8477359116,10.8477359116,9.564801023,10.8477359125,8.1523619163,8.2629216881,10.847735912,10.8477359115,10.0024262411,10.07408912608,10.8477359118,10.8477359118,10.8477359118,10.847735911784,10.847735911784,9.8178130098,8.7351105111,9.5842531291,8.0358101344,9.1251726536,9.2060669479,10.2119599971,7.9824362547,6.4592919571727
