"","t2","t4","t132","t133","t41","t60","t62","t63","t48","t53","t54","t30","t98","t112","t113","t80","t34","t25","t26","t101","t102","t78","t55","t49","t52","t69","t85","t86","t71","t11","t12","t17","t51","t114","t115","t58","t22","t15","t83","t84","t42","t24","t40","t95","t96","t70","t36","t74","t75","t33","t10","t87","t105","t106","t61","t93","t94","t109","t110","t111","t31","t32","t39","t120","t121","t122","t43","t118","t119","t45","t46","t35","t21","t116","t117","t97","t88","t27","t59","t81","t82","t107","t108","t50","t37","t76","t77","t23","t128","t129","t123","t89","t90","t99","t100","t79","t72","t73","t8","t91","t92","t56","t57","t38","t103","t104","t44","t124","t125","t68","t66","t67","t130","t131","t64","t65","t47","t20","t14","t13","t126","t127","t9","t16","t18","t19","t28","t29","t7","t3","t5","t6","t1"
"t2",0,2.87852990369,6.258853162697,6.258853162697,6.25885316351,6.25885316351,6.25885316342,6.25885316342,6.25885316321,6.25885316318,6.25885316318,6.25885316329,6.25885316354,6.25885316357,6.25885316357,6.25885316354,6.25885316394,6.25885316349,6.25885316349,6.25885316378,6.25885316378,6.13706480028,6.25885316368,6.25885316367,6.25885316363,6.25885316373,6.25885316368,6.25885316368,6.25885316374,5.67411974939,6.25885316339,4.59023156384,6.10903325681,6.25885316324,6.25885316324,6.25885316317,5.14531728601,5.09493574821,6.25885316321,6.25885316321,6.25885316321,5.44746868071,6.25885316332,6.25885316332,6.25885316332,6.25885316332,6.25885316331,6.2588531633,6.0708362961,6.2588531634,4.34638820271,6.25885316302,6.25885316312,6.25885316312,6.25885316312,6.25885316311,6.25885316311,6.25885316311,6.25885316302,6.25885316302,6.25885316361,6.200787452126,5.647767649426,6.258853163266,6.258853163266,6.258853163266,6.25885316331,6.25885316333,6.25885316333,6.25885316321,6.25885316321,5.30241104703,5.39546066241,6.25885316328,6.25885316328,6.25885316325,6.25885316331,5.17015396361,6.25885316326,6.25885316318,6.25885316318,6.13340874676,6.25885316316,5.99320770661,6.25885316302,6.25885316292,6.06060398052,6.25885316282,6.25885316304,6.25885316304,6.25885316304,6.258853163,6.258853163,6.20506311872,6.25885316302,6.25885316302,6.25885316282,6.25885316282,6.25885316392,6.258853163416,6.258853163416,5.954164910516,6.258853163416,5.61838429172,6.25885316412,6.25885316412,6.25885316332,6.25885316323,6.25885316323,6.25885316322,6.25885316368,6.06499432098,6.25885316332,6.25885316332,5.9710438023,6.2588531638,6.2588531638,4.9456815191,4.73922254518,6.25885316402,6.25885316319,6.25885316319,6.25885316412,6.25885316312,4.61219339228,6.13834124012,6.25885316282,6.25885316282,3.86225435389,2.18331609544,3.00632311714,3.26613307324,2.7799557776
"t4",2.87852990369,0,5.070807068607,5.070807068607,5.07080706942,5.07080706942,5.07080706933,5.07080706933,5.07080706912,5.07080706909,5.07080706909,5.0708070692,5.07080706945,5.07080706948,5.07080706948,5.07080706945,5.07080706985,5.0708070694,5.0708070694,5.07080706969,5.07080706969,4.94901870619,5.07080706959,5.07080706958,5.07080706954,5.07080706964,5.07080706959,5.07080706959,5.07080706965,4.4860736553,5.0708070693,3.40218546975,4.92098716272,5.07080706915,5.07080706915,5.07080706908,3.95727119192,3.90688965412,5.07080706912,5.07080706912,5.07080706912,4.25942258662,5.07080706923,5.07080706923,5.07080706923,5.07080706923,5.07080706922,5.07080706921,4.88279020201,5.07080706931,3.15834210862,5.07080706893,5.07080706903,5.07080706903,5.07080706903,5.07080706902,5.07080706902,5.07080706902,5.07080706893,5.07080706893,5.07080706952,5.012741358036,4.459721555336,5.070807069176,5.070807069176,5.070807069176,5.07080706922,5.07080706924,5.07080706924,5.07080706912,5.07080706912,4.11436495294,4.20741456832,5.07080706919,5.07080706919,5.07080706916,5.07080706922,3.98210786952,5.07080706917,5.07080706909,5.07080706909,4.94536265267,5.07080706907,4.80516161252,5.07080706893,5.07080706883,4.87255788643,5.07080706873,5.07080706895,5.07080706895,5.07080706895,5.07080706891,5.07080706891,5.01701702463,5.07080706893,5.07080706893,5.07080706873,5.07080706873,5.65218822263,5.652188222126,5.652188222126,5.347499969226,5.652188222126,5.01171935043,5.65218822283,5.65218822283,5.65218822203,5.65218822194,5.65218822194,5.65218822193,5.65218822239,5.45832937969,5.65218822203,5.65218822203,5.36437886101,5.65218822251,5.65218822251,4.33901657781,4.13255760389,5.65218822273,5.6521882219,5.6521882219,5.65218822283,5.65218822183,4.00552845099,5.53167629883,5.65218822153,5.65218822153,3.2555894126,1.57665115415,2.39965817585,2.65946813195,2.20066637529
"t132",6.258853162697,5.070807068607,0,0.006170088174,4.261458532987,4.261458532987,4.261458532897,4.261458532897,5.145396700287,5.145396700257,5.145396700257,5.206970465407,5.206970465657,5.206970465687,5.206970465687,5.206970465657,5.206970466057,6.491657538407,6.491657538407,6.491657538697,6.491657538697,6.369869175197,6.491657538597,6.491657538587,6.491657538547,6.491657538647,6.491657538597,6.491657538597,6.491657538657,6.259822105507,6.844555519507,5.175933919957,6.694735612927,6.844555519357,6.844555519357,6.844555519287,5.731019642127,5.680638104327,6.844555519327,6.844555519327,6.844555519327,6.033171036827,6.844555519437,6.844555519437,6.844555519437,6.844555519437,6.844555519427,6.844555519417,6.656538652217,6.844555519517,4.932090558827,6.844555519137,6.844555519237,6.844555519237,6.844555519237,6.844555519227,6.844555519227,6.844555519227,6.844555519137,6.844555519137,6.844555519727,6.786489808243,6.233470005543,6.844555519383,6.844555519383,6.844555519383,6.844555519427,6.844555519447,6.844555519447,6.844555519327,6.844555519327,5.888113403147,5.981163018527,6.844555519397,6.844555519397,6.844555519367,6.844555519427,5.755856319727,6.844555519377,6.844555519297,6.844555519297,6.719111102877,6.844555519277,6.578910062727,6.844555519137,6.844555519037,6.646306336637,6.844555518937,6.844555519157,6.844555519157,6.844555519157,6.844555519117,6.844555519117,6.790765474837,6.844555519137,6.844555519137,6.844555518937,6.844555518937,9.032511481637,9.032511481133,9.032511481133,8.727823228233,9.032511481133,8.392042609437,9.032511481837,9.032511481837,9.032511481037,9.032511480947,9.032511480947,9.032511480937,9.032511481397,8.838652638697,9.032511481037,9.032511481037,8.744702120017,9.032511481517,9.032511481517,7.719339836817,7.512880862897,9.032511481737,9.032511480907,9.032511480907,9.032511481837,9.032511480837,7.385851709997,8.911999557837,9.032511480537,9.032511480537,6.635912671607,4.956974413157,5.779981434857,6.039791390957,5.580989634297
"t133",6.258853162697,5.070807068607,0.006170088174,0,4.261458532987,4.261458532987,4.261458532897,4.261458532897,5.145396700287,5.145396700257,5.145396700257,5.206970465407,5.206970465657,5.206970465687,5.206970465687,5.206970465657,5.206970466057,6.491657538407,6.491657538407,6.491657538697,6.491657538697,6.369869175197,6.491657538597,6.491657538587,6.491657538547,6.491657538647,6.491657538597,6.491657538597,6.491657538657,6.259822105507,6.844555519507,5.175933919957,6.694735612927,6.844555519357,6.844555519357,6.844555519287,5.731019642127,5.680638104327,6.844555519327,6.844555519327,6.844555519327,6.033171036827,6.844555519437,6.844555519437,6.844555519437,6.844555519437,6.844555519427,6.844555519417,6.656538652217,6.844555519517,4.932090558827,6.844555519137,6.844555519237,6.844555519237,6.844555519237,6.844555519227,6.844555519227,6.844555519227,6.844555519137,6.844555519137,6.844555519727,6.786489808243,6.233470005543,6.844555519383,6.844555519383,6.844555519383,6.844555519427,6.844555519447,6.844555519447,6.844555519327,6.844555519327,5.888113403147,5.981163018527,6.844555519397,6.844555519397,6.844555519367,6.844555519427,5.755856319727,6.844555519377,6.844555519297,6.844555519297,6.719111102877,6.844555519277,6.578910062727,6.844555519137,6.844555519037,6.646306336637,6.844555518937,6.844555519157,6.844555519157,6.844555519157,6.844555519117,6.844555519117,6.790765474837,6.844555519137,6.844555519137,6.844555518937,6.844555518937,9.032511481637,9.032511481133,9.032511481133,8.727823228233,9.032511481133,8.392042609437,9.032511481837,9.032511481837,9.032511481037,9.032511480947,9.032511480947,9.032511480937,9.032511481397,8.838652638697,9.032511481037,9.032511481037,8.744702120017,9.032511481517,9.032511481517,7.719339836817,7.512880862897,9.032511481737,9.032511480907,9.032511480907,9.032511481837,9.032511480837,7.385851709997,8.911999557837,9.032511480537,9.032511480537,6.635912671607,4.956974413157,5.779981434857,6.039791390957,5.580989634297
"t41",6.25885316351,5.07080706942,4.261458532987,4.261458532987,0,1.4868847858,1.48688478571,1.48688478571,5.1453967011,5.14539670107,5.14539670107,5.20697046622,5.20697046647,5.2069704665,5.2069704665,5.20697046647,5.20697046687,6.49165753922,6.49165753922,6.49165753951,6.49165753951,6.36986917601,6.49165753941,6.4916575394,6.49165753936,6.49165753946,6.49165753941,6.49165753941,6.49165753947,6.25982210632,6.84455552032,5.17593392077,6.69473561374,6.84455552017,6.84455552017,6.8445555201,5.73101964294,5.68063810514,6.84455552014,6.84455552014,6.84455552014,6.03317103764,6.84455552025,6.84455552025,6.84455552025,6.84455552025,6.84455552024,6.84455552023,6.65653865303,6.84455552033,4.93209055964,6.84455551995,6.84455552005,6.84455552005,6.84455552005,6.84455552004,6.84455552004,6.84455552004,6.84455551995,6.84455551995,6.84455552054,6.786489809056,6.233470006356,6.844555520196,6.844555520196,6.844555520196,6.84455552024,6.84455552026,6.84455552026,6.84455552014,6.84455552014,5.88811340396,5.98116301934,6.84455552021,6.84455552021,6.84455552018,6.84455552024,5.75585632054,6.84455552019,6.84455552011,6.84455552011,6.71911110369,6.84455552009,6.57891006354,6.84455551995,6.84455551985,6.64630633745,6.84455551975,6.84455551997,6.84455551997,6.84455551997,6.84455551993,6.84455551993,6.79076547565,6.84455551995,6.84455551995,6.84455551975,6.84455551975,9.03251148245,9.032511481946,9.032511481946,8.727823229046,9.032511481946,8.39204261025,9.03251148265,9.03251148265,9.03251148185,9.03251148176,9.03251148176,9.03251148175,9.03251148221,8.83865263951,9.03251148185,9.03251148185,8.74470212083,9.03251148233,9.03251148233,7.71933983763,7.51288086371,9.03251148255,9.03251148172,9.03251148172,9.03251148265,9.03251148165,7.38585171081,8.91199955865,9.03251148135,9.03251148135,6.63591267242,4.95697441397,5.77998143567,6.03979139177,5.58098963511
"t60",6.25885316351,5.07080706942,4.261458532987,4.261458532987,1.4868847858,0,1.12110048531,1.12110048531,5.1453967011,5.14539670107,5.14539670107,5.20697046622,5.20697046647,5.2069704665,5.2069704665,5.20697046647,5.20697046687,6.49165753922,6.49165753922,6.49165753951,6.49165753951,6.36986917601,6.49165753941,6.4916575394,6.49165753936,6.49165753946,6.49165753941,6.49165753941,6.49165753947,6.25982210632,6.84455552032,5.17593392077,6.69473561374,6.84455552017,6.84455552017,6.8445555201,5.73101964294,5.68063810514,6.84455552014,6.84455552014,6.84455552014,6.03317103764,6.84455552025,6.84455552025,6.84455552025,6.84455552025,6.84455552024,6.84455552023,6.65653865303,6.84455552033,4.93209055964,6.84455551995,6.84455552005,6.84455552005,6.84455552005,6.84455552004,6.84455552004,6.84455552004,6.84455551995,6.84455551995,6.84455552054,6.786489809056,6.233470006356,6.844555520196,6.844555520196,6.844555520196,6.84455552024,6.84455552026,6.84455552026,6.84455552014,6.84455552014,5.88811340396,5.98116301934,6.84455552021,6.84455552021,6.84455552018,6.84455552024,5.75585632054,6.84455552019,6.84455552011,6.84455552011,6.71911110369,6.84455552009,6.57891006354,6.84455551995,6.84455551985,6.64630633745,6.84455551975,6.84455551997,6.84455551997,6.84455551997,6.84455551993,6.84455551993,6.79076547565,6.84455551995,6.84455551995,6.84455551975,6.84455551975,9.03251148245,9.032511481946,9.032511481946,8.727823229046,9.032511481946,8.39204261025,9.03251148265,9.03251148265,9.03251148185,9.03251148176,9.03251148176,9.03251148175,9.03251148221,8.83865263951,9.03251148185,9.03251148185,8.74470212083,9.03251148233,9.03251148233,7.71933983763,7.51288086371,9.03251148255,9.03251148172,9.03251148172,9.03251148265,9.03251148165,7.38585171081,8.91199955865,9.03251148135,9.03251148135,6.63591267242,4.95697441397,5.77998143567,6.03979139177,5.58098963511
"t62",6.25885316342,5.07080706933,4.261458532897,4.261458532897,1.48688478571,1.12110048531,0,1.0992848334,5.14539670101,5.14539670098,5.14539670098,5.20697046613,5.20697046638,5.20697046641,5.20697046641,5.20697046638,5.20697046678,6.49165753913,6.49165753913,6.49165753942,6.49165753942,6.36986917592,6.49165753932,6.49165753931,6.49165753927,6.49165753937,6.49165753932,6.49165753932,6.49165753938,6.25982210623,6.84455552023,5.17593392068,6.69473561365,6.84455552008,6.84455552008,6.84455552001,5.73101964285,5.68063810505,6.84455552005,6.84455552005,6.84455552005,6.03317103755,6.84455552016,6.84455552016,6.84455552016,6.84455552016,6.84455552015,6.84455552014,6.65653865294,6.84455552024,4.93209055955,6.84455551986,6.84455551996,6.84455551996,6.84455551996,6.84455551995,6.84455551995,6.84455551995,6.84455551986,6.84455551986,6.84455552045,6.786489808966,6.233470006266,6.844555520106,6.844555520106,6.844555520106,6.84455552015,6.84455552017,6.84455552017,6.84455552005,6.84455552005,5.88811340387,5.98116301925,6.84455552012,6.84455552012,6.84455552009,6.84455552015,5.75585632045,6.8445555201,6.84455552002,6.84455552002,6.7191111036,6.84455552,6.57891006345,6.84455551986,6.84455551976,6.64630633736,6.84455551966,6.84455551988,6.84455551988,6.84455551988,6.84455551984,6.84455551984,6.79076547556,6.84455551986,6.84455551986,6.84455551966,6.84455551966,9.03251148236,9.032511481856,9.032511481856,8.727823228956,9.032511481856,8.39204261016,9.03251148256,9.03251148256,9.03251148176,9.03251148167,9.03251148167,9.03251148166,9.03251148212,8.83865263942,9.03251148176,9.03251148176,8.74470212074,9.03251148224,9.03251148224,7.71933983754,7.51288086362,9.03251148246,9.03251148163,9.03251148163,9.03251148256,9.03251148156,7.38585171072,8.91199955856,9.03251148126,9.03251148126,6.63591267233,4.95697441388,5.77998143558,6.03979139168,5.58098963502
"t63",6.25885316342,5.07080706933,4.261458532897,4.261458532897,1.48688478571,1.12110048531,1.0992848334,0,5.14539670101,5.14539670098,5.14539670098,5.20697046613,5.20697046638,5.20697046641,5.20697046641,5.20697046638,5.20697046678,6.49165753913,6.49165753913,6.49165753942,6.49165753942,6.36986917592,6.49165753932,6.49165753931,6.49165753927,6.49165753937,6.49165753932,6.49165753932,6.49165753938,6.25982210623,6.84455552023,5.17593392068,6.69473561365,6.84455552008,6.84455552008,6.84455552001,5.73101964285,5.68063810505,6.84455552005,6.84455552005,6.84455552005,6.03317103755,6.84455552016,6.84455552016,6.84455552016,6.84455552016,6.84455552015,6.84455552014,6.65653865294,6.84455552024,4.93209055955,6.84455551986,6.84455551996,6.84455551996,6.84455551996,6.84455551995,6.84455551995,6.84455551995,6.84455551986,6.84455551986,6.84455552045,6.786489808966,6.233470006266,6.844555520106,6.844555520106,6.844555520106,6.84455552015,6.84455552017,6.84455552017,6.84455552005,6.84455552005,5.88811340387,5.98116301925,6.84455552012,6.84455552012,6.84455552009,6.84455552015,5.75585632045,6.8445555201,6.84455552002,6.84455552002,6.7191111036,6.84455552,6.57891006345,6.84455551986,6.84455551976,6.64630633736,6.84455551966,6.84455551988,6.84455551988,6.84455551988,6.84455551984,6.84455551984,6.79076547556,6.84455551986,6.84455551986,6.84455551966,6.84455551966,9.03251148236,9.032511481856,9.032511481856,8.727823228956,9.032511481856,8.39204261016,9.03251148256,9.03251148256,9.03251148176,9.03251148167,9.03251148167,9.03251148166,9.03251148212,8.83865263942,9.03251148176,9.03251148176,8.74470212074,9.03251148224,9.03251148224,7.71933983754,7.51288086362,9.03251148246,9.03251148163,9.03251148163,9.03251148256,9.03251148156,7.38585171072,8.91199955856,9.03251148126,9.03251148126,6.63591267233,4.95697441388,5.77998143558,6.03979139168,5.58098963502
"t48",6.25885316321,5.07080706912,5.145396700287,5.145396700287,5.1453967011,5.1453967011,5.14539670101,5.14539670101,0,1.28096562077,1.28096562077,5.20697046592,5.20697046617,5.2069704662,5.2069704662,5.20697046617,5.20697046657,6.49165753892,6.49165753892,6.49165753921,6.49165753921,6.36986917571,6.49165753911,6.4916575391,6.49165753906,6.49165753916,6.49165753911,6.49165753911,6.49165753917,6.25982210602,6.84455552002,5.17593392047,6.69473561344,6.84455551987,6.84455551987,6.8445555198,5.73101964264,5.68063810484,6.84455551984,6.84455551984,6.84455551984,6.03317103734,6.84455551995,6.84455551995,6.84455551995,6.84455551995,6.84455551994,6.84455551993,6.65653865273,6.84455552003,4.93209055934,6.84455551965,6.84455551975,6.84455551975,6.84455551975,6.84455551974,6.84455551974,6.84455551974,6.84455551965,6.84455551965,6.84455552024,6.786489808756,6.233470006056,6.844555519896,6.844555519896,6.844555519896,6.84455551994,6.84455551996,6.84455551996,6.84455551984,6.84455551984,5.88811340366,5.98116301904,6.84455551991,6.84455551991,6.84455551988,6.84455551994,5.75585632024,6.84455551989,6.84455551981,6.84455551981,6.71911110339,6.84455551979,6.57891006324,6.84455551965,6.84455551955,6.64630633715,6.84455551945,6.84455551967,6.84455551967,6.84455551967,6.84455551963,6.84455551963,6.79076547535,6.84455551965,6.84455551965,6.84455551945,6.84455551945,9.03251148215,9.032511481646,9.032511481646,8.727823228746,9.032511481646,8.39204260995,9.03251148235,9.03251148235,9.03251148155,9.03251148146,9.03251148146,9.03251148145,9.03251148191,8.83865263921,9.03251148155,9.03251148155,8.74470212053,9.03251148203,9.03251148203,7.71933983733,7.51288086341,9.03251148225,9.03251148142,9.03251148142,9.03251148235,9.03251148135,7.38585171051,8.91199955835,9.03251148105,9.03251148105,6.63591267212,4.95697441367,5.77998143537,6.03979139147,5.58098963481
"t53",6.25885316318,5.07080706909,5.145396700257,5.145396700257,5.14539670107,5.14539670107,5.14539670098,5.14539670098,1.28096562077,0,1.1867677086,5.20697046589,5.20697046614,5.20697046617,5.20697046617,5.20697046614,5.20697046654,6.49165753889,6.49165753889,6.49165753918,6.49165753918,6.36986917568,6.49165753908,6.49165753907,6.49165753903,6.49165753913,6.49165753908,6.49165753908,6.49165753914,6.25982210599,6.84455551999,5.17593392044,6.69473561341,6.84455551984,6.84455551984,6.84455551977,5.73101964261,5.68063810481,6.84455551981,6.84455551981,6.84455551981,6.03317103731,6.84455551992,6.84455551992,6.84455551992,6.84455551992,6.84455551991,6.8445555199,6.6565386527,6.84455552,4.93209055931,6.84455551962,6.84455551972,6.84455551972,6.84455551972,6.84455551971,6.84455551971,6.84455551971,6.84455551962,6.84455551962,6.84455552021,6.786489808726,6.233470006026,6.844555519866,6.844555519866,6.844555519866,6.84455551991,6.84455551993,6.84455551993,6.84455551981,6.84455551981,5.88811340363,5.98116301901,6.84455551988,6.84455551988,6.84455551985,6.84455551991,5.75585632021,6.84455551986,6.84455551978,6.84455551978,6.71911110336,6.84455551976,6.57891006321,6.84455551962,6.84455551952,6.64630633712,6.84455551942,6.84455551964,6.84455551964,6.84455551964,6.8445555196,6.8445555196,6.79076547532,6.84455551962,6.84455551962,6.84455551942,6.84455551942,9.03251148212,9.032511481616,9.032511481616,8.727823228716,9.032511481616,8.39204260992,9.03251148232,9.03251148232,9.03251148152,9.03251148143,9.03251148143,9.03251148142,9.03251148188,8.83865263918,9.03251148152,9.03251148152,8.7447021205,9.032511482,9.032511482,7.7193398373,7.51288086338,9.03251148222,9.03251148139,9.03251148139,9.03251148232,9.03251148132,7.38585171048,8.91199955832,9.03251148102,9.03251148102,6.63591267209,4.95697441364,5.77998143534,6.03979139144,5.58098963478
