,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t1,5.9490967,7.234874,6.2519684,5.3860545,6.0736766,4.3621535,5.921389,4.1369634,6.281749,3.9797292,6.0801177,2.7380784,6.326701,3.6306217,6.4567547,5.8259835,4.0429344
t12,6.5742974,9.462519,7.2724996,7.7919607,6.414928,4.2863994,5.427215,4.686434,7.422121,2.7556555,5.622407,2.7791405,6.586031,4.603752,4.8619385,6.548376,3.662927
t33,6.662303,9.638676,7.6171236,8.123981,6.3675313,4.258866,5.551188,4.840434,7.4007683,2.479279,5.4772415,2.608571,6.7866707,4.478534,4.8680987,6.539101,3.4880626
t136,6.600944,9.4943495,8.163804,8.285114,6.1935887,4.0494237,6.0323367,5.1407685,7.057829,2.298864,5.3459163,2.3686388,7.1367025,3.9637468,4.951303,6.567358,3.1006076
t137,6.648001,9.550435,8.143523,8.311319,6.2551184,4.1127715,5.972408,5.135001,7.1286945,2.2651272,5.3328032,2.3401182,7.1449385,4.0326037,4.975637,6.5231767,3.150093
t114,6.606621,9.506149,8.081399,8.220455,6.2915173,4.1014557,5.968461,5.110849,7.1260157,2.3854322,5.399383,2.4114785,7.090682,4.0589542,4.8877783,6.568789,3.181
t101,6.613489,9.538905,8.082176,8.254889,6.2951303,4.1281877,5.9420786,5.122305,7.173791,2.3404834,5.393932,2.404669,7.0903835,4.0890102,4.9043355,6.570064,3.2068157
t41,6.660011,9.596253,8.063695,8.3102665,6.279354,4.179648,5.8500347,5.097734,7.2628145,2.264196,5.3500276,2.3727515,7.0934467,4.1515865,4.951042,6.5239916,3.215638
t42,6.6166744,9.575829,7.7655053,8.188552,6.315444,4.1856527,5.6419163,4.904915,7.3847113,2.463422,5.4264994,2.5547118,6.870934,4.387815,4.8303843,6.585335,3.3854575
t32,6.6741138,9.596185,7.9923067,8.267335,6.2827644,4.1493416,5.7836633,5.052317,7.3335333,2.2980268,5.35612,2.4140682,7.041509,4.197692,4.8985443,6.5160623,3.2451923
t89,6.6489754,9.68234,8.06077,8.344363,6.2527514,4.247484,5.8196054,5.134748,7.2931747,2.1831932,5.383864,2.417408,7.051066,4.18323,4.9677386,6.550279,3.2692418
t150,6.712059,9.621165,8.11703,8.292757,6.3511696,4.2145257,5.900971,5.117826,7.188863,2.2571216,5.3410873,2.3172104,7.1427174,4.1044574,4.9814625,6.459302,3.1992545
t151,6.755863,9.673409,8.059076,8.311234,6.3583536,4.2618017,5.849813,5.0650454,7.188379,2.2526245,5.326479,2.3357751,7.0946445,4.1604605,5.022008,6.4245725,3.2515247
t46,6.6679416,9.618852,7.831822,8.182792,6.3490505,4.2479186,5.7179565,4.9668055,7.3087764,2.41692,5.434238,2.5103536,6.9320354,4.314173,4.897909,6.52582,3.3714101
