"","t22","t35","t139","t140","t45","t80","t81","t133","t134","t76","t123","t124","t109","t108","t69","t103","t104","t67","t68","t33","t90","t91","t112","t113","t54","t89","t106","t107","t47","t32","t30","t65","t135","t136","t105","t55","t34","t31","t19","t141","t142","t37","t43","t44","t52","t53","t28","t17","t11","t101","t119","t120","t84","t64","t96","t97","t63","t58","t59","t36","t147","t148","t46","t74","t75","t42","t85","t86","t110","t111","t66","t48","t72","t98","t99","t38","t56","t57","t125","t126","t102","t131","t132","t73","t24","t82","t83","t27","t18","t20","t78","t79","t50","t51","t29","t116","t117","t60","t12","t15","t16","t2","t1","t3","t4","t5","t129","t130","t100","t92","t93","t121","t122","t94","t95","t77","t61","t62","t41","t39","t10","t8","t9","t40","t87","t88","t70","t49","t71","t114","t115","t143","t144","t118","t137","t138","t127","t128","t13","t14","t6","t7","t25","t26","t23","t145","t146","t21"
"t22",0,2.1493139305,3.07077319955,3.07077319955,2.7088430291,3.0707731997,3.0707731997,3.07077319967,3.07077319967,3.07077319967,3.07077319979,3.07077319979,3.07077319969,3.07077319977,3.0707731998,3.0707731998,3.0707731998,4.45024281715,4.45024281715,4.45024281745,4.4502428173005,4.4502428173005,4.45024281729,4.3699661674,4.00288652509,4.45024281729,4.45024281729,4.45024281729,3.89884531139,4.01879179009,4.35964801088,4.45024281725,4.45024281726,4.45024281726,4.45024281725,4.45024281725,4.45024281685,4.12944619195,3.2179088104,7.4897153338,7.4897153338,6.72894352293,7.48971533363,7.48971533363,7.48971533363,6.97938844733,5.89962289924,5.75926390653,7.48971533333,7.48971533363,7.48971533363,7.48971533363,7.48971533363,7.48971533363,7.48971533353,7.48971533353,7.48971533353,7.48971533313,7.48971533313,6.83185686033,7.489715333161,7.489715333161,7.48971533313,7.4897153333,7.4897153333,7.4897153329,7.48971533288,7.48971533288,7.48971533288,7.48971533288,7.41010576158,7.48971533292,7.4897153332,7.4897153332,7.3854729395,7.489715333,7.4897153331,7.0176868751,7.48971533316,7.48971533316,7.48971533316,7.4897153331,7.4897153331,7.2817300722,5.7392620066,7.4897153335,7.4897153335,6.2592597468,5.161226127,5.6682206655,7.48971533322,7.48971533322,6.97185538702,7.32262445742,7.48971533332,7.4897153332,7.4897153332,7.4897153332,5.1029571929,7.4897153332,7.4897153332,5.2574359292,4.7925103019,5.823117762598,5.570683431198,6.096714034098,10.47480323616,10.47480323616,10.47480323616,10.47480323616,10.47480323616,10.47480323626,10.47480323626,10.47480323615,10.47480323615,10.47480323614,10.47480323565,10.25712415905,10.38100142465,9.78130314526,7.84493113856,7.96530398325,8.34239933465,10.47480323505,10.19410732415,10.22439178135,10.19884630425,10.47480323545,10.47480323535,10.47480323545,10.47480323545,10.47480323538,10.47480323538,10.47480323539,10.4748032354,10.4748032354,10.47480323535,10.45333058556,8.03503337005,10.47480323615,6.92687048496,7.34733021685,9.29667332095,8.66843775611,9.48145122395,10.47480323546,10.47480323546,9.17740191975
"t35",2.1493139305,0,1.26033890365,1.26033890365,1.2134304876,1.5753606582,1.5753606582,1.57536065817,1.57536065817,1.57536065817,1.57536065829,1.57536065829,1.57536065819,1.57536065827,1.9946055113,1.9946055113,1.9946055113,4.63893079605,4.63893079605,4.63893079635,4.6389307962005,4.6389307962005,4.63893079619,4.5586541463,4.19157450399,4.63893079619,4.63893079619,4.63893079619,4.08753329029,4.20747976899,4.54833598978,4.63893079615,4.63893079616,4.63893079616,4.63893079615,4.63893079615,4.63893079575,4.31813417085,3.4065967893,7.6784033127,7.6784033127,6.91763150183,7.67840331253,7.67840331253,7.67840331253,7.16807642623,6.08831087814,5.94795188543,7.67840331223,7.67840331253,7.67840331253,7.67840331253,7.67840331253,7.67840331253,7.67840331243,7.67840331243,7.67840331243,7.67840331203,7.67840331203,7.02054483923,7.678403312061,7.678403312061,7.67840331203,7.6784033122,7.6784033122,7.6784033118,7.67840331178,7.67840331178,7.67840331178,7.67840331178,7.59879374048,7.67840331182,7.6784033121,7.6784033121,7.5741609184,7.6784033119,7.678403312,7.206374854,7.67840331206,7.67840331206,7.67840331206,7.678403312,7.678403312,7.4704180511,5.9279499855,7.6784033124,7.6784033124,6.4479477257,5.3499141059,5.8569086444,7.67840331212,7.67840331212,7.16054336592,7.51131243632,7.67840331222,7.6784033121,7.6784033121,7.6784033121,5.2916451718,7.6784033121,7.6784033121,5.4461239081,4.9811982808,6.011805741498,5.759371410098,6.285402012998,10.66349121506,10.66349121506,10.66349121506,10.66349121506,10.66349121506,10.66349121516,10.66349121516,10.66349121505,10.66349121505,10.66349121504,10.66349121455,10.44581213795,10.56968940355,9.96999112416,8.03361911746,8.15399196215,8.53108731355,10.66349121395,10.38279530305,10.41307976025,10.38753428315,10.66349121435,10.66349121425,10.66349121435,10.66349121435,10.66349121428,10.66349121428,10.66349121429,10.6634912143,10.6634912143,10.66349121425,10.64201856446,8.22372134895,10.66349121505,7.11555846386,7.53601819575,9.48536129985,8.85712573501,9.67013920285,10.66349121436,10.66349121436,9.36608989865
"t139",3.07077319955,1.26033890365,0,0.1284377547,2.13488975665,2.49681992725,2.49681992725,2.49681992722,2.49681992722,2.49681992722,2.49681992734,2.49681992734,2.49681992724,2.49681992732,2.91606478035,2.91606478035,2.91606478035,5.5603900651,5.5603900651,5.5603900654,5.5603900652505,5.5603900652505,5.56039006524,5.48011341535,5.11303377304,5.56039006524,5.56039006524,5.56039006524,5.00899255934,5.12893903804,5.46979525883,5.5603900652,5.56039006521,5.56039006521,5.5603900652,5.5603900652,5.5603900648,5.2395934399,4.32805605835,8.59986258175,8.59986258175,7.83909077088,8.59986258158,8.59986258158,8.59986258158,8.08953569528,7.00977014719,6.86941115448,8.59986258128,8.59986258158,8.59986258158,8.59986258158,8.59986258158,8.59986258158,8.59986258148,8.59986258148,8.59986258148,8.59986258108,8.59986258108,7.94200410828,8.599862581111,8.599862581111,8.59986258108,8.59986258125,8.59986258125,8.59986258085,8.59986258083,8.59986258083,8.59986258083,8.59986258083,8.52025300953,8.59986258087,8.59986258115,8.59986258115,8.49562018745,8.59986258095,8.59986258105,8.12783412305,8.59986258111,8.59986258111,8.59986258111,8.59986258105,8.59986258105,8.39187732015,6.84940925455,8.59986258145,8.59986258145,7.36940699475,6.27137337495,6.77836791345,8.59986258117,8.59986258117,8.08200263497,8.43277170537,8.59986258127,8.59986258115,8.59986258115,8.59986258115,6.21310444085,8.59986258115,8.59986258115,6.36758317715,5.90265754985,6.933265010548,6.680830679148,7.206861282048,11.58495048411,11.58495048411,11.58495048411,11.58495048411,11.58495048411,11.58495048421,11.58495048421,11.5849504841,11.5849504841,11.58495048409,11.5849504836,11.367271407,11.4911486726,10.89145039321,8.95507838651,9.0754512312,9.4525465826,11.584950483,11.3042545721,11.3345390293,11.3089935522,11.5849504834,11.5849504833,11.5849504834,11.5849504834,11.58495048333,11.58495048333,11.58495048334,11.58495048335,11.58495048335,11.5849504833,11.56347783351,9.145180618,11.5849504841,8.03701773291,8.4574774648,10.4068205689,9.77858500406,10.5915984719,11.58495048341,11.58495048341,10.2875491677
"t140",3.07077319955,1.26033890365,0.1284377547,0,2.13488975665,2.49681992725,2.49681992725,2.49681992722,2.49681992722,2.49681992722,2.49681992734,2.49681992734,2.49681992724,2.49681992732,2.91606478035,2.91606478035,2.91606478035,5.5603900651,5.5603900651,5.5603900654,5.5603900652505,5.5603900652505,5.56039006524,5.48011341535,5.11303377304,5.56039006524,5.56039006524,5.56039006524,5.00899255934,5.12893903804,5.46979525883,5.5603900652,5.56039006521,5.56039006521,5.5603900652,5.5603900652,5.5603900648,5.2395934399,4.32805605835,8.59986258175,8.59986258175,7.83909077088,8.59986258158,8.59986258158,8.59986258158,8.08953569528,7.00977014719,6.86941115448,8.59986258128,8.59986258158,8.59986258158,8.59986258158,8.59986258158,8.59986258158,8.59986258148,8.59986258148,8.59986258148,8.59986258108,8.59986258108,7.94200410828,8.599862581111,8.599862581111,8.59986258108,8.59986258125,8.59986258125,8.59986258085,8.59986258083,8.59986258083,8.59986258083,8.59986258083,8.52025300953,8.59986258087,8.59986258115,8.59986258115,8.49562018745,8.59986258095,8.59986258105,8.12783412305,8.59986258111,8.59986258111,8.59986258111,8.59986258105,8.59986258105,8.39187732015,6.84940925455,8.59986258145,8.59986258145,7.36940699475,6.27137337495,6.77836791345,8.59986258117,8.59986258117,8.08200263497,8.43277170537,8.59986258127,8.59986258115,8.59986258115,8.59986258115,6.21310444085,8.59986258115,8.59986258115,6.36758317715,5.90265754985,6.933265010548,6.680830679148,7.206861282048,11.58495048411,11.58495048411,11.58495048411,11.58495048411,11.58495048411,11.58495048421,11.58495048421,11.5849504841,11.5849504841,11.58495048409,11.5849504836,11.367271407,11.4911486726,10.89145039321,8.95507838651,9.0754512312,9.4525465826,11.584950483,11.3042545721,11.3345390293,11.3089935522,11.5849504834,11.5849504833,11.5849504834,11.5849504834,11.58495048333,11.58495048333,11.58495048334,11.58495048335,11.58495048335,11.5849504833,11.56347783351,9.145180618,11.5849504841,8.03701773291,8.4574774648,10.4068205689,9.77858500406,10.5915984719,11.58495048341,11.58495048341,10.2875491677
"t45",2.7088430291,1.2134304876,2.13488975665,2.13488975665,0,1.477187971,1.477187971,1.47718797097,1.47718797097,1.47718797097,1.47718797109,1.47718797109,1.47718797099,1.47718797107,2.5541346099,2.5541346099,2.5541346099,5.19845989465,5.19845989465,5.19845989495,5.1984598948005,5.1984598948005,5.19845989479,5.1181832449,4.75110360259,5.19845989479,5.19845989479,5.19845989479,4.64706238889,4.76700886759,5.10786508838,5.19845989475,5.19845989476,5.19845989476,5.19845989475,5.19845989475,5.19845989435,4.87766326945,3.9661258879,8.2379324113,8.2379324113,7.47716060043,8.23793241113,8.23793241113,8.23793241113,7.72760552483,6.64783997674,6.50748098403,8.23793241083,8.23793241113,8.23793241113,8.23793241113,8.23793241113,8.23793241113,8.23793241103,8.23793241103,8.23793241103,8.23793241063,8.23793241063,7.58007393783,8.237932410661,8.237932410661,8.23793241063,8.2379324108,8.2379324108,8.2379324104,8.23793241038,8.23793241038,8.23793241038,8.23793241038,8.15832283908,8.23793241042,8.2379324107,8.2379324107,8.133690017,8.2379324105,8.2379324106,7.7659039526,8.23793241066,8.23793241066,8.23793241066,8.2379324106,8.2379324106,8.0299471497,6.4874790841,8.237932411,8.237932411,7.0074768243,5.9094432045,6.416437743,8.23793241072,8.23793241072,7.72007246452,8.07084153492,8.23793241082,8.2379324107,8.2379324107,8.2379324107,5.8511742704,8.2379324107,8.2379324107,6.0056530067,5.5407273794,6.571334840098,6.318900508698,6.844931111598,11.22302031366,11.22302031366,11.22302031366,11.22302031366,11.22302031366,11.22302031376,11.22302031376,11.22302031365,11.22302031365,11.22302031364,11.22302031315,11.00534123655,11.12921850215,10.52952022276,8.59314821606,8.71352106075,9.09061641215,11.22302031255,10.94232440165,10.97260885885,10.94706338175,11.22302031295,11.22302031285,11.22302031295,11.22302031295,11.22302031288,11.22302031288,11.22302031289,11.2230203129,11.2230203129,11.22302031285,11.20154766306,8.78325044755,11.22302031365,7.67508756246,8.09554729435,10.04489039845,9.41665483361,10.22966830145,11.22302031296,11.22302031296,9.92561899725
"t80",3.0707731997,1.5753606582,2.49681992725,2.49681992725,1.477187971,0,0.855873469,1.57158633057,1.57158633057,1.57158633057,1.57158633069,1.57158633069,1.57158633059,1.57158633067,2.9160647805,2.9160647805,2.9160647805,5.56039006525,5.56039006525,5.56039006555,5.5603900654005,5.5603900654005,5.56039006539,5.4801134155,5.11303377319,5.56039006539,5.56039006539,5.56039006539,5.00899255949,5.12893903819,5.46979525898,5.56039006535,5.56039006536,5.56039006536,5.56039006535,5.56039006535,5.56039006495,5.23959344005,4.3280560585,8.5998625819,8.5998625819,7.83909077103,8.59986258173,8.59986258173,8.59986258173,8.08953569543,7.00977014734,6.86941115463,8.59986258143,8.59986258173,8.59986258173,8.59986258173,8.59986258173,8.59986258173,8.59986258163,8.59986258163,8.59986258163,8.59986258123,8.59986258123,7.94200410843,8.599862581261,8.599862581261,8.59986258123,8.5998625814,8.5998625814,8.599862581,8.59986258098,8.59986258098,8.59986258098,8.59986258098,8.52025300968,8.59986258102,8.5998625813,8.5998625813,8.4956201876,8.5998625811,8.5998625812,8.1278341232,8.59986258126,8.59986258126,8.59986258126,8.5998625812,8.5998625812,8.3918773203,6.8494092547,8.5998625816,8.5998625816,7.3694069949,6.2713733751,6.7783679136,8.59986258132,8.59986258132,8.08200263512,8.43277170552,8.59986258142,8.5998625813,8.5998625813,8.5998625813,6.213104441,8.5998625813,8.5998625813,6.3675831773,5.90265755,6.933265010698,6.680830679298,7.206861282198,11.58495048426,11.58495048426,11.58495048426,11.58495048426,11.58495048426,11.58495048436,11.58495048436,11.58495048425,11.58495048425,11.58495048424,11.58495048375,11.36727140715,11.49114867275,10.89145039336,8.95507838666,9.07545123135,9.45254658275,11.58495048315,11.30425457225,11.33453902945,11.30899355235,11.58495048355,11.58495048345,11.58495048355,11.58495048355,11.58495048348,11.58495048348,11.58495048349,11.5849504835,11.5849504835,11.58495048345,11.56347783366,9.14518061815,11.58495048425,8.03701773306,8.45747746495,10.40682056905,9.77858500421,10.59159847205,11.58495048356,11.58495048356,10.28754916785
"t81",3.0707731997,1.5753606582,2.49681992725,2.49681992725,1.477187971,0.855873469,0,1.57158633057,1.57158633057,1.57158633057,1.57158633069,1.57158633069,1.57158633059,1.57158633067,2.9160647805,2.9160647805,2.9160647805,5.56039006525,5.56039006525,5.56039006555,5.5603900654005,5.5603900654005,5.56039006539,5.4801134155,5.11303377319,5.56039006539,5.56039006539,5.56039006539,5.00899255949,5.12893903819,5.46979525898,5.56039006535,5.56039006536,5.56039006536,5.56039006535,5.56039006535,5.56039006495,5.23959344005,4.3280560585,8.5998625819,8.5998625819,7.83909077103,8.59986258173,8.59986258173,8.59986258173,8.08953569543,7.00977014734,6.86941115463,8.59986258143,8.59986258173,8.59986258173,8.59986258173,8.59986258173,8.59986258173,8.59986258163,8.59986258163,8.59986258163,8.59986258123,8.59986258123,7.94200410843,8.599862581261,8.599862581261,8.59986258123,8.5998625814,8.5998625814,8.599862581,8.59986258098,8.59986258098,8.59986258098,8.59986258098,8.52025300968,8.59986258102,8.5998625813,8.5998625813,8.4956201876,8.5998625811,8.5998625812,8.1278341232,8.59986258126,8.59986258126,8.59986258126,8.5998625812,8.5998625812,8.3918773203,6.8494092547,8.5998625816,8.5998625816,7.3694069949,6.2713733751,6.7783679136,8.59986258132,8.59986258132,8.08200263512,8.43277170552,8.59986258142,8.5998625813,8.5998625813,8.5998625813,6.213104441,8.5998625813,8.5998625813,6.3675831773,5.90265755,6.933265010698,6.680830679298,7.206861282198,11.58495048426,11.58495048426,11.58495048426,11.58495048426,11.58495048426,11.58495048436,11.58495048436,11.58495048425,11.58495048425,11.58495048424,11.58495048375,11.36727140715,11.49114867275,10.89145039336,8.95507838666,9.07545123135,9.45254658275,11.58495048315,11.30425457225,11.33453902945,11.30899355235,11.58495048355,11.58495048345,11.58495048355,11.58495048355,11.58495048348,11.58495048348,11.58495048349,11.5849504835,11.5849504835,11.58495048345,11.56347783366,9.14518061815,11.58495048425,8.03701773306,8.45747746495,10.40682056905,9.77858500421,10.59159847205,11.58495048356,11.58495048356,10.28754916785
"t133",3.07077319967,1.57536065817,2.49681992722,2.49681992722,1.47718797097,1.57158633057,1.57158633057,0,0.2132948308,1.4647608586,1.46476085872,1.46476085872,1.46476085862,1.4647608587,2.91606478047,2.91606478047,2.91606478047,5.56039006522,5.56039006522,5.56039006552,5.5603900653705,5.5603900653705,5.56039006536,5.48011341547,5.11303377316,5.56039006536,5.56039006536,5.56039006536,5.00899255946,5.12893903816,5.46979525895,5.56039006532,5.56039006533,5.56039006533,5.56039006532,5.56039006532,5.56039006492,5.23959344002,4.32805605847,8.59986258187,8.59986258187,7.839090771,8.5998625817,8.5998625817,8.5998625817,8.0895356954,7.00977014731,6.8694111546,8.5998625814,8.5998625817,8.5998625817,8.5998625817,8.5998625817,8.5998625817,8.5998625816,8.5998625816,8.5998625816,8.5998625812,8.5998625812,7.9420041084,8.599862581231,8.599862581231,8.5998625812,8.59986258137,8.59986258137,8.59986258097,8.59986258095,8.59986258095,8.59986258095,8.59986258095,8.52025300965,8.59986258099,8.59986258127,8.59986258127,8.49562018757,8.59986258107,8.59986258117,8.12783412317,8.59986258123,8.59986258123,8.59986258123,8.59986258117,8.59986258117,8.39187732027,6.84940925467,8.59986258157,8.59986258157,7.36940699487,6.27137337507,6.77836791357,8.59986258129,8.59986258129,8.08200263509,8.43277170549,8.59986258139,8.59986258127,8.59986258127,8.59986258127,6.21310444097,8.59986258127,8.59986258127,6.36758317727,5.90265754997,6.933265010668,6.680830679268,7.206861282168,11.58495048423,11.58495048423,11.58495048423,11.58495048423,11.58495048423,11.58495048433,11.58495048433,11.58495048422,11.58495048422,11.58495048421,11.58495048372,11.36727140712,11.49114867272,10.89145039333,8.95507838663,9.07545123132,9.45254658272,11.58495048312,11.30425457222,11.33453902942,11.30899355232,11.58495048352,11.58495048342,11.58495048352,11.58495048352,11.58495048345,11.58495048345,11.58495048346,11.58495048347,11.58495048347,11.58495048342,11.56347783363,9.14518061812,11.58495048422,8.03701773303,8.45747746492,10.40682056902,9.77858500418,10.59159847202,11.58495048353,11.58495048353,10.28754916782
"t134",3.07077319967,1.57536065817,2.49681992722,2.49681992722,1.47718797097,1.57158633057,1.57158633057,0.2132948308,0,1.4647608586,1.46476085872,1.46476085872,1.46476085862,1.4647608587,2.91606478047,2.91606478047,2.91606478047,5.56039006522,5.56039006522,5.56039006552,5.5603900653705,5.5603900653705,5.56039006536,5.48011341547,5.11303377316,5.56039006536,5.56039006536,5.56039006536,5.00899255946,5.12893903816,5.46979525895,5.56039006532,5.56039006533,5.56039006533,5.56039006532,5.56039006532,5.56039006492,5.23959344002,4.32805605847,8.59986258187,8.59986258187,7.839090771,8.5998625817,8.5998625817,8.5998625817,8.0895356954,7.00977014731,6.8694111546,8.5998625814,8.5998625817,8.5998625817,8.5998625817,8.5998625817,8.5998625817,8.5998625816,8.5998625816,8.5998625816,8.5998625812,8.5998625812,7.9420041084,8.599862581231,8.599862581231,8.5998625812,8.59986258137,8.59986258137,8.59986258097,8.59986258095,8.59986258095,8.59986258095,8.59986258095,8.52025300965,8.59986258099,8.59986258127,8.59986258127,8.49562018757,8.59986258107,8.59986258117,8.12783412317,8.59986258123,8.59986258123,8.59986258123,8.59986258117,8.59986258117,8.39187732027,6.84940925467,8.59986258157,8.59986258157,7.36940699487,6.27137337507,6.77836791357,8.59986258129,8.59986258129,8.08200263509,8.43277170549,8.59986258139,8.59986258127,8.59986258127,8.59986258127,6.21310444097,8.59986258127,8.59986258127,6.36758317727,5.90265754997,6.933265010668,6.680830679268,7.206861282168,11.58495048423,11.58495048423,11.58495048423,11.58495048423,11.58495048423,11.58495048433,11.58495048433,11.58495048422,11.58495048422,11.58495048421,11.58495048372,11.36727140712,11.49114867272,10.89145039333,8.95507838663,9.07545123132,9.45254658272,11.58495048312,11.30425457222,11.33453902942,11.30899355232,11.58495048352,11.58495048342,11.58495048352,11.58495048352,11.58495048345,11.58495048345,11.58495048346,11.58495048347,11.58495048347,11.58495048342,11.56347783363,9.14518061812,11.58495048422,8.03701773303,8.45747746492,10.40682056902,9.77858500418,10.59159847202,11.58495048353,11.58495048353,10.28754916782
"t76",3.07077319967,1.57536065817,2.49681992722,2.49681992722,1.47718797097,1.57158633057,1.57158633057,1.4647608586,1.4647608586,0,0.87232866272,0.87232866272,0.87232866262,0.8723286627,2.91606478047,2.91606478047,2.91606478047,5.56039006522,5.56039006522,5.56039006552,5.5603900653705,5.5603900653705,5.56039006536,5.48011341547,5.11303377316,5.56039006536,5.56039006536,5.56039006536,5.00899255946,5.12893903816,5.46979525895,5.56039006532,5.56039006533,5.56039006533,5.56039006532,5.56039006532,5.56039006492,5.23959344002,4.32805605847,8.59986258187,8.59986258187,7.839090771,8.5998625817,8.5998625817,8.5998625817,8.0895356954,7.00977014731,6.8694111546,8.5998625814,8.5998625817,8.5998625817,8.5998625817,8.5998625817,8.5998625817,8.5998625816,8.5998625816,8.5998625816,8.5998625812,8.5998625812,7.9420041084,8.599862581231,8.599862581231,8.5998625812,8.59986258137,8.59986258137,8.59986258097,8.59986258095,8.59986258095,8.59986258095,8.59986258095,8.52025300965,8.59986258099,8.59986258127,8.59986258127,8.49562018757,8.59986258107,8.59986258117,8.12783412317,8.59986258123,8.59986258123,8.59986258123,8.59986258117,8.59986258117,8.39187732027,6.84940925467,8.59986258157,8.59986258157,7.36940699487,6.27137337507,6.77836791357,8.59986258129,8.59986258129,8.08200263509,8.43277170549,8.59986258139,8.59986258127,8.59986258127,8.59986258127,6.21310444097,8.59986258127,8.59986258127,6.36758317727,5.90265754997,6.933265010668,6.680830679268,7.206861282168,11.58495048423,11.58495048423,11.58495048423,11.58495048423,11.58495048423,11.58495048433,11.58495048433,11.58495048422,11.58495048422,11.58495048421,11.58495048372,11.36727140712,11.49114867272,10.89145039333,8.95507838663,9.07545123132,9.45254658272,11.58495048312,11.30425457222,11.33453902942,11.30899355232,11.58495048352,11.58495048342,11.58495048352,11.58495048352,11.58495048345,11.58495048345,11.58495048346,11.58495048347,11.58495048347,11.58495048342,11.56347783363,9.14518061812,11.58495048422,8.03701773303,8.45747746492,10.40682056902,9.77858500418,10.59159847202,11.58495048353,11.58495048353,10.28754916782
