"accepted_species","Medicinal"
"Schenkia_elegans",NA
"Asperula_kotschyana",0
"Aidia_canthioides",0
"Guettardella_tayabensis",0
"Spermacoce_malacophylla",0
"Mandevilla_boliviensis",0
"Lasianthus_mucronulatus",0
"Hedyotis_eualata",1
"Huernia_quinta",0
"Pyrostria_louvelii",0
"Urophyllum_chlamydanthum",0
"Spermacoce_sociata",0
"Leichhardtia_subglobosa",0
"Triflorensia_australis",0
"Macropharynx_gigantea",0
"Peponidium_cystiporon",0
"Ruehssia_loniceroides",NA
"Gomphocarpus_filiformis",1
"Declieuxia_humilis",NA
"Ixora_homolleae",0
"Cynanchum_sarcomedium",1
"Rhytidocaulon_molamatarense",0
"Pervillaea_tomentosa",0
"Coutarea_alba",0
"Palicourea_breedlovei",0
"Pyrostria_brunnescens",NA
"Ditassa_ayangannensis",0
"Strychnos_tchibangensis",1
"Sherbournia_kiliotricha",0
"Urophyllum_talangense",0
"Beaumontia_brevituba",1
"Geophila_humifusa",1
"Cynanchum_nielsenii",0
"Gardenia_thunbergia",1
"Cynanchum_szechuanense",0
"Gardenia_faucicola",0
"Parahancornia_peruviana",0
"Ceropegia_thorelii",0
"Swertia_cincta",0
"Spigelia_spartioides",0
"Swertia_obtusa",0
"Ceropegia_christenseniana",1
"Psychotria_lunanii",NA
"Psychotria_tenuifolia",1
"Psychotria_lasianthifolia",0
"Psychotria_steinii",0
"Psychotria_abdita",0
"Galium_velenovskyi",0
"Galium_×_hungaricum",0
"Psychotria_testacea",0
"Manettia_angamarcensis",0
"Asperula_tinctoria",1
"Ixora_aegialodes",0
"Neurocalyx_championii",NA
"Hillia_pumila",NA
"Ixora_himantophylla",0
"Hoya_bordenii",0
"Tabernaemontana_bovina",1
"Galium_watsonii",0
"Coffea_togoensis",0
"Catunaregam_nilotica",1
"Gyrostelma_oxypetaloides",0
"Rutidea_hirsuta",NA
"Benzonia_corymbosa",0
"Palicourea_andina",0
"Palicourea_pauciflora",0
"Macrocarpaea_obnubilata",0
"Paederia_changguan",0
"Fagraea_borneensis",0
"Fagraea_latibracteata",0
"Fagraea_obtusifolia",0
"Diplolepis_menziesii",NA
"Matelea_bolivarensis",0
"Hoffmannia_terepaimensis",0
"Gonolobus_striatus",0
"Corynanthe_lane-poolei",1
"Lasianthus_coronatus",0
"Chironia_serpyllifolia",0
"Pavetta_schumanniana",1
"Rothmannia_capensis",1
"Melanopsidium_nigrum",0
"Gymnema_foetidum",1
"Halenia_pusilla",0
"Halenia_longicaulis",0
"Stapelia_schinzii",0
"Faramea_crassifolia",0
"Myrmecodia_lamii",0
"Vincetoxicum_subcanescens",0
"Diplospora_cuspidata",0
"Zeltnera_nesomii",0
"Ophiorrhiza_guizhouensis",0
"Posoqueria_robusta",0
"Pyrostria_madagascariensis",NA
"Oldenlandia_cryptocarpa",0
"Oreosparte_sabahensis",0
"Coffea_buxifolia",0
"Ophiorrhiza_alboensis",0
"Gentiana_catesbaei",0
"Gentiana_douglasiana",0
"Chassalia_humbertii",0
