"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99"
"Galium_spurium",-0.100138650629471,0.0699875157053584,-0.00533182600702867,-0.115776929609822,0.000608517649357222,-0.00235836671805094,-0.0397355237640423,0.000615234366070164,0.00251408751747662,0.00649036022930295,7.87416769729802e-06,4.70257587480138e-06,1.40195344808643e-07,-0.000259687668024902,-9.35902277762073e-05,-1.45513354092493e-05,-7.7378129481906e-06,1.09798768627057e-07,7.89846393297147e-06,0.000335154845991136,-0.0471431332650585,-1.50054699659394e-06,-3.50387321875751e-16,-1.92080325850645e-05,0.00010268891193017,-0.150261985769121,0.0229986689343702,3.59769573903806e-05,0.00830652849020048,-0.000398398264511027,-0.00799317965573538,-2.69072900978248e-06,-1.54239867725888e-05,-1.67252278066742e-16,-0.00029325867680251,6.12044128080262e-16,1.00708133983488e-15,-6.32376629319314e-05,-0.0383591789577764,-8.48656540744939e-16,1.48468942022285e-15,3.48257007003058e-16,-4.11965256873993e-15,-9.23058760244274e-06,7.26598785346801e-09,-3.17994579816051e-07,1.75220057608034e-05,1.32115420508587e-05,-3.74943306761544e-05,-6.82734544570038e-05,5.90803756464512e-14,-7.75248023992344e-14,-0.30432470910319,2.33515835673537e-15,2.70375402225133e-05,-3.21144964219749e-05,-1.63534353405555e-14,0.0374413894256831,0.282963080888141,-0.291412544951102,0.80804183858615,-0.0926804771506332,-0.0825994738612737,-3.38373145519736e-14,0.0750706757307378,6.90882419637429e-07,-2.78441760315018e-06,-2.50619256163803e-07,-3.64909473746338e-15,-2.96061754208952e-15,2.55462003694947e-15,1.92093163941961e-15,2.3208918218287e-07,7.12566707284907e-16,-3.35588832597577e-15,-2.32273568936186e-16,9.93496693550115e-16,6.89309036704154e-15,0.00743939936436776,-0.00572877520653086,0.000219842698240319,-2.76596634589642e-15,-1.42050864560019e-15,-3.33604826088318e-16,-5.28444671095633e-16,-2.13467465413207e-16,7.93263169475241e-16,-6.39195553159131e-06,3.41812722937587e-15,0.000459812383377253,-5.17838444695445e-05,-4.84287700233492e-15,-2.12885676690895e-15,3.46454920613118e-15,-1.26171681207064e-15,-3.7994400693102e-15,1.74588985838992e-15,-2.83839385171344e-15,6.88243022923582e-15
"Galium_binifolium",-0.100138650629473,0.069987515705358,-0.00533182600702853,-0.115776929609822,0.000608517649357928,-0.00235836671805112,-0.0397355237640402,0.000615234366068444,0.00251408751747516,0.00649036022930357,7.87416769890286e-06,4.70257587460112e-06,1.40195343211939e-07,-0.000259687668023111,-9.35902277784221e-05,-1.4551335410545e-05,-7.7378129481513e-06,1.09798768604057e-07,7.89846392623806e-06,0.000335154845991896,-0.0471431332650593,-1.50054699844209e-06,1.8588626063775e-15,-1.92080325829939e-05,0.000102688911930592,-0.150261985769114,0.022998668934375,3.59769573899616e-05,0.00830652849019684,-0.000398398264505836,-0.00799317965574163,-2.69072900676084e-06,-1.54239867679698e-05,1.50272278236933e-15,-0.00029325867679743,-3.58582532146078e-15,-4.13233087285341e-15,-6.32376629247217e-05,-0.0383591789577757,-2.70460200582438e-15,1.58626480681511e-14,2.83402826063855e-15,-7.95422400468124e-15,-9.23058759797308e-06,7.26598257961454e-09,-3.17994578424467e-07,1.75220057554759e-05,1.32115420597421e-05,-3.74943306860316e-05,-6.8273454451502e-05,6.91558234923586e-14,-8.31758515764522e-14,-0.304324709103111,2.28080217270129e-14,2.70375402451768e-05,-3.21144965352923e-05,8.99298511418236e-15,0.0374413894246671,-0.543725189581102,0.0159374465190979,0.0881910414945024,0.24686984576599,0.684631191809474,6.13656838690725e-14,0.0750706757307463,6.90882514025852e-07,-2.78441763766325e-06,-2.50619296658777e-07,1.04579753891804e-14,-5.20021044087263e-15,-8.24171956300777e-15,-1.20182762327948e-14,2.32089193699261e-07,1.06129803782053e-15,1.1903288374412e-14,1.29621203183162e-14,-1.81126053854637e-15,1.97293589747872e-15,0.00743939936439618,-0.00572877520656378,0.000219842698281359,-2.4151639612046e-15,-1.09628234462742e-15,4.85312411149289e-15,2.25048110088649e-15,8.03775318587931e-16,-1.9494547057393e-16,-6.39195553472414e-06,3.85055831499744e-15,0.000459812383374242,-5.17838444510561e-05,-3.44505951003613e-15,6.41431296154999e-15,4.3738712251642e-15,-3.96040171668072e-15,-8.76908976352247e-15,3.91296098262539e-15,-2.82375815812975e-15,-3.35588573155503e-15
"Galium_tenuissimum",-0.100138650629472,0.069987515705358,-0.0053318260070285,-0.115776929609821,0.000608517649357163,-0.0023583667180511,-0.0397355237640423,0.00061523436607097,0.00251408751747759,0.0064903602293018,7.8741676977651e-06,4.70257587404209e-06,1.40195343055759e-07,-0.000259687668024582,-9.35902277752612e-05,-1.45513354089034e-05,-7.73781294720516e-06,1.09798770693665e-07,7.89846393200838e-06,0.000335154845991957,-0.0471431332650573,-1.50054699659749e-06,5.8278699908511e-16,-1.92080325859762e-05,0.000102688911929595,-0.150261985769121,0.0229986689343673,3.59769573908581e-05,0.00830652849020029,-0.000398398264509669,-0.00799317965573284,-2.69072900735323e-06,-1.54239867770635e-05,5.71131185685498e-16,-0.000293258676799897,-9.9451131958805e-16,1.29308000084856e-15,-6.3237662937536e-05,-0.0383591789577525,1.93072250112623e-15,5.47444824136028e-15,2.99515404873228e-15,-4.82943298185823e-15,-9.23058759344488e-06,7.26598575957256e-09,-3.17994589026108e-07,1.75220057663928e-05,1.32115420512553e-05,-3.74943306748967e-05,-6.82734544489369e-05,5.68915809358342e-14,-8.56690827012826e-14,-0.304324709103142,-1.38919929059869e-15,2.70375402181449e-05,-3.2114496570081e-05,1.51482602214055e-14,0.0374413894249491,0.536629892204118,-0.0955420317367427,-0.437617981961095,-0.432347574434791,0.397239838186714,1.33649321783268e-13,0.0750706757310109,6.90882589557045e-07,-2.78441754766871e-06,-2.50619269858715e-07,-4.95573221630918e-15,1.76646259963572e-14,5.43942471847026e-15,9.10247438958924e-15,2.32089181807964e-07,1.13865811114106e-14,-8.96031516973365e-15,4.67154939876138e-15,1.83916125633812e-15,1.92208555493989e-15,0.00743939936439839,-0.0057287752065179,0.00021984269823627,1.28376414081843e-14,1.72420947126269e-15,7.57007260852097e-15,-6.26938142223796e-15,-8.49514837827604e-16,-3.81280847376184e-15,-6.39195553782886e-06,-8.28000263618592e-16,0.000459812383383127,-5.17838444811746e-05,-1.34882491924645e-15,-1.16312983372933e-15,3.87808744103671e-15,4.09259018012365e-16,-1.14683973268433e-14,-2.25353857256567e-15,1.74764399647983e-15,7.56072878661769e-15
"Galium_concinnum",-0.100138650629471,0.0699875157053585,-0.00533182600702864,-0.115776929609822,0.000608517649357125,-0.00235836671805139,-0.0397355237640411,0.000615234366069635,0.0025140875174767,0.00649036022930272,7.87416769712548e-06,4.70257587457699e-06,1.40195344109046e-07,-0.000259687668023937,-9.35902277752063e-05,-1.45513354098659e-05,-7.73781294848477e-06,1.0979876863697e-07,7.89846393151523e-06,0.000335154845990269,-0.0471431332650598,-1.50054699731281e-06,-4.0275783684813e-16,-1.92080325838015e-05,0.000102688911929957,-0.150261985769113,0.0229986689343679,3.59769573910967e-05,0.00830652849020062,-0.000398398264508912,-0.00799317965573293,-2.69072901204613e-06,-1.54239867736197e-05,5.25872425846675e-16,-0.000293258676801649,1.04196454173188e-15,-1.44994519210405e-15,-6.32376629326821e-05,-0.0383591789577775,-2.00928573667997e-15,3.84024482155845e-15,1.31286626637354e-15,-4.70111402595703e-15,-9.23058760526859e-06,7.26599202256452e-09,-3.17994561450064e-07,1.75220057500276e-05,1.32115420455195e-05,-3.74943306558841e-05,-6.82734544667894e-05,6.09489276627875e-14,-7.67714122470721e-14,-0.304324709103138,9.1288116612726e-16,2.7037540190486e-05,-3.21144964030158e-05,6.81825239367549e-15,0.0374413894259563,0.152963435288603,-0.337196128281782,-0.334699558732301,0.693615668261334,-0.32110403609511,-1.26410074026439e-13,0.0750706757308362,6.908824442656e-07,-2.78441759009202e-06,-2.50619271323096e-07,4.46834237611398e-15,-7.28662007576888e-15,2.86095259571336e-15,-4.29341926039326e-15,2.32089178192368e-07,-8.13966261904122e-15,2.42691357720447e-15,2.08626841363962e-15,1.70289506317569e-15,3.42194484545855e-15,0.00743939936435948,-0.00572877520652161,0.00021984269824317,1.18185265054368e-15,-2.34875257085867e-15,-1.92837687226034e-14,4.24425247590281e-15,1.13132934142386e-16,2.22869639864791e-15,-6.39195553819052e-06,8.28897911479023e-16,0.000459812383374831,-5.17838444591431e-05,-1.20239178958195e-15,1.59455994520897e-15,4.05849372351281e-15,-2.04615256122924e-15,-6.62853419482551e-15,3.33815600506897e-15,-2.23572376800472e-15,5.19642264609624e-15
"Galium_eriocarpum",-0.100138650629471,0.0699875157053582,-0.00533182600702854,-0.115776929609822,0.000608517649356973,-0.00235836671805113,-0.0397355237640426,0.000615234366070228,0.0025140875174766,0.00649036022930273,7.87416769711425e-06,4.70257587514911e-06,1.40195344701166e-07,-0.000259687668024805,-9.35902277755812e-05,-1.45513354097881e-05,-7.73781294804658e-06,1.09798768573663e-07,7.89846393104792e-06,0.000335154845991342,-0.0471431332650605,-1.50054699675232e-06,-3.88234026979309e-16,-1.92080325846721e-05,0.000102688911929485,-0.150261985769122,0.0229986689343733,3.59769573901609e-05,0.00830652849020001,-0.000398398264513843,-0.00799317965573536,-2.69072901024342e-06,-1.54239867729046e-05,-1.83710293137616e-16,-0.00029325867680194,-2.47271641961695e-16,6.72972024861786e-16,-6.32376629334969e-05,-0.0383591789577719,-2.13825785322042e-15,4.48802040309091e-15,1.10302920632896e-16,-6.73043184744567e-15,-9.23058759857334e-06,7.26599662328961e-09,-3.17994577002622e-07,1.75220057582323e-05,1.32115420495098e-05,-3.74943306655605e-05,-6.82734544613106e-05,6.26488975550027e-14,-7.78579508850194e-14,-0.304324709103183,-3.60205499933579e-16,2.7037540223425e-05,-3.21144964141836e-05,-2.19716385533178e-14,0.037441389424988,0.117982684983717,0.87430476838209,0.0565326861911403,0.0890338308384142,-0.209479411207811,-4.48154652708537e-14,0.0750706757307927,6.90882467042135e-07,-2.78441759641409e-06,-2.50619283227376e-07,5.34800627194953e-15,-1.34468387817624e-15,5.11969503774894e-15,-4.39569047459559e-16,2.320891822822e-07,-5.66281617603223e-15,3.16767405329739e-17,-7.91462140520804e-15,-5.71412765038434e-15,5.28078721992978e-16,0.00743939936438582,-0.00572877520652861,0.000219842698240321,1.64623531935728e-15,8.05712160850042e-16,3.28426441507491e-15,-4.16242006230614e-16,-3.4415607232076e-16,-7.6170762918961e-16,-6.39195552834856e-06,3.59103131375791e-15,0.000459812383375337,-5.17838444706441e-05,-6.05362235054432e-15,5.27278337635258e-16,2.70404906195822e-15,-3.35616531084386e-16,1.58253489055275e-15,8.20931027448122e-16,-3.08120047384238e-15,6.707817022386e-15
"Galium_propinquum",-0.100138650629471,0.0699875157053583,-0.00533182600702912,-0.115776929609822,0.000608517649356925,-0.00235836671805109,-0.0397355237640422,0.000615234366070044,0.00251408751747643,0.00649036022930266,7.87416769737508e-06,4.70257587467031e-06,1.40195344858488e-07,-0.000259687668024876,-9.35902277758962e-05,-1.45513354094809e-05,-7.73781294819302e-06,1.09798768136758e-07,7.89846393187986e-06,0.000335154845991903,-0.0471431332650602,-1.50054699707551e-06,-3.52235717156579e-16,-1.92080325843965e-05,0.000102688911928213,-0.150261985769124,0.0229986689343718,3.59769573903052e-05,0.0083065284902007,-0.000398398264509665,-0.00799317965573609,-2.69072901047224e-06,-1.54239867715492e-05,-6.04671639028229e-16,-0.000293258676800572,5.21780010422155e-15,1.08330488805229e-15,-6.32376629311712e-05,-0.038359178957776,3.60687051079972e-16,3.69101022034137e-15,3.65901548428812e-15,-9.02475627257459e-15,-9.23058760425067e-06,7.26598855590468e-09,-3.17994577531282e-07,1.7522005760949e-05,1.32115420541373e-05,-3.74943306759387e-05,-6.82734544520747e-05,6.20508665181586e-14,-7.77246455565802e-14,-0.3043247091032,2.7162181845111e-16,2.70375402245619e-05,-3.21144964620137e-05,-4.74355309862544e-16,0.0374413894259004,-0.546813903783568,-0.166091509931435,-0.180448025578405,-0.504491293280251,-0.468688108831697,-1.86407197459818e-14,0.0750706757306707,6.90882406221795e-07,-2.78441760270402e-06,-2.5061926760468e-07,-2.5047397850463e-16,-3.38603205037713e-15,1.0321399925384e-15,1.1284346901058e-14,2.32089184028284e-07,4.53234271011078e-16,-7.14120927117927e-16,-2.41553344540871e-15,-4.5131589153087e-15,2.47576619472225e-15,0.00743939936437958,-0.00572877520653665,0.000219842698232312,-3.9150388650278e-15,-4.72081620620751e-16,4.90056997889063e-15,-1.5291765678269e-15,-1.6730073414951e-16,2.12026667235999e-16,-6.39195553601257e-06,4.99479161244238e-15,0.000459812383374237,-5.17838444700391e-05,-7.12666770747999e-15,-2.67497622531356e-15,3.32768532912174e-15,-1.54354987365035e-15,-1.63534840776766e-15,3.5486605548338e-15,-3.17954048819786e-15,4.19696618627356e-15
"Galium_circaezans",-0.101246096914036,0.0717944356716428,-0.00556909061519603,-0.12428482386076,0.000668823038988529,-0.00276558163463922,-0.0499888229506764,0.000800406624915475,0.00388718059858044,0.0105896515088285,1.34935820265956e-05,8.17505787566319e-06,2.48811655051699e-07,-0.000518952508146044,-0.000237959596688649,-3.77864199724159e-05,-2.37180011097696e-05,4.09935844645113e-07,3.50395173339524e-05,0.00216253868332515,-0.311351774461087,-1.82590198914116e-05,2.04219965282565e-15,0.000328924857670251,-0.00025790108974588,0.31961538542954,-0.0457305234003078,-7.10663404573072e-05,-0.0141374386439474,0.000596006116678871,0.0101385275846801,2.81904477392248e-06,1.57418378034018e-05,3.92612608765532e-17,0.000237886620499412,1.22641873375268e-16,-6.18505913112924e-16,5.20428797737371e-05,0.0588150921716324,-5.41268924193807e-16,-2.6686694550691e-15,-3.49966613772538e-15,5.15568159483039e-15,0.00249697236290444,1.90961754392185e-07,-6.40056411965327e-07,4.83154141572733e-07,-5.66580120190779e-07,2.07972681795152e-06,4.26543709235505e-06,-4.4403925351224e-15,2.97131296141911e-15,0.0194327265795499,-2.22954019651076e-16,-1.04690130364167e-06,4.60970338035959e-07,-9.3066155460934e-16,-7.91619741273035e-05,9.99200722162641e-15,3.24566762355261e-15,1.11629455679108e-15,-1.8172963134333e-14,-8.29891710907305e-15,1.99315232568019e-15,0.0164276193118068,-2.84658197999947e-09,-4.89623970852812e-08,-6.53684493367842e-09,-1.98889628385146e-15,-2.8609324441902e-15,-3.29613155476281e-15,4.26698558803177e-15,1.60789844755363e-08,8.18041060001565e-16,-2.44737302190748e-15,-7.82061369767916e-16,-4.27796003252721e-15,5.14675078198463e-15,0.000827726968088264,-0.000740369714450972,2.99610330515439e-05,-4.47364684145608e-15,-1.38314520723662e-16,1.5309929627348e-15,1.23259475811898e-14,-5.18093761200893e-15,-4.06801028501257e-15,-1.13798800564557e-06,9.46362990874279e-14,-0.182318804626855,0.847133041421523,6.45610917497629e-13,-1.03772507504484e-13,9.71935670439002e-15,-9.17061624224631e-14,1.7349723309555e-13,-4.26633046673709e-14,8.01156262617371e-15,-4.4388893369162e-14
"Galium_bolanderi",-0.101252905642359,0.0718055055547785,-0.00557053792275041,-0.124336392751744,0.000669186635686103,-0.00276800329508738,-0.0500489692064628,0.000801486223826424,0.00389496686828895,0.0106127228314754,1.35250054908757e-05,8.19444058062751e-06,2.49416376496424e-07,-0.000520376533408297,-0.000238735000659922,-3.79110052005298e-05,-2.38026702578039e-05,4.11507752956124e-07,3.51804913931733e-05,0.00217190338778505,-0.312704840659723,-1.83437447646414e-05,1.21633867111029e-15,0.000330641222743416,-0.000259584358538454,0.321786266682913,-0.0460466193797623,-7.15584247077599e-05,-0.0142395099863337,0.000600483670773945,0.0102191054282634,2.84319786752583e-06,1.58782636433582e-05,4.7861945339352e-16,0.000240247415046921,1.02900697266412e-16,1.57065970730323e-16,5.26029264479123e-05,0.0594995380556406,3.85561438781097e-15,-3.30447767859313e-15,1.89771643738973e-15,4.37164133694254e-15,0.00252691277280555,1.93254680766447e-07,-6.47840215508028e-07,4.8957408496622e-07,-5.7450886652245e-07,2.10954411781398e-06,4.32834588368551e-06,-3.57945794266347e-15,5.62085828080868e-15,0.0197231785377875,2.0241076261872e-15,-1.06547999431231e-06,4.6995292976626e-07,9.3147850672717e-16,-8.07684325667447e-05,-1.04638520070921e-14,4.74099925984461e-15,8.29718238559707e-15,1.5334955527635e-15,-1.01446628875124e-14,1.26912339944092e-15,0.0167864841305488,-2.91089497440352e-09,-5.01237500251281e-08,-6.69689602799531e-09,-3.71679256629661e-16,1.48729000983104e-15,4.96084110899648e-16,-2.2101975902884e-15,1.6572998205208e-08,-7.36375000986847e-16,5.78987317780704e-15,1.24172653555033e-15,-2.56124508631556e-15,1.57706194758948e-15,0.000863032339374419,-0.000778832529635867,3.16693212246358e-05,-3.09164595889551e-15,-3.76094719773323e-15,-7.24950280042229e-15,-4.71894655253568e-15,4.87617744212538e-15,-1.94412698989311e-15,-1.38588904752499e-06,-5.39859108095292e-14,0.457922110634636,-0.196937941640663,-1.93422827193905e-13,7.69173174528319e-15,-2.77192387633727e-13,1.98662048642582e-13,-0.707106781186696,2.7280161036502e-14,-3.21057301682439e-15,2.33723531637309e-14
"Galium_angustifolium",-0.101252905642359,0.0718055055547785,-0.00557053792275043,-0.124336392751744,0.000669186635685296,-0.00276800329508658,-0.0500489692064627,0.000801486223826854,0.0038949668682894,0.0106127228314755,1.35250054916742e-05,8.19444058154631e-06,2.49416378177587e-07,-0.00052037653340867,-0.000238735000660243,-3.79110052007769e-05,-2.38026702587222e-05,4.11507753023512e-07,3.51804913954713e-05,0.00217190338778536,-0.312704840659723,-1.83437447653981e-05,1.9252428484816e-15,0.000330641222744863,-0.000259584358540027,0.321786266682917,-0.046046619379762,-7.15584247064464e-05,-0.0142395099863369,0.000600483670775121,0.010219105428265,2.84319786729478e-06,1.58782636448623e-05,7.97153947656592e-16,0.000240247415044948,6.7904385208747e-16,-4.11594926140066e-16,5.2602926449527e-05,0.0594995380556389,9.29343189656234e-16,-2.15020105493181e-15,1.61788538706721e-16,6.10382070228648e-15,0.00252691277280352,1.93254674977645e-07,-6.47840217419724e-07,4.89574079972109e-07,-5.74508865656774e-07,2.1095441152756e-06,4.32834588529158e-06,-4.21251465285947e-15,6.44627308406669e-15,0.0197231785377831,-1.52532513615174e-15,-1.06547999624941e-06,4.69952932712359e-07,-7.32573091342362e-17,-8.07684325662703e-05,-7.21644966006352e-15,-3.75394160201381e-15,2.7746901998249e-15,2.27595720048157e-15,4.71844785465692e-16,1.11255702426636e-15,0.016786484130556,-2.91089290545728e-09,-5.01237513050289e-08,-6.69690639776147e-09,9.18468515529731e-16,-3.87013268501866e-16,6.6958971420227e-16,-3.56685635342815e-15,1.65729803322878e-08,1.72083090808948e-15,-2.46077303394289e-15,-6.48390423763336e-16,2.71837089775731e-16,-8.53278576664773e-15,0.00086303233939156,-0.000778832529611807,3.16693212252257e-05,1.1359662478141e-14,-1.88411068466073e-15,1.60784075951307e-14,-1.40809641756748e-14,-4.46899316210875e-16,-6.84244650886659e-15,-1.38588906056649e-06,2.09906182577406e-14,0.457922110634985,-0.196937941640886,-2.41951840921631e-13,3.15032659845839e-14,2.37443880661577e-13,-1.31864339071925e-13,0.707106781186399,1.60021298829835e-14,2.13968847348832e-16,-7.85430044732675e-15
"Galium_boreale",-0.101242411334517,0.0717884433787457,-0.00556830714362053,-0.124256906881707,0.000668626197937739,-0.00276427049795092,-0.0499562556510659,0.000799822033182089,0.00388296366896158,0.010577155826723,1.34765620455788e-05,8.16455944349746e-06,2.4848410809488e-07,-0.000518181122876572,-0.000237539507183468,-3.77189229110936e-05,-2.36721261850849e-05,4.09084104138921e-07,3.49631263064689e-05,0.00215746371832186,-0.31061851139184,-1.82131015683797e-05,1.39880451490001e-15,0.000327994495319202,-0.000256988347386451,0.31843815457677,-0.0455591045904168,-7.07994823627785e-05,-0.0140820808124433,0.000593577549899082,0.0100948181375403,2.80594076118755e-06,1.56678194174658e-05,-6.88799730241856e-16,0.000236605332917014,4.74764118005412e-16,-5.95587549141412e-16,5.17388547619019e-05,0.0584434498106449,-2.77293579820788e-15,-2.64699582334316e-15,-2.14560113752752e-15,3.61052384095254e-15,0.00248071371061476,1.89716622349564e-07,-6.35829353921868e-07,4.79666700812291e-07,-5.62272263196055e-07,2.06352496099609e-06,4.23125056699993e-06,-3.6824630500452e-15,5.3879531498674e-15,0.0192748780320569,-2.2715126439274e-15,-1.03679711807924e-06,4.56082845580445e-07,4.07813413850723e-16,-7.82877042385544e-05,-5.41233724504764e-15,-1.3834419720915e-15,4.22275062139654e-15,1.9220736113823e-15,9.71445146547012e-17,-1.16201936702949e-15,0.0162322380749166,-2.81155945877721e-09,-4.83298067292432e-08,-6.4496569876627e-09,1.22472274043193e-15,-1.27531631061858e-16,8.068768253719e-16,3.46457345683428e-15,1.58094077292613e-08,-7.53313388698835e-16,1.49819471483025e-15,-2.74436939493372e-16,4.49269717981678e-15,1.92254336145112e-15,0.000808402485773163,-0.000719268044242933,2.90226502613112e-05,-4.70128773601376e-15,2.25301623003505e-15,-1.08365823608814e-14,4.58314622957556e-15,5.79965009100884e-16,1.29226723435689e-14,-9.96974290295926e-07,-4.61504116594973e-14,-0.739845742106884,-0.452544438449037,-2.21889269275184e-13,6.41594581333918e-14,4.0487024659092e-14,1.93100613780086e-14,1.05966411019973e-13,5.0798586039961e-15,-1.4735719666889e-14,4.9723205566955e-14
