,0,1,2,3,4,5,6,7,8,9
Galium_spurium,548.1623,-93.86566,608.565,-5.3066525,-68.02985,271.4586,176.01929,479.568,-64.721,-15.19076
Galium_binifolium,548.6292,-93.83232,611.2612,-5.4766326,-68.613976,274.15317,175.95612,481.11646,-64.71583,-15.12359
Galium_concinnum,550.6667,-94.89636,610.4474,-5.6395993,-68.73845,269.26703,178.14516,479.97083,-63.900227,-14.926735
Galium_sterneri,552.87555,-94.83431,612.3097,-5.640286,-68.70899,271.32446,176.56943,481.67438,-63.991425,-15.375302
Galium_tinctorium,548.95953,-94.03463,610.37646,-5.474142,-68.035194,270.3734,177.83415,478.9709,-64.1394,-15.3583555
Galium_bifolium,551.0561,-94.26507,613.13794,-5.518142,-68.22154,268.6093,178.39888,478.71527,-64.68851,-15.33756
Galium_lucidum,553.5704,-95.618614,619.9536,-4.754968,-67.60384,268.12195,174.77483,477.324,-65.34959,-16.087255
Galium_verum,553.292,-95.5042,620.26697,-4.7606444,-67.57572,268.0876,175.00516,477.61957,-65.406555,-16.060333
Galium_odoratum,554.76074,-95.6037,621.6135,-4.8982143,-67.697624,267.56854,175.17055,477.64056,-65.25363,-16.144196
Galium_aparine,553.51324,-95.48763,620.235,-4.8777614,-67.8108,269.5332,175.20201,477.84204,-65.229065,-16.036531
Galium_parisiense,553.7773,-95.47445,619.85175,-4.6624875,-67.44456,267.82687,174.12047,476.4425,-65.38136,-16.042856
Galium_murale,553.655,-95.458694,619.61694,-4.6146116,-67.41153,267.90692,173.99258,476.38287,-65.43744,-16.05413
Cruciata_glabra,547.935,-93.86606,609.6223,-5.4623623,-68.61748,270.8687,175.22192,479.75708,-64.37033,-14.902811
Sherardia_arvensis,549.61597,-94.236786,610.8416,-5.51618,-68.518456,271.50208,180.54016,480.0984,-65.03801,-15.592615
Asperula_glomerata,546.87445,-93.75709,612.04285,-5.0285945,-68.212875,271.27274,177.24307,481.82574,-66.01787,-15.784217
Crucianella_gilanica,549.0173,-94.37629,615.03174,-5.466842,-68.86111,269.83154,178.59303,481.6914,-65.86358,-15.551391
Rubia_cordifolia,551.56085,-93.6501,611.1532,-6.2830195,-69.147484,272.99536,175.2343,487.208,-63.30075,-14.776721
Rubia_tinctorum,552.3741,-93.78191,613.5874,-6.2712703,-69.05921,271.80145,175.15837,485.925,-63.60324,-14.871671
Rubia_peregrina,552.88727,-94.23339,612.5229,-5.9646573,-68.82673,272.76917,175.44513,486.47025,-63.592693,-14.817827
