,0,1,2,3,4,5,6,7,8,9
t13,7.8988533,-0.44561297,-0.0139916865,3.5347722,-0.26116395,-2.1948507,4.072913,9.900069,1.0955985,-1.0694845
t30,7.914309,-0.45562458,-0.013493702,3.6492498,-0.2736065,-2.19079,4.0712,10.01905,0.9976448,-1.0700954
t31,7.9045115,-0.45739993,-0.015257857,3.6327302,-0.27409837,-2.1876295,4.066708,9.981686,1.029786,-1.0726227
t28,7.8631086,-0.44311652,-0.019850394,3.593996,-0.25980914,-2.1806223,4.0281525,9.929596,1.0442739,-1.068372
t69,8.168726,-0.49328884,-0.022962114,3.6934564,-0.27643877,-2.1482847,4.105487,9.880797,0.81068075,-1.056162
t70,8.171069,-0.4962638,-0.025672171,3.7071893,-0.275925,-2.141386,4.1082463,9.859933,0.7998762,-1.0525924
t25,8.145803,-0.47892871,-0.066820316,3.7052376,-0.27916297,-2.139122,4.0242853,10.0028515,0.8561348,-1.0293022
t48,8.123271,-0.48212907,-0.071673825,3.69109,-0.27136704,-2.119421,3.9929564,9.944847,0.8427011,-1.0185007
t49,8.0990505,-0.4861041,-0.07988594,3.728863,-0.27060294,-2.1164591,4.0053596,9.956573,0.80803657,-1.0165431
t53,8.635778,-0.59617984,-0.098078184,4.1783075,-0.29271004,-1.981066,4.189862,9.634312,-0.0053513884,-0.938548
t54,8.6368265,-0.5949436,-0.09769094,4.165869,-0.29210645,-1.9853905,4.177931,9.670016,-0.0036169828,-0.9414509
t46,8.639599,-0.58763874,-0.089770176,4.148634,-0.293884,-2.0093563,4.2283845,9.681334,0.004068136,-0.9457876
t47,8.629897,-0.5868843,-0.09227436,4.160224,-0.29322004,-2.001175,4.197408,9.680484,-0.0018113017,-0.94666713
t5,8.791826,-0.5805746,-0.112993196,4.172256,-0.2662644,-2.0514548,4.24298,9.801703,0.08388767,-0.96527356
t67,7.9559956,-0.5343523,-0.55663705,3.6575644,1.0348318,-2.0066762,5.9187865,7.849949,-0.0886069,-0.70012444
t68,7.9716854,-0.53486985,-0.55793417,3.6886764,1.0230309,-2.0093958,5.9250593,7.8646593,-0.090719156,-0.7015734
t71,7.862115,-0.50680155,-0.5494198,3.5989182,1.0824451,-2.0247638,5.8639827,7.866261,-0.06407911,-0.70110494
t95,7.8540087,-0.50200665,-0.5480092,3.591555,1.0911982,-2.0323398,5.8580675,7.8803163,-0.061593838,-0.70467347
t96,7.8564167,-0.5023213,-0.54802376,3.5934975,1.0903699,-2.0324867,5.8596206,7.8815827,-0.061506994,-0.7044801
t2,7.486584,-0.5119116,-0.4891107,3.2376235,1.2679137,-2.071432,6.220988,7.647338,-0.02821207,-0.6806144
t82,7.272319,-0.48540616,-0.49458432,3.1739936,1.4061457,-2.095335,6.3148212,7.408423,-0.004598236,-0.68207574
t83,7.2759137,-0.48610044,-0.49469987,3.1748507,1.4091729,-2.09668,6.323094,7.4115186,-0.004858542,-0.6818735
t91,7.267203,-0.4763426,-0.50321174,3.0857794,1.5341809,-2.1163666,6.341107,7.4188013,0.02919361,-0.6918903
t92,7.2615323,-0.47733805,-0.50356215,3.0842223,1.5354366,-2.1140766,6.3411946,7.414526,0.023772597,-0.6908672
t8,7.3782215,-0.48351192,-0.50210977,3.1455293,1.407982,-2.0838666,6.2696633,7.4747167,-0.011598373,-0.6802431
t11,7.3264527,-0.4800631,-0.5113712,3.139488,1.4222283,-2.0865185,6.2679157,7.4705205,-0.010811287,-0.6757243
t12,7.3440647,-0.48573104,-0.51943535,3.1719189,1.4431779,-2.0828583,6.261578,7.4780974,-0.0018908739,-0.67980224
