,0,1,2,3,4,5,6,7,8,9
t18,15.846735,2.7278516,10.427515,5.269006,-0.04982523,9.792431,8.965322,5.4586024,9.7146845,11.310007
t21,15.635283,2.9593325,10.52274,5.205214,-0.041033726,9.654537,8.840676,5.230269,9.751161,11.403119
t84,15.387213,3.2782576,10.302502,5.0311513,0.011169406,9.804262,8.923821,5.509187,9.781271,11.628227
t85,15.475645,3.214957,10.346749,4.987242,0.054717004,9.716044,8.933413,5.488027,9.828936,11.638
t49,15.599921,3.188702,10.463229,4.8849688,-0.10454241,9.764602,8.854165,5.4489493,9.780275,11.671706
t44,15.504732,3.0990655,10.35235,5.0610685,0.004683999,9.834104,8.980094,5.477809,9.845365,11.53422
t42,15.354654,3.0464694,10.371828,5.217382,-0.00033492368,9.804503,8.898476,5.3090205,9.786196,11.403826
t40,15.85519,2.9484138,10.729086,5.0410185,-0.10865174,9.706815,8.873385,5.20935,9.579626,11.580345
t41,15.749896,3.0531058,10.6679,5.116744,-0.1269198,9.746282,8.885985,5.2462025,9.601986,11.599185
t99,15.646203,3.0963874,10.516519,5.0344534,-0.19040287,9.808023,8.938026,5.430892,9.472311,11.724996
t100,15.70441,3.0150685,10.572638,4.906808,-0.13349569,9.726269,8.856795,5.4255085,9.43597,11.7334
t69,15.840132,2.9849474,10.63304,4.850082,-0.086732484,9.592958,8.855875,5.307262,9.474033,11.78636
t70,15.744265,3.1283884,10.611424,4.9323707,-0.27322635,9.779589,8.805539,5.444051,9.519585,11.6915655
t13,15.755166,2.8343437,10.434938,5.2024045,-0.17168309,9.756255,8.833401,5.4668117,9.625438,11.363305
t6,15.840801,2.73945,10.482142,5.2572227,-0.09874005,9.707401,8.874302,5.3990583,9.619556,11.305903
t68,16.413992,1.7442406,10.447343,5.6800475,0.36040294,10.113584,9.043735,5.5943213,10.075174,11.229325
t87,16.287071,1.7813332,10.380245,5.654583,0.33472228,10.005891,9.02339,5.6227922,9.952277,11.2068615
t88,16.440659,1.6610442,10.518371,5.753461,0.4298991,10.151852,9.124228,5.6221094,10.099267,11.2038765
t50,16.496664,1.6795192,10.503815,5.73333,0.4092354,10.189442,9.059275,5.6047454,10.155526,11.215305
t39,16.334307,1.6812162,10.512769,5.723664,0.39254862,10.0478325,9.154009,5.575955,9.987313,11.253066
t31,2.6080687,10.449612,4.0463586,1.5476022,3.555342,7.7180905,2.824039,4.4649935,3.868266,7.2048807
t17,2.5826359,10.425071,4.061793,1.5451487,3.5562804,7.6992455,2.8101475,4.469584,3.877924,7.2054305
t7,2.8729448,10.788512,3.9759872,1.5232872,3.558395,7.7448354,2.9453275,4.321319,3.959259,7.169987
t12,2.7999494,10.841795,4.1185226,1.4127812,3.6121755,7.6496773,2.9989498,4.4324856,4.1676197,7.1127706
t15,2.8063252,10.852151,3.9839613,1.4686072,3.4699445,7.6329274,3.0744019,4.4362845,4.072653,7.113134
t22,2.7900288,10.804452,3.9786773,1.5025315,3.4587338,7.6839104,3.0569444,4.445249,4.037819,7.135033
t10,2.7709758,10.86584,4.26185,1.4393615,3.750174,7.5516863,2.9202876,4.3862977,4.151262,7.262318
t11,2.5679708,10.77381,4.1637325,1.3829114,3.6112707,7.3823214,2.902701,4.3627324,4.127542,7.2736073
t19,2.4199069,10.799907,4.2117352,1.3774949,3.597363,7.2591844,2.9143767,4.378091,4.2195883,7.388239
t54,2.3704147,10.586599,4.1305203,1.3362697,3.4645467,7.3428087,2.9244528,4.4923472,4.2991166,7.20658
t75,2.3071012,10.629463,4.027185,1.3521769,3.4892983,7.234368,2.8456273,4.2671895,4.0730553,7.40598
t76,2.3206477,10.674429,4.139218,1.3494838,3.49266,7.2637753,2.9154391,4.4021344,4.1815376,7.333782
t23,2.2799292,10.574276,4.101774,1.3189563,3.5574505,7.2621846,2.8011425,4.3041024,4.064839,7.3458886
t8,2.7148561,10.692328,4.264706,1.4190723,3.7781224,7.542643,2.8326488,4.438554,4.1588387,7.1777267
t9,2.611429,10.656662,4.2689385,1.4135854,3.7774398,7.459109,2.7852612,4.360718,4.025601,7.273692
t1,2.6978803,10.421751,4.1023836,1.6279067,3.6314118,7.8228707,2.7703245,4.473172,3.8305206,7.164133
t77,7.5725574,10.983974,13.192849,2.4783945,5.9229712,0.53342164,5.7776413,4.974835,3.47103,3.150521
t78,7.5079737,10.913688,13.032061,2.4199727,6.0159683,0.4136666,5.8140235,4.828315,3.4111176,2.9777389
t24,7.5026193,11.035004,13.109772,2.3531394,5.995537,0.38751554,5.771729,4.924657,3.5557885,3.0916173
t20,7.67481,10.997452,13.204069,2.4329164,6.088968,0.43057272,5.682567,4.964258,3.4903665,3.192018
t16,7.4438534,10.987966,13.096852,2.4201128,5.891273,0.36281127,5.9137573,4.947801,3.5830173,3.0152376
t63,7.56006,10.778874,13.192857,2.6150475,5.986464,0.48252383,6.017445,4.9570804,3.4231803,2.943469
t79,7.5907083,10.772004,13.274555,2.699069,5.943007,0.5639239,6.014983,4.983542,3.3182073,2.9908347
t93,7.4686203,10.912994,13.178292,2.6627395,5.854046,0.6229114,5.888013,5.0367765,3.3896534,2.9692712
t94,7.5288267,10.824328,13.213538,2.6976693,5.9068894,0.5850162,5.9660926,5.0281644,3.3784385,2.9358358
t33,7.9905043,10.765431,11.53206,2.5774703,5.1146526,-0.73777777,6.788019,3.5494444,3.0100253,3.0788658
t71,7.9551563,10.993568,11.619555,2.4387586,4.9893594,-0.6313741,6.818657,3.672721,3.0128756,3.1313946
t72,8.0015745,10.908262,11.590475,2.3397336,5.093742,-0.6323522,7.0349326,3.6696403,2.8221593,3.2118785
t60,7.758477,10.980204,11.498893,2.3612216,5.079531,-0.5338955,6.830256,3.6379611,2.9865367,2.9337323
t61,7.8428206,10.904043,11.44253,2.3869255,5.0650487,-0.67269295,6.926818,3.6205404,2.8911276,3.0186887
t46,7.7771864,10.829115,11.502842,2.4679303,5.1951246,-0.67564046,6.8924813,3.770551,2.926776,2.9738035
t62,7.8085413,10.793876,11.523352,2.4900734,5.200329,-0.6880603,6.88694,3.74709,2.9243054,2.9872537
t32,7.724699,10.98253,11.565168,2.2621984,5.092777,-0.6043395,6.97426,3.6413136,2.860555,3.0146005
t51,7.8632045,10.934352,11.709117,2.5613332,5.208322,-0.3568288,6.774758,3.8170812,3.0668287,2.992175
t52,7.79134,10.853033,11.780263,2.4910483,5.1872163,-0.44682944,6.6692114,3.8789592,3.0613248,3.1191242
t43,7.612166,10.786169,12.171759,2.451526,5.4807024,-0.14948325,6.5240912,4.2862844,3.156258,3.1746845
t82,7.5707917,10.742016,12.189431,2.5044734,5.384515,-0.18450849,6.60155,4.2743373,3.0983253,3.1941202
t83,7.6012573,10.707613,12.157269,2.5799406,5.3457704,-0.26561964,6.585429,4.2608595,3.118232,3.1397882
t47,7.5676503,10.718741,12.195577,2.539332,5.403893,-0.1959652,6.5951486,4.288924,3.105626,3.1738832
t5,7.549879,10.701061,12.135328,2.5539534,5.5936666,-0.105601504,6.483773,4.429428,3.1956298,3.0887172
t91,3.199776,12.906213,9.413874,8.201401,2.5514417,5.2337146,2.8319478,5.893427,8.570786,2.0846126
t92,3.2542758,12.91804,9.419147,8.307286,2.5783498,5.2031813,2.8235953,5.962858,8.671526,2.0230815
t26,3.257567,12.853534,9.350193,8.369165,2.5650418,5.2443714,2.7920005,5.979454,8.728457,2.0263953
t34,3.1632123,12.790638,9.302876,8.24883,2.5317204,5.342413,2.7901127,5.871765,8.602818,2.1409116
t35,3.170707,12.837898,9.334185,8.260792,2.6267715,5.2116475,2.9111502,5.958665,8.615934,2.113036
t97,3.2616901,13.008219,9.49241,8.222323,2.619722,5.1857104,2.9578376,5.9203415,8.593376,2.0364225
t98,3.3665268,13.077917,9.588149,8.240129,2.5272124,5.29545,2.8848293,5.819112,8.614756,1.9549364
t4,-1.3597658,-0.6385813,7.5993886,11.001448,4.1967716,-0.6014556,1.1132972,10.199701,2.781813,-0.41839263
t59,-1.3312665,-0.50516987,7.604664,10.889785,4.292394,-0.7127461,0.7729137,10.121139,2.639168,0.15383305
t66,-1.4369398,-0.53306437,7.6007676,10.867819,4.206428,-0.8322422,0.79014504,10.017847,2.7189133,0.2834457
t67,-1.2414955,-0.5930704,7.673323,10.967485,4.212407,-0.69532984,0.7112436,10.138873,2.6303215,0.20658773
t53,-1.534059,-0.56567955,7.5343275,10.889539,4.2598553,-0.9454903,0.87427753,10.073017,2.708659,0.35337678
t95,-1.6203129,-0.584586,7.5622354,10.879903,4.24234,-1.0485419,0.83792645,10.00762,2.7435884,0.3848087
t96,-1.7205969,-0.44277307,7.5803967,10.747652,4.373567,-1.0632443,0.8059935,10.07788,2.5834315,0.30889666
t58,-1.5970198,-0.50871146,7.541233,10.830566,4.3411083,-1.0162411,0.83133936,10.104609,2.6373847,0.39451066
t38,-1.5152711,-0.5434959,7.6064563,10.910041,4.419095,-0.9246064,0.82333267,10.226701,2.5273855,0.21457678
t36,-1.5196799,-0.6268465,7.3654304,10.763146,4.034453,-0.8423647,1.1193666,10.3004675,2.4985914,0.03543883
t80,-1.5411544,-0.53401804,7.4661183,10.751496,4.0101933,-0.76526517,0.99604744,10.156521,2.635894,0.08720568
t81,-1.4090867,-0.626438,7.381516,10.861559,4.1522746,-0.7801269,1.077991,10.336153,2.4704545,0.12057589
t27,-1.5199337,-0.7377932,7.442457,10.912576,4.116577,-0.9037415,1.0779579,10.429863,2.4653215,-0.028182855
t37,-1.3228422,-0.77861255,7.6618075,11.218573,4.2346683,-0.30744854,1.0895363,10.149465,2.918076,-0.43950665
t55,-1.3182821,-0.6323975,7.7530327,11.0569,4.3086157,-0.50046563,1.0737363,10.066164,2.9388433,-0.50617164
t56,-1.405435,-0.7237253,7.614628,11.151192,4.30467,-0.3369667,1.0362417,10.069522,2.8379173,-0.38045436
t28,-1.3475192,-0.80810046,7.7271123,11.233829,4.216515,-0.37587813,1.118822,10.061428,2.9324918,-0.22627808
t14,-1.389497,-0.7555206,7.5460343,11.1321745,4.1477404,-0.44539186,1.1909792,10.207147,2.797373,-0.38342804
t2,-1.5206983,-0.6790383,7.380832,11.059818,4.1780634,-0.52835697,1.3381525,10.131384,2.822238,-0.42072886
t3,0.2217547,-3.0928977,2.8001285,0.75717306,7.535094,3.1144273,7.2369576,0.7344379,11.202997,1.2092469
t29,0.27166253,-3.044667,2.7838726,0.73217916,7.516382,3.2018251,7.371309,0.7817761,11.210551,1.2361671
t30,0.23336811,-3.119038,2.8549216,0.8042979,7.461902,3.070067,7.255222,0.7724693,11.16196,1.3203865
t64,0.2710152,-3.2429068,2.5842748,0.69975406,7.3335953,3.3339233,7.342174,0.65181464,11.247227,1.3959045
t65,0.422711,-3.2237148,2.7507114,0.78785414,7.379072,3.1503093,7.2589884,0.7659317,11.169383,1.5694693
t57,0.34879166,-3.1390104,2.6400104,0.8467377,7.228012,3.2460637,7.1754584,0.68110424,11.220262,1.5015457
t45,0.3788847,-3.2503967,2.6980703,0.7076285,7.335227,3.2176936,7.268713,0.6247285,11.259344,1.4574021
t25,0.364787,-3.1247542,2.8302157,0.7199794,7.4381504,3.1541233,7.34647,0.6876181,11.237217,1.2901646
t73,0.16302069,-3.0793483,2.6704462,0.89518464,7.4205832,3.1167297,7.100155,0.7739456,11.06652,1.2939898
t74,0.098333344,-3.1544323,2.6218414,0.8427833,7.4512935,3.184127,7.233332,0.8443642,11.023216,1.3331835
t48,0.10581076,-3.161381,2.5818775,0.93297136,7.3667912,3.1904252,7.1425834,0.8576575,10.96822,1.3901954
t86,-0.09272511,-3.1363838,2.5264604,0.8597578,7.653217,3.0304933,7.027816,0.92704684,10.918865,1.03211
t89,-0.03538736,-3.1095448,2.588651,0.78605604,7.695597,2.9946418,7.013759,0.8556638,11.005054,0.98797673
t90,-0.08853721,-3.0685709,2.5586677,0.8409775,7.7357464,2.9368176,6.944782,0.906329,10.954338,0.9291577
