,0,1,2,3,4,5,6,7,8,9
t10,6.09562,0.86130214,6.6344132,5.9646516,5.3136206,1.9610817,3.5015683,1.6682525,5.743207,10.094199
t56,6.3662567,0.75291896,6.433383,6.167775,5.9616838,2.5958648,3.0873632,1.6504099,5.292816,9.838972
t58,13.524875,6.989908,11.426348,5.300948,7.3174524,-5.2019196,7.43453,3.6967988,1.2310127,17.154139
t93,13.44592,7.031345,11.469041,5.229683,7.375896,-5.1740403,7.451649,3.621571,1.2223659,17.228115
t94,13.411153,7.118833,11.479102,5.1923275,7.3842764,-5.3054485,7.4584703,3.5763388,1.1690644,17.33854
t44,13.460892,7.0005474,11.382071,5.3475676,7.277848,-5.1937923,7.529469,3.7380338,1.2955294,17.129538
t85,13.420393,6.8900113,11.566899,5.2460885,7.433172,-5.082299,7.319815,3.5346947,1.0921876,17.245535
t86,13.533428,6.999027,11.500755,5.1500125,7.5405436,-5.1403995,7.4342337,3.7485006,1.2840062,17.121286
t11,13.487863,7.1277323,11.549893,5.1449056,7.4249687,-4.753992,7.5310044,3.4500997,1.2633237,17.103718
t12,13.4394,7.0168514,11.508746,5.1426964,7.4818406,-4.6749253,7.415774,3.4938257,1.2162966,17.053272
t31,13.718126,7.0206866,11.666137,5.0509586,7.691786,-4.7274857,7.346616,3.5333247,1.029536,17.230804
t47,13.761337,7.148379,11.652919,4.9746914,7.398433,-4.536832,7.501345,3.4410083,1.2081262,17.173035
t48,13.832999,6.943831,11.609928,4.937927,7.452647,-4.6142483,7.3116307,3.5967114,1.1214601,17.31068
t63,13.742408,7.076104,11.546602,4.9985013,7.5140424,-4.738126,7.3899255,3.5981405,1.1330072,17.197187
t64,13.683671,7.039506,11.6218605,5.0397277,7.667228,-4.6652293,7.369994,3.5683992,1.0951148,17.204271
t95,13.800612,7.5610714,11.551303,4.9264593,7.790488,-4.6052575,7.896095,3.734861,1.699232,17.157127
t96,13.674353,7.542997,11.739137,4.874108,7.8549314,-4.6841974,7.937947,3.6576705,1.7982763,17.298168
t81,13.889706,7.6004276,11.596293,4.825763,7.8972387,-4.601307,7.9533634,3.8238552,1.7928557,17.158436
t82,13.862875,7.5819674,11.621556,4.801166,7.928561,-4.571489,7.937466,3.7730799,1.7801679,17.15234
t66,13.822257,7.4748344,11.631864,4.8954673,7.8200903,-4.7173285,7.842287,3.8271797,1.6975542,17.232073
t3,13.477011,7.065457,11.553691,5.0970864,7.4965253,-4.4732885,7.448598,3.4183195,1.2042869,16.991528
t73,6.447477,0.6864362,6.3745236,6.1852274,6.145293,2.8229196,2.9174008,1.6465586,5.1206784,9.722816
t74,6.5487247,0.5881895,6.5056896,6.2109637,6.0557494,2.6295846,2.7695022,1.6473922,5.0923448,9.788837
t2,6.4416943,0.7222601,6.289123,6.2718687,6.364114,3.0358727,2.8217053,1.6587193,5.0184536,9.642505
t5,6.5732527,0.7332642,6.182887,6.35527,6.4875937,3.17441,2.7181985,1.7598852,4.9234753,9.671218
t25,6.408666,0.7409644,6.2406626,5.995803,6.1776657,3.323671,2.3128169,1.6741399,4.830558,9.608493
t26,6.528713,0.59499216,6.3008237,5.9277177,6.084544,3.2817578,2.3637156,1.5116526,4.836531,9.578641
t77,6.417929,0.69439065,6.199797,5.9992175,6.223441,3.4803877,2.2442367,1.6913161,4.683227,9.499665
t78,6.384297,0.7260198,6.138061,5.9262767,6.1068373,3.5033302,2.1678329,1.6970152,4.7411084,9.60039
t23,6.4399858,0.5771474,6.213941,5.8456903,6.046496,3.417687,2.2751098,1.6181302,4.7164774,9.565614
t7,6.623659,0.5591038,6.2097645,6.3276253,6.4417796,3.0827553,2.783347,1.6716853,4.7199435,9.602473
t15,6.64114,0.6041413,6.320699,6.286984,6.4470267,3.160458,2.5921595,1.6085871,4.829586,9.502392
t16,6.740253,0.5437457,6.3435855,6.3192477,6.4090424,3.2077787,2.6297104,1.5601546,4.7328534,9.445645
t6,6.451917,0.60369897,6.1960654,6.323419,6.6143546,3.0809352,2.5945716,1.7889771,4.8113937,9.466751
t80,6.4566483,0.6207713,6.4281025,6.132551,6.5125766,3.1258078,2.5395348,1.6497389,4.702768,9.411463
t29,6.421455,0.70043236,6.302964,6.3064055,6.6414976,3.2417107,2.663174,1.7557492,4.8519073,9.364652
t97,6.8370705,0.39584553,6.0657535,6.681431,6.8667665,3.7085514,2.8477259,1.4392123,4.478427,9.294579
t98,6.892776,0.40758798,6.0206757,6.719533,6.7964673,3.7292247,2.9734454,1.4540939,4.5288997,9.416649
t55,6.9447813,0.47663313,6.112621,6.771075,6.8897715,3.813995,2.8709261,1.5102757,4.5627165,9.379352
