"","t83","t84","t36","t45","t95","t96","t1","t12","t39","t40","t38","t76","t77","t33","t31","t8","t63","t70","t71","t25","t29","t30","t58","t34","t35","t93","t94","t72","t73","t61","t62","t7","t99","t100","t88","t23","t22","t67","t80","t81","t54","t55","t41","t2","t48","t14","t85","t86","t79","t78","t19","t24","t59","t60","t87","t97","t98","t51","t20","t10","t11","t17","t56","t57","t26","t13","t27","t28","t21","t15","t16","t49","t50","t42","t43","t37","t9","t46","t47","t18","t89","t90","t91","t92","t82","t64","t3","t4","t68","t69","t44","t65","t66","t5","t74","t75","t6","t52","t53","t32"
"t83",0,0.03878732848,0.18746097404,1.68148394402,1.681483944027,1.681483944027,1.681483944,1.681483944,1.681483943985,1.681483943985,1.68148394398,1.681483943982,1.681483943982,1.681483943982,1.681483944,1.68148394403,1.68148394407,1.68148394407,1.68148394407,1.68148394408,1.68148394405,1.68148394405,1.68148394404,1.68148394399,1.68148394399,1.681483944039,1.681483944039,1.68148394404,1.68148394404,1.68148394403,1.68148394403,1.68148394399,1.681483944056,1.681483944056,1.68148394405,1.681483944,1.68148394401,1.68148394401,1.68148394401,1.68148394401,1.68148394402,1.68148394402,1.68148394402,1.68148394397,1.68148394397,1.68148394406,1.681483944032,1.681483944032,1.681483944032,1.68148394403,1.6814839441,1.6814839441,1.6814839441,1.6814839441,1.68148394411,1.681483944109,1.681483944109,1.68148394411,1.6814839441,1.68148394408,1.68148394408,1.68148394409,1.68148394409,1.68148394409,1.68148394408,1.68148394399,1.68148394402,1.68148394402,1.68148394405,1.68148394401,1.68148394401,1.68148394406,1.68148394406,1.681483944102,1.681483944102,1.6814839441,1.68148394409,1.68148394408,1.68148394408,1.68148394407,1.68148394402,1.68148394402,1.681483944081,1.681483944081,1.68148394408,1.68148394408,1.68148394412,1.68148394412,1.681483944153,1.681483944153,1.681483944113,1.681483944103,1.681483944103,1.681483944133,1.68148394408,1.68148394408,1.68148394414,1.99999999997,1.99999999997,2.00000000002
"t84",0.03878732848,0,0.18746097404,1.68148394402,1.681483944027,1.681483944027,1.681483944,1.681483944,1.681483943985,1.681483943985,1.68148394398,1.681483943982,1.681483943982,1.681483943982,1.681483944,1.68148394403,1.68148394407,1.68148394407,1.68148394407,1.68148394408,1.68148394405,1.68148394405,1.68148394404,1.68148394399,1.68148394399,1.681483944039,1.681483944039,1.68148394404,1.68148394404,1.68148394403,1.68148394403,1.68148394399,1.681483944056,1.681483944056,1.68148394405,1.681483944,1.68148394401,1.68148394401,1.68148394401,1.68148394401,1.68148394402,1.68148394402,1.68148394402,1.68148394397,1.68148394397,1.68148394406,1.681483944032,1.681483944032,1.681483944032,1.68148394403,1.6814839441,1.6814839441,1.6814839441,1.6814839441,1.68148394411,1.681483944109,1.681483944109,1.68148394411,1.6814839441,1.68148394408,1.68148394408,1.68148394409,1.68148394409,1.68148394409,1.68148394408,1.68148394399,1.68148394402,1.68148394402,1.68148394405,1.68148394401,1.68148394401,1.68148394406,1.68148394406,1.681483944102,1.681483944102,1.6814839441,1.68148394409,1.68148394408,1.68148394408,1.68148394407,1.68148394402,1.68148394402,1.681483944081,1.681483944081,1.68148394408,1.68148394408,1.68148394412,1.68148394412,1.681483944153,1.681483944153,1.681483944113,1.681483944103,1.681483944103,1.681483944133,1.68148394408,1.68148394408,1.68148394414,1.99999999997,1.99999999997,2.00000000002
"t36",0.18746097404,0.18746097404,0,1.68148394402,1.681483944027,1.681483944027,1.681483944,1.681483944,1.681483943985,1.681483943985,1.68148394398,1.681483943982,1.681483943982,1.681483943982,1.681483944,1.68148394403,1.68148394407,1.68148394407,1.68148394407,1.68148394408,1.68148394405,1.68148394405,1.68148394404,1.68148394399,1.68148394399,1.681483944039,1.681483944039,1.68148394404,1.68148394404,1.68148394403,1.68148394403,1.68148394399,1.681483944056,1.681483944056,1.68148394405,1.681483944,1.68148394401,1.68148394401,1.68148394401,1.68148394401,1.68148394402,1.68148394402,1.68148394402,1.68148394397,1.68148394397,1.68148394406,1.681483944032,1.681483944032,1.681483944032,1.68148394403,1.6814839441,1.6814839441,1.6814839441,1.6814839441,1.68148394411,1.681483944109,1.681483944109,1.68148394411,1.6814839441,1.68148394408,1.68148394408,1.68148394409,1.68148394409,1.68148394409,1.68148394408,1.68148394399,1.68148394402,1.68148394402,1.68148394405,1.68148394401,1.68148394401,1.68148394406,1.68148394406,1.681483944102,1.681483944102,1.6814839441,1.68148394409,1.68148394408,1.68148394408,1.68148394407,1.68148394402,1.68148394402,1.681483944081,1.681483944081,1.68148394408,1.68148394408,1.68148394412,1.68148394412,1.681483944153,1.681483944153,1.681483944113,1.681483944103,1.681483944103,1.681483944133,1.68148394408,1.68148394408,1.68148394414,1.99999999997,1.99999999997,2.00000000002
"t45",1.68148394402,1.68148394402,1.68148394402,0,0.165835776867,0.165835776867,1.31702352784,1.31702352784,1.317023527825,1.317023527825,1.31702352782,1.317023527822,1.317023527822,1.317023527822,1.31702352784,1.31702352787,1.31702352791,1.31702352791,1.31702352791,1.31702352792,1.31702352789,1.31702352789,1.31702352788,1.31702352783,1.31702352783,1.317023527879,1.317023527879,1.31702352788,1.31702352788,1.31702352787,1.31702352787,1.31702352783,1.495089727196,1.495089727196,1.49508972719,1.49508972714,1.49508972715,1.49508972715,1.49508972715,1.49508972715,1.49508972716,1.49508972716,1.49508972716,1.49508972711,1.49508972711,1.4950897272,1.495089727172,1.495089727172,1.495089727172,1.49508972717,1.49508972724,1.49508972724,1.49508972724,1.49508972724,1.49508972725,1.495089727249,1.495089727249,1.49508972725,1.49508972724,1.49508972722,1.49508972722,1.49508972723,1.49508972723,1.49508972723,1.49508972722,1.49508972713,1.49508972716,1.49508972716,1.49508972719,1.49508972715,1.49508972715,1.4950897272,1.4950897272,1.495089727242,1.495089727242,1.49508972724,1.49508972723,1.49508972722,1.49508972722,1.49508972721,1.49508972716,1.49508972716,1.495089727221,1.495089727221,1.49508972722,1.49508972722,1.49508972726,1.49508972726,1.495089727293,1.495089727293,1.495089727253,1.495089727243,1.495089727243,1.495089727273,1.49508972722,1.49508972722,1.49508972728,1.99999999995,1.99999999995,2
"t95",1.681483944027,1.681483944027,1.681483944027,0.165835776867,0,0.011537320814,1.317023527847,1.317023527847,1.317023527832,1.317023527832,1.317023527827,1.317023527829,1.317023527829,1.317023527829,1.317023527847,1.317023527877,1.317023527917,1.317023527917,1.317023527917,1.317023527927,1.317023527897,1.317023527897,1.317023527887,1.317023527837,1.317023527837,1.317023527886,1.317023527886,1.317023527887,1.317023527887,1.317023527877,1.317023527877,1.317023527837,1.495089727203,1.495089727203,1.495089727197,1.495089727147,1.495089727157,1.495089727157,1.495089727157,1.495089727157,1.495089727167,1.495089727167,1.495089727167,1.495089727117,1.495089727117,1.495089727207,1.495089727179,1.495089727179,1.495089727179,1.495089727177,1.495089727247,1.495089727247,1.495089727247,1.495089727247,1.495089727257,1.495089727256,1.495089727256,1.495089727257,1.495089727247,1.495089727227,1.495089727227,1.495089727237,1.495089727237,1.495089727237,1.495089727227,1.495089727137,1.495089727167,1.495089727167,1.495089727197,1.495089727157,1.495089727157,1.495089727207,1.495089727207,1.495089727249,1.495089727249,1.495089727247,1.495089727237,1.495089727227,1.495089727227,1.495089727217,1.495089727167,1.495089727167,1.495089727228,1.495089727228,1.495089727227,1.495089727227,1.495089727267,1.495089727267,1.4950897273,1.4950897273,1.49508972726,1.49508972725,1.49508972725,1.49508972728,1.495089727227,1.495089727227,1.495089727287,1.999999999957,1.999999999957,2.000000000007
"t96",1.681483944027,1.681483944027,1.681483944027,0.165835776867,0.011537320814,0,1.317023527847,1.317023527847,1.317023527832,1.317023527832,1.317023527827,1.317023527829,1.317023527829,1.317023527829,1.317023527847,1.317023527877,1.317023527917,1.317023527917,1.317023527917,1.317023527927,1.317023527897,1.317023527897,1.317023527887,1.317023527837,1.317023527837,1.317023527886,1.317023527886,1.317023527887,1.317023527887,1.317023527877,1.317023527877,1.317023527837,1.495089727203,1.495089727203,1.495089727197,1.495089727147,1.495089727157,1.495089727157,1.495089727157,1.495089727157,1.495089727167,1.495089727167,1.495089727167,1.495089727117,1.495089727117,1.495089727207,1.495089727179,1.495089727179,1.495089727179,1.495089727177,1.495089727247,1.495089727247,1.495089727247,1.495089727247,1.495089727257,1.495089727256,1.495089727256,1.495089727257,1.495089727247,1.495089727227,1.495089727227,1.495089727237,1.495089727237,1.495089727237,1.495089727227,1.495089727137,1.495089727167,1.495089727167,1.495089727197,1.495089727157,1.495089727157,1.495089727207,1.495089727207,1.495089727249,1.495089727249,1.495089727247,1.495089727237,1.495089727227,1.495089727227,1.495089727217,1.495089727167,1.495089727167,1.495089727228,1.495089727228,1.495089727227,1.495089727227,1.495089727267,1.495089727267,1.4950897273,1.4950897273,1.49508972726,1.49508972725,1.49508972725,1.49508972728,1.495089727227,1.495089727227,1.495089727287,1.999999999957,1.999999999957,2.000000000007
"t1",1.681483944,1.681483944,1.681483944,1.31702352784,1.317023527847,1.317023527847,0,0.904316035,0.904316034985,0.904316034985,0.90431603498,0.904316034982,0.904316034982,0.904316034982,0.904316035,0.98646760677,1.14476498907,1.14476498907,1.14476498907,1.14476498908,1.14476498905,1.14476498905,1.14476498904,1.14476498899,1.14476498899,1.179728404459,1.179728404459,1.17972840446,1.17972840446,1.17972840445,1.17972840445,1.17972840441,1.495089727176,1.495089727176,1.49508972717,1.49508972712,1.49508972713,1.49508972713,1.49508972713,1.49508972713,1.49508972714,1.49508972714,1.49508972714,1.49508972709,1.49508972709,1.49508972718,1.495089727152,1.495089727152,1.495089727152,1.49508972715,1.49508972722,1.49508972722,1.49508972722,1.49508972722,1.49508972723,1.495089727229,1.495089727229,1.49508972723,1.49508972722,1.4950897272,1.4950897272,1.49508972721,1.49508972721,1.49508972721,1.4950897272,1.49508972711,1.49508972714,1.49508972714,1.49508972717,1.49508972713,1.49508972713,1.49508972718,1.49508972718,1.495089727222,1.495089727222,1.49508972722,1.49508972721,1.4950897272,1.4950897272,1.49508972719,1.49508972714,1.49508972714,1.495089727201,1.495089727201,1.4950897272,1.4950897272,1.49508972724,1.49508972724,1.495089727273,1.495089727273,1.495089727233,1.495089727223,1.495089727223,1.495089727253,1.4950897272,1.4950897272,1.49508972726,1.99999999993,1.99999999993,1.99999999998
"t12",1.681483944,1.681483944,1.681483944,1.31702352784,1.317023527847,1.317023527847,0.904316035,0,0.325424519185,0.325424519185,0.32542451918,0.615886088982,0.615886088982,0.615886088982,0.615886089,0.98646760677,1.14476498907,1.14476498907,1.14476498907,1.14476498908,1.14476498905,1.14476498905,1.14476498904,1.14476498899,1.14476498899,1.179728404459,1.179728404459,1.17972840446,1.17972840446,1.17972840445,1.17972840445,1.17972840441,1.495089727176,1.495089727176,1.49508972717,1.49508972712,1.49508972713,1.49508972713,1.49508972713,1.49508972713,1.49508972714,1.49508972714,1.49508972714,1.49508972709,1.49508972709,1.49508972718,1.495089727152,1.495089727152,1.495089727152,1.49508972715,1.49508972722,1.49508972722,1.49508972722,1.49508972722,1.49508972723,1.495089727229,1.495089727229,1.49508972723,1.49508972722,1.4950897272,1.4950897272,1.49508972721,1.49508972721,1.49508972721,1.4950897272,1.49508972711,1.49508972714,1.49508972714,1.49508972717,1.49508972713,1.49508972713,1.49508972718,1.49508972718,1.495089727222,1.495089727222,1.49508972722,1.49508972721,1.4950897272,1.4950897272,1.49508972719,1.49508972714,1.49508972714,1.495089727201,1.495089727201,1.4950897272,1.4950897272,1.49508972724,1.49508972724,1.495089727273,1.495089727273,1.495089727233,1.495089727223,1.495089727223,1.495089727253,1.4950897272,1.4950897272,1.49508972726,1.99999999993,1.99999999993,1.99999999998
"t39",1.681483943985,1.681483943985,1.681483943985,1.317023527825,1.317023527832,1.317023527832,0.904316034985,0.325424519185,0,0.17508654396,0.177236684645,0.615886088967,0.615886088967,0.615886088967,0.615886088985,0.986467606755,1.144764989055,1.144764989055,1.144764989055,1.144764989065,1.144764989035,1.144764989035,1.144764989025,1.144764988975,1.144764988975,1.179728404444,1.179728404444,1.179728404445,1.179728404445,1.179728404435,1.179728404435,1.179728404395,1.495089727161,1.495089727161,1.495089727155,1.495089727105,1.495089727115,1.495089727115,1.495089727115,1.495089727115,1.495089727125,1.495089727125,1.495089727125,1.495089727075,1.495089727075,1.495089727165,1.495089727137,1.495089727137,1.495089727137,1.495089727135,1.495089727205,1.495089727205,1.495089727205,1.495089727205,1.495089727215,1.495089727214,1.495089727214,1.495089727215,1.495089727205,1.495089727185,1.495089727185,1.495089727195,1.495089727195,1.495089727195,1.495089727185,1.495089727095,1.495089727125,1.495089727125,1.495089727155,1.495089727115,1.495089727115,1.495089727165,1.495089727165,1.495089727207,1.495089727207,1.495089727205,1.495089727195,1.495089727185,1.495089727185,1.495089727175,1.495089727125,1.495089727125,1.495089727186,1.495089727186,1.495089727185,1.495089727185,1.495089727225,1.495089727225,1.495089727258,1.495089727258,1.495089727218,1.495089727208,1.495089727208,1.495089727238,1.495089727185,1.495089727185,1.495089727245,1.999999999915,1.999999999915,1.999999999965
"t40",1.681483943985,1.681483943985,1.681483943985,1.317023527825,1.317023527832,1.317023527832,0.904316034985,0.325424519185,0.17508654396,0,0.177236684645,0.615886088967,0.615886088967,0.615886088967,0.615886088985,0.986467606755,1.144764989055,1.144764989055,1.144764989055,1.144764989065,1.144764989035,1.144764989035,1.144764989025,1.144764988975,1.144764988975,1.179728404444,1.179728404444,1.179728404445,1.179728404445,1.179728404435,1.179728404435,1.179728404395,1.495089727161,1.495089727161,1.495089727155,1.495089727105,1.495089727115,1.495089727115,1.495089727115,1.495089727115,1.495089727125,1.495089727125,1.495089727125,1.495089727075,1.495089727075,1.495089727165,1.495089727137,1.495089727137,1.495089727137,1.495089727135,1.495089727205,1.495089727205,1.495089727205,1.495089727205,1.495089727215,1.495089727214,1.495089727214,1.495089727215,1.495089727205,1.495089727185,1.495089727185,1.495089727195,1.495089727195,1.495089727195,1.495089727185,1.495089727095,1.495089727125,1.495089727125,1.495089727155,1.495089727115,1.495089727115,1.495089727165,1.495089727165,1.495089727207,1.495089727207,1.495089727205,1.495089727195,1.495089727185,1.495089727185,1.495089727175,1.495089727125,1.495089727125,1.495089727186,1.495089727186,1.495089727185,1.495089727185,1.495089727225,1.495089727225,1.495089727258,1.495089727258,1.495089727218,1.495089727208,1.495089727208,1.495089727238,1.495089727185,1.495089727185,1.495089727245,1.999999999915,1.999999999915,1.999999999965
